BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Tennislaan_12_4752504;[143.7030598761952, 111.92107821376329, 145.19310350831583, 114.39224759113127];470.294021606;871.8254559860001;496.527803357;[33.450949067217337, 26.771855808705126, 31.873233483806263, 22.476332188841994];[33.450949067217337, 26.771855808705126, 31.873233483806263, 22.476332188841994];137315728.904;125103816.547;43385704.6723;24145665.6681;0.000120236466374;0.000434112913051;6.72069423803e-05;0.000474500783122;7.19341186877e-05;2.34974575233e-05;0.0008595612564069999;0.000208848954395;1796.18043407;2.7;1.7;2.29095485874;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Tennislaan_7_4754190;[72.415972686887443, 41.437600734953591, 55.452426890255666, 41.385140279550313];93.2756652832;494.396722257;119.07607492;[18.103993171721861, 7.8261442274013842, 13.863106722563916, 10.346285069887578];[18.103993171721861, 7.8261442274013842, 13.863106722563916, 10.346285069887578];56154259.8709;24812438.9887;19544622.7758;5790554.073030001;0.00029401790815;0.0010615495818;0.000338856046922;0.0023924233708;0.000148040826462;9.79805639067e-05;0.00358423018881;0.000477234632584;609.319906135;2.7;1.7;2.12615804496;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Tennislaan_23_1586635;[88.413011193808146, 90.736466878384107, 84.33014383025926, 85.005751821240821];153.214092255;903.11142658;208.699520651;[19.827754378729207, 20.894303337427448, 20.168125495343318, 21.251437955310205];[19.827754378729207, 20.894303337427448, 20.168125495343318, 21.251437955310205];92879739.4248;40756775.1432;33443255.1973;10148855.3444;0.000177760597986;0.000641803384153;0.000206293185873;0.00145649057646;8.42827557508e-05;5.59040142119e-05;0.00204502655858;0.0002913056675990001;1184.23295377;2.7;1.7;2.08587195718;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Tennislaan_25_1589290;[72.109919383584156, 45.581481701765476, 72.412277317842722, 47.503835522317807];370.786769867;691.648743174;291.313931752;[18.027479845896039, 10.789722489985964, 18.103069329460681, 11.875958880579452];[18.027479845896039, 10.789722489985964, 18.103069329460681, 11.875958880579452];63328121.1862;98633701.2683;23794787.1553;14166314.0573;0.000260711319264;0.0009412963777469999;8.52431256467e-05;0.000601841542594;0.000114667609673;4.00500617953e-05;0.00146507261059;0.00040697030353;977.204782398;2.7;1.7;2.04353783806;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Tennislaan_9_1586631;[70.98466563257621, 43.872432630508072, 57.952515069932602, 56.006903735623737];126.879261017;736.3335611360001;181.594788165;[17.379307046931011, 10.968108157627018, 12.902832486040126, 12.043697989254479];[17.379307046931011, 10.968108157627018, 12.902832486040126, 12.043697989254479];60985108.9426;33751396.0726;23833385.1485;8830778.48304;0.00027072769578;0.000977460434451;0.000249111028537;0.00175879714117;0.00011112924004;6.42482148655e-05;0.00235026603355;0.00044898758173;896.251385442;2.7;1.7;2.01075117195;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Tennislaan_3_3894018;[43.736787103149481, 68.882679893702587, 49.272497444333524, 68.274587246266506];88.7841072083;512.620668509;113.892705929;[10.93419677578737, 17.220669973425647, 6.6427497596744995, 17.068646811566627];[10.93419677578737, 17.220669973425647, 6.6427497596744995, 17.068646811566627];61344925.66100001;23617630.9928;20992023.751;5538491.86451;0.000269139751056;0.0009717271712329999;0.000355998660186;0.00251345526319;0.000139658478545;0.000102439755675;0.003747352027630001;0.000461346514281;676.477054299;2.7;1.7;2.14899974938;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Tennislaan_29_1588514;[77.72166833946504, 60.033251012784419, 77.633685134607362, 63.182871205241455];133.039081573;810.727801986;175.195626735;[19.43041708486626, 15.008312753196105, 19.40842128365184, 15.440259224809488];[19.43041708486626, 15.008312753196105, 19.40842128365184, 15.440259224809488];74246002.9154;35389981.7775;27894927.2433;8519593.46699;0.000222373695184;0.000802878656646;0.000237576979923;0.00167736336504;9.78188310561e-05;6.65949326815e-05;0.00243611139415;0.000345348738999;1162.46120546;2.7;1.7;2.0436066643;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Tennislaan_15_1586632;[64.987850021469967, 65.295878081320694, 59.875841566575943, 64.975299106499619];123.974071503;751.031154787;175.60488427;[16.246962505367492, 16.323969520330174, 14.968960391643986, 16.243824776624905];[16.246962505367492, 16.323969520330174, 14.968960391643986, 16.243824776624905];67999583.1012;32978581.0265;25659380.5295;8539495.264139999;0.00024280087124;0.000876630831594;0.000254948658448;0.00180001252556;0.000105990828756;6.64397292648e-05;0.00243043389293;0.0003751477782159999;1008.81927914;2.7;1.7;2.03971276311;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Tennislaan_11_1589285;[59.159423948315208, 62.894542921137514, 59.58255486143787, 62.719094527817049];168.818817139;581.993250536;189.262492776;[14.789855987078802, 15.723635730284379, 14.895638715359468, 15.678454639255548];[14.789855987078802, 15.723635730284379, 14.895638715359468, 15.678454639255548];65126652.8709;44907818.0003;22779940.9411;9203651.52401;0.000253511539333;0.000915301623134;0.000187224527145;0.00132186023651;0.000126530209696;6.16452884953e-05;0.00225504829951;0.0003917051191899999;1118.76163188;2.7;1.7;2.11985987988;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Tennislaan_13_1586628;[77.293233637434582, 95.601973951288528, 89.751027371319225, 73.508183357423846];221.111354828;746.25897154;221.170257926;[15.495466226898923, 11.622173499717848, 19.872584621036033, 11.602703817392774];[15.495466226898923, 11.622173499717848, 19.872584621036033, 11.602703817392774];89593243.0283;58818256.4522;30626928.3764;10755295.207;0.000184281285763;0.0006653462813399999;0.000142946178574;0.00100924207047;9.58000661944e-05;5.27518531557e-05;0.00192971725266;0.000408382385742;5066.52189941;2.7;1.7;2.15045276658;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
