BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Valleistraat_8_1588763;[125.42002399023143, 34.584187765073693, 59.545642738801661, 30.156809702140862];159.393447876;449.4497214469999;178.692262468;[31.344290156613084, 8.6460469412684233, 13.398327032971974, 3.6827221092338105];[31.344290156613084, 8.6460469412684233, 13.398327032971974, 3.6827221092338105];66552835.935;42400557.4081;21379407.4965;8689631.4725;0.000248078955449;0.0008956873173710001;0.000198295624024;0.0014000254372;0.000144078813417;6.52918084275e-05;0.00238844176352;0.0004192699944419999;824.706065302;2.7;1.7;2.25558308812;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Valleistraat_10_4753135;[61.508479627746453, 37.926460091327272, 92.686876934574684, 36.069317113860421];146.304428101;414.884722024;166.100420517;[15.377119906936613, 9.0702011900459105, 23.171719233643671, 4.7755653448360365];[15.377119906936613, 9.0702011900459105, 23.171719233643671, 4.7755653448360365];60818429.2411;38918722.1019;19591681.5742;8077302.40687;0.000271469655283;0.000980139273998;0.000216035998515;0.00152527769971;0.000156881949556;7.02414896495e-05;0.00256950621297;0.000456694338724;670.933422486;2.7;1.7;2.25001093473;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Valleistraat_1_1588760;[80.143000770885735, 29.758529752417296, 77.177491139221473, 32.358853624008013];79.8783226013;413.053277508;107.985471437;[20.035750192721434, 4.0310615901588305, 19.294372784805368, 8.0897134060020033];[20.035750192721434, 4.0310615901588305, 19.294372784805368, 8.0897134060020033];58485475.183;21248586.1135;19024255.6968;5251228.77856;0.000282298433402;0.00101923650095;0.000395689621196;0.00279368512361;0.000160330077053;0.000108043617472;0.003952347077929999;0.0004650709848430001;542.687369176;2.7;1.7;2.2312580416;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Valleistraat_12_1587192;[22.67294495453833, 29.816299626928974, 49.302335007183515, 32.02230381613947];102.618202209;345.312113385;124.153114479;[4.7838834132062624, 7.4540749067322434, 12.022592648168185, 3.7144690737911046];[4.7838834132062624, 7.4540749067322434, 12.022592648168185, 3.7144690737911046];35664620.5528;27297665.1919;12822544.412;6037445.5843;0.0004629337916690001;0.0016714191868;0.00030800601191;0.00217461304861;0.00022007604624;9.39738082084e-05;0.00343765892854;0.000855345939193;590.2732217719999;2.7;1.7;2.08751575232;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Valleistraat_7_1588758;[79.39012400531567, 29.812212956175767, 34.71830379154116, 32.619522906824365];81.5853462219;368.302523279;110.034219278;[19.847531001328917, 4.481653700368657, 8.3700157906085799, 8.1548807267060912];[19.847531001328917, 4.481653700368657, 8.3700157906085799, 8.1548807267060912];47052202.5746;21702674.7476;15775796.0399;5350857.39969;0.000350894477145;0.00126690203264;0.0003874105421569999;0.00273523239018;0.000188813137121;0.000106031933021;0.00387875758373;0.0005857020664199999;568.1934479319999;2.7;1.7;2.17933465698;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Valleistraat_11_1587188;[31.593442174061163, 32.144296091325337, 53.535502372658037, 34.126243256001359];98.0345535278;349.484048103;126.244082022;[6.7284020140206291, 4.0950645114529687, 11.901197289330387, 8.5315608140003398];[6.7284020140206291, 4.0950645114529687, 11.901197289330387, 8.5315608140003398];40351606.3325;26078359.9968;13968876.9048;6139127.30864;0.000409162348703;0.00147727777157;0.0003224069685080001;0.00227628803845;0.000207999363361;9.24173298392e-05;0.0033807213428;0.000765553744121;656.218586882;2.7;1.7;2.13320856765;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Valleistraat_14_1587193;[16.842025847889563, 27.080174312487255, 26.057330334802913, 26.85797096846845];99.7011680603;277.53285974;117.838914944;[4.2063763848227032, 6.281077663724715, 6.065800026315439, 3.0002699644610535];[4.2063763848227032, 6.281077663724715, 6.065800026315439, 3.0002699644610535];25809524.8199;26521699.3316;9640737.399139998;5730392.18286;0.000639700193481;0.00230963303269;0.000317017581908;0.00223823738369;0.000284285402529;9.90092362448e-05;0.003621860085;0.00122373438893;525.185298793;2.7;1.7;2.04892265209;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Valleistraat_6_1588764;[12.083859110524189, 29.027568462675362, 28.065735019203135, 29.322890337412534];101.709877014;293.56229353;120.514131743;[2.9221824530931566, 7.2568921156688404, 6.4110482576550254, 3.9502424099275273];[2.9221824530931566, 7.2568921156688404, 6.4110482576550254, 3.9502424099275273];26252634.7998;27056039.861;9953553.31219;5860485.38203;0.0006289028947690001;0.00227064946191;0.000310756675161;0.00219403354031;0.000272251331592;9.68113929859e-05;0.0035414607094;0.00116494130052;583.628730675;2.7;1.7;2.03553373543;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Valleistraat_16_1587194;[85.871947435704143, 33.76259883046518, 25.170534863360484, 34.849926024650266];114.980545044;385.582283766;135.476768471;[21.467986858926036, 8.440649707616295, 4.995159757202841, 4.8125717499506813];[21.467986858926036, 8.440649707616295, 4.995159757202841, 4.8125717499506813];47882383.3338;30586195.7685;16195091.4165;6588103.899069999;0.000344810698036;0.00124493659112;0.0002748901842469999;0.0019408055638;0.000182675487278;8.61191265499e-05;0.00315032656383;0.000602480059286;660.551451443;2.7;1.7;2.1659316953;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Valleistraat_15_4753665;[95.414358975020349, 32.035826491954026, 98.656026012406642, 36.277860123988283];122.011573792;471.204033151;152.402870997;[23.395233959423557, 4.4474890696755329, 24.66400650310166, 9.0694650309970708];[23.395233959423557, 4.4474890696755329, 24.66400650310166, 9.0694650309970708];69931670.1282;32456533.2386;22450915.8724;7411203.85421;0.000236092717229;0.000852411088893;0.000259049385478;0.00182896486469;0.000137269373102;7.65546009217e-05;0.00280044634135;0.000388596923883;741.38123129;2.7;1.7;2.25683749107;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Valleistraat_3_1588759;[62.305311211802149, 32.191298679192116, 92.53235013151145, 33.9006761142236];105.000053406;416.1008702680001;133.378342722;[14.967220457804853, 4.020359972967662, 23.133087532877862, 8.4751690285559];[14.967220457804853, 4.020359972967662, 23.133087532877862, 8.4751690285559];58883065.3532;27931266.0063;19156716.8187;6486059.489440001;0.000280392298225;0.00101235441335;0.000301019115579;0.00212528350522;0.000159201000975;8.74740286196e-05;0.00319989028042;0.000472930604851;652.939244626;2.7;1.7;2.23095211263;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Valleistraat_13_1587190;[82.755349055516135, 31.703592414398063, 23.153589792467105, 27.538172760997941];90.54802703860001;359.203804609;118.929004764;[20.688837263879034, 4.2148393908415098, 5.596962231473575, 6.8845431902494854];[20.688837263879034, 4.2148393908415098, 5.596962231473575, 6.8845431902494854];44016637.4606;24086854.697;14949708.5409;5783402.19391;0.000375093577644;0.00135427271416;0.000349063632258;0.00246449192598;0.000197252833326;9.81017287723e-05;0.00358866252469;0.0006400482346919999;588.276447911;2.7;1.7;2.15976880507;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Valleistraat_22_1588761;[54.567819360231809, 42.572715320720775, 36.322335524373251, 39.733352029198905];113.184669495;291.70233338;130.524416224;[13.641954840057952, 10.643178830180194, 5.1731970384205557, 7.4809184332955887];[13.641954840057952, 10.643178830180194, 5.1731970384205557, 7.4809184332955887];46160961.703;30108471.4621;14566835.2484;6347275.810880001;0.000357669281831;0.00129136241714;0.000279251804622;0.00197159988668;0.000214457047808;8.9386655049e-05;0.00326985612992;0.0006477749371599999;604.693163325;2.7;1.7;2.29374301271;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Valleistraat_5_1588757;[44.042117351637003, 26.848692286652568, 64.924707623257561, 28.33955108452826];110.57497406;352.457238146;138.086656389;[10.927294081423977, 3.3786987615234261, 15.864451024573457, 7.084887771132065];[10.927294081423977, 3.3786987615234261, 15.864451024573457, 7.084887771132065];43751276.5897;29414261.364;14799691.516;6715020.21813;0.000377368600596;0.00136248666847;0.000285842465536;0.00201813189148;0.000199879719636;8.44914438047e-05;0.00309078424849;0.000642279070919;638.776223808;2.7;1.7;2.16574463674;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
