BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Vennestraat_190_1586825;[70.049100645571443, 44.932469770270743, 104.96346006238944, 66.445402528485488];357.460430145;651.091635399;311.208949791;[17.512275161392861, 4.1066013836670052, 25.670055122383808, 16.583424942772261];[17.512275161392861, 4.1066013836670052, 25.670055122383808, 16.583424942772261];76329943.22600001;95088736.02700001;26293083.2995;15133789.4953;0.00021630250624;0.000780958671822;8.84210406144e-05;0.0006242785570959999;0.000110930691053;3.74897347147e-05;0.00137141320255;0.000374627163637;1095.50402764;2.7;1.7;2.13986194483;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vennestraat_180_1588937;[88.351282933316995, 55.549281495158986, 89.264030026234877, 56.270283679150822];170.750061035;656.620669149;209.916346647;[21.366530419784645, 7.9981918890405481, 15.283611002423669, 14.067570919787705];[21.366530419784645, 7.9981918890405481, 15.283611002423669, 14.067570919787705];77141361.1259;45421551.9009;26554386.0157;10208028.4128;0.000214027310122;0.0007727440922999999;0.000185106951179;0.00130690952728;0.00010989750088;5.55799543716e-05;0.00203317211504;0.000407527059406;976.51131705;2.7;1.7;2.14079465014;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vennestraat_256_1586645;[102.4567148750897, 79.626610345872038, 98.82942806465104, 84.607892078543102];621.11730957;1256.46594261;484.110197038;[25.614178718772425, 16.746336657249795, 24.70735701616276, 21.151973019635776];[25.614178718772425, 16.746336657249795, 24.70735701616276, 21.151973019635776];97420049.32100001;165224609.246;39121437.2584;23541809.5123;0.000169475976824;0.000611891817932;5.08873649549e-05;0.000359279765854;6.63362494072e-05;2.41001760341e-05;0.0008816093218160002;0.000271235113596;1831.74887394;2.7;1.7;1.9909117016;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vennestraat_222_1586799;[79.152286845264769, 76.248599742383107, 81.282390412417499, 87.754100853114295];457.165763855;963.830650253;351.801562831;[19.788071711316192, 16.510303053057424, 20.320597603104375, 21.938525213278574];[19.788071711316192, 16.510303053057424, 20.320597603104375, 21.938525213278574];86470369.7394;121611543.471;32744283.6243;17107768.9108;0.00019093659563;0.000689375230633;6.91368989344e-05;0.000488126844119;8.28361279563e-05;3.31639827709e-05;0.00121317273028;0.000304596257882;1377.05305187;2.7;1.7;2.03661243058;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vennestraat_86_1587069;[176.84450157473572, 100.06682006597271, 99.767391677285104, 176.67608048210741];481.214885712;1035.44194437;335.706374538;[44.211125393683929, 19.213302372984174, 24.540964238829662, 43.590778301670561];[44.211125393683929, 19.213302372984174, 24.540964238829662, 43.590778301670561];147482370.662;128008896.596;47892907.1032;16325075.5093;0.000111948010782;0.0004041875026469999;6.56817238003e-05;0.0004637322912819999;6.37711233502e-05;3.47540048489e-05;0.00127133737952;0.000181886716038;1681.88123169;2.7;1.7;2.23441411835;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vennestraat_184_1588824;[90.497166082437985, 63.173677356702001, 62.11382321192788, 64.737893954610712];300.893363953;605.858971128;260.031507284;[22.048112223453192, 7.8180747400393011, 15.52845580298197, 16.184473488652678];[22.048112223453192, 7.8180747400393011, 15.52845580298197, 16.184473488652678];74766014.0035;80041222.0327;25337409.2936;12645080.0854;0.000220827046098;0.000797294491041;0.000105043935821;0.000741641087123;0.000116584097823;4.48681818998e-05;0.00164132441854;0.000388578486455;888.586131394;2.7;1.7;2.16301626942;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vennestraat_216_1588568;[24.64103908688223, 40.361076846495642, 23.788495549419185, 41.451061815456029];127.651760101;130.241673298;141.775647764;[6.1602597717205576, 10.090269211623911, 5.9471238873547962, 10.362765453864007];[6.1602597717205576, 10.090269211623911, 5.9471238873547962, 10.362765453864007];34712540.5837;33956890.0388;12043797.6086;6894412.29202;0.000475630931742;0.00171726212141;0.000247603504933;0.00174815358106;0.000349165172852;8.22929829805e-05;0.00301036228171;0.0007348898147789999;550.478835038;2.7;1.7;2.7;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vennestraat_220_1589391;[51.131334983096835, 67.231091440862002, 51.403141004093207, 67.270890487194663];193.195510864;623.427479644;217.146958318;[12.782833745774209, 16.807772860215501, 12.850785251023302, 16.817722621798666];[12.782833745774209, 16.807772860215501, 12.850785251023302, 16.817722621798666];63175921.0153;51392309.1479;22867288.9479;10559646.0479;0.000261339411529;0.0009435641004369999;0.000163601230021;0.00115507280967;0.00012276855035;5.37292396765e-05;0.0019654710607;0.0004037913830149999;1238.67006332;2.7;1.7;2.0802149659;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vennestraat_204_1586821;[68.723500769348831, 56.916247193335892, 68.850736622506076, 46.852602359767339];188.15524292;617.653572785;238.241470294;[17.180875192337208, 14.229061798333973, 17.212684155626519, 11.713150589941835];[17.180875192337208, 14.229061798333973, 17.212684155626519, 11.713150589941835];64323741.3034;50051537.7851;23059161.0504;11585451.7131;0.00025667595955;0.00092672673999;0.000167983749596;0.00118601468706;0.000122652002047;4.89719147304e-05;0.00179144320243;0.00039658595727;1155.58605772;2.7;1.7;2.09074182937;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vennestraat_198_1586823;[52.051974793386719, 78.168854583632509, 52.194066275085177, 77.599967599392016];246.991230011;753.997323273;299.853396149;[12.999363032917948, 19.470013496054147, 13.048516568771294, 19.399991899848004];[12.999363032917948, 19.470013496054147, 13.048516568771294, 19.399991899848004];69300219.0804;65702611.7882;26001115.535;14581579.9315;0.000238243951318;0.0008601781043850001;0.000127968200371;0.00090349313836;0.000105052795994;3.89094841624e-05;0.00142334910318;0.000368593643994;1539.14970732;2.7;1.7;2.04484852297;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vennestraat_157159_1588851;[98.892990995575431, 38.247863728067919, 64.730370865176099, 35.807673132167373];141.9231987;549.981045633;162.279590695;[24.711305571059601, 9.0429786112844557, 16.151160504181721, 4.8266529978220714];[24.711305571059601, 9.0429786112844557, 16.151160504181721, 4.8266529978220714];63347146.9523;37753262.8487;21946881.022;7891499.1571;0.00026063301688;0.000941013667545;0.000222705121512;0.00157236366989;0.000132307167314;7.18953068502e-05;0.00263000455367;0.0004371898904669999;976.632654696;2.7;1.7;2.13215834547;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vennestraat_188_1588823;[81.803080728504071, 49.570703729636989, 82.725412027053977, 45.59564051147737];88.0057678223;483.893872641;114.119240324;[20.447879929487954, 5.991006270270435, 20.681353006763494, 11.398910127869343];[20.447879929487954, 5.991006270270435, 20.681353006763494, 11.398910127869343];69214924.3812;23410583.4369;22449823.9713;5549508.01253;0.000238537543291;0.00086123811613;0.000359147178577;0.00253568472922;0.000136172522709;0.000102236405845;0.00373991328089;0.00040889725951;674.57416155;2.7;1.7;2.23667725855;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vennestraat_172_1588828;[71.026936539275439, 42.655426396358607, 88.034640244103414, 39.523184885647957];129.521137238;411.110045853;162.466070209;[14.519004261954883, 4.3945416969808289, 22.008660061025854, 9.8763813418776536];[14.519004261954883, 4.3945416969808289, 22.008660061025854, 9.8763813418776536];64296316.2755;34454166.6435;20352559.3917;7900567.4751;0.000256785442423;0.000927122027127;0.000244029846294;0.00172292249983;0.000153117497295;7.18127849925e-05;0.00262698581892;0.0004710430158469999;778.713563077;2.7;1.7;2.28680197796;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vennestraat_163165_1588995;[192.10572920929707, 79.926557826944915, 175.05459908078632, 96.332921740378694];229.413047791;1035.92322583;231.066952895;[45.19755328928224, 19.093562895364396, 43.763649770196579, 8.3677839262883786];[45.19755328928224, 19.093562895364396, 43.763649770196579, 8.3677839262883786];144834457.793;61026605.7522;47282344.1751;11236561.888;0.000113994682429;0.000411576996182;0.000137773433187;0.000972720966393;6.43268835589e-05;5.04924690543e-05;0.0018470666495;0.000205529940859;1649.32425253;2.7;1.7;2.22457536843;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
