BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Vijverstraat_28_1587164;[54.64381188063841, 26.605788977053667, 14.576484865945018, 30.405699306905206];67.7046356201;261.641056271;75.5867190308;[12.453305953542426, 6.6514472442634167, 3.2708149671827917, 6.8833187060832435];[12.453305953542426, 6.6514472442634167, 3.2708149671827917, 6.8833187060832435];33643808.8505;18010240.243;11257877.613;3675708.86127;0.000490739859279;0.00177181279762;0.00046683691482;0.00329600594562;0.000264995352425;0.000154354377569;0.00564644249635;0.0008178137431239999;458.454661062;2.7;1.7;2.1824616856;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vijverstraat_50_1586699;[36.6112574077275, 46.059563293983651, 53.604157281326714, 44.79293854134027];125.807727814;327.026954305;150.84643035;[3.8826236795798144, 11.514890823495913, 13.401039320331678, 8.0449046987266168];[3.8826236795798144, 11.514890823495913, 13.401039320331678, 8.0449046987266168];48258957.6867;33466355.4659;15517340.757;7335515.654560001;0.000342120070809;0.00123522210051;0.000251232764165;0.00177377721884;0.000198360528891;7.73444949375e-05;0.00282934147998;0.0006494591102869999;675.026273939;2.7;1.7;2.25367887613;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vijverstraat_42_4753266;[119.88289785288055, 38.93892035214121, 116.63627079659852, 37.812978092907201];141.880584717;400.998926592;148.230030239;[29.970724463220137, 9.3433135676906698, 28.456250213280772, 6.6421447131512519];[29.970724463220137, 9.3433135676906698, 28.456250213280772, 6.6421447131512519];83494279.1721;37741927.0211;24693001.1074;7208282.65393;0.00019774238648;0.0007139474904530001;0.00022277201123;0.00157283593097;0.000133221341082;7.87096983633e-05;0.00287928203081;0.000321563465145;703.825440423;2.7;1.7;2.48122669743;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vijverstraat_30_5213632;[60.715167834873228, 18.378972092665698, 53.893591585297997, 32.479727466894829];87.4697265625;248.024564998;111.321113466;[14.775239200597529, 4.2031577409174021, 12.902154904747041, 4.7538506489154129];[14.775239200597529, 4.2031577409174021, 12.902154904747041, 4.7538506489154129];44101060.2801;23267990.0712;13516040.4159;5413437.816330001;0.000374375534649;0.001351680225;0.000361348142426;0.00255122418144;0.000236551732421;0.00010480618281;0.00383391837547;0.000653165280772;419.187305931;2.7;1.7;2.36714141392;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vijverstraat_1_3893984;[45.476755110724575, 37.392031552828449, 87.925696359994816, 42.644313247867927];118.503696442;407.702895393;148.051329191;[11.216072624471835, 5.9248890019679559, 21.800331157020022, 10.661078311966982];[11.216072624471835, 5.9248890019679559, 21.800331157020022, 10.661078311966982];56886576.2399;31523396.043;18581836.6901;7199592.595210001;0.000290232935645;0.00104788396529;0.000266717614395;0.00188310481656;0.000163608263042;7.8804702614e-05;0.00288275738439;0.000482402741305;709.81877057;2.7;1.7;2.22351552732;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vijverstraat_21_1588731;[67.042478820587874, 44.165811907537361, 54.332063672342343, 39.854478558706155];191.981391907;401.122127881;211.462913288;[16.727850514825253, 7.5673402004545984, 12.969412362787057, 9.7998830642376529];[16.727850514825253, 7.5673402004545984, 12.969412362787057, 9.7998830642376529];54742666.4155;51069339.0306;17996370.2421;10283236.4491;0.000301599448876;0.00108892268107;0.000164635868602;0.00116237766241;0.00016808463205;5.51734618004e-05;0.0020183021971;0.000508415617655;873.657364674;2.7;1.7;2.21205061671;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vijverstraat_49_1588487;[35.860975708201231, 77.202287099242596, 37.183033766137953, 76.913317919837823];84.3481140137;431.298988273;105.270044345;[8.9652439270503077, 19.300571774810649, 5.6006946498540495, 18.736141501371328];[8.9652439270503077, 19.300571774810649, 5.6006946498540495, 18.736141501371328];60543504.528;22437603.9176;19742204.9252;5119180.191819999;0.000272702384007;0.000984590032354;0.000374721161006;0.00264564162648;0.000154201178694;0.000110830588522;0.00405429735637;0.000454888089264;591.282074887;2.7;1.7;2.22668710261;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vijverstraat_4_1588751;[75.791554539678813, 32.998271760852433, 16.521788833211744, 34.985082619511417];94.9565391541;540.122854369;114.4344265;[18.369451071134122, 8.249279759793799, 3.0025930573920681, 8.7462103904607158];[18.369451071134122, 8.249279759793799, 3.0025930573920681, 8.7462103904607158];42722927.9636;25259571.4776;17014008.6606;5564835.21065;0.000386451931267;0.00139528196974;0.000332857784135;0.00235007387104;0.00015348522339;0.000101954816617;0.003729612456219999;0.000623660608936;759.3081811039999;2.7;1.7;1.99677821713;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vijverstraat_24_1586703;[58.139931706429955, 37.77615003585575, 58.58240757405467, 42.103395679233358];201.949939728;359.347788011;215.186380629;[14.534982926607489, 6.7980241606028393, 14.310561456283658, 5.3924065771513057];[14.534982926607489, 6.7980241606028393, 14.310561456283658, 5.3924065771513057];52399134.155;53721091.595;16904337.2113;10464305.0558;0.000315088374783;0.00113762435283;0.00015650919854;0.00110500098119;0.000181612022311;5.42187704184e-05;0.00198337860066;0.000583105914294;652.623271824;2.7;1.7;2.24710754193;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vijverstraat_33_1586717;[1.5674414563450723, 29.911209154175282, 77.782795196420153, 28.647986954104926];102.924617767;339.013711325;123.190019881;[0.13254719989292968, 3.4605476894917491, 19.445698799105038, 7.1619967385262315];[0.13254719989292968, 3.4605476894917491, 19.445698799105038, 7.1619967385262315];36756183.0277;27379175.3834;12994458.789;5990611.22778;0.000449185869177;0.0016217824097;0.000307089051167;0.00216813903603;0.000219994513605;9.470849164399998e-05;0.00346453440715;0.0007923077327889999;559.856493953;2.7;1.7;2.10679603259;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vijverstraat_3_1588747;[28.247700105728189, 33.223875976760567, 46.369117643289037, 35.567406192559758];89.00545501709999;439.874255924;118.994256841;[5.7632544317064873, 4.520435739078275, 10.754089319190527, 8.8918515481399396];[5.7632544317064873, 4.520435739078275, 10.754089319190527, 8.8918515481399396];38221710.1668;23676512.1489;14654649.8321;5786575.33917;0.000431962828165;0.00155959874171;0.0003551133265469999;0.00250720454726;0.000183355633915;9.80479333894e-05;0.00358669463404;0.000799485959623;626.103466992;2.7;1.7;2.02602067065;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vijverstraat_8_1588749;[89.21841116398916, 38.362622710047354, 62.26798375731633, 39.412995264522344];96.3340759277;430.771183428;116.567490768;[22.30460279099729, 9.5906556775118386, 15.132297502467136, 5.455975974731162];[22.30460279099729, 9.5906556775118386, 15.132297502467136, 5.455975974731162];61103844.3027;25626012.6822;19865841.3361;5668564.05791;0.000270201624944;0.0009755610594119998;0.000328098057801;0.00231646880297;0.000153599412472;0.000100089149141;0.00366136441371;0.0004559205317280001;618.380213316;2.7;1.7;2.23221297458;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vijverstraat_31_1588733;[74.486838715041003, 36.451784839776046, 48.021243229128842, 35.67428543911911];91.6326179504;388.014752199;109.894281136;[17.955316606552319, 5.5269681812263247, 11.695594973195753, 8.9185713597797776];[17.955316606552319, 5.5269681812263247, 11.695594973195753, 8.9185713597797776];51874686.0119;24375368.8099;17156908.7453;5344052.3435;0.000318273888292;0.00114912562687;0.000344932011317;0.00243532146676;0.000175476043133;0.000106166952893;0.00388369675003;0.000542635953314;566.519092462;2.7;1.7;2.20161534096;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vijverstraat_13_1588727;[3.5022683337365437, 25.217118786248058, 76.766742814587914, 27.785426829532692];100.151065826;324.922069459;119.738757079;[0.87517036974046258, 2.7268646308946223, 19.191685703646979, 6.9463567073831731];[0.87517036974046258, 2.7268646308946223, 19.191685703646979, 6.9463567073831731];35520077.4504;26641377.5011;12522277.4538;5822779.66391;0.000464817624455;0.00167822075178;0.000315593478223;0.00222818279275;0.000228784326427;9.74383002888e-05;0.0035643936258;0.0008045816243330001;539.2379846590001;2.7;1.7;2.11016468037;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vijverstraat_45_1588723;[13.115439493469141, 28.798231746689055, 65.141549943622721, 27.569124441868027];82.2997970581;331.837205733;103.100739172;[3.2629565263377645, 3.3404727973486783, 16.28538748590568, 6.8922811104670068];[3.2629565263377645, 3.3404727973486783, 16.28538748590568, 6.8922811104670068];35880628.2408;21892727.1876;12696677.0995;5013688.9845;0.000460146848882;0.00166135694955;0.000384047401594;0.00271148762849;0.00022499347215;0.000113162534645;0.004139602353209999;0.000803473392952;479.548816968;2.7;1.7;2.10569394661;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vijverstraat_57_1589129;[80.516922537859912, 34.109499732601279, 39.559068358847099, 37.678714035215641];77.270362854;495.495414992;107.168401418;[20.129230634464978, 4.932758246762929, 8.988295931396177, 9.4196785088039103];[20.129230634464978, 4.932758246762929, 8.988295931396177, 9.4196785088039103];51136428.3206;20554837.7289;18390138.4297;5211495.455709999;0.000322868815112;0.00116571557772;0.000409044581189;0.00288797506971;0.000153416258693;0.000108867360286;0.00398248044057;0.000550456406294;596.022709778;2.7;1.7;2.08721691233;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vijverstraat_27_1588734;[51.654898508550872, 28.965631251977584, 51.306378054939628, 29.356236808048468];95.8344993591;359.021364838;115.047187193;[12.849845273374674, 3.6664554234597322, 12.786803978474143, 7.339059202012117];[12.849845273374674, 3.6664554234597322, 12.786803978474143, 7.339059202012117];42985839.7963;25493119.3591;14707201.0295;5594633.16906;0.000384088297429;0.00138674808645;0.000329808403271;0.00232854434512;0.00019936401885;0.000101411788095;0.00370974791221;0.0006530269301719999;561.435819886;2.7;1.7;2.14922993565;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vijverstraat_6_1588750;[55.560328206516928, 27.900549384029365, 56.136914803784521, 24.667434924137677];94.391872406;344.386626244;113.043980908;[13.882469934891933, 6.9751373460073411, 13.821717576650691, 2.9384735170709559];[13.882469934891933, 6.9751373460073411, 13.821717576650691, 2.9384735170709559];43780636.6071;25109363.3907;14701021.0156;5497219.18961;0.000377115530984;0.00136157296243;0.000334848990769;0.00236413237562;0.000202379071471;0.000103208865035;0.00377548684209;0.000636090383424;543.1367100059999;2.7;1.7;2.17697911243;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vijverstraat_10_1588756;[53.675859638813719, 29.684263880633953, 80.727913951679824, 25.079450001873035];93.1692466736;389.837790818;114.314631907;[13.41896490970343, 7.4210659701584882, 20.181978487919956, 3.8704072179664877];[13.41896490970343, 7.4210659701584882, 20.181978487919956, 3.8704072179664877];50417688.2846;24784130.3698;16841327.7239;5559009.71573;0.0003274715399040001;0.00118233368308;0.0003392430908309999;0.00239515601464;0.000177382339572;0.000102061658896;0.0037335208571;0.00053301474083;572.085789885;2.7;1.7;2.18524666394;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vijverstraat_40_1586603;[54.821041717107398, 40.51181046866283, 49.768005096426037, 46.323450742745308];131.513832092;327.879233562;144.935999727;[13.484388073337119, 8.3511500606726337, 5.6069953575425959, 6.4982845778680112];[13.484388073337119, 8.3511500606726337, 5.6069953575425959, 6.4982845778680112];51019185.2787;34984247.2316;16171512.5888;7048097.14387;0.000323610773687;0.00116839441391;0.000240332311127;0.00169681681386;0.000192500328088;8.04985717175e-05;0.00294472086505;0.000705001268465;655.470327465;2.7;1.7;2.28382565418;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vijverstraat_11_1589193;[28.292016262776613, 15.646038896103647, 27.719491399106126, 70.230236076067044];86.24691009520001;347.034434856;107.317177577;[3.1004965713020352, 3.8025325757112229, 6.9298728497765314, 17.557559019016761];[3.1004965713020352, 3.8025325757112229, 6.9298728497765314, 17.557559019016761];37816509.0196;22942706.3126;13346318.888;5218730.29606;0.000436591278491;0.00157630972894;0.000366471368969;0.0025873956679;0.000214479151829;0.000108716435075;0.00397695944052;0.000762279973512;521.2464537469999;2.7;1.7;2.10885793565;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Vijverstraat_7A_1588452;[37.525483792202799, 37.548834911982865, 36.376095404553247, 36.802660035503507];103.812232971;355.8775400869999;143.115318831;[9.3813709480506997, 9.3872087279957164, 9.0940238511383118, 9.2006650088758768];[9.3813709480506997, 9.3872087279957164, 9.0940238511383118, 9.2006650088758768];39513012.4066;27615291.6096;13857122.9045;6959559.19714;0.000417846097155;0.00150863038406;0.000304463378807;0.00214960101679;0.000207583914254;8.15226564409e-05;0.00298218294156;0.00064560738264;584.457788929;2.7;1.7;2.1165845198;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
