BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Watertorenstraat_14_1589609;[70.706684576829957, 55.609291854174351, 62.072967781346286, 35.269735123250101];250.558162689;463.6914094380001;213.005705239;[17.676671144207489, 4.9279497348005687, 15.425902613775852, 8.6267206598386661];[17.676671144207489, 4.9279497348005687, 15.425902613775852, 8.6267206598386661];59610421.0482;66651458.4053;19948295.9078;10358260.9258;0.000276971001557;0.00100000184588;0.000126146451876;0.000890631058094;0.000149542212349;5.47738425852e-05;0.00200368371362;0.000512853260544;741.4885288419999;2.7;1.7;2.18234380621;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Watertorenstraat_15_1589585;[42.552132511624457, 38.806175645477104, 54.09643472194027, 35.402194523867294];229.316150665;433.102771753;192.209857879;[10.029851908681017, 5.5369857425626492, 13.524108680485067, 8.8505486309668235];[10.029851908681017, 5.5369857425626492, 13.524108680485067, 8.8505486309668235];45537485.9936;61000829.9617;16270156.6012;9346979.03134;0.000362566304676;0.00130904308355;0.000137831649102;0.0009731319878799999;0.000174277206438;6.07000135023e-05;0.0022204691643;0.0006306635997130001;609.845938147;2.7;1.7;2.09449513729;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Watertorenstraat_2_1590991;[44.670075093034114, 58.971426919792719, 61.538051104255935, 35.616688909522196];131.618206024;453.730079917;161.352148158;[11.147413082868027, 5.8108865068618032, 14.175057713585479, 8.3349069777091369];[11.147413082868027, 5.8108865068618032, 14.175057713585479, 8.3349069777091369];53517031.2534;35012011.9418;18398614.9188;7846398.525780001;0.0003085066124609999;0.00111386094643;0.000240141726336;0.00169547122918;0.000158770641655;7.23085567913e-05;0.00264512166318;0.0006062673448539999;761.276296472;2.7;1.7;2.14254558142;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Watertorenstraat_12_1589546;[43.679594480395792, 37.990510486947954, 69.78216915003614, 35.563617901581814];117.897216797;448.899772634;150.843383149;[10.919898620098948, 4.3680905999065383, 17.17376283611976, 8.7525529191521443];[10.919898620098948, 4.3680905999065383, 17.17376283611976, 8.7525529191521443];49844236.3116;31362065.2271;17479908.0739;7335367.47216;0.0003312390607759999;0.0011959362906;0.000268089646818;0.00189279176908;0.000164563821555;7.73460573804e-05;0.00282939863575;0.000580582877863;673.532071008;2.7;1.7;2.11660946033;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Watertorenstraat_8_4754454;[39.92136584047234, 50.057180883626081, 40.020013164175651, 34.984579625405445];190.985748291;406.105316638;148.563308778;[9.9802666442162238, 9.504225923158808, 9.9928310271211291, 8.7461449063513612];[9.9802666442162238, 9.504225923158808, 9.9928310271211291, 8.7461449063513612];43971977.4858;50804485.9588;15552502.8592;7224489.666130001;0.0003754745400350001;0.00135564817619;0.000165494145478;0.00116843734963;0.000183746164612;7.85331254701e-05;0.00287282281208;0.000626011210655;536.652360014;2.7;1.7;2.10625702928;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Watertorenstraat_18_5213868;[32.68565396286003, 11.551352424055388, 33.389307561484841, 11.210542640283531];76.8843727112;88.8368565887;77.10870990020001;[7.7011689949413773, 2.8878381060138469, 8.3473268903712103, 2.3126990309052218];[7.7011689949413773, 2.8878381060138469, 8.3473268903712103, 2.3126990309052218];23677160.4016;20452159.7492;8214982.91478;3749721.8016;0.000697311575412;0.00251763852045;0.000411098147742;0.00290247385367;0.000511903033448;0.000151307692524;0.005534991611810001;0.00112608982096;206.321143956;2.7;1.7;2.7;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Watertorenstraat_4_1589553;[49.92323263999527, 46.56890935531132, 38.913959106447081, 42.491563785106564];89.9500160217;434.364721161;117.905931282;[10.571778815357767, 9.381957513141078, 9.5982351921803488, 10.622890946276641];[10.571778815357767, 9.381957513141078, 9.5982351921803488, 10.622890946276641];47414009.3239;23927776.6371;16723770.3708;5733651.12241;0.000348216872109;0.00125723455856;0.000351384297745;0.00248087650697;0.000171240766974;9.89529605647e-05;0.00361980146252;0.000595604273975;581.2402720580001;2.7;1.7;2.10955827262;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Watertorenstraat_6_1589583;[59.997654051919234, 36.508615948486508, 48.736049524875924, 34.557343598631967];72.9662475586;422.042583046;99.48842129270001;[14.999413512979809, 7.2058177204763076, 12.184012381218981, 8.6393358996579916];[14.999413512979809, 7.2058177204763076, 12.184012381218981, 8.6393358996579916];47920937.6313;19409891.7471;16680749.7405;4838025.46834;0.000344533284135;0.00124393499019;0.000433173203631;0.00305833024195;0.000173443443621;0.000117271344915;0.00428990687508;0.000556102945106;498.1332852580001;2.7;1.7;2.12602256347;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Watertorenstraat_17_1589776;[37.458011620966218, 52.990465742233766, 35.667629028256421, 32.882639512599994];196.635696411;398.316235528;154.248862786;[9.1550876567454083, 3.716240346427548, 8.9078162146506674, 8.2206598781499984];[9.1550876567454083, 3.716240346427548, 8.9078162146506674, 8.2206598781499984];42376992.5568;52307439.5169;15079129.0517;7500972.64509;0.0003896066479659999;0.00140667205211;0.000160738989862;0.00113486455218;0.000188635239116;7.56384245421e-05;0.00276693166346;0.000797615868261;551.602639882;2.7;1.7;2.09917716558;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Watertorenstraat_11_1589708;[54.327796222716479, 53.255408194446979, 46.832158471714386, 33.703617861059527];123.419754028;426.191597327;146.12573337;[13.46192866873869, 4.6308719187652487, 11.486565129267062, 8.2423561410316744];[13.46192866873869, 4.6308719187652487, 11.486565129267062, 8.2423561410316744];50138236.0075;32831125.9698;17251501.8172;7105952.737410001;0.000329296747067;0.00118892358066;0.000256093714177;0.00180809695585;0.00016921755941;7.98431645093e-05;0.00292074539269;0.00063266077313;714.291550708;2.7;1.7;2.14139533001;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
