;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
HubertDecreeftstraat_21_1597519;[51.79709425524841, 58.660733220713709, 53.253664573088869, 46.029183937467394];107.637485504;305.525847495;119.50601876;[9.4112331841553463, 14.448390673288962, 13.313416143272217, 11.273354877405605];[9.4112331841553463, 14.448390673288962, 13.313416143272217, 11.273354877405605];39272730.1682;28632854.3877;29165343.0245;4219855.19788;0.000220752762556;0.0017894255666300004;0.00029364326994300003;0.00207320786532;0.00017674337996400005;4.03254206138e-05;0.0037889298116;0.000493913321143;547.906723887;2.7;1.7;2.38649077551;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
HubertDecreeftstraat_9_1596298;[36.771596154976734, 63.359318164152732, 33.102767717204152, 67.388507922361256];113.252922058;286.266171892;123.57950940299999;[4.6708631373527787, 15.839829541038183, 8.275691929301038, 16.847126980590314];[4.6708631373527787, 15.839829541038183, 8.275691929301038, 16.847126980590314];37565346.3256;30126627.4577;27368349.8953;4363693.48183;0.000230786203929;0.00187075680935;0.00027908351182;0.00197041169;0.000189349556961;3.89961935898e-05;0.00366403718008;0.000524358502312;503.42595925800003;2.7;1.7;2.40082395217;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
HubertDecreeftstraat_11_1596297;[30.786451077286113, 73.190975598145101, 28.194535945897609, 29.145437722256947];156.184909821;258.226313002;166.26209224;[3.5298130217250785, 17.227417737658168, 7.0486339864744023, 7.0110509183694196];[3.5298130217250785, 17.227417737658168, 7.0486339864744023, 7.0110509183694196];30205751.4849;41547048.0335;24488793.8636;5870850.3674300015;0.000287016983573;0.00232656444483;0.000202369250962;0.0014287864417000002;0.000205634762689;2.89851427194e-05;0.00272341043617;0.0006872613307399999;545.972331944;2.7;1.7;2.32471325431;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
HubertDecreeftstraat_3_1595703;[28.166406898335616, 30.689769852605743, 25.615133958033653, 33.008668525317141];217.11228561400003;385.231505113;160.39991085399998;[3.6188676560073203, 7.6721807782205449, 6.4037834895084131, 7.6698884271127987];[3.6188676560073203, 7.6721807782205449, 6.4037834895084131, 7.6698884271127987];21997447.5763;57754456.3648;35290953.7939;5663851.95136;0.0003941168014;0.00319471735029;0.000145579155608;0.00102783166286;0.000124528494417;3.00444710147e-05;0.00282294369577;0.000943370140127;521.979186488;2.7;1.7;2.00495942745;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
HubertDecreeftstraat_23_1597517;[32.069905398050516, 36.029686573885108, 31.053694616467681, 14.802610782791767];75.7835922241;203.01625351099997;86.7162221452;[4.1036921592892392, 9.0074216434712771, 7.7634236541169201, 3.5068284126617368];[4.1036921592892392, 9.0074216434712771, 7.7634236541169201, 3.5068284126617368];21337583.6016;20159339.0162;19122899.8947;3062020.67942;0.00040630484874;0.00329351386484;0.000417069477499;0.00294463319831;0.000256865393681;5.55735749689e-05;0.00522162873273;0.000981418347098;433.301710416;2.7;1.7;2.26131415786;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
HubertDecreeftstraat_18_1595862;[31.893416689706001, 45.530308180523591, 34.447454486057325, 10.376881187999075];75.291683197;215.81864770200002;86.2308156132;[7.9733541724265002, 11.382577045130898, 4.1968307609165683, 2.588169170192685];[7.9733541724265002, 11.382577045130898, 4.1968307609165683, 2.588169170192685];22890243.2623;20028485.3505;20339979.6131;3044880.57804;0.000378744934179;0.00307011273881;0.000419794350051;0.00296387160008;0.000241990071726;5.58864071751e-05;0.00525102208447;0.00091535835719;421.408528456;2.7;1.7;2.26643882188;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
HubertDecreeftstraat_7_1595705;[29.884641986783038, 49.382098554109533, 26.534284860146105, 63.106733063374037];94.2707748413;255.835347881;104.380430044;[3.9658076403049245, 12.188560091290942, 6.6335712150365262, 15.776683265843509];[3.9658076403049245, 12.188560091290942, 6.6335712150365262, 15.776683265843509];31627002.203;25077149.9948;24353914.3002;3685758.29775;0.00027411904619;0.00222201354979;0.000335279128289;0.00236716927304;0.000209590413677;4.61689080069e-05;0.004337977118479999;0.0006204733358940001;485.539359576;2.7;1.7;2.36022056711;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
HubertDecreeftstraat_16_1595861;[23.046328793459573, 46.619873997751228, 32.168089247637653, 43.190575481209954];66.4129333496;237.946124539;84.236218921;[5.7615821983648932, 11.654968499437807, 4.285918222286714, 10.797643870302489];[5.7615821983648932, 11.654968499437807, 4.285918222286714, 10.797643870302489];27155068.8153;17666632.0395;22528901.9837;2974449.73861;0.000319261340735;0.00258793774054;0.000475916686973;0.0033601118079699998;0.000222211252471;5.72097196922e-05;0.0053753589957700005;0.0007362534384419999;378.623758333;2.7;1.7;2.3094861507;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
HubertDecreeftstraat_12_1596286;[25.379005990517214, 9.6912073180524523, 24.554705530107682, 42.320598588990222];82.4512634277;188.361487276;92.5002447936;[6.3447514976293036, 2.3847630592179265, 2.6345048052001516, 10.56434552675821];[6.3447514976293036, 2.3847630592179265, 2.6345048052001516, 10.56434552675821];19088709.3262;21933019.0477;17704289.874;3266259.24658;0.000454172334524;0.00368152850112;0.000383341890687;0.00270650651394;0.000275213538347;5.20985699352e-05;0.00489512128489;0.00109120401421;430.005688981;2.7;1.7;2.24122272499;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
HubertDecreeftstraat_17_1597790;[24.918850879519688, 67.45501586941981, 24.945736948445305, 66.040294359809891];130.739219666;279.93104979099996;139.438472828;[3.1446902448723284, 16.863753967354953, 6.2364342371113262, 16.510073589952473];[3.1446902448723284, 16.863753967354953, 6.2364342371113262, 16.510073589952473];34333081.8697;34778191.0912;26632942.1772;4923686.44233;0.000252513412884;0.00204687792668;0.000241756247993;0.00170687022701;0.00019127916558400005;3.4560981446999986e-05;0.00324730978448;0.0005596619490930001;449.94280814800004;2.7;1.7;2.35501807747;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
