;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
AdolfGreinerstraat_1_1591333;[80.732786776146099, 58.853377168558538, 79.721154911508592, 68.373325353535037];167.30111694299998;622.282878096;189.599214191;[20.183196694036525, 14.713344292139634, 19.930288727877148, 17.093331338383759];[20.183196694036525, 14.713344292139634, 19.930288727877148, 17.093331338383759];53866539.056;44504091.6545;57993382.6498;6694903.217569998;0.00016094525153600002;0.0013046248871;0.000188922965903;0.00133385171377;8.13108502266e-05;2.54174601565e-05;0.00238819511504;0.00033270670478900005;1225.95257172;2.7;1.7;2.16229882636;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
AdolfGreinerstraat_8_1591351;[126.35942478919175, 75.524781746968102, 84.626366005946181, 67.973502625998435];279.298446655;983.7435127289999;305.30558212200003;[30.0700415391698, 10.726798781508615, 18.738055284373043, 15.335374346082713];[30.0700415391698, 10.726798781508615, 18.738055284373043, 15.335374346082713];66375095.6628;74296716.5791;90668810.7581;10780589.6391;0.000130614707085;0.00105876498907;0.00011316576798200002;0.000798983611339;4.97287702707e-05;1.57846130388e-05;0.00148310395768;0.000319597081823;1573.21003747;2.7;1.7;2.06034196981;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
AdolfGreinerstraat_4_1594348;[46.466901478640793, 82.68776386033224, 47.561813209160221, 76.09419512765777];96.1573066711;575.898762665;114.080113376;[11.616725369660198, 20.67194096508306, 10.339367823142435, 18.869105890830621];[11.616725369660198, 20.67194096508306, 10.339367823142435, 18.869105890830621];47337338.4738;25578989.9525;53535247.48800001;4028262.0440300005;0.000183144299136;0.00148457073633;0.000328701211651;0.0023207272465900004;8.72066014144e-05;4.22433878244e-05;0.0039691397891;0.000389096464855;708.6465311769998;2.7;1.7;2.13898457518;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
AdolfGreinerstraat_2_2983530;[53.569427322340232, 43.738748166945413, 91.043818141807236, 49.412714951254081];107.77201461799999;475.61840731300003;124.542381421;[13.392356830585058, 5.6714981454760931, 22.760954535451809, 12.353142533215729];[13.392356830585058, 5.6714981454760931, 22.760954535451809, 12.353142533215729];44520068.4118;28668640.7358;44505499.2175;4397693.27979;0.000194733835482;0.0015785157108;0.000293276722384;0.0020706199317200003;0.000107640824097;3.86947030995e-05;0.00363570948282;0.0004416615779780001;608.354209426;2.7;1.7;2.19990644796;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
AdolfGreinerstraat_9_1591355;[58.713685336104099, 41.875975218038874, 37.13863173678763, 39.396232254591204];100.09816741899999;344.76243348099996;122.62712167;[14.678421334026025, 10.468993804509719, 9.2830827220479915, 7.8008365122337189];[14.678421334026025, 10.468993804509719, 9.2830827220479915, 7.8008365122337189];33165544.1937;26627305.8941;32308983.6921;4330063.89257;0.00026140272649000004;0.00211893485069;0.000315760258422;0.0022293603100100004;0.000149126585977;3.92990588606e-05;0.0036924940501;0.0005666010829880001;643.2627099819999;2.7;1.7;2.21375819215;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
AdolfGreinerstraat_10_1591350;[88.878065957833613, 21.236289552434027, 48.759120143633112, 40.811800955218885];169.660312653;485.935047727;185.237521592;[18.12211259068205, 4.2952925815323724, 9.7341841219185472, 10.202950238804721];[18.12211259068205, 4.2952925815323724, 9.7341841219185472, 10.202950238804721];37389914.7122;45131665.8393;45034857.8053;6540888.28696;0.000231869041277;0.00187953430691;0.00018629591516;0.00131530396273;0.00010240801760600002;2.60159520112e-05;0.00244442871647;0.000564952896562;912.3374358980001;2.7;1.7;2.11092997417;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
AdolfGreinerstraat_12_1594427;[31.987022118243296, 26.973064063067834, 74.940500870545932, 30.209060539011517];102.77465057399999;288.547376473;108.605850082;[7.9967555295608239, 4.1877258796904382, 15.59036559296112, 7.5522651347528793];[7.9967555295608239, 4.1877258796904382, 15.59036559296112, 7.5522651347528793];30728583.6546;27339282.322;27201069.3592;3834961.33284;0.000282133526725;0.00228697906236;0.0003075371508;0.00217130275125;0.000181117736428;4.4372660117e-05;0.00416920374736;0.000677335857482;547.815676855;2.7;1.7;2.26874420276;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
AdolfGreinerstraat_6_1591352;[67.319721937525742, 45.998199301571205, 92.930285438382086, 51.378472411104077];235.49251174900002;530.689880993;181.612048405;[16.82881720164956, 5.5834780700648325, 23.232571359595521, 12.611985082747182];[16.82881720164956, 5.5834780700648325, 23.232571359595521, 12.611985082747182];48239107.6713;62643815.644;49581378.0228;6412869.86555;0.000179720647754;0.00145681856126;0.00013421668051;0.000947609246223;9.60403959433e-05;2.65353015657e-05;0.0024932261990500003;0.000410738292366;646.134153195;2.7;1.7;2.18545617378;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
AdolfGreinerstraat_2A_1593923;[50.353918355291313, 30.583335464898347, 50.668344641620777, 31.277563740056802];112.628635406;388.140433015;148.943853139;[12.286724267674934, 7.6458338662245868, 12.602270379765597, 7.8193909350142006];[12.286724267674934, 7.6458338662245868, 12.602270379765597, 7.8193909350142006];30498931.3494;29960559.7657;36005685.2195;5259329.19011;0.000284257949186;0.00230419966618;0.000280630437347;0.00198133343927;0.000128579386892;3.23553498237e-05;0.00304007119196;0.000592957071617;587.730162565;2.7;1.7;2.11965007597;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
AdolfGreinerstraat_11_1594422;[53.812978820081419, 28.651259813052551, 52.582665585428188, 30.218967174409123];91.96008300780001;260.999925958;96.5031875924;[12.777483976762831, 7.1628149532631378, 12.639355151178563, 3.5615926085550456];[12.777483976762831, 7.1628149532631378, 12.639355151178563, 3.5615926085550456];30945079.8835;24462478.4192;24774231.87;3407606.42851;0.00028015968;0.00227097902796;0.000343703726422;0.00242664941408;0.000203929402161;4.99375263412e-05;0.00469207213195;0.0006620778745419999;515.0854262280001;2.7;1.7;2.33320275202;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
