BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
GustaveFrancottestraat_19_1599477;[34.182577639378017, 28.869920374662133, 48.566418538898269, 30.56892148097608];73.2880554199;228.735216574;86.4274256331;[8.381981387232905, 7.2174800936655332, 12.141604634724567, 3.7916294304817821];[8.381981387232905, 7.2174800936655332, 12.141604634724567, 3.7916294304817821];26081978.3666;19495496.4747;21684878.4059;3051823.03854;0.000326787249253;0.00277907626005;0.0004312711400350001;0.00304490111344;0.000231947800865;5.57592735998e-05;0.00523907676099;0.000758841557224;404.5762745230001;2.7;1.7;2.32162635104;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
GustaveFrancottestraat_7_1596243;[71.572960704328949, 37.36677608338708, 46.044356712541401, 40.362778608627934];115.975147247;394.226159829;130.109270614;[17.473143667212739, 9.34169402084677, 11.471235922789061, 4.8246471597770704];[17.473143667212739, 9.34169402084677, 11.471235922789061, 4.8246471597770704];35833113.1746;30850771.8122;36871853.5915;4594264.68714;0.00023785982323;0.00202281634142;0.000272532727589;0.00192416122632;0.000129689086002;3.70391014389e-05;0.00348015106849;0.0005550433712059999;607.244670126;2.7;1.7;2.19551981074;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
GustaveFrancottestraat_10_1597227;[61.850450352815159, 44.938439523045837, 72.141931324042133, 40.958549280838504];152.764846802;324.220867673;164.001574498;[15.198101924644272, 6.0000537730218317, 17.565077192719869, 10.239637320209626];[15.198101924644272, 6.0000537730218317, 17.565077192719869, 10.239637320209626];40335023.6083;40637270.4969;30922788.2495;5791029.63836;0.000211311589854;0.00179704386931;0.000206899845571;0.00146077377238;0.000166185209134;2.93846597947e-05;0.0027609485978;0.000488304454185;681.470091485;2.7;1.7;2.37820856831;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
GustaveFrancottestraat_11_1599033;[66.403997927821564, 25.886842102671292, 71.208329864012569, 27.212565136087285];100.42552948;274.441402694;113.524901376;[16.600999481955391, 6.4717105256678229, 17.802082466003142, 3.2496998094613678];[16.600999481955391, 6.4717105256678229, 17.802082466003142, 3.2496998094613678];34982874.8794;26714388.105;26221417.6233;4008657.05452;0.000243640866991;0.00207197970846;0.000314730959105;0.00222209315406;0.00019720083125;4.24499859853e-05;0.003988551512989999;0.000542291107581;470.291353625;2.7;1.7;2.3949087607;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
GustaveFrancottestraat_17_1595844;[96.323925241180035, 39.970554513573653, 104.81020866323726, 39.67658589831796];150.902130127;448.526132104;165.272671464;[24.080981310295009, 8.5198324680193469, 25.613957374158709, 6.1284572931604613];[24.080981310295009, 8.5198324680193469, 25.613957374158709, 6.1284572931604613];51504623.9096;40141765.6542;42541679.3136;5835913.11114;0.00016548529663;0.00140732620475;0.000209453790913;0.00147880537778;0.000118431124805;2.91586650698e-05;0.00273971439523;0.000371885594952;740.9153203610001;2.7;1.7;2.32600872997;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
GustaveFrancottestraat_29_1599035;[54.349119364139476, 27.518837072455444, 48.888562899682128, 31.750139428184475];73.8501167297;248.281736584;86.8892545932;[13.587279841034869, 6.879709268113861, 12.222140724920532, 4.2046927297077792];[13.587279841034869, 6.879709268113861, 12.222140724920532, 4.2046927297077792];29809125.8502;19645011.484;23620554.6416;3068130.59659;0.000285927806415;0.00243159786899;0.000427988805049;0.00302172686289;0.000215633258404;5.54629049928e-05;0.005211230309970001;0.000648572528648;409.000695703;2.7;1.7;2.35452522203;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
GustaveFrancottestraat_38_1597231;[50.965616455811897, 37.275526802069109, 70.730838309427241, 38.706097011187396];112.069152832;403.409417079;129.360031527;[12.64558189544508, 4.5691665101404286, 17.262248053667882, 9.6765242527968489];[12.64558189544508, 4.5691665101404286, 17.262248053667882, 9.6765242527968489];36260733.9722;29811730.7308;37708368.0419;4567808.44262;0.000235054755704;0.00199896138201;0.000282031428035;0.00199122484565;0.000126521395837;3.7253627844e-05;0.00350030772103;0.000541934582017;598.968275737;2.7;1.7;2.19001850281;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
GustaveFrancottestraat_22_1599752;[48.970845555430465, 29.325261175617648, 45.361469549211911, 29.113172125746345];56.73160552979999;238.497181206;65.4394845786;[12.242711388857616, 5.3660604282932187, 11.340367387302978, 7.2782930314365863];[12.242711388857616, 5.3660604282932187, 11.340367387302978, 7.2782930314365863];28023236.0944;15091283.4196;22655994.5524;2310721.6859;0.000304149668396;0.0025865609043;0.000557132535149;0.00393351958694;0.00022362366177;7.36425493482e-05;0.00691936863596;0.000660502782418;335.74040436;2.7;1.7;2.34055578197;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
GustaveFrancottestraat_5_1597153;[54.236435778365212, 48.916832400753357, 64.068348363013286, 49.581624076471392];124.659339905;652.623629413;170.604858872;[13.268935668530974, 12.229208100188339, 16.009991547976504, 6.9171557985691354];[13.268935668530974, 12.229208100188339, 16.009991547976504, 6.9171557985691354];39768924.7534;33160870.5911;59965573.9255;6024197.006680001;0.000214319547695;0.00182262425608;0.000253547172928;0.00179011762553;7.42264621732e-05;2.82473225221e-05;0.00265408570506;0.0004941285687830001;908.806861755;2.7;1.7;2.03220256032;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
GustaveFrancottestraat_6_1599050;[5.5940920918801265, 39.222304296588433, 38.281534090381399, 40.316516986100396];76.7171516418;223.76078383;92.48987248280001;[1.3700439609778936, 7.0938672312437179, 7.140638087006991, 10.079129246525099];[1.3700439609778936, 7.0938672312437179, 7.140638087006991, 10.079129246525099];22638314.1724;20407676.9511;21054833.8277;3265892.9918;0.000376497026262;0.00320181999162;0.0004119942220930001;0.00290880040218;0.000232383850014;5.21044125485e-05;0.00489567025007;0.000931654699216;436.551558381;2.7;1.7;2.2515463673;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
