;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
HubertGoffinstraat_3_1597496;[24.823763137977583, 52.853408435617283, 24.417849784218404, 28.430740563758608];68.5277252197;260.465779622;82.8405709317;[2.8642410666533631, 13.195117803077046, 6.1044624460546011, 6.3377423814186518];[2.8642410666533631, 13.195117803077046, 6.1044624460546011, 6.3377423814186518];24440195.0353;18229191.8893;24376016.578;2925168.2674;0.00035472563395;0.00287541189146;0.000461229715572;0.00325641746949;0.000196628992241;5.81735545542e-05;0.00546591980299;0.000839544105224;418.580163174;2.7;1.7;2.20112441685;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
HubertGoffinstraat_12_1595662;[26.566937375234755, 109.98544392873148, 27.969738111256014, 110.79056964124368];155.343696594;437.00858139;170.337295779;[6.6417343438086887, 27.496360982182871, 3.888840734270258, 27.676341617767427];[6.6417343438086887, 27.496360982182871, 3.888840734270258, 27.676341617767427];51550710.8878;41323275.2864;41466873.9682;6014749.13516;0.00016817544372200002;0.00136323294527;0.000203465115771;0.00143652356962;0.000121687031915;2.82916929635e-05;0.00265825470034;0.00036418761190199986;745.36064746;2.7;1.7;2.32999378223;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
HubertGoffinstraat_15_1597155;[37.950889874140103, 65.51862649619467, 36.156556095045858, 88.426923833521514];117.94470977799999;414.583284995;134.787098237;[4.8844872782178763, 16.238784380858807, 8.9131334363241166, 22.106730958380378];[4.8844872782178763, 16.238784380858807, 8.9131334363241166, 22.106730958380378];42701606.3792;31374698.9262;39004181.2506;4759442.60382;0.00020302664028;0.00164573732449;0.00026798169474000005;0.00189202959565;0.000125368913435;3.57536480527e-05;0.00335937135728;0.000458896829047;615.117404013;2.7;1.7;2.25007764315;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
HubertGoffinstraat_14_1597494;[28.384881782419068, 61.003584744751905, 25.36666064037269, 60.771502367623938];94.9325485229;336.001849262;110.452958591;[7.0962204456047671, 15.168226486547146, 2.7054966929454718, 15.192875591905985];[7.0962204456047671, 15.168226486547146, 2.7054966929454718, 15.192875591905985];32866347.582;25253189.6837;31517298.769;3900184.244;0.000263782388843;0.00213822443333;0.00033294190142;0.00235066776382;0.000153415848047;4.36306146423e-05;0.00409948201408;0.000595782872272;540.9534266430001;2.7;1.7;2.22239780799;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
HubertGoffinstraat_8_1595660;[30.050698787465443, 51.019663564463706, 24.522248085966229, 25.054305236867975];66.1680412292;276.527363062;81.6470325833;[6.3229300498740475, 12.754915891115926, 3.6209468574209716, 6.1986960607017014];[6.3229300498740475, 12.754915891115926, 3.6209468574209716, 6.1986960607017014];24462880.3758;17601487.8159;25799175.9044;2883023.45281;0.000354396683651;0.00287274541487;0.000477678084839;0.00337254779504;0.00018356541591900004;5.90239512683e-05;0.00554582209322;0.0008280414920589997;405.05094882699996;2.7;1.7;2.17245565223;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
HubertGoffinstraat_2_1595842;[28.713019834199184, 76.595239871010449, 29.151722143694666, 50.956555448085808];61.6509361267;334.39468671099996;75.5681910245;[7.1782549585497959, 19.148809967752612, 4.8322131824731871, 12.681127736679993];[7.1782549585497959, 19.148809967752612, 4.8322131824731871, 12.681127736679993];34718175.6888;16399884.0061;31474883.3397;2668374.58897;0.000249712535459;0.00202417396767;0.000512677101073;0.00361965114514;0.00015563470947199998;6.37719443468e-05;0.005991938023229999;0.0005458051614759999;412.75361909599997;2.7;1.7;2.25448410117;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
HubertGoffinstraat_6_1595661;[28.252883583429355, 56.395340265046386, 25.214326075641129, 56.10936598805381];76.31912231449999;322.041938495;92.957619614;[7.0632208958573388, 13.956636047047043, 3.5736784395080821, 13.93345117556377];[7.0632208958573388, 13.956636047047043, 3.5736784395080821, 13.93345117556377];31077282.6418;20301796.4048;30185011.6693;3282409.52531;0.00027896788074;0.00226131828333;0.0004141429074840001;0.0029239707531;0.00015972605061000006;5.18422318946e-05;0.0048710360595200005;0.000621079454415;452.513126409;2.7;1.7;2.21537360844;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
HubertGoffinstraat_10_1595663;[27.536668785935262, 70.79949092575211, 24.987785065196121, 97.025910812384936];173.15485000599998;373.021379637;187.440570673;[6.5481423510307479, 17.699872731438028, 2.2850882689487864, 24.245320172744275];[6.5481423510307479, 17.699872731438028, 2.2850882689487864, 24.245320172744275];41259237.7728;46061254.4368;35247157.9364;6618679.75065;0.000210124184201;0.00170327013362;0.000182536170432;0.00128875905897;0.000140992823617;2.57101781919e-05;0.00241569856259;0.000471230064484;724.9128339939999;2.7;1.7;2.29071642436;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
HubertGoffinstraat_5_1595664;[34.657047774395551, 23.839013342501396, 35.770766880024489, 24.580909498324083];80.7564315796;320.204976265;101.33056507299999;[6.0263752938545352, 5.9597533356253489, 8.9426917200061222, 5.9178522217085341];[6.0263752938545352, 5.9597533356253489, 8.9426917200061222, 5.9178522217085341];22253552.4108;21482173.5705;29547258.4449;3578065.0729;0.000389581111262;0.00315795097056;0.000391387070895;0.0027633078528200004;0.000153347130775;4.75585078295e-05;0.00446854230823;0.000891295549875;519.82816729;2.7;1.7;2.07116143191;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
HubertGoffinstraat_7_1595665;[27.843599697758862, 22.4851647044148, 26.184527258390979, 22.799537651226089];71.4963111877;250.8308652;85.501024074;[3.4258353202910197, 5.6212911761036999, 6.5461318145977447, 5.6242924428054799];[3.4258353202910197, 5.6212911761036999, 6.5461318145977447, 5.6242924428054799];18595753.6823;19018871.148;23208280.7924;3019111.04232;0.000466212008713;0.00377912230044;0.0004420790763440001;0.0031212083231;0.0001974075837640001;5.6363424001e-05;0.005295842032890001;0.0011277606953499998;423.952414987;2.7;1.7;2.09593544133;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
