;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Ijzerstraat_7_1595654;[25.803688724024429, 56.01509210174963, 27.022434534888738, 30.739120932263521];95.52988052370002;293.753935536;109.604263815;[2.3279184869145295, 14.003773025437408, 6.7556086337221846, 7.2756846749491535];[2.3279184869145295, 14.003773025437408, 6.7556086337221846, 7.2756846749491535];26135611.7893;25412087.1172;27414379.1444;3870216.13781;0.00033171458727;0.00268888396417;0.000330860072667;0.00233596944042;0.00017294747938799998;4.39684580202e-05;0.00413122538653;0.000788075346766;500.76221932699997;2.7;1.7;2.17516073627;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Ijzerstraat_14_1597486;[22.943201966638672, 58.599762617195942, 25.340677796213235, 31.96186947735508];102.47898864700001;281.672736589;115.66171008;[5.7358004916596679, 14.622630250390154, 2.7059443412216302, 7.7518846351599935];[5.7358004916596679, 14.622630250390154, 2.7059443412216302, 7.7518846351599935];25998020.1579;27260632.7247;26337410.9726;4084109.51631;0.0003334701498450001;0.00270311458362;0.000308424425622;0.0021775671725;0.00018136643197;4.16657376852e-05;0.00391486445112;0.000776483584001;480.731378425;2.7;1.7;2.19293202295;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Ijzerstraat_16_1595639;[27.801181878650425, 23.36884208330596, 28.874300979422959, 70.570813679513876];70.3749313354;313.079204173;86.7652450102;[6.9502954696626063, 5.5762604453993836, 4.5260275513224926, 17.642703419878469];[6.9502954696626063, 5.5762604453993836, 4.5260275513224926, 17.642703419878469];28201814.7909;18720570.7383;29236580.8568;3063751.71685;0.000307411552838;0.00249188316266;0.000449123325766;0.00317094279618;0.000162572764613;5.55421755777e-05;0.005218678482310001;0.000689670613479;429.360601846;2.7;1.7;2.1810767902;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Ijzerstraat_9_1597487;[27.440267699981462, 72.772834136533064, 28.938947314878991, 39.439979927095813];65.4760932922;319.305377467;80.83737260689999;[6.8600669249953654, 18.193208534133266, 4.4691842226520668, 9.7531244580611851];[6.8600669249953654, 18.193208534133266, 4.4691842226520668, 9.7531244580611851];31567883.699;17417421.4153;29969199.6848;2854433.69729;0.00027463240046099994;0.00222617480805;0.000482726161911;0.00340818870414;0.000161710471792;5.96151299453e-05;0.005601368556950001;0.000609241601766;409.631612407;2.7;1.7;2.22799620982;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Ijzerstraat_6_1597491;[25.239199156502906, 23.424618920688111, 26.570760006744745, 48.938118569275311];67.5768661499;276.663693968;83.5763148183;[3.78194866142187, 5.7873196045792579, 6.6426900016861863, 12.218992923098119];[3.78194866142187, 5.7873196045792579, 6.6426900016861863, 12.218992923098119];23250620.2575;17976252.0407;25745952.5392;2951147.98538;0.000372874511808;0.00302252699738;0.000467719576427;0.00330223779622;0.000182103525676;5.76614377276e-05;0.00541780189915;0.000841629238188;408.57131105;2.7;1.7;2.14882179831;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Ijzerstraat_1_1595649;[29.311912752031162, 26.038785208702812, 26.611810596939815, 70.972260522797271];77.9251785278;305.826919959;91.3959552625;[4.1535770842982114, 6.5036463451321147, 6.6529526492349538, 17.743065130699318];[4.1535770842982114, 6.5036463451321147, 6.6529526492349538, 17.743065130699318];28636152.1969;20729026.5048;28617940.6271;3227265.88067;0.000302748903489;0.00245408764945;0.0004056073249880001;0.0028637070298200003;0.00016741013721799998;5.27280497103e-05;0.004954266475430001;0.000682627881649;452.57666233300006;2.7;1.7;2.200069677;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Ijzerstraat_15_1595640;[26.506114526615377, 21.638689509291758, 25.317820721553648, 20.72454312771206];78.9540901184;249.203830483;93.0993451672;[6.6265286316538443, 5.0253214080375326, 2.6375016400533515, 5.1603063238638143];[6.6265286316538443, 5.0253214080375326, 2.6375016400533515, 5.1603063238638143];17636003.1847;21002729.2544;23012595.2353;3287413.97043;0.0004915832451919999;0.00398478196551;0.000400321543374;0.00282638785673;0.000197494332754;5.17633122311e-05;0.004863620859350001;0.00123026943647;431.828520356;2.7;1.7;2.07795232803;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Ijzerstraat_4_1595652;[25.418545130628875, 76.231469577944168, 31.037318273735529, 69.596356121148901];71.6060142517;348.70361097800003;84.3719536611;[2.5973963720869824, 19.057867394486042, 7.7593295684338823, 17.399089030287225];[2.5973963720869824, 19.057867394486042, 7.7593295684338823, 17.399089030287225];37876452.444;19048053.4709;32911948.9524;2979242.64322;0.000228890593451;0.00185539095928;0.0004414017948380001;0.00311642651643;0.0001503663022;5.71176826337e-05;0.00536671130036;0.000511139448611;418.465832925;2.7;1.7;2.2801020773400005;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Ijzerstraat_3_1595651;[25.542910534273592, 76.454352103870079, 26.028857412020937, 29.020883330732975];94.9112129211;310.95497762400004;109.04424354700001;[2.6349083089841447, 19.11358802596752, 6.5072143530052342, 7.2552208326832437];[2.6349083089841447, 19.11358802596752, 6.5072143530052342, 7.2552208326832437];29406144.3184;25247514.1592;29113422.1108;3850441.36442;0.00029482150342;0.00238982801258;0.00033301674522;0.00235119618306;0.00016490097136700002;4.41942675342e-05;0.00415244218692;0.000673829684748;490.439191349;2.7;1.7;2.20504740133;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Ijzerstraat_10_1595636;[26.753082718523935, 39.163339979734417, 27.518079872160929, 73.196564701613198];74.4077682495;397.02285194;90.5173467778;[6.6882706796309837, 9.7907949967689838, 2.9466856596601927, 18.127124738673409];[6.6882706796309837, 9.7907949967689838, 2.9466856596601927, 18.127124738673409];31200704.9268;19793353.4365;36829864.6783;3196241.49696;0.00027786435268299995;0.00225237306654;0.000424781228566;0.00299908042937;0.00012570485696700002;5.32398556072e-05;0.00500235516467;0.000637190071515;591.00866935;2.7;1.7;2.11970145159;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
