BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
LucienLondotstraat_14_1595823;[36.902358074002578, 40.620679654742858, 32.487513037536758, 48.028789968934596];141.70217514;259.025249244;154.826932087;[9.2255895185006445, 9.8965795100298681, 5.1092938673471728, 11.869778442643575];[9.2255895185006445, 9.8965795100298681, 5.1092938673471728, 11.869778442643575];28989671.1499;37694467.9468;24526376.3858;5467065.51617;0.000294010163875;0.00250033215344;0.000223052491471;0.00157481620398;0.000204165087402;3.11259185171e-05;0.002924555250449999;0.000662811551749;441.451765044;2.7;1.7;2.31013102467;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
LucienLondotstraat_2_1595622;[49.433498035760302, 43.386690205531217, 42.291887814029479, 36.449193515139235];148.85276413;328.007001687;172.56781016;[12.344745383735626, 8.5427839725157799, 8.0323577758776814, 9.1085013780216677];[12.344745383735626, 8.5427839725157799, 8.0323577758776814, 9.1085013780216677];31470042.6095;39596609.8666;30769505.6486;6093510.42103;0.000270837191778;0.00230326370362;0.000212337496026;0.00149916518417;0.000157185747113;2.79260104646e-05;0.00262389559632;0.000629222555283;578.900725974;2.7;1.7;2.22304148597;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
LucienLondotstraat_30_1595829;[28.096279158067333, 48.681984556231995, 28.001046583582216, 47.692487474603475];90.5228233337;239.447345563;101.067397567;[6.5345459338226952, 11.436188141861761, 3.3973736564675576, 11.843720345177983];[6.5345459338226952, 11.436188141861761, 3.3973736564675576, 11.843720345177983];27968398.6057;24080150.211;22737077.3582;3568772.41316;0.000304746013014;0.00259163236035;0.000349160819867;0.00246517809909;0.000222503879332;4.76823445386e-05;0.00448017786198;0.0007204758417980001;462.642575106;2.7;1.7;2.33676545428;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
LucienLondotstraat_10_1595624;[23.704373344715396, 106.15748148865303, 38.200779326185646, 91.442758024676479];180.938419342;420.422628512;197.019171205;[5.5179849987691236, 26.521242764773636, 6.9151836616703353, 22.846879226840333];[5.5179849987691236, 26.521242764773636, 6.9151836616703353, 22.846879226840333];47601919.5351;48131776.6751;39838893.0837;6956907.96425;0.000179052820742;0.00152270764712;0.00017468386939;0.00123331950374;0.000126039211059;2.44602108664e-05;0.00229825308054;0.0003871815546119999;837.688540221;2.7;1.7;2.31724886955;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
LucienLondotstraat_20_1597554;[27.731000895292318, 49.926762546129332, 26.407555127947731, 54.388064942531983];84.8685264587;244.502333707;94.2454800148;[6.9327502238230796, 12.481690636532333, 2.8245120065981881, 13.597016235632996];[6.9327502238230796, 12.481690636532333, 2.8245120065981881, 13.597016235632996];29065620.3654;22576039.8323;23245020.8432;3327884.92866;0.000293241907736;0.00249379872105;0.0003724233768480001;0.0026294185944;0.000218580939171;5.1133810042e-05;0.00480447356282;0.0006677179490569999;410.868332159;2.7;1.7;2.34806491255;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
LucienLondotstraat_18_1595824;[41.058029484219638, 46.655960789901442, 37.496659697629156, 59.170400380577419];96.6086845398;415.197944884;113.377131513;[10.26450737105491, 11.654224830471266, 6.7247949834655962, 14.63900556874448];[10.26450737105491, 11.654224830471266, 6.7247949834655962, 14.63900556874448];33821616.7641;25699061.8469;38617912.7679;4003439.17988;0.00025200622504;0.00214312069702;0.000327165444416;0.00230988427814;0.000121158505488;4.25053130916e-05;0.00399374998382;0.0005528401012899999;532.372266242;2.7;1.7;2.14407987232;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
LucienLondotstraat_28_1595830;[33.123320902673825, 56.499177105729416, 34.257161209161033, 43.665436800728607];109.292163849;257.615286448;120.192883641;[8.2808302256684563, 13.8681314247627, 4.547030095295157, 10.916359200182152];[8.2808302256684563, 13.8681314247627, 4.547030095295157, 10.916359200182152];30733342.8105;29073018.5543;24497683.4865;4244108.95821;0.000277329349366;0.00235847455126;0.000289197524313;0.00204181959338;0.000207585527278;4.00949733995e-05;0.00376727725827;0.000636182508934;517.601854614;2.7;1.7;2.35036938735;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
LucienLondotstraat_8_1595625;[45.931901850724735, 68.632303926462498, 34.322707513303385, 71.603899012814139];102.646198273;425.783208849;129.188065304;[9.7623156011788055, 17.158075981615625, 8.5806768783258462, 17.497742839293469];[9.7623156011788055, 17.158075981615625, 8.5806768783258462, 17.497742839293469];40445348.0413;27305112.4785;39919320.3229;4561736.17474;0.000210735186573;0.00179214199912;0.000307922005333;0.00217401993747;0.000120899801871;3.73032172984e-05;0.00350496708872;0.000451487858021;694.8862182460001;2.7;1.7;2.21784759878;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
LucienLondotstraat_16_1595825;[48.980734822903273, 57.039449551110877, 46.387862772603818, 47.015291321379991];111.122367859;309.284681852;127.41865976;[12.245183705725818, 14.120809813994043, 8.9881467925099088, 11.664402936064583];[12.245183705725818, 14.120809813994043, 8.9881467925099088, 11.664402936064583];36580872.6796;29559874.6405;29393680.2208;4499257.0188;0.000232997666297;0.00198146740589;0.000284434392651;0.00200819048271;0.000172642365177;3.78212302772e-05;0.00355363898819;0.000508912402184;575.318496843;2.7;1.7;2.34478892803;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
LucienLondotstraat_11_1596229;[60.915252960949367, 48.438876720648871, 49.454292148294314, 44.325798111381147];380.311294556;670.265796479;276.665947493;[15.228813240237342, 12.109719180162218, 12.334727043597823, 10.817275268189002];[15.228813240237342, 12.109719180162218, 12.334727043597823, 10.817275268189002];37261571.758;101167338.386;61390095.6045;9769300.73243;0.000228741235631;0.00194526971016;8.31082948742e-05;0.0005867690093470001;7.15229773845e-05;1.74185891544e-05;0.00163663046085;0.000473916941434;1344.9103476;2.7;1.7;2.00306517356;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
