;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Torenlaan_70_4752614;[15.033771217766901, 92.693504670180729, 26.212997830992023, 83.171351632870568];488.89587783800005;740.68674437;395.192536693;[3.6247858220872189, 10.113983541540527, 6.4922983208423286, 20.792837908217642];[3.6247858220872189, 10.113983541540527, 6.4922983208423286, 20.792837908217642];40652897.864;130052132.074;67765917.6043;13954571.472;0.00021325819642;0.00172867448882;6.46498050907e-05;0.000456446641638;6.44891105359e-05;1.21943863432e-05;0.00114577041595;0.0005832774682459999;1345.7560569;2.7;1.7;1.9931220613900005;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Torenlaan_114_4754146;[68.64297019041058, 33.675213657125106, 63.90668896299875, 33.563193427791248];177.17543029799995;358.53806623800006;194.45610615;[17.160742547602645, 4.3073695310079003, 15.976672240749688, 8.390798356947812];[17.160742547602645, 4.3073695310079003, 15.976672240749688, 8.390798356947812];37409161.4766;47130776.7274;33757320.172;6866404.04232;0.000231749746199;0.00187856729903;0.000178393940733;0.00125951369879;0.000145271723491;2.47826132478e-05;0.00232854563485;0.0005220468115490001;599.109915544;2.7;1.7;2.25722971994;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Torenlaan_16_1597794;[61.064067914851627, 91.459893081545658, 52.521494509994596, 24.37477799967813];318.47126007099996;627.106817979;251.147533599;[15.266016978712907, 22.864973270386415, 8.3984439890624394, 5.4590491089272497];[15.266016978712907, 22.864973270386415, 8.3984439890624394, 5.4590491089272497];42957613.6494;84717151.9621;57833344.812;8868224.680960001;0.000201816696535;0.00163592950036;9.92460770397e-05;0.0007007064986030001;7.81573876992e-05;1.91884443511e-05;0.00180292400509;0.0004602619320880001;963.76097921;2.7;1.7;2.06583916317;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Torenlaan_1012_1595337;[119.4024550441419, 103.21452788031249, 116.90766993683808, 105.09333137785262];722.002311707;1279.44774193;571.579827225;[26.521654859246063, 19.388555763696782, 29.189622257279179, 26.273332844463155];[26.521654859246063, 19.388555763696782, 29.189622257279179, 26.273332844463155];83252149.5452;192061222.555;117757696.071;20182950.8667;0.000104136214201;0.000844129885151;4.37769002944e-05;0.000309077793702;3.80656346829e-05;8.43124659559e-06;0.0007921901641369999;0.000236041950753;2114.23872895;2.7;1.7;2.04750773296;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Torenlaan_15_1595711;[49.462505139919521, 58.476093425408145, 44.090033619381366, 47.074075170283727];250.329868317;335.457573383;266.696435245;[10.476458565691178, 13.774221863447545, 10.440284314354553, 9.1686173536380533];[10.476458565691178, 13.774221863447545, 10.440284314354553, 9.1686173536380533];37280831.9842;66590729.3805;31707240.2925;9417269.1066;0.000232547483957;0.00188503377457;0.000126261494181;0.000891443290609;0.00015690675652000002;1.80697221092e-05;0.00169781015907;0.000545566524977;749.99994418;2.7;1.7;2.29352574857;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Torenlaan_34_1599062;[62.156998253908853, 36.835593902254793, 66.836674475591025, 35.91710447596288];188.09187316900002;360.051356154;203.61600838900003;[11.490518142805513, 5.8404621454251942, 16.709168618897756, 8.97927611899072];[11.490518142805513, 5.8404621454251942, 16.709168618897756, 8.97927611899072];37775842.7527;50034680.6759;33911062.913;7189847.677019998;0.000229500205581;0.00186033248534;0.00016804034475;0.00118641426549;0.000144792603597;2.36677386543e-05;0.00222379330942;0.0005562212832259999;614.005936249;2.7;1.7;2.26032665246;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Torenlaan_49_1597785;[45.51263411363513, 27.820993644879639, 46.306094712028177, 29.888289937872734];104.382823944;239.35729707599998;115.83399936200001;[11.35164568428579, 6.9552484112199098, 11.390410321781058, 3.0448543898910758];[11.35164568428579, 6.9552484112199098, 11.390410321781058, 3.0448543898910758];27998256.6866;27767075.611;22699341.1186;4090193.19169;0.00030964655316900004;0.00251000011253;0.00030279908147400004;0.00213785058804;0.000221844934253;4.16037648612e-05;0.00390904155636;0.000730810693717;483.54060139800004;2.7;1.7;2.32470630407;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Torenlaan_69_1595315;[26.415903072100257, 42.970688706672924, 27.015354344330188, 28.471221167016289];58.2506027222;212.75410295900002;67.4602864599;[4.5544797711795173, 10.742672176668231, 6.7538385860825469, 7.1178052917540722];[4.5544797711795173, 10.742672176668231, 6.7538385860825469, 7.1178052917540722];23381779.3385;15495354.7821;20095218.8147;2382077.8519900003;0.00037078288834300013;0.00300557226277;0.000542604226134;0.00383094545158;0.000246935003643;7.14365551244e-05;0.006712095973920001;0.000820339651135;321.031830266;2.7;1.7;2.28693658808;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Torenlaan_31_1596293;[46.928462734133063, 22.681115522813705, 27.731799794862553, 21.440595796451358];107.82445907600001;210.35050869900002;118.939349318;[11.732115683533266, 5.6702788807034263, 6.9329499487156383, 3.1965623089626707];[11.732115683533266, 5.6702788807034263, 6.9329499487156383, 3.1965623089626707];22241238.5478;28682591.5869;19820906.4359;4199845.63673;0.000389796802868;0.0031596993703000005;0.000293134076283;0.00206961280829;0.000248153769872;4.05175452869e-05;0.00380698162333;0.0008691123337889999;334.611955336;2.7;1.7;2.26468593579;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Torenlaan_88_1597575;[60.03238288672798, 33.72663502218046, 49.231255094657577, 29.450891938682918];78.0730628967;328.587290736;93.78376514290001;[15.008095721681995, 8.431658755545115, 12.240436152564008, 7.3627229846707296];[15.008095721681995, 8.431658755545115, 12.240436152564008, 7.3627229846707296];32288612.1579;20768365.51;30829759.6388;3311581.39916;0.00026850220862199994;0.0021764833709899995;0.000404839032045;0.00285828265563;0.00015699118118399995;5.13855512738e-05;0.00482812687736;0.0005559177523619999;559.260893552;2.7;1.7;2.22479560167;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Torenlaan_35_1597787;[55.2698832614427, 37.305288562785876, 39.630960522871604, 29.515662124741127];92.6424331665;278.74883304599996;108.259676286;[13.59810019879408, 9.3263221406964689, 9.7044472135922337, 5.0441852200966704];[13.59810019879408, 9.3263221406964689, 9.7044472135922337, 5.0441852200966704];30281471.9497;24643991.6963;26309547.9261;3822737.65318;0.000286299282021;0.00232074674411;0.000341172205129;0.0024087761290700004;0.000188105914283;4.45145472232e-05;0.00418253529551;0.000635157407217;446.76760318199996;2.7;1.7;2.28017030136;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Torenlaan_86_1595872;[35.294842247780615, 56.109176634110845, 55.888425453525144, 44.066618233710564];169.552646637;282.042374032;181.787728731;[8.6512672077949553, 14.027294158527711, 10.725203319675067, 11.016654558427641];[8.6512672077949553, 14.027294158527711, 10.725203319675067, 11.016654558427641];35830879.2234;45103025.3955;26900749.4215;6419073.28144;0.000241957882855;0.00196131462463;0.000186414213159;0.00131613918141;0.000191051312429;2.65096577533e-05;0.00249081673613;0.000538678387072;660.432311506;2.7;1.7;2.3784762865;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Torenlaan_36_1597796;[78.274938786421785, 49.565947259375548, 54.798401124628853, 49.631993525958372];205.03037262;413.999658992;223.805118621;[19.025207048041022, 6.0071758148994556, 13.660163477465101, 12.407998381489593];[19.025207048041022, 6.0071758148994556, 13.660163477465101, 12.407998381489593];43491455.7689;54540523.4689;38995119.9567;7902741.6604;0.000199339468511;0.00161584904878;0.000154157761155;0.00108839914155;0.000125951066535;2.15327089125e-05;0.0020231883879000003;0.00046825958357;998.7499360139999;2.7;1.7;2.26104220294;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Torenlaan_52_1599466;[65.585719975808885, 32.413805640990148, 61.532052837417311, 27.479515464687335];127.32585907;274.67365342799997;138.448803374;[16.396429993952221, 4.0352201284185769, 14.430200863993601, 6.8698788661718337];[16.396429993952221, 4.0352201284185769, 14.430200863993601, 6.8698788661718337];35016747.2064;33870196.479;26204525.2176;4888740.40501;0.000247583352806;0.00200691477766;0.000248237266513;0.00175262812425;0.000196300885766;3.48080326805e-05;0.0032705224322199995;0.0005733843259369999;494.35092716099996;2.7;1.7;2.3808483143;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Torenlaan_66_1597358;[79.850499322214873, 43.903618084026945, 52.982807302160197, 38.834826565230635];153.19690704299998;375.185528434;172.47897996900002;[16.288228696468931, 5.6678029146785391, 13.245701825540049, 9.0211620397205881];[16.288228696468931, 5.6678029146785391, 13.245701825540049, 9.0211620397205881];40364565.3368;40752203.6721;35390455.6706;6090373.75435;0.000214781544293;0.00174102277202;0.00020631632728;0.0014566539616;0.000139529812294;2.79403929295e-05;0.00262524695606;0.000541084420952;762.670905824;2.7;1.7;2.2745737373500003;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Torenlaan_42_1599063;[54.531695938490373, 32.333311268390275, 51.929880907576035, 29.650337552394227];76.96247482300001;322.370175313;91.10643660950001;[13.632923984622593, 8.0833278170975689, 10.367886972528655, 7.3540318534513416];[13.632923984622593, 8.0833278170975689, 10.367886972528655, 7.3540318534513416];31540395.6081;20472935.842;30239035.8486;3217042.7404;0.00027487174813700004;0.00222811496429;0.0004106809621780001;0.0028995284008600003;0.000159909110299;5.28956092648e-05;0.00497001017708;0.000606729962643;503.37823208099996;2.7;1.7;2.2225211218900003;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Torenlaan_45_1595863;[69.307561962261872, 29.351551879752588, 63.629761821898661, 29.090200229147452];94.630027771;351.765352138;107.046160159;[17.326890490565468, 7.337887969938147, 15.907440455474665, 2.7118590755797669];[17.326890490565468, 7.337887969938147, 15.907440455474665, 2.7118590755797669];35834626.6027;25172715.557;33072841.3333;3779887.40687;0.00024193258029;0.00196110952161;0.00033400627640499994;0.00235818256431;0.000147493894934;4.50191811202e-05;0.004229950111949999;0.000552820364947;561.789890206;2.7;1.7;2.2440532296;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Torenlaan_26_1596300;[78.891229717685604, 23.977295887414424, 32.491363102451118, 23.357457467026162];88.2471351624;385.00732420199995;99.03042239370001;[19.598084328703315, 2.3646703211111637, 8.0322276811973445, 5.8393643667565405];[19.598084328703315, 2.3646703211111637, 8.0322276811973445, 5.8393643667565405];29718906.359;23474790.0269;35686311.2994;3496845.15492;0.000291718799239;0.0023646774408600003;0.000358164864545;0.00252874930319;0.000129309961669;4.86631315501e-05;0.004572331473520001;0.000667748180077;474.245128124;2.7;1.7;2.1122450047;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
