;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
ZenobeGrammestraat_20_1595985;[56.682017179149192, 52.515236632288264, 71.727790018047884, 50.217659385201728];263.435413361;523.849703947;227.77777974;[13.951218008978268, 7.1131661210065449, 17.931947504511971, 12.554414846300432];[13.951218008978268, 7.1131661210065449, 17.931947504511971, 12.554414846300432];43280136.1538;70076960.6052;48708698.4999;8043019.57145;0.000200312763503;0.00162373859418;0.000119980160635;0.000847095228023;9.59411340944e-05;2.11571579893e-05;0.00198790205816;0.000464170190059;771.9237027060001;2.7;1.7;2.14123858709;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
ZenobeGrammestraat_51_1596233;[57.809163793579302, 45.682321916112933, 67.762817094387131, 48.489531995811497];144.99489212;501.89352352099996;182.64797773900003;[14.031073817756791, 11.420580479028233, 16.405226638121146, 5.0895127839132801];[14.031073817756791, 11.420580479028233, 16.405226638121146, 5.0895127839132801];41145763.8802;38570369.919;46649915.1147;6449449.37701;0.000210703675425;0.00170796749913;0.000217987149407;0.00153905339896;0.000100028036235;2.63848005988e-05;0.00247908530252;0.000509694523822;790.408077703;2.7;1.7;2.1378295883500003;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
ZenobeGrammestraat_28_1596230;[83.354243867081877, 45.054181743811256, 84.517065804920094, 44.502469785639626];152.93192672700002;538.302259297;193.26143923700002;[20.838560966770469, 5.6824851141840842, 20.941595548133272, 11.125617446409906];[20.838560966770469, 5.6824851141840842, 20.941595548133272, 11.125617446409906];48201898.8947;40681715.749;50253302.2343;6824219.37719;0.000179859380575;0.0014579431318199998;0.00020667380506;0.0014591778598800002;9.44687738409e-05;2.49358097063e-05;0.0023429397966500004;0.000408414931067;879.444363766;2.7;1.7;2.17822195942;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
ZenobeGrammestraat_2_1599665;[44.037137352785905, 45.981587318543788, 33.130180864428389, 45.613227040181471];74.7441329956;407.424638679;108.515392605;[11.009284338196476, 8.3812349038757468, 8.2824819806039702, 11.403306760045368];[11.009284338196476, 8.3812349038757468, 8.2824819806039702, 11.403306760045368];31599734.5965;19882830.4691;37772267.0563;3831767.20539;0.00027435558521099994;0.0022239309390300003;0.000422869621269;0.00298558391952;0.000122274636248;4.44096487764e-05;0.00417267915895;0.0006123485310399999;533.676611713;2.7;1.7;2.1142168061400004;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
ZenobeGrammestraat_93_1597782;[35.754691564999192, 42.891183091225571, 55.319848557716341, 45.418794998531723];103.75802993799999;531.284916467;143.40867983299998;[6.4671671816017522, 10.305849787602888, 13.829962139429085, 11.354698749632931];[6.4671671816017522, 10.305849787602888, 13.829962139429085, 11.354698749632931];33588714.9546;27600872.9565;48845595.9034;5063877.69662;0.000258109418281;0.00209223923955;0.00030462243000200004;0.00215072396502;9.13539237344e-05;3.36041756888e-05;0.0031574094237199995;0.0005702965705700001;766.845910941;2.7;1.7;2.03764278385;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
ZenobeGrammestraat_26_1596231;[76.995201921169439, 56.230108931833065, 90.185504663643556, 55.209850379833689];174.38135528599997;569.5664819369999;214.832523066;[19.015075073491126, 7.8403706531452944, 22.546376165910889, 13.802462594958422];[19.015075073491126, 7.8403706531452944, 22.546376165910889, 13.802462594958422];52170110.445;46387519.4635;53234947.6179;7585911.977810001;0.000166178748785;0.00134704770288;0.00018125230854;0.00127969461635;8.95885913841e-05;2.24320340497e-05;0.00210768793609;0.000378586989564;937.2701231789999;2.7;1.7;2.18918023573;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
ZenobeGrammestraat_8_1599658;[54.465055080386335, 46.432603505890867, 42.827035341280862, 44.50891523355687];105.726192474;431.93221756;142.750989212;[13.616263770096584, 5.9752156925951621, 10.573429013465365, 11.127228808389217];[13.616263770096584, 5.9752156925951621, 10.573429013465365, 11.127228808389217];35245656.1246;28124427.6555;40138300.9348;5040654.10327;0.000245975380543;0.00199388052774;0.000298951683326;0.00211068682535;0.00011615330878;3.37589987922e-05;0.00317195642318;0.000579488526515;597.38552708;2.7;1.7;2.13579432492;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
ZenobeGrammestraat_41_1595399;[89.781509234412326, 60.744556650437836, 37.038497815027007, 59.826233526667153];167.871932983;502.321262925;207.044184866;[22.307528736519675, 15.186139162609459, 8.9244010647202732, 9.123280092857474];[22.307528736519675, 15.186139162609459, 8.9244010647202732, 9.123280092857474];46322497.9126;44655935.5264;46966625.281;7310899.3903399985;0.000187156653212;0.00151709494524;0.000188280569897;0.00132931620899;0.000101686075403;2.32758552264e-05;0.00218697239645;0.0004308199242200001;867.0339022630002;2.7;1.7;2.19249517288;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
ZenobeGrammestraat_56_1595646;[58.246444274091019, 26.607353300412193, 34.198133092142996, 27.921919554512733];103.396022797;309.454929323;119.399749751;[14.550560670978818, 2.8829408116910336, 8.3630038499497612, 6.9167114073044242];[14.550560670978818, 2.8829408116910336, 8.3630038499497612, 6.9167114073044242];27520004.5693;27504574.7412;28878987.6617;4216102.75229;0.000315027697612;0.00255361975894;0.000305688965175;0.00215825401707;0.000164161394635;4.036131133e-05;0.00379230206171;0.0007314572572269999;541.382645056;2.7;1.7;2.17494428524;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
ZenobeGrammestraat_99_1599743;[51.16670519176855, 45.825572843658243, 61.363118586277523, 46.7887053065853];101.42845153799999;446.587568115;136.718302251;[12.764519663130555, 11.456393210914561, 15.340779646569381, 7.9964914257320654];[12.764519663130555, 11.456393210914561, 15.340779646569381, 7.9964914257320654];38412048.2244;26981177.3292;41606294.7095;4827634.99599;0.000225699073038;0.0018295204417;0.000311618907048;0.00220012115108;0.000113194285398;3.52486126075e-05;0.00331191881183;0.0005031377947200001;625.308284517;2.7;1.7;2.15935918636;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
ZenobeGrammestraat_48_1595656;[64.172808512449848, 27.379009426626585, 59.193610544260281, 35.580880262765199];110.10009002700001;345.676116485;125.32123516799999;[16.027880132521105, 3.1117776573591027, 14.630683375778938, 8.8952200656912996];[16.027880132521105, 3.1117776573591027, 14.630683375778938, 8.8952200656912996];34888525.138000004;29287936.5497;32482764.7967;4425195.24216;0.000248493269448;0.00201429057709;0.000287075362102;0.00202683650391;0.000149867597289;3.84542209941e-05;0.00361311406275;0.0005608345255770001;572.493596768;2.7;1.7;2.2390199087;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
ZenobeGrammestraat_14_1595364;[72.668461872860846, 55.287397882030049, 61.244310424607825, 51.405217178412762];179.084922791;535.48464456;220.001265399;[18.167115468215211, 7.7676104369187193, 14.967580103097374, 12.851304294603191];[18.167115468215211, 7.7676104369187193, 14.967580103097374, 12.851304294603191];45051969.1055;47638724.4952;49834187.6872;7768424.49411;0.000192434733706;0.00155987915355;0.000176491815835;0.00124608413747;9.41007784579e-05;2.19050125174e-05;0.00205816960337;0.000445148142736;904.714469282;2.7;1.7;2.14932266462;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
ZenobeGrammestraat_139_1595672;[39.022249048691705, 26.293587023386991, 86.320879579324981, 30.654550990834679];112.45978546100001;331.586310588;126.59868341;[9.2973105957896589, 6.5733967558467477, 21.580219894831245, 2.9359246807151429];[9.2973105957896589, 6.5733967558467477, 21.580219894831245, 2.9359246807151429];34132986.8094;29915643.6673;31194708.6202;4470302.98367;0.000253993701932;0.00205887717434;0.00028105178293;0.0019843082630300003;0.00015673416834099995;3.80661973933e-05;0.00357665581467;0.00059247796374;539.614837199;2.7;1.7;2.24975510394;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
ZenobeGrammestraat_55_1596236;[59.966313406537481, 46.039601621526884, 60.13605735244645, 44.33182611322993];155.509738922;492.361554841;193.62191925099998;[14.597491905497026, 11.273274190256538, 14.432633300420179, 4.8872597765984942];[14.597491905497026, 11.273274190256538, 14.432633300420179, 4.8872597765984942];39410003.1233;41367444.5252;45712561.6681;6836948.2211;0.000219983836353;0.00178319263803;0.000203247870075;0.0014349897511;0.000101622252732;2.48893848953e-05;0.00233857777517;0.0005294970294680001;839.904064178;2.7;1.7;2.12747813355;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
ZenobeGrammestraat_18_1595366;[90.568612857304345, 47.902658950220818, 87.605111478976553, 54.869820316706786];194.61500549299998;680.633505239;226.979122039;[22.642153214326086, 7.4721240760767271, 21.37070207603351, 13.538303552290788];[22.642153214326086, 7.4721240760767271, 21.37070207603351, 13.538303552290788];52605553.9488;51769911.6423;63091500.6845;8014818.31527;0.000164803200935;0.00133589748912;0.00016240794553200002;0.00114664787016;7.31582313523e-05;2.12316024007e-05;0.00199489676883;0.000367996181023;1024.59237281;2.7;1.7;2.11277163325;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
