BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Bornstraat_15_4752880;[68.830543301093741, 133.21970878366375, 62.051881260166056, 144.03050870780925];176.775997162;715.4600041130001;190.020054035;[17.207635825273435, 33.304927195915937, 10.013598121196917, 21.423993987126803];[17.207635825273435, 33.304927195915937, 10.013598121196917, 21.423993987126803];69935347.157;46569319.6924;67458004.4633;8424206.65899;9.80546349941e-05;0.00178536914807;0.000195366657677;0.005959853822279999;7.30815750477e-05;3.30098475739e-05;0.00634100410763;0.00170502903294;1138.77005926;2.7;1.7;2.27044787928;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bornstraat_23_1591458;[70.166378829428439, 77.56867383840266, 46.298860955919771, 67.387745704144137];74.70824050899999;560.2546213640001;95.4783504774;[17.54159470735711, 19.227846243888433, 11.574715238979943, 15.802043585209635];[17.54159470735711, 19.227846243888433, 11.574715238979943, 15.802043585209635];44795766.4143;19680906.8639;52237059.3226;4232865.63076;0.000153083326563;0.00278732615084;0.0004622801378769999;0.0141023144862;9.04364982137e-05;6.56958670559e-05;0.0126198026793;0.00217826456188;670.242108531;2.7;1.7;2.16661223194;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bornstraat_5_1591461;[53.572115615355855, 45.859932961638457, 34.704957803814146, 146.04416453164424];146.699958801;627.059627028;159.423565063;[13.393028903838964, 11.21920853560766, 1.7435667164078048, 36.51104113291106];[13.393028903838964, 11.21920853560766, 1.7435667164078048, 36.51104113291106];48010292.3306;38646181.5516;58340655.4451;7067764.8484;0.000142833642658;0.00260070091458;0.000235420214193;0.007181727322770001;8.02938760216e-05;3.93450806172e-05;0.00755796636899;0.00222259273721;992.9988228560001;2.7;1.7;2.14681742985;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bornstraat_7_4753114;[53.54460992244254, 122.62666956210214, 62.759567732128048, 121.9625081452202];154.426700592;682.491301529;159.506458212;[13.386152480610635, 30.656667390525534, 5.3241358948331126, 29.92722968042224];[13.386152480610635, 30.656667390525534, 5.3241358948331126, 29.92722968042224];61840684.8493;40681690.4126;64062374.1771;7071439.771160001;0.000110889537452;0.00201906578942;0.000223640960991;0.00682238951122;7.56746837654e-05;3.93246335602e-05;0.00755403860556;0.00176213921567;1073.53300262;2.7;1.7;2.22878821247;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bornstraat_27_1595051;[41.892572546097256, 65.892224234009731, 42.06096027388628, 63.337329749488838];114.71913147;442.6213497430001;133.183708433;[10.473143136524314, 16.473056058502433, 10.51524006847157, 15.834332437372209];[10.473143136524314, 16.473056058502433, 10.51524006847157, 15.834332437372209];36529872.0255;30221251.7198;41336245.6726;5904466.71087;0.000187722665272;0.00341803582248;0.000301049487392;0.00918381344833;0.000115012667616;4.70968491078e-05;0.0090470370389;0.00262173506998;766.678575274;2.7;1.7;2.18163760498;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bornstraat_31_1595186;[57.674642047479949, 70.986990526839975, 57.396040929603231, 69.441811523813797];162.747447968;580.994380963;192.739144271;[14.418660511869987, 17.746747631709994, 14.349010232400808, 17.360452880953449];[14.418660511869987, 17.746747631709994, 14.349010232400808, 17.360452880953449];43780975.4544;42873682.2601;54013489.5617;8544752.7676;0.000156631616073;0.00285193305717;0.000212206926464;0.00647358293804;8.646347846999999e-05;3.25441572515e-05;0.00625154764345;0.00218751742274;1121.66956083;2.7;1.7;2.13976240287;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bornstraat_25_1595185;[43.227727335579338, 59.86021776933211, 43.936432431081087, 60.966882091950708];94.6063270569;586.416567855;131.41226299;[10.806931833894835, 14.950600613384278, 10.984108107770272, 15.241720522987677];[10.806931833894835, 14.950600613384278, 10.984108107770272, 15.241720522987677];35640229.3003;24922796.9881;54014908.8762;5825932.77629;0.000192408552731;0.00350335600037;0.0003650510150580001;0.0111362435806;8.32593533499e-05;4.77317175502e-05;0.009168991658399999;0.00268792534481;716.188172752;2.7;1.7;2.05468175872;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bornstraat_29_1594970;[58.378835923268184, 66.531860341568006, 58.246382310191784, 65.45990786620419];166.166496277;580.949978995;186.160560329;[14.594708980817046, 16.632965085392001, 14.561595577547946, 16.364976966551048];[14.594708980817046, 16.632965085392001, 14.561595577547946, 16.364976966551048];42601628.6481;43774385.7284;53940177.1091;8253102.75765;0.000160967670868;0.00293088351633;0.000207840548467;0.00634038224298;8.61392169232e-05;3.36942100334e-05;0.006472466246550001;0.00224807477156;1108.1224407;2.7;1.7;2.127949041109999;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bornstraat_1_1591463;[47.504536100134921, 185.18192787581, 43.069953353523672, 18.312412416919379];155.16374588;703.102391453;172.170855859;[11.651937941388034, 46.295481968952501, 3.2467897768893241, 0.0];[11.651937941388034, 46.295481968952501, 3.2467897768893241, 0.0];50390004.5655;40875855.3343;65213040.8444;7632893.684710001;0.0001360881984;0.00247788052909;0.00022257864121;0.0067899823918;7.09481581399e-05;3.64320255503e-05;0.00699838504697;0.00228334338272;1075.83633779;2.7;1.7;2.11824467293;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bornstraat_3_1591462;[40.668901196335867, 2.3119047534416555, 32.356126905093262, 64.606046815145888];145.803813934;425.647477961;160.406541208;[10.167225299083967, 0.0, 2.5200484800455012, 16.123229775252948];[10.167225299083967, 0.0, 2.5200484800455012, 16.123229775252948];23979853.256;38410103.9309;39095454.9767;7111343.376110001;0.0002859685947809999;0.00520688804226;0.000236867162738;0.00722586792446;0.000113669736781;3.91039727709e-05;0.00751165092205;0.0048498768335;959.2174361780001;2.7;1.7;2.02877671528;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
