BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Bruulstraat_4_1592201;[31.330645379635527, 40.450387679397167, 31.339244218545211, 41.504377246429286];155.230682373;144.624654524;177.189527233;[7.8326613449088818, 10.112596919849292, 6.6296288741651255, 10.376094311607321];[7.8326613449088818, 10.112596919849292, 6.6296288741651255, 10.376094311607321];24782079.1072;40893488.8761;17462053.881;7855387.7;0.000276711445758;0.00503833478351;0.000222482663834;0.00678705450666;0.000402118608203;3.540013406899999e-05;0.00680016455816;0.0039978103032;626.967415924;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bruulstraat_3_1595212;[43.257358620002492, 72.530834260763157, 43.233129642305208, 71.184024070973962];210.286251068;230.205346594;220.945927307;[8.7071261645374136, 18.132708565190789, 10.808282410576302, 17.691357149458412];[8.7071261645374136, 18.132708565190789, 10.808282410576302, 17.691357149458412];39446712.1044;55397156.9112;27795109.8942;9795251.14624;0.000173841736683;0.00316529324024;0.000164233921845;0.00501011881196;0.000252627776242;2.83894484779e-05;0.00545345170131;0.00252491364516;798.1038059110001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bruulstraat_10_1594663;[41.653614734983044, 54.109610093742489, 36.249372819933505, 59.614841414562285];125.627944946;442.883328956;177.918763309;[10.413403683745761, 13.527402523435622, 9.0623432049833763, 14.903710353640571];[10.413403683745761, 13.527402523435622, 9.0623432049833763, 14.903710353640571];32836215.7173;33095035.6634;41142060.7529;7887717.105610001;0.000208839075663;0.0038025213456;0.000274908068725;0.008386343522710001;0.000113166862638;3.52550394519e-05;0.00677229270687;0.00291664689427;813.281017757;2.7;1.7;2.13268153605;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bruulstraat_9_1592151;[25.975714731070802, 35.02936247889938, 26.672967753420497, 34.241624955985252];120.854408264;121.919669919;130.162254001;[4.2808757042201204, 8.7573406197248449, 6.6682419383551244, 8.5604062389963129];[4.2808757042201204, 8.7573406197248449, 6.6682419383551244, 8.5604062389963129];20891478.805;31837509.9847;14720642.5646;5770515.81463;0.000328243156105;0.005976619096189999;0.000285766454192;0.0087175893499;0.000477004775583;4.81901075532e-05;0.00925704577272;0.00494315150319;458.138189601;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bruulstraat_6_1592202;[35.295736704646345, 48.053707088020765, 34.808510754186813, 46.612843782979247];164.4361763;457.7891622819999;189.929930892;[8.8239341761615862, 12.013426772005191, 7.6423344008069227, 11.653210945744812];[8.8239341761615862, 12.013426772005191, 7.6423344008069227, 11.653210945744812];28234210.6345;43318555.6074;42191199.0942;8420211.20709;0.000242878578312;0.004422309261270001;0.000210027601591;0.00640710046948;0.000106846901;3.30255109884e-05;0.006344012960530001;0.00348161662462;735.3872872530001;2.7;1.7;2.05992725889;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bruulstraat_11_1592152;[34.174912776797655, 58.67633152227058, 32.36879257575287, 57.348447667789223];134.188365936;182.568484543;145.223731862;[7.2268986378828508, 14.669082880567645, 8.0921981439382176, 14.337111916947306];[7.2268986378828508, 14.669082880567645, 8.0921981439382176, 14.337111916947306];31283923.4867;35350166.3836;22043411.0943;6438240.0858;0.000219201563435;0.00399120050356;0.000257370566234;0.00785134460071;0.000318544928139;4.31922037759e-05;0.00829697686267;0.00315231753185;654.112764722;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bruulstraat_8_1592203;[54.581501810878279, 58.953074484534852, 54.281525843733021, 57.091840418918785];129.68522644;484.278395439;213.347122281;[12.901812975592998, 13.677692909268059, 12.828355880770728, 13.203328110921344];[12.901812975592998, 13.677692909268059, 12.828355880770728, 13.203328110921344];38538978.3137;34163873.2998;45142468.6832;9458371.41936;0.000177936344935;0.00323984746449;0.000266307401938;0.008123971644960001;0.000104552127444;2.94005982018e-05;0.00564768781641;0.00265584933695;979.891032764;2.7;1.7;2.1644186994;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bruulstraat_7_1592150;[31.916440041026085, 41.407415169076394, 32.033114451113143, 42.420973783001585];133.66255188;147.777943444;146.878679725;[7.9791100102565213, 10.351853792269099, 8.0082786127782857, 10.605243445750396];[7.9791100102565213, 10.351853792269099, 8.0082786127782857, 10.605243445750396];25322409.2171;35211647.5615;17842783.5789;6511609.30402;0.000270806971006;0.004930826688060001;0.000258383034271;0.00788223094318;0.000393538192735;4.27055378725e-05;0.0082034911086;0.0037820906285;583.940801007;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bruulstraat_5_1592149;[25.483158461457929, 46.832913090935541, 24.876000899262156, 43.74469050666081];129.437515259;140.936762958;144.892828225;[5.4271538545867299, 11.708228272733885, 6.2190002248155389, 10.936172626665202];[5.4271538545867299, 11.708228272733885, 6.2190002248155389, 10.936172626665202];24150142.4515;34098617.0354;17016775.9894;6423570.05196;0.000283952152764;0.005170172864380001;0.00026681704801;0.00813951890428;0.000412640843797;4.32908453547e-05;0.00831592534932;0.00407480700841;519.825489015;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bruulstraat_12_1592204;[41.107991051117992, 38.06360699355259, 36.33710499606439, 37.914040605230731];144.120189667;153.422743646;151.592571711;[10.276997762779498, 9.5159017483881474, 9.0842762490160975, 9.4785101513076828];[10.276997762779498, 9.5159017483881474, 9.0842762490160975, 9.4785101513076828];26289670.8891;37966575.1826;18524339.6081;6720591.458330001;0.000260843316282;0.004749409442989999;0.000239634265004;0.00731028112583;0.0003790589544090001;4.13775750942e-05;0.00794839700634;0.00364293820928;603.748255719;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
