BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Donkstraat_10_1595088;[72.96766406089715, 46.79506376760645, 71.90834711387582, 39.488587583063236];185.104946136;601.3695547980001;218.126465822;[18.241916015224287, 11.698765941901613, 17.977086778468955, 9.7141090005471948];[18.241916015224287, 11.698765941901613, 17.977086778468955, 9.7141090005471948];39610238.3924;48763472.1437;55572138.3726;9670255.253910001;0.000173124051179;0.00315222569319;0.00018657597457;0.00569168530805;8.20192412105e-05;2.87564051251e-05;0.00552394198763;0.00242448102055;1110.13662211;2.7;1.7;2.08438870189;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Donkstraat_8_1595089;[65.392226899149762, 44.440668359763187, 64.965234474012334, 41.343876829075519];213.243061066;642.628128693;235.826749233;[16.34805672478744, 11.110167089940797, 16.241308618503083, 9.791616580745071];[16.34805672478744, 11.110167089940797, 16.241308618503083, 9.791616580745071];37036896.1132;56176089.7542;59073913.9171;10454966.3526;0.00018515279784;0.00337124392908;0.000161956668369;0.00494064893416;7.54911270397e-05;2.65980557341e-05;0.00510933533659;0.00261215913895;1160.54474705;2.7;1.7;2.03634071855;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Donkstraat_4_1592221;[57.840165808913561, 78.983714409756843, 56.724848316697816, 75.555044139966327];223.403560638;675.317853486;251.50033533;[11.175732932387632, 19.745928602439211, 14.181212079174454, 18.888761034991582];[11.175732932387632, 19.745928602439211, 14.181212079174454, 18.888761034991582];46112130.7736;58852740.20699999;62501545.7431;11149827.3716;0.000148713252318;0.00270775626888;0.000154590802512;0.00471594588449;7.33849430444e-05;2.49404558902e-05;0.00479091982755;0.00218352593298;1353.39696551;2.7;1.7;2.09848461178;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Donkstraat_1_4753367;[26.067593704085077, 66.773515728647624, 30.870668229410999, 67.575245058121482];137.484672546;466.2563678130001;174.702730396;[6.5168984260212692, 16.693378932161906, 7.7176670573527497, 16.89381126453037];[6.5168984260212692, 16.693378932161906, 7.7176670573527497, 16.89381126453037];32777883.8597;36218535.1598;43207961.6599;7745139.9128;0.000209210727819;0.0038092883515;0.000251199898021;0.00766310224157;0.000106706617577;3.59040354177e-05;0.00689696114332;0.00292183738892;845.5381605860001;2.7;1.7;2.11026146971;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Donkstraat_9_1592161;[69.844853861114473, 57.350768793279613, 69.333128609259887, 58.94352042416817];177.980670929;611.433613546;203.057321494;[17.461213465278618, 14.337692198319903, 17.333282152314972, 14.735880106042043];[17.461213465278618, 14.337692198319903, 17.333282152314972, 14.735880106042043];43776312.3273;46886675.2084;56708137.4635;9002191.103289999;0.000156648300738;0.00285223684992;0.000194044305726;0.005919514163379999;8.15737574085e-05;3.08904548408e-05;0.005933880809159999;0.00218775044081;1184.48622721;2.7;1.7;2.11782503616;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Donkstraat_2_1592303;[55.162889792876143, 56.445073016954098, 98.053734213448806, 5.2823874176957197];129.3396492;473.623382842;217.321669354;[10.265633038083557, 13.44775632716728, 24.513433553362201, 0.65593028181652258];[10.265633038083557, 13.44775632716728, 24.513433553362201, 0.65593028181652258];36831626.819;34072835.505;44098671.3508;9634576.01045;0.000186184687751;0.00339003247908;0.000267018937631;0.00814567774758;0.000106544991477;2.88628972819e-05;0.00554439852571;0.00285841906607;893.166973761;2.7;1.7;2.15382912294;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Donkstraat_5_1592220;[32.9000318338203, 51.323023159768113, 50.111834329336261, 58.060572468682182];114.243801117;420.883064025;143.593987127;[6.9690581875747277, 12.830755789942028, 11.241295079882862, 14.515143117170545];[6.9690581875747277, 12.830755789942028, 11.241295079882862, 14.515143117170545];32967819.8346;30096032.1679;39202046.549;6365988.2042;0.000208005411734;0.00378734207479;0.000302302053901;0.00922202423301;0.000120021988348;4.36824211457e-05;0.00839114483325;0.003067139790489999;737.054059492;2.7;1.7;2.1571233158;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Donkstraat_7_1592162;[54.067538222242618, 84.661009804997434, 49.38026460856706, 75.802388640546809];150.19960022;411.539466657;150.208325494;[8.3924193970504266, 10.825681092553303, 12.345066152141765, 17.662474461451069];[8.3924193970504266, 10.825681092553303, 12.345066152141765, 17.662474461451069];45222360.5224;39568116.2183;39097119.3608;6659223.324;0.00015163925234;0.00276103258944;0.000229934937726;0.007014393519229999;0.000129621114721;4.17588905214e-05;0.0080216455327;0.00283850835903;752.2232551010001;2.7;1.7;2.34127798828;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Donkstraat_3_1592219;[30.81043320792763, 44.003383960528609, 34.716040875165668, 47.624467999243628];156.751220703;157.154326043;156.842665589;[7.4482656901891202, 10.62238060621489, 8.4029332926463365, 11.906116999810907];[7.4482656901891202, 10.62238060621489, 8.4029332926463365, 11.906116999810907];26929094.1635;41294054.7716;18974892.7527;6953345.18547;0.000254649669871;0.004636636138430001;0.000220324508914;0.00672121784855;0.000370058313083;3.99925173174e-05;0.007682335279399999;0.00364065915494;578.701199548;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Donkstraat_6_1594994;[113.4200718022456, 42.41275685118049, 73.275873037599979, 0.4382168007484788];191.149791718;578.624326329;219.56306749;[28.3550179505614, 10.603189212795122, 18.318968259399995, 0.0];[28.3550179505614, 10.603189212795122, 18.318968259399995, 0.0];39333887.5146;50355907.4906;53542097.3347;9733944.47552;0.00017434038108;0.00317437250837;0.000180675769577;0.005511693697939999;8.55974764231e-05;2.85682518987e-05;0.00548779882221;0.00243949518667;1132.87639446;2.7;1.7;2.09671148973;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
