BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Euselstraat_8_1595156;[91.028254559273321, 55.205508212303513, 89.706515433507022, 45.180973100732494];168.709274292;872.464131555;228.390030073;[22.739774895407617, 13.078172944237885, 22.264459476665131, 8.1650555477636164];[22.739774895407617, 13.078172944237885, 22.264459476665131, 8.1650555477636164];48171379.2957;44444247.2718;80077676.7996;10125272.419;0.000142356001404;0.00259200406962;0.000204707985782;0.00624482030874;5.53266479298e-05;2.74641279993e-05;0.00527570289644;0.00210917350958;1192.26844609;2.7;1.7;2.02221525349;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Euselstraat_3_1592159;[64.771129466393447, 52.05078413511044, 63.208052235602104, 51.298988937983623];199.115501404;593.483244021;225.892422561;[14.740982964429646, 13.01269603377761, 15.802013058900526, 12.824747234495906];[14.740982964429646, 13.01269603377761, 15.802013058900526, 12.824747234495906];39639247.3738;52454369.3118;54875611.6741;10014545.3595;0.000172997354717;0.00314991881647;0.000173447750073;0.00529119578809;8.32604942882e-05;2.77677885277e-05;0.00533403435808;0.002478295584530001;1169.87055189;2.7;1.7;2.08978177919;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Euselstraat_9_1594218;[48.724239270581535, 29.597891670224961, 48.537727338534829, 31.888793195696604];152.779975891;464.308603257;187.988592227;[12.181059817645384, 7.3994729175562401, 12.134431834633707, 7.9721982989241509];[12.181059817645384, 7.3994729175562401, 12.134431834633707, 7.9721982989241509];27202288.9318;40247882.3715;42707798.7325;8334145.35372;0.000252092202824;0.00459007003002;0.000226051454202;0.00689592399938;0.000104688201943;3.33665620099e-05;0.006409526923399999;0.00352072014349;814.556224482;2.7;1.7;2.04190331681;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Euselstraat_12_1592153;[51.875982971591768, 35.498761785700886, 49.754113240558723, 46.972508153648789];188.980186462;184.101366152;208.669618373;[12.968995742897942, 8.8746904464252214, 11.27666774742757, 11.743127038412197];[12.968995742897942, 8.8746904464252214, 11.27666774742757, 11.743127038412197];31546589.5821;49784353.4201;22228491.9945;9251002.4668;0.000217376427357;0.00395796860541;0.000182750035173;0.00557497122896;0.000315892630265;3.00596371844e-05;0.005774285459319999;0.0031145018334;845.947040819;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Euselstraat_6_1595091;[73.078293144590745, 56.022624809208779, 73.102626170957237, 56.291543498997925];150.545555115;559.586197853;165.518792666;[18.269573286147686, 10.786246598438549, 18.275656542739309, 10.831289497264118];[18.269573286147686, 10.786246598438549, 18.275656542739309, 10.831289497264118];44294285.3099;39659253.5014;52148366.061;7337986.100710001;0.000154816471034;0.00281888307488;0.000229406545392;0.00699827438657;9.04107161162e-05;3.78961984838e-05;0.007279644345880001;0.00240235125563;946.0604695010001;2.7;1.7;2.16193971298;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Euselstraat_10_1592154;[47.350262382024951, 39.087708754433109, 46.292867754846583, 39.033369420789484];207.995265961;512.884531493;231.823211779;[11.837565595506238, 9.7719271886082772, 11.573216938711646, 5.7775669939255572];[11.837565595506238, 9.7719271886082772, 11.573216938711646, 5.7775669939255572];29432562.6028;54793626.9095;47139723.009;10277476.5237;0.000232989734235;0.00424225416111;0.000166042893157;0.00506530327749;9.45399327068e-05;2.70573984871e-05;0.00519757246879;0.00358640660501;878.520764598;2.7;1.7;2.03489839869;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Euselstraat_1_1592160;[62.054916100477826, 74.956073686556522, 62.472588506329068, 77.895811110677556];184.260047913;573.153391479;218.8018484;[15.513729025119456, 17.956277941481495, 11.130936892462321, 19.473952777669389];[15.513729025119456, 17.956277941481495, 11.130936892462321, 19.473952777669389];47530194.5823;48540894.7795;53539974.3982;9700197.15889;0.000144276391017;0.00262697033477;0.000187431492146;0.005717783720929999;8.88834063766e-05;2.8667641821e-05;0.005506891061409999;0.00218068855487;1194.12032792;2.7;1.7;2.18395315029;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Euselstraat_13_1595090;[50.422204904692279, 57.004683842585379, 50.847548804512357, 55.80221144870211];152.041973114;518.160595229;178.090873163;[12.60555122617307, 14.251170960646345, 12.711887201128089, 13.950552862175527];[12.60555122617307, 14.251170960646345, 12.711887201128089, 13.950552862175527];36682987.8903;40053465.2118;48032993.4452;7895347.2949;0.000186939105374;0.00340376884094;0.000227148694638;0.00692939640807;9.61094316782e-05;3.52209684207e-05;0.00676574785541;0.00261079187109;949.468578491;2.7;1.7;2.11314729636;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Euselstraat_5_1594932;[64.141730929683177, 55.849518500600666, 63.569988864301983, 55.575921780059645];175.080673218;589.29850651;191.88667224;[16.035432732420794, 13.962379625150167, 15.892497216075496, 13.893980445014911];[16.035432732420794, 13.962379625150167, 15.892497216075496, 13.893980445014911];40977218.1511;46122708.8176;54583777.6343;8506959.911460001;0.000167348718339;0.00304706900096;0.00019725841287;0.00601756369226;8.43020894214e-05;3.26887372973e-05;0.00627932064853;0.00233719249165;1101.15983752;2.7;1.7;2.10579970496;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Euselstraat_11_1595159;[60.021828516898054, 84.005802338769698, 60.93252754403531, 80.956618586016205];163.163593292;285.916776986;163.208226573;[15.005457129224514, 19.572038047604188, 15.233131886008827, 20.239154646504051];[15.005457129224514, 19.572038047604188, 15.233131886008827, 20.239154646504051];48993113.9934;42983310.292;34521736.1565;7235551.195239999;0.000139968342073;0.0025485298034;0.000211665697146;0.00645707220045;0.000203402771262;3.84327012884e-05;0.00738270348544;0.00199468706883;829.070287033;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
