BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Meeuwerstraat_19_1591174;[48.126177341030385, 25.479615350119431, 45.951176651059491, 27.666810311612416];362.209457397;488.979661917;394.083865494;[12.031544335257596, 5.439372802806937, 11.487794162764873, 6.9167025779031039];[12.031544335257596, 5.439372802806937, 11.487794162764873, 6.9167025779031039];25227450.7819;95419334.5702;44776229.6407;17471018.734;0.000271826313247;0.00494938677131;9.53485200834e-05;0.00290870125242;9.79692332362e-05;1.59167465834e-05;0.00305751655593;0.00389479531086;845.056294007;2.7;1.7;2.00108364646;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Meeuwerstraat_4747A_1592323;[73.448334333987304, 67.216911191917347, 79.810501897581545, 63.309080908953916];292.246837616;578.705284265;268.155690981;[18.362083583496826, 8.1861779719372709, 19.952625474395386, 15.688527189607237];[18.362083583496826, 8.1861779719372709, 19.952625474395386, 15.688527189607237];48627795.0901;76988599.2926;54096111.0639;11888213.4261;0.000141019861706;0.00256767576943;0.000118174540415;0.00360503166079;8.82065946543e-05;2.33913850448e-05;0.00449335212228;0.00224680350352;958.7200939510001;2.7;1.7;2.19037884403;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Meeuwerstraat_93_1591392;[71.286928331110886, 44.824918522252659, 60.67087557963653, 50.660588363508097];373.173641205;570.878010809;391.47629874;[17.324499246953081, 10.497499088017594, 15.167718894909132, 12.665147090877024];[17.324499246953081, 10.497499088017594, 15.167718894909132, 12.665147090877024];38973424.9608;98307705.1017;52835071.3219;17355416.8239;0.000175952843394;0.00320373206356;9.25470931215e-05;0.00282324094213;8.68082493612e-05;1.60227657201e-05;0.00307788222952;0.00251060523559;1073.39524745;2.7;1.7;2.09840965406;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Meeuwerstraat_7_1592144;[61.476362175788722, 45.583712614618385, 59.999120471080388, 45.548823938795195];143.038105011;325.548906651;158.824131563;[15.369090543947181, 7.6892035022936813, 14.999780117770097, 7.7002711762320288];[15.369090543947181, 7.6892035022936813, 14.999780117770097, 7.7002711762320288];36431331.6287;37681514.1614;30966677.7618;7041190.01288;0.000188230422334;0.00342728101312;0.00024144710055;0.007365583473659999;0.00016438905318;3.94935766874e-05;0.007586491620089999;0.00305359367152;759.0089250839999;2.7;1.7;2.35307551295;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Meeuwerstraat_85_1594227;[72.402595376326275, 41.722036896593373, 72.021356437372987, 41.951510281240964];206.538825989;228.097498992;214.503476461;[18.100648844081569, 8.0330316957446009, 18.005339109343247, 10.487877570310241];[18.100648844081569, 8.0330316957446009, 18.005339109343247, 10.487877570310241];39085523.0236;54409946.8864;27540607.3094;9509636.358930001;0.000175448207116;0.00319454369584;0.000167213769894;0.005101022034609999;0.000254962307988;2.92421042455e-05;0.0056172420282;0.00255784971987;753.805260846;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Meeuwerstraat_49_1591384;[60.568761264227263, 64.157072780055756, 53.883250512979231, 64.210250473233799];218.002765656;678.824866342;267.237756052;[15.142190316056816, 16.039268195013939, 13.470812628244808, 13.931364215305299];[15.142190316056816, 16.039268195013939, 13.470812628244808, 13.931364215305299];41608175.2402;57429971.5495;62547315.2797;11847518.3869;0.000164810999258;0.00300086246159;0.000158420631129;0.00483277860813;7.20006265779e-05;2.34717321099e-05;0.00450878633683;0.00238509257584;1284.52943582;2.7;1.7;2.05770542163;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Meeuwerstraat_95_1591391;[48.452809995284881, 29.695303439869004, 47.843476691459117, 29.417233969537723];199.999160767;555.4071456290001;227.30650031;[12.11320249882122, 7.4238258599672511, 11.960869172864779, 7.3543084923844306];[12.11320249882122, 7.4238258599672511, 11.960869172864779, 7.3543084923844306];26629994.6257;52687157.79;50740212.4883;10077236.0226;0.000257509813091;0.004688713344810001;0.000172681403215;0.0052678176165;8.55823234287e-05;2.75950446254e-05;0.00530085123623;0.00359638249791;904.567962208;2.7;1.7;1.97981063139;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Meeuwerstraat_13A_1592199;[55.666452997570296, 68.069147663640109, 53.333456720713642, 65.279665327203631];160.940071106;519.349424613;175.986776659;[11.891052155845387, 17.017286915910027, 13.33336418017841, 16.319916331800908];[11.891052155845387, 17.017286915910027, 13.33336418017841, 16.319916331800908];41527533.7216;42397552.5127;48423278.2288;7802065.857460001;0.000165131042567;0.00300668977866;0.000214590036439;0.006546282073399999;9.75603186118e-05;3.56420700395e-05;0.006846639083050001;0.00238598923225;811.9953468880001;2.7;1.7;2.16663905114;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Meeuwerstraat_16_1592114;[50.460741243295573, 36.816403640832831, 46.525016121990738, 35.809443254345538];185.990818024;527.464990186;204.761107396;[12.615185310823893, 9.2041009102082079, 10.996050433224553, 8.9523608135863846];[12.615185310823893, 9.2041009102082079, 10.996050433224553, 8.9523608135863846];29063704.3049;48996843.4825;48409023.1355;9077725.47054;0.000235946693743;0.00429609418895;0.000185687315589;0.00566457588373;9.14927784342e-05;3.06334200838e-05;0.0058845058932;0.00334534585866;871.143794877;2.7;1.7;2.02155992799;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Meeuwerstraat_20_1595036;[53.76418850126079, 70.648031252702069, 53.223000809637213, 65.119762721898439];272.233276367;242.754983285;295.257284105;[13.441047125315198, 17.028771251623617, 13.305750202409303, 16.18834142010963];[13.441047125315198, 17.028771251623617, 13.305750202409303, 16.18834142010963];41597148.2819;71716288.8718;29310359.371;13089715.1435;0.000164854688888;0.003001657958079999;0.000126862285845;0.00387005995899;0.000239567748526;2.12442955936e-05;0.00408090844168;0.00233019150605;1104.84115297;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Meeuwerstraat_14_1592113;[49.971953129261152, 34.618953848523738, 49.624556242864323, 34.564658467450919];177.58065033;523.941422347;203.281890769;[12.492988282315288, 8.6547384621309345, 12.406139060716081, 8.6411646168627296];[12.492988282315288, 8.6547384621309345, 12.406139060716081, 8.6411646168627296];28921226.0605;46781295.024;48088675.9875;9012146.989219999;0.000237109067379;0.00431725857378;0.000194481412581;0.00593284854187;9.21269841506e-05;3.08563295823e-05;0.00592732554097;0.00331146564779;902.488025782;2.7;1.7;2.02213548021;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Meeuwerstraat_97_4752639;[102.61197052991524, 72.680362229607965, 95.486851095468793, 69.755154035865729];216.556903839;894.5107325439999;276.743149006;[25.65299263247881, 10.901601016680551, 23.871712773867198, 17.438788508966432];[25.65299263247881, 10.901601016680551, 23.871712773867198, 17.438788508966432];58352076.4708;57049078.2029;82627814.0069;12268923.354;0.000117519124484;0.00213977665793;0.000159478340846;0.00486504509297;5.50716487949e-05;2.26655403836e-05;0.0043539214882;0.00179448049055;1401.72504162;2.7;1.7;2.08069340646;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Meeuwerstraat_17_1591172;[38.415078097707493, 31.669505632310546, 36.881075731077729, 42.199236616456226];145.225852966;439.61660201;165.690242238;[9.6037695244268733, 7.9173764080776365, 9.2202689327694323, 10.549809154114056];[9.6037695244268733, 7.9173764080776365, 9.2202689327694323, 10.549809154114056];25560069.7321;38257847.6884;40425101.721;7345587.017510001;0.000268288976146;0.00488497928536;0.000237809832187;0.00725462499171;0.000110467535875;3.7856985028e-05;0.00727211166389;0.00374692430791;667.280662132;2.7;1.7;2.03930678549;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Meeuwerstraat_22_1595195;[44.22306016425734, 34.252270752767508, 25.327290657724106, 36.553698952771533];67.2640914917;246.923489717;70.5970890595;[11.055765041064335, 8.563067688191877, 6.3318226644310265, 4.1341037482739056];[11.055765041064335, 8.563067688191877, 6.3318226644310265, 4.1341037482739056];24050681.0541;17719843.3655;23276419.6773;3129798.43511;0.0002851264346000001;0.00519155407254;0.000513440900742;0.0156630243419;0.000211628798906;8.88497401699e-05;0.0170675301096;0.00464445778311;390.819124022;2.7;1.7;2.26842028552;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Meeuwerstraat_5A_1592143;[45.356386500965463, 26.423209079127155, 43.372548225351238, 27.654919254145778];150.978713989;142.80706306;162.028442937;[11.339096625241366, 4.7016709470716087, 10.84313705633781, 6.9137298135364444];[11.339096625241366, 4.7016709470716087, 10.84313705633781, 6.9137298135364444];24470626.7093;39773363.5301;17242596.9689;7183247.551739999;0.000280233318915;0.00510246070348;0.000228748376579;0.0069781962936;0.000407236613814;3.8712542724e-05;0.00743645943474;0.00413423590308;572.5694963340001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Meeuwerstraat_24_1593972;[28.657499908048067, 32.872346522014062, 47.332193005576443, 35.461864407368353];72.2082252502;249.33137302;75.5211294952;[7.1534597083064755, 8.2180866305035156, 11.833048251394111, 4.4089841376306724];[7.1534597083064755, 8.2180866305035156, 11.833048251394111, 4.4089841376306724];24730544.1377;19022310.6083;23529656.1429;3348097.15331;0.0002772880734240001;0.00504883396332;0.000478285342194;0.0145905691314;0.000210219193212;8.3056663236e-05;0.0159547129555;0.00441985372656;406.766660085;2.7;1.7;2.27884373753;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Meeuwerstraat_45_1591375;[80.821487358741564, 75.754529591875411, 76.195766939697563, 76.723853271401481];226.800937653;715.839799149;258.596574927;[19.878552513149195, 17.417707713127285, 19.048941734924391, 18.275812388059169];[19.878552513149195, 17.417707713127285, 19.048941734924391, 18.275812388059169];53033456.7694;59747734.6566;66496237.9346;11464426.7393;0.000129304883302;0.00235437059509;0.000152275101155;0.00464530311592;7.00078021479e-05;2.42560560651e-05;0.004659450510939999;0.00187249389423;1455.3792244;2.7;1.7;2.13235321301;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Meeuwerstraat_5_1592142;[59.541209073966591, 47.590886997430978, 59.433736020429436, 44.278484685024992];116.357563019;348.061411198;133.143357038;[14.87969748847555, 4.8878390220455854, 14.858434005107359, 11.069621171256248];[14.87969748847555, 4.8878390220455854, 14.858434005107359, 11.069621171256248];36129113.3581;30652875.0388;32941610.3013;5902677.80237;0.000189804960634;0.00345595005158;0.0002968104077379999;0.009054496115579999;0.000151751531582;4.71111226217e-05;0.0090497788998;0.00305778716484;668.809257135;2.7;1.7;2.30576757432;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Meeuwerstraat_91_1595118;[72.046570739275808, 61.713150042457286, 72.437563960898487, 57.321877588920216];269.464199066;614.979260598;193.790548703;[18.011642684818952, 12.587145888076272, 18.109390990224622, 14.330469397230054];[18.011642684818952, 12.587145888076272, 18.109390990224622, 14.330469397230054];45155182.902;70986811.7473;57103156.57;8591364.94365;0.000151864846911;0.0027651401932;0.000128165952445;0.00390982960268;8.13874291224e-05;3.23675899659e-05;0.00621763007142;0.00221653534862;815.594619515;2.7;1.7;2.12850089298;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Meeuwerstraat_15_1592198;[69.611185603097226, 44.673680170544102, 63.153326025958329, 45.157782446120457];165.995994568;222.595974246;168.672331272;[14.526892616475894, 9.5663022937887927, 15.788331506489582, 11.289445611530114];[14.526892616475894, 9.5663022937887927, 15.788331506489582, 11.289445611530114];38142812.2395;43729469.2877;26876350.4311;7477792.717739999;0.000179784460978;0.0032734977796;0.000208054030538;0.006346894725470001;0.000261263776158;3.71876820127e-05;0.00714354235863;0.00273059877918;811.1168494010001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Meeuwerstraat_9_1592146;[43.372039952171612, 31.128308183401103, 42.63443153552781, 31.104436951965912];133.924259186;148.239216623;143.649533537;[10.843009988042903, 7.7820770458502757, 10.658607883881952, 7.776109237991478];[10.843009988042903, 7.7820770458502757, 10.658607883881952, 7.776109237991478];25401450.4321;35280590.9214;17898477.9356;6368450.7571;0.000269964306054;0.00491548352751;0.000257878116579;0.0078668279278;0.000392313627351;4.36655300246e-05;0.0083879001449;0.003770321968320001;589.597368844;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
