BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
NieuweKempen_6_1594455;[55.43416607000448, 38.287264974740211, 16.451708632923381, 47.709212467634778];69.62123489380001;436.36729172;86.2896268341;[13.85854151750112, 9.5718162436850527, 4.0935879413935297, 11.927303116908694];[13.85854151750112, 9.5718162436850527, 4.0935879413935297, 11.927303116908694];27053844.6808;18340801.903;40225171.8043;3825499.64354;0.000253475430926;0.00461525571123;0.000496057499924;0.0151327264444;0.000112165008327;7.26916229658e-05;0.0139636476293;0.003541773655619999;528.282383642;2.7;1.7;2.06181069283;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
NieuweKempen_22_1594673;[28.035492530007406, 30.469011371248406, 7.0870603254265738, 27.846897739192805];54.6097106934;245.955666251;66.138690259;[6.8537947913190695, 4.7237617761854835, 1.7717650813566435, 6.9617244347982012];[6.8537947913190695, 4.7237617761854835, 1.7717650813566435, 6.9617244347982012];16011096.8888;14386212.5878;22717469.1822;2932143.12419;0.000428295761763;0.007798367097560001;0.000632417481883;0.0192925230512;0.000200234921111;9.48390873045e-05;0.0182180496537;0.00687937948516;359.672319492;2.7;1.7;2.07989961114;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
NieuweKempen_40_1594449;[46.127030416027026, 96.118502081084088, 46.535228724638394, 95.175167280849223];251.301712036;594.405131994;180.793527428;[7.1742030159795984, 24.029625520271022, 11.633807181159598, 23.793791820212306];[7.1742030159795984, 24.029625520271022, 11.633807181159598, 23.793791820212306];48657113.8668;66202142.57;55487752.7229;8015164.743489999;0.000140934888934;0.00256612859356;0.000137428971109;0.00419240718193;8.55387591197e-05;3.46944556529e-05;0.006664607745159999;0.00209701936329;833.6873422230001;2.7;1.7;2.17771446311;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
NieuweKempen_16_1591443;[48.446385638366976, 80.190542850983519, 50.637292154485067, 80.356657188295628];82.5968093872;496.787051538;89.1199880113;[12.111596409591744, 20.04763571274588, 8.9016529825636024, 20.089164297073907];[12.111596409591744, 20.04763571274588, 8.9016529825636024, 20.089164297073907];44488908.024;21759046.9503;46600220.9838;3950978.75467;0.000154139205551;0.00280655149159;0.0004181291744719999;0.0127554455213;0.000103769749097;7.03830101378e-05;0.013520176226;0.00228499232816;625.271157933;2.7;1.7;2.22262005829;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
NieuweKempen_79_1595038;[85.192599606410184, 50.658933078111893, 54.212870488298641, 62.802225863702546];177.639751434;653.108602913;199.2779319;[7.9753054139247155, 12.664733269527973, 13.541577200228563, 15.700556465925636];[7.9753054139247155, 12.664733269527973, 13.541577200228563, 15.700556465925636];43329823.8464;46796864.4355;60371631.1192;8834638.47765;0.000158262469817;0.00288162748172;0.000194416708221;0.00593087467116;7.55927864675e-05;3.14763052781e-05;0.00604641934849;0.00280114893094;1019.02043005;2.7;1.7;2.08717393694;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
NieuweKempen_26_1591444;[67.042187447677705, 28.364664436852493, 42.56839030830325, 29.433708341952954];89.9152336121;265.192733494;103.14436432;[14.919113814252599, 3.364904328206662, 10.525700160719779, 7.3584270854882385];[14.919113814252599, 3.364904328206662, 10.525700160719779, 7.3584270854882385];28686269.7724;23686989.8998;25167039.8387;4572724.942919999;0.00023905112073;0.00435261929015;0.0003840966022739999;0.0117172481241;0.000200597997035;6.08131434134e-05;0.0116818592185;0.00386327228694;493.108485179;2.7;1.7;2.33127276652;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
NieuweKempen_2_5213692;[87.896159747248646, 34.560527104713046, 87.494374849856769, 46.528622823734587];89.7636795044;490.991128617;102.126456101;[21.498409560418366, 3.3259678091536613, 21.873593712464192, 11.632155705933647];[21.498409560418366, 3.3259678091536613, 21.873593712464192, 11.632155705933647];43948937.0069;23647064.9563;46055311.9489;4527597.76285;0.000156033010254;0.00284103370132;0.0003847450986160001;0.0117370311488;0.000104986818265;6.14192762497e-05;0.0117982938914;0.00239545842679;656.758345256;2.7;1.7;2.22237132114;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
NieuweKempen_4_1591449;[45.709241215491268, 32.95426744693124, 83.740822839529926, 30.717791341966429];105.817955017;399.1461401780001;117.308298839;[11.221785256365155, 3.532692996569343, 20.935205709882482, 7.6794478354916071];[11.221785256365155, 3.532692996569343, 20.935205709882482, 7.6794478354916071];33092336.4445;27876353.4388;37284972.8871;5200658.20028;0.000207222749296;0.00377309143412;0.000326373116145;0.009956335880819999;0.000127627441577;5.3470496817e-05;0.0102713785392;0.00322181671517;556.99308554;2.7;1.7;2.18383813196;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
NieuweKempen_18_1594452;[92.123702706950297, 73.871817927767836, 90.461013433905535, 57.665017389972512];136.830108643;710.937850897;150.175840724;[23.030797766220211, 6.4278721523069624, 22.615124628982468, 14.416254347493128];[23.030797766220211, 6.4278721523069624, 22.615124628982468, 14.416254347493128];53826127.8007;36046098.8778;66108884.7327;6657783.16857;0.000127400673592;0.00231969893201;0.000252401580805;0.00769976076774;7.07073063496e-05;4.17679234519e-05;0.00802338070731;0.00210147828242;1101.99473747;2.7;1.7;2.14184108507;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
NieuweKempen_24_1591445;[33.381694846300306, 31.246514309575094, 25.212662182338512, 28.443098067697683];58.1329803467;213.154529098;70.7845024944;[8.3375684714462466, 5.2753688927677622, 6.2615194780984869, 7.1107745169244208];[8.3375684714462466, 5.2753688927677622, 6.2615194780984869, 7.1107745169244208];20268485.3187;15314371.8033;20064100.5143;3138107.08187;0.0003383323830490001;0.00616032274788;0.000594088510809;0.0181232597415;0.000244189575373;8.86144960924e-05;0.0170223410593;0.00517792091125;372.76504302;2.7;1.7;2.25492121095;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
