BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Omlooplaan_134_1592119;[82.572854958221797, 94.760746450718301, 76.274333998842621, 96.979919121209122];489.541912079;815.644319678;505.846115854;[20.310283610782463, 23.619654746533939, 19.022016906469332, 22.896393780921343];[20.310283610782463, 23.619654746533939, 19.022016906469332, 22.896393780921343];60074791.3526;128963400.985;75746590.4346;22425802.5777;0.000114149126185;0.00207841606042;7.0547862953e-05;0.0021521325884;6.13910329579e-05;1.24000814143e-05;0.00238198516388;0.00162760723188;1282.77981331;2.7;1.7;2.12982933378;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Omlooplaan_39_1592216;[53.660165688459919, 46.529939719174671, 53.07074891861204, 45.419710439656029];210.095233917;618.8710326;242.801448091;[13.41504142211498, 11.632484929793668, 13.26768722965301, 11.354927609914007];[13.41504142211498, 11.632484929793668, 13.26768722965301, 11.354927609914007];34044800.2404;55346835.9462;56794716.8889;10764177.4243;0.00020142532458;0.00366753249519;0.000164383242205;0.00501467397774;7.79649302281e-05;2.58340016874e-05;0.004962564896729999;0.00281310643373;1187.1056513;2.7;1.7;2.02103710515;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Omlooplaan_106_1592091;[99.381695889808341, 46.473116250397467, 91.404731310344204, 33.63623304349521];200.173187256;567.095285161;210.192175225;[24.280822580175506, 11.618279062599367, 22.851182827586051, 5.3392458770544646];[24.280822580175506, 11.618279062599367, 22.851182827586051, 5.3392458770544646];46419198.6144;52733002.7879;52938237.3279;9318502.36118;0.000147729498642;0.00268984417872;0.000172531277523;0.005263237883229999;8.96574000502e-05;2.98418959362e-05;0.00573245860308;0.00218019063321;1108.55303202;2.7;1.7;2.17769005242;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Omlooplaan_30_1591150;[69.583451704003934, 42.963746706774621, 70.286775567945384, 40.644650967962441];163.297920227;550.074465401;208.878461422;[16.702113232958894, 10.740936676693655, 15.85044434684794, 10.16116274199061];[16.702113232958894, 10.740936676693655, 15.85044434684794, 10.16116274199061];38294058.3709;43018696.9626;50953256.0398;9260261.158019999;0.000179074384654;0.00326056877974;0.000211491583451;0.00645176068934;9.03275000716e-05;3.00295826434e-05;0.0057685121528;0.00261394238773;903.231208637;2.7;1.7;2.1062697671;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Omlooplaan_86_1592170;[49.195996990192043, 47.15875131229339, 49.030021731684485, 43.132341299184937];139.741142273;424.488630804;171.10054442;[12.298999247548011, 9.2524065517943654, 12.250344597045727, 10.783085324796234];[12.298999247548011, 9.2524065517943654, 12.250344597045727, 10.783085324796234];32303247.1988;36812972.5368;39482150.7292;7585443.29956;0.000212284693748;0.00386525882074;0.000247143648329;0.00753936231832;0.000118507658125;3.66599243791e-05;0.00704216311673;0.00313396677345;742.526908186;2.7;1.7;2.1441040293;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Omlooplaan_34_1592230;[45.704201764338038, 37.498757055105003, 45.350868243856816, 36.433413695550087];205.22870636;575.4446534790001;246.36040665;[11.426050441084509, 9.3746892637762507, 11.337717060964204, 9.1083534238875217];[11.426050441084509, 9.3746892637762507, 11.337717060964204, 9.1083534238875217];28271299.0093;54064813.0401;52610715.4689;10921957.6257;0.000242559952282;0.004416507749869999;0.000168281213363;0.00513358545722;8.28127251825e-05;2.54607999109e-05;0.00489087495656;0.003387592715829999;1055.12665531;2.7;1.7;1.98671261391;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Omlooplaan_73_1595092;[65.966461514945081, 69.960081001245925, 62.053597174716266, 69.70675804711621];198.01858139;648.805351718;228.199114921;[16.49161537873627, 17.490020250311481, 14.542244383433296, 17.321454263697923];[16.49161537873627, 17.490020250311481, 14.542244383433296, 17.321454263697923];45869342.9385;52165400.1101;60139956.7899;10116808.5298;0.000149500396111;0.00272208850563;0.000174408560452;0.005320506262470001;7.67423735378e-05;2.74871049428e-05;0.00528011663668;0.00212205458877;1214.09640611;2.7;1.7;2.11258429362;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Omlooplaan_58_1595175;[53.763207144474734, 57.43501169614261, 50.522965588665187, 53.198664767449792];187.242847443;963.8912389669999;228.104309559;[13.440801786118683, 14.358752924035652, 12.630741397166297, 13.299666191862448];[13.440801786118683, 14.358752924035652, 12.630741397166297, 13.299666191862448];36827474.0019;49326674.2243;87507344.9968;10112605.4999;0.000186205682701;0.00339041475306;0.000184445687484;0.005626698785890001;4.82623065058e-05;2.74985292115e-05;0.00528231117378;0.00260054888876;1212.02137441;2.7;1.7;1.92297105784;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Omlooplaan_52_1594921;[89.669570122059042, 50.200370658925571, 90.095338069657856, 45.195154440194784];170.643520355;616.4474740009999;200.179732942;[22.417392530514761, 12.550092664731393, 22.523834517414464, 11.298788610048696];[22.417392530514761, 12.550092664731393, 22.523834517414464, 11.298788610048696];47149966.563;44953799.0476;57350503.6325;8874618.24913;0.000145439868541;0.00264815481909;0.000202387618652;0.00617403520614;8.16642642652e-05;3.13345058838e-05;0.00601918049077;0.00203121345724;1159.63926802;2.7;1.7;2.14636476731;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Omlooplaan_120_1592194;[23.737690635244508, 34.818904116380089, 23.610655262416081, 34.213629399124919];108.329093933;116.380879413;125.685822476;[5.9344226588111271, 8.7047260290950224, 5.9026638156040203, 8.5534073497812297];[5.9344226588111271, 8.7047260290950224, 5.9026638156040203, 8.5534073497812297];19942382.3668;28537880.0762;14051886.1996;5572061.054380001;0.000343864880962;0.00626105792563;0.000318807574855;0.00972554153386;0.000499706352816;4.99064484452e-05;0.009586745103270001;0.00480241752613;477.909468952;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Omlooplaan_12_4752664;[73.49392745527652, 70.021178772922696, 69.529956595366997, 70.556691509727443];210.51650238;704.634759094;229.188029562;[18.37348186381913, 17.442016323142433, 17.382489148841749, 17.639172877431861];[18.37348186381913, 17.442016323142433, 17.382489148841749, 17.639172877431861];48596424.5444;55457813.6018;65243232.5259;10160650.3303;0.000141110894535;0.00256933328623;0.000164054291861;0.005004639020979999;7.04255313395e-05;2.73685018877e-05;0.005257333663869999;0.00197251546123;1474.47715751;2.7;1.7;2.10248050593;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
