BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Priemstraat_20_1594871;[82.495730204978599, 111.69241223218347, 38.847869117478943, 73.442285697898896];210.563804626;727.605906505;237.830627436;[19.229802692036039, 27.920861627742884, 9.7119672793697358, 18.360571424474724];[19.229802692036039, 27.920861627742884, 9.7119672793697358, 18.360571424474724];52516422.1285;55470274.7586;67507531.9653;10543804.787;0.000130577915645;0.00237754984276;0.000164017437775;0.00500351475051;6.86257335764e-05;2.63739497613e-05;0.00506628585292;0.00185750391014;1474.85266527;2.7;1.7;2.12121469124;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Priemstraat_2_1591158;[37.205910743711733, 48.489590566247458, 40.461279063542499, 48.184501723112142];222.022766113;618.3868143230001;250.894116094;[9.3014776859279333, 12.122397641561864, 10.115319765885625, 12.046125430778035];[9.3014776859279333, 12.122397641561864, 10.115319765885625, 12.046125430778035];29874155.6811;58488987.9855;56507006.6736;11122951.7023;0.000229545732166;0.00417954611024;0.000155552227043;0.00474527509415;7.69263678897e-05;2.50007179018e-05;0.00480249581747;0.00320583609503;1042.80399729;2.7;1.7;1.98192917129;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Priemstraat_18_1594870;[43.697320227045651, 64.289173572107984, 43.068029850067717, 63.706651205423327];148.403991699;511.569158253;409.318435893;[10.924330056761413, 16.072293393026996, 10.767007462516929, 15.926662801355832];[10.924330056761413, 16.072293393026996, 10.767007462516929, 15.926662801355832];36800284.4462;39095086.6861;47456317.1482;18146416.7601;0.000186343259077;0.00339291973018;0.000232717026865;0.00709926391001;9.756150695999999e-05;1.53243354554e-05;0.00294371774519;0.00260247028067;999.519077088;2.7;1.7;2.11980868352;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Priemstraat_5_1595128;[44.316093173712012, 63.909455249753329, 43.89746297330138, 63.939631004580505];178.366931915;929.530370062;223.585800725;[11.040081921932256, 15.977363812438332, 10.919127960770664, 15.984907751145126];[11.040081921932256, 15.977363812438332, 10.919127960770664, 15.984907751145126];37023296.7106;46988430.603;84476332.3175;9912285.31581;0.000185220808192;0.00337248225488;0.000193624094737;0.005906695210029999;5.02302038929e-05;2.80542547843e-05;0.00538906289784;0.002591312219219999;1165.024809;2.7;1.7;1.93244280054;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Priemstraat_21_1591163;[59.315982717267673, 67.630889421382719, 56.354402118601243, 66.095384201952768];172.098018646;249.396658459;177.466586273;[13.672870028399913, 15.51182428962181, 14.088600529650311, 16.523846050488192];[13.672870028399913, 15.51182428962181, 14.088600529650311, 16.523846050488192];42735228.9232;45336967.5603;30112278.5882;7867670.6278;0.000160464448453;0.0029217208921;0.000200677125714;0.00612185492116;0.000233187826767;3.53448677378e-05;0.00678954821005;0.00233669021046;877.5509711410001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Priemstraat_19_1591164;[49.680138711224771, 54.099190972235441, 47.773905169920795, 50.766977955851445];139.277294159;452.992866007;183.588188388;[12.420034677806193, 13.503551599568278, 11.943476292480199, 9.9719575252268129];[12.420034677806193, 13.503551599568278, 11.943476292480199, 9.9719575252268129];34668470.1536;36690777.8302;42144897.8999;8139061.147960001;0.000197801775166;0.00360155526392;0.000247966733785;0.00756447135719;0.000111140863218;3.41663212364e-05;0.00656315612539;0.00292078293979;827.534212815;2.7;1.7;2.14663002001;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Priemstraat_8_4752642;[65.068947556498117, 81.82709692126906, 63.489291292104276, 80.921404346857756];215.399177551;656.9239657640001;234.677854501;[11.079702272643132, 20.456774230317265, 15.872322823026069, 20.230351086714439];[11.079702272643132, 20.456774230317265, 15.872322823026069, 20.230351086714439];49916708.1976;56744090.3851;61096820.5338;10404032.1146;0.000137378548912;0.0025013751043;0.000160335504136;0.004891193709970001;7.65604764186e-05;2.67282698362e-05;0.00513434872555;0.00206577688953;1398.98783171;2.7;1.7;2.14344057349;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Priemstraat_22_1591162;[50.731590104571978, 112.91013502103783, 73.859332655606039, 79.24026844273213];194.778141022;619.530167472;201.296977629;[11.285956942300697, 21.932183565251655, 18.46483316390151, 17.239719136327402];[11.285956942300697, 21.932183565251655, 18.46483316390151, 17.239719136327402];54275037.8824;51311748.563;58042883.0114;8924149.33775;0.000126346939702;0.00230051264901;0.000177310120848;0.005409021242560001;8.29244144208e-05;3.11605921438e-05;0.005985772649750001;0.00202730607377;1155.31937189;2.7;1.7;2.21126053719;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Priemstraat_15_1595126;[57.408879875906663, 64.213404097725373, 57.787304802370286, 61.283092716853091];178.288475037;597.2696315659999;204.106109673;[14.352219968976666, 16.053351024431343, 14.446826200592572, 15.320773179213273];[14.352219968976666, 16.053351024431343, 14.446826200592572, 15.320773179213273];41243763.6786;46967762.1666;55305183.722;9048687.29238;0.000166267195984;0.00302737674832;0.000193709300144;0.00590929448556;8.30992691877e-05;3.07317259132e-05;0.005903389884319999;0.00232208794856;1151.15785235;2.7;1.7;2.10298831344;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Priemstraat_12_1595047;[84.976385500491688, 88.443174976597419, 84.912288952451291, 96.032484460290149];115.357067108;801.312331937;125.23164544;[21.244096375122922, 22.110793744149355, 21.228072238112823, 23.673575413554957];[21.244096375122922, 22.110793744149355, 21.228072238112823, 23.673575413554957];60721907.9219;30389307.5032;74515793.706;5551925.910069999;0.000112932632938;0.00205626627105;0.000299384654871;0.00913302607966;6.2740582278e-05;5.00874439336e-05;0.009621513307899999;0.00158319595669;944.229057266;2.7;1.7;2.14222997671;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
