BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Steendaalstraat_43_1591472;[60.347750249704831, 17.255268246718458, 63.620244831570375, 91.59037081078165];275.412876129;574.155293685;196.560904653;[15.086937562426208, 3.5865090694402073, 8.4278815945853758, 22.421997010597032];[15.086937562426208, 3.5865090694402073, 8.4278815945853758, 22.421997010597032];39893653.7996;72553912.7584;53179339.6927;8714183.828019999;0.000171894130658;0.00312983142133;0.000125397680052;0.00382538070543;8.65166057808e-05;3.19113967793e-05;0.00612999795304;0.00282144611819;818.99410385;2.7;1.7;2.10548896213;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Steendaalstraat_15_1594357;[75.833727591740001, 30.954260398887378, 70.358782188596692, 28.83631686166267];90.4329185486;306.474000432;101.330781694;[18.958431897935, 2.7994034871758391, 15.117417160548863, 7.2090792154156675];[18.958431897935, 2.7994034871758391, 15.117417160548863, 7.2090792154156675];35296119.9776;23823367.2117;29211246.1147;4492322.93001;0.000194284384318;0.00353751095738;0.000381897834078;0.0116501725177;0.000175521403563;6.19015556264e-05;0.0118909370187;0.003169547732;477.625961573;2.7;1.7;2.37210623658;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Steendaalstraat_25_1594578;[93.476966782706342, 82.006633671396088, 98.659107771080286, 64.154152685320639];176.503940582;1044.31262324;220.339090511;[22.511724356020597, 19.698733199954557, 23.82495413314436, 14.412997667201068];[22.511724356020597, 19.698733199954557, 23.82495413314436, 14.412997667201068];57968674.8183;46497649.952;95868653.74299999;9768348.098539999;0.000118296389561;0.00215392902399;0.000195667788544;0.005969040118289999;4.62507272391e-05;2.84676359748e-05;0.00546847107509;0.0017368571345;1417.2102524;2.7;1.7;2.02394213513;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Steendaalstraat_31_4754185;[90.636292851871588, 27.383021189251348, 16.932691488618183, 64.340120122484862];93.3842163086;311.432392071;100.152567799;[21.299250683677904, 5.6807995637215081, 2.6237164520400067e-05, 16.085030030621216];[21.299250683677904, 5.6807995637215081, 2.6237164520400067e-05, 16.085030030621216];34149593.9238;24600847.928;29582461.8822;4440088.87824;0.000200807217619;0.00365627806446;0.000369828404502;0.0112819825878;0.000171222717167;6.26297773242e-05;0.012030824268;0.0032445616662;576.21205026;2.7;1.7;2.33992099321;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Steendaalstraat_16_1591468;[50.395066579014468, 55.052224191167454, 59.695343015341919, 53.902447449926903];159.006313324;484.12238989;189.967124072;[11.953538342737929, 13.763056047791864, 13.152026230667916, 11.640928223014157];[11.953538342737929, 13.763056047791864, 13.152026230667916, 11.640928223014157];37534350.8968;41888129.3681;45069531.7159;8421860.10165;0.000182698908462;0.00332656375268;0.000217199776544;0.006625894785859999;0.000104188746875;3.30190450076e-05;0.006342770882380001;0.0027663560049;897.581317523;2.7;1.7;2.15245806806;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Steendaalstraat_21_1591474;[55.438942264875138, 58.648310298179467, 52.849282121055843, 60.917183953334273];101.189113617;580.143193125;158.944842621;[13.859735566218784, 11.961882186917244, 13.212320530263961, 15.229295988333568];[13.859735566218784, 11.961882186917244, 13.212320530263961, 15.229295988333568];39043750.1734;26656945.8358;53659514.5815;7046541.52645;0.000175635918891;0.00319796153339;0.000341302878231;0.0104117830932;8.52601886047e-05;3.94635831919e-05;0.00758073004007;0.00257499199274;735.188618432;2.7;1.7;2.09275427401;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Steendaalstraat_20_1594671;[27.030934131417787, 34.764655993640297, 27.229724573898775, 84.112249272034433];125.957317352;425.052198676;134.262877847;[6.7577335328544468, 2.6207897183223809, 6.8074311434746937, 21.028062318008608];[6.7577335328544468, 2.6207897183223809, 6.8074311434746937, 21.028062318008608];29667893.2156;33181804.5071;39377027.3006;5952309.79887;0.000231141621308;0.00420860390275;0.000274189197174;0.00836441363248;0.000116937117781;4.67182971217e-05;0.00897431935387;0.00375469798998;741.587382469;2.7;1.7;2.10733247472;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Steendaalstraat_45_4753384;[57.031599182049355, 61.376815387770307, 57.49971801552352, 63.217064557240569];136.308868408;511.742933959;169.827669238;[14.257899795512339, 15.344203846942577, 14.37492950388088, 15.804266139310142];[14.257899795512339, 15.344203846942577, 14.37492950388088, 15.804266139310142];40975168.2493;35908784.9693;47717349.3266;7529012.605219999;0.000167357090444;0.00304722143943;0.000253366755416;0.00772920437735;9.90303637947e-05;3.69346941392e-05;0.00709494482599;0.00233730941648;882.619591174;2.7;1.7;2.1672760116;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Steendaalstraat_19_1594359;[72.387739313248687, 31.082387737090265, 64.942062661585069, 30.833478410748928];76.8030929565;294.050042817;88.2793112383;[17.608280711482386, 3.3030790218359756, 14.378236026450708, 7.1497201180039758];[17.608280711482386, 3.3030790218359756, 14.378236026450708, 7.1497201180039758];34141633.2191;20232768.2869;28043387.6993;3913708.82068;0.000200854039251;0.00365713058812;0.000449671157679;0.013717665029;0.000183206308662;7.10532618764e-05;0.0136489277756;0.00329240448061;428.091927863;2.7;1.7;2.37759101891;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Steendaalstraat_14_1595184;[77.924834661627443, 62.127331997931996, 71.584541932633854, 62.783855383561978];138.426403046;759.9411480819999;172.054659097;[19.481208665406861, 15.531832999482999, 17.896135483158464, 10.467193845626756];[19.481208665406861, 15.531832999482999, 17.896135483158464, 10.467193845626756];47023186.6585;36466621.7179;70047449.2874;7627742.30453;0.000145831991108;0.00265529454821;0.000249490956661;0.00761096928904;6.4390879472e-05;3.64566298443e-05;0.00700311139201;0.00220472380414;1054.07260859;2.7;1.7;2.06110765244;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
