BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Vekenstraat_12_1594936;[45.456335607948006, 72.410881275813239, 37.259656155622416, 71.814618730904684];135.875419617;498.692331004;148.559629815;[11.364083901987001, 18.10272031895331, 9.3012340987907098, 17.953062878698642];[11.364083901987001, 18.10272031895331, 9.3012340987907098, 17.953062878698642];38887436.0342;35794598.5658;46439075.9108;6586131.28546;0.000176341914973;0.0032108162406;0.000254175006933;0.007753860892159999;0.0001012292153;4.22223253214e-05;0.00811066872386;0.00246341116089;862.4564496639999;2.7;1.7;2.15507315365;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vekenstraat_17_1593973;[65.51471509374494, 51.074119610165738, 56.802221537962239, 51.451779439774185];154.149085999;533.141007679;185.790720104;[16.378678773436235, 12.768529902541434, 14.20055538449056, 12.862944859943546];[16.378678773436235, 12.768529902541434, 14.20055538449056, 12.862944859943546];38527821.9602;40608556.4862;49467792.1175;8236706.538310001;0.000177987869279;0.00324078561468;0.000224043726885;0.006834676284630001;9.36730894323e-05;3.37612826742e-05;0.00648535051963;0.0024857788922;1046.23615881;2.7;1.7;2.12173239808;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vekenstraat_19_1594869;[56.346287017034797, 35.347570255990973, 56.994139064607872, 32.459273862923872];142.610206604;466.367683409;157.667292757;[14.086571754258699, 8.8368925639977434, 14.248534766151968, 8.1148184657309681];[14.086571754258699, 8.8368925639977434, 14.248534766151968, 8.1148184657309681];31040392.0752;37568789.934;43115655.9602;6989903.5883;0.000220921337657;0.00402251398343;0.000242171556619;0.007387683725169999;0.000105905867146;3.97833495457e-05;0.00764215533926;0.00308538778631;783.921814425;2.7;1.7;2.08842157518;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vekenstraat_11_1592102;[28.496524924876113, 58.886220908957704, 33.381369980635085, 48.104532222944975];134.455638885;328.181376919;156.541469328;[6.1207562010746068, 13.717197046251146, 5.9540016425250615, 12.026133055736244];[6.1207562010746068, 13.717197046251146, 5.9540016425250615, 12.026133055736244];28936395.445;35420575.9392;30757762.8811;6939992.17618;0.000236984767218;0.00431499532868;0.0002568589611359999;0.00783573757936;0.000156699199277;4.00694655966e-05;0.00769711660649;0.00369472390966;615.767396083;2.7;1.7;2.21455889918;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vekenstraat_24_4752925;[58.39594520926854, 68.674006230160515, 60.416364665309224, 65.680652031768261];171.868671417;596.904310971;203.927453395;[14.598986302317135, 17.168501557540129, 15.104091166327306, 16.420163007942065];[14.598986302317135, 17.168501557540129, 15.104091166327306, 16.420163007942065];43381288.2897;45276549.0386;55398550.7079;9040766.87887;0.000158074718595;0.002878208925929999;0.000200944915896;0.006130024126470001;8.3732423915e-05;3.07586492905e-05;0.00590856171206;0.00220767179508;1136.83905429;2.7;1.7;2.12413325467;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vekenstraat_3_1592197;[38.958223760848718, 65.702734749776496, 38.74053924174487, 63.320896721025257];162.976825714;488.198262698;184.569947575;[9.7395559402121794, 16.425683687444124, 7.5525294697259664, 15.830224180256314];[9.7395559402121794, 16.425683687444124, 7.5525294697259664, 15.830224180256314];35422803.6011;42934108.8213;45306153.497;8182585.723939999;0.00019358955931;0.00352485965199;0.000211908261017;0.00646447185209;0.000102353699482;3.39845847176e-05;0.00652824557303;0.00282004142866;840.091324083;2.7;1.7;2.1234394308;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vekenstraat_5_1592105;[28.317242121655518, 48.776556321588423, 28.944407866287822, 47.970314780401438];167.714622498;154.00852109;179.773561634;[7.0793105304138795, 12.194139080397106, 4.9132518971800421, 11.992578695100359];[7.0793105304138795, 12.194139080397106, 4.9132518971800421, 11.992578695100359];26390046.4648;44182219.2921;18595066.6728;7969946.344439999;0.000259851188508;0.00473134487809;0.000205922031179;0.00628185596869;0.000377617188825;3.48912986018e-05;0.00670242015687;0.00386208329645;649.6044695019999;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vekenstraat_8_1592195;[49.732729817406764, 57.408938812331627, 50.756650976823742, 56.460265616059246];100.457687378;415.2739599780001;113.057695615;[10.007536543879311, 14.352234703082907, 11.533427668657566, 14.115066404014811];[10.007536543879311, 14.352234703082907, 11.533427668657566, 14.115066404014811];36731298.9185;26464261.179;38927060.1319;5012215.1427;0.000186693232763;0.00339929201662;0.000343787883481;0.0104875906451;0.000123896939866;5.5480814336e-05;0.010657549109;0.00279408599472;660.702185344;2.7;1.7;2.21618595405;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vekenstraat_14_1592095;[27.115693448858146, 42.699850255232256, 27.505770826745305, 43.202858204416771];155.26833725;140.524172735;165.191661112;[4.4729353181382843, 10.674962563808064, 6.8764427066863263, 10.800714551104193];[4.4729353181382843, 10.674962563808064, 6.8764427066863263, 10.800714551104193];24079443.278;40903408.5599;16966959.6374;7323483.295539999;0.000284785859021;0.0051853529059;0.000222428708485;0.00678540854519;0.000413852390354;3.79712449011e-05;0.00729406033612;0.00425672990206;577.1285110580001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vekenstraat_9_1592103;[53.597833536886021, 58.005438929589403, 54.671757784330893, 53.421496198559097];204.360542297;565.00611965;237.089674734;[13.399458384221505, 14.501359732397351, 13.667939446082723, 12.867025824092332];[13.399458384221505, 14.501359732397351, 13.667939446082723, 12.867025824092332];37645978.9375;53836106.5957;52237148.6566;10510955.9452;0.000182157168766;0.00331669980959;0.000168996105289;0.00515539394508;8.74291857237e-05;2.64563736347e-05;0.00508211901056;0.00256682985082;1071.97798061;2.7;1.7;2.08883919803;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
