BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Waardstraat_16_1592134;[45.707176286481911, 21.883853709552302, 25.934840163375178, 23.222863313127302];115.311607361;116.748733473;122.644159476;[11.426794071620478, 5.4709634273880754, 6.4837100408437944, 5.8057158282818255];[11.426794071620478, 5.4709634273880754, 6.4837100408437944, 5.8057158282818255];20005415.7993;30377331.7286;14096301.0846;5437214.246619999;0.000342781425163;0.006241330469020001;0.000299502682458;0.009136626628360001;0.0004981318688369999;5.11441641125e-05;0.0098245032484;0.00478728598055;477.212421439;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Waardstraat_10_1595198;[56.961623474717513, 48.960790525533568, 58.528548206977447, 48.263105418634908];202.918525696;212.714067626;215.377759566;[14.240405868679378, 12.240197631383392, 14.632137051744362, 9.477201466878018];[14.240405868679378, 12.240197631383392, 14.632137051744362, 9.477201466878018];36449503.4991;53456226.2205;25683204.0315;9548396.17083;0.00018813658021;0.00342557234495;0.000170197056206;0.005192030144899999;0.000273401122164;2.91234017492e-05;0.00559443995332;0.00276195995043;754.340758021;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Waardstraat_1_1594382;[23.437263378970776, 39.03669790716333, 23.538540853019224, 29.805448243590014];100.005146027;115.817950383;106.620678072;[5.8593158447426941, 9.7591744767908324, 5.8846352132548061, 7.4513620608975035];[5.8593158447426941, 9.7591744767908324, 5.8846352132548061, 7.4513620608975035];19845921.9686;26345045.0908;13983917.864;4726841.23136;0.000345536223991;0.00629148957509;0.0003453435857580001;0.0105350488873;0.0005021351577790001;5.88303613625e-05;0.0113009780557;0.00482575950578;409.801946921;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Waardstraat_18_1592133;[35.152588527718123, 29.283386155750353, 56.684334335948535, 27.208550700490157];127.736351013;148.32885972;135.580291529;[7.633781248070755, 7.3208465389375883, 10.555662320737174, 6.8021376751225393];[7.633781248070755, 7.3208465389375883, 10.555662320737174, 6.8021376751225393];25416811.1762;33650467.6097;17909301.4884;6010715.02964;0.000269801152124;0.0049125128368;0.000270370457972;0.008247919202449999;0.0003920765311540001;4.62643423242e-05;0.00888711721731;0.0043242616955;526.9472099440001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Waardstraat_19_1592132;[35.282264975713368, 51.57751617394397, 37.845054598914878, 30.70832568276666];90.84797286989999;278.763472711;95.0947135046;[8.8205662439283419, 12.894379043485992, 3.4871225719834626, 7.6714779437976732];[8.8205662439283419, 12.894379043485992, 3.4871225719834626, 7.6714779437976732];26630737.8474;23932707.8331;26247114.8098;4215857.75674;0.0002575026264;0.00468858249025;0.0003801530692659999;0.0115969467352;0.000186859901263;6.59609013847e-05;0.0126707142675;0.00425045094273;475.20845806;2.7;1.7;2.25750905928;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Waardstraat_7_1592155;[47.711557710075589, 30.122452139677538, 45.089472822195134, 29.841163387739261];166.503112793;152.76464606;183.532933302;[11.36054729636683, 4.4125701517533473, 11.272368205548783, 7.4602908469348153];[11.36054729636683, 4.4125701517533473, 11.272368205548783, 7.4602908469348153];26176902.9347;43863062.938;18444880.573;8136611.510360001;0.000261967007929;0.004769869509970001;0.000207420360759;0.00632756399985;0.000380691909346;3.41766074723e-05;0.00656513205284;0.004049391375020001;657.209868585;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Waardstraat_12_1595070;[41.831472007624562, 29.079589586717269, 43.072563942009381, 28.700255706144475];149.21913147;142.683881242;158.443552365;[10.457868001906141, 7.2698973966793172, 10.768140985502345, 4.9741250631792724];[10.457868001906141, 7.2698973966793172, 10.768140985502345, 4.9741250631792724];24449518.9559;39309824.5758;17227723.9341;7024317.69994;0.000280475249882;0.00510686575874;0.000231445762905;0.00706048274102;0.0004075881892380001;3.95884397066e-05;0.007604714266939999;0.00417470159746;574.26806618;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Waardstraat_13_1594494;[60.146752314168488, 46.142396389519405, 21.858695147642216, 41.855289758795841];195.048366547;170.00313361;200.600953607;[14.635126037945053, 11.089056129783399, 5.213758887549047, 10.46382243969896];[14.635126037945053, 11.089056129783399, 5.213758887549047, 10.46382243969896];29130794.6039;51382935.936;20526264.2722;8893292.33041;0.000235403291668;0.00428619997742;0.00017706447039;0.00540152743151;0.000342089369496;3.12687098785e-05;0.0060065414521;0.00337491406053;711.9685486489999;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Waardstraat_11_1592157;[47.316906968859492, 29.580959022053392, 46.261370836450773, 31.271845280533974];158.778144836;154.431082108;174.639109115;[11.829226742214873, 4.7718178725513711, 11.565342709112693, 7.8179613201334934];[11.829226742214873, 4.7718178725513711, 11.565342709112693, 7.8179613201334934];26462454.1784;41828021.3704;18646086.9036;7742319.37462;0.000259140172428;0.004718398767239999;0.000217511898496;0.00663541637583;0.000376583936312;3.59171153099e-05;0.006899473716279999;0.00388300466773;657.596286926;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Waardstraat_20_1592131;[34.506438435739703, 51.498692323977302, 36.142833483420134, 69.40365605699526];87.9960250854;331.929664429;93.08715669959999;[8.6266096089349258, 9.7092232797869045, 7.1170564788577568, 16.875349914468487];[8.6266096089349258, 9.7092232797869045, 7.1170564788577568, 16.875349914468487];32823223.8343;23181399.5659;31318643.0409;4126856.23797;0.000208921737038;0.003804026435800001;0.000392473815602;0.0119728033323;0.000157827467871;6.73834419492e-05;0.012943976225;0.00330104431746;527.5872491519999;2.7;1.7;2.27708496958;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
