BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Alsemstraat_4_1591781;[50.301162791045726, 51.738858575672474, 47.604670260671263, 58.725697610881014];308.348049164;507.57903792;334.893692581;[12.457811547450335, 12.760627915159779, 11.896858191405924, 14.680028345956247];[12.457811547450335, 12.760627915159779, 11.896858191405924, 14.680028345956247];32833861.6262;107413442.371;47038644.7992;14845268.4172;0.000160699769252;0.00685397104359;0.000148226920833;0.00439724468305;9.80278174496e-05;1.91579829059e-05;0.00412003754959;0.00269768345024;944.971196514;2.7;1.7;2.11051811377;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Alsemstraat_5_1595102;[88.291317407174404, 92.669305866952953, 88.201663777530939, 87.059021022892779];245.97946167;864.969362579;269.371511277;[20.040941683468809, 21.806683746661601, 21.500981376120176, 21.764755255723195];[20.040941683468809, 21.806683746661601, 21.500981376120176, 21.764755255723195];56131397.4618;85687264.1232;80170363.1189;11940781.4403;9.40007593889e-05;0.00400920602392;0.000185810154889;0.00551217492107;5.75494070968e-05;2.38179887968e-05;0.00512219938186;0.00164166225332;1250.52423161;2.7;1.7;2.11183112777;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Alsemstraat_3_1591773;[55.69794531016295, 54.425849653122413, 45.312896447982595, 54.434161647469864];189.587890625;589.0466343090001;228.951015166;[13.924486327540738, 13.606462413280603, 11.328224111995649, 13.608540411867466];[13.924486327540738, 13.606462413280603, 11.328224111995649, 13.608540411867466];33070296.4749;66043187.2981;54266696.7947;10149009.521;0.000159550852257;0.00680496883377;0.000241078065281;0.00715173218735;8.29337802996e-05;2.80229709098e-05;0.00602650565909;0.00266311194172;1022.47350525;2.7;1.7;2.05628902847;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Alsemstraat_10_1595143;[71.190663290499671, 63.343236121601372, 71.991511028722599, 64.118954356004394];198.017421722;666.679208242;225.508968426;[17.797665822624918, 15.835809030400343, 17.99787775718065, 16.029738589001099];[17.797665822624918, 15.835809030400343, 17.99787775718065, 16.029738589001099];42646652.704;68979625.3758;61752235.0809;9996429.43695;0.000123723519958;0.00527690504568;0.000230815457928;0.006847285496;7.45211817505e-05;2.84506983583e-05;0.006118490977029999;0.00206510701015;1292.87431244;2.7;1.7;2.10595891015;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Alsemstraat_18_1592071;[71.962717027673463, 47.218839530370481, 71.947903322010546, 57.039463502679084];135.893848419;791.744317059;167.930527523;[17.990679256918366, 11.80470988259262, 17.986975830502637, 14.259865875669771];[17.990679256918366, 11.80470988259262, 17.986975830502637, 14.259865875669771];39105096.0746;47338798.1385;72599079.8016;7444074.975880001;0.000134928551944;0.00575480843739;0.000336332235816;0.0099775069695;6.07762915497e-05;3.8205606404e-05;0.00821634165571;0.00225213361682;960.8859834680001;2.7;1.7;2.01344579056;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Alsemstraat_8_1591780;[58.111116844816046, 45.181918013689653, 57.22991509199597, 44.769977026723417];143.340984344;463.025234411;183.508641801;[12.865641562801093, 10.873210001133806, 13.320939802769972, 11.192494256680854];[12.865641562801093, 10.873210001133806, 13.320939802769972, 11.192494256680854];32348932.0236;49933017.5854;43063069.9353;8134626.315060001;0.000163108753733;0.00695671611881;0.000318858434533;0.00945913568206;0.000108618958936;3.496231880300001e-05;0.007518853472009999;0.00289576735993;817.9682030069999;2.7;1.7;2.14337308578;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Alsemstraat_12_1591779;[47.1003082318514, 52.742821160164553, 44.724945849831521, 52.238475626032312];175.341175079;516.430559047;208.745766765;[11.623684134194939, 13.060263785433438, 11.18123646245788, 13.059618906508078];[11.623684134194939, 13.060263785433438, 11.18123646245788, 13.059618906508078];31011695.481;61080325.482;47705826.4561;9253345.18753;0.000170142067537;0.00725669246213;0.000260665995034;0.007732820423390001;9.54025815549e-05;3.07354143617e-05;0.0066098326684;0.00285596230047;877.172175157;2.7;1.7;2.08109005639;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Alsemstraat_15_1592072;[89.491977576370857, 61.528051429802531, 88.095109869765935, 66.894578255547202];121.127799988;790.5209170830001;141.229843051;[22.372994394092714, 15.382012857450633, 22.023777467441484, 16.723644563886801];[22.372994394092714, 15.382012857450633, 22.023777467441484, 16.723644563886801];48219330.7086;42195026.039;73073063.7053;6260478.99695;0.000109424869849;0.00466705641758;0.000377332716991;0.0111938119891;6.24512861689e-05;4.54286962242e-05;0.009769709848450001;0.00182644387975;1046.38773918;2.7;1.7;2.08709882372;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Alsemstraat_9_1592258;[77.60927572561593, 70.030278375353802, 76.974304589122411, 67.125186420648106];124.484653473;684.044342962;143.935672868;[19.402318931403983, 17.507569593838451, 19.243576147280603, 9.6562567859246382];[19.402318931403983, 17.507569593838451, 19.243576147280603, 9.6562567859246382];45970636.58199999;43364390.2991;63502255.9941;6380423.83559;0.000114777483613;0.00489534958764;0.000367157561976;0.0108919596263;7.31221307936e-05;4.457468749700001e-05;0.00958605021994;0.00212320293497;1032.10250886;2.7;1.7;2.12649142283;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Alsemstraat_16_1591777;[55.404227961265462, 32.37150683952067, 53.832953304105445, 37.595044626860997];124.78730011;428.778332951;177.173234416;[13.851056990316366, 8.0928767098801675, 13.458238326026361, 9.3987611567152491];[13.851056990316366, 8.0928767098801675, 13.458238326026361, 9.3987611567152491];28237940.0687;43469817.6471;39768054.2644;7853788.469330001;0.000186854776734;0.00796950260137;0.000366267094747;0.0108655433567;0.000116327770141;3.62125106477e-05;0.0077877146235;0.00311885007349;787.947315067;2.7;1.7;2.11794027114;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
