BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Anijsstraat_5_1591786;[43.945866309663337, 59.94172176444799, 44.41847189211515, 59.591154861032187];218.82207489;645.541364608;254.683185263;[10.986466577415834, 14.985430441111998, 11.104617973028788, 14.897788715258047];[10.986466577415834, 14.985430441111998, 11.104617973028788, 14.897788715258047];32759301.401;76226953.2578;59248878.8354;11289672.9032;0.000161065522197;0.00686957069322;0.000208870525953;0.00619627530904;7.47708686891e-05;2.51916420439e-05;0.00541761163827;0.0026883937597;1053.38668403;2.7;1.7;2.02205095789;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Anijsstraat_18_1591805;[47.402836216733519, 41.222588560791621, 46.010996006137873, 41.080086527115981];216.503383636;608.723274584;245.079232718;[11.85070905418338, 10.305647140197905, 11.502749001534468, 10.270021631778995];[11.85070905418338, 10.305647140197905, 11.502749001534468, 10.270021631778995];27688442.2377;75419234.1559;55665199.5904;10863946.0037;0.000190563049437;0.00812766333703;0.000211107471416;0.00626263570084;7.83415166213e-05;2.61788302771e-05;0.00562991230734;0.00318074598428;978.9894956889999;2.7;1.7;1.98866401967;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Anijsstraat_11_1594981;[44.766483627617674, 69.273767338934306, 45.123100477500586, 69.5124629095275];185.769798279;600.2154109109999;209.885135933;[11.191620906904419, 17.318441834733576, 11.280775119375146, 17.378115727381875];[11.191620906904419, 17.318441834733576, 11.280775119375146, 17.378115727381875];36033479.0043;64713149.8832;55444934.48800001;9303851.48698;0.000146430323487;0.00624536800368;0.000246032898221;0.00729872041784;8.20824137704e-05;3.05685660361e-05;0.006573950949029999;0.00244411319396;1160.35492594;2.7;1.7;2.08098957507;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Anijsstraat_9_1595018;[58.609208005369759, 65.244296910015194, 56.887829951870621, 63.591820623181185];209.475952148;663.285059787;248.286802305;[14.65230200134244, 16.311074227503799, 14.221957487967655, 15.897955155795296];[14.65230200134244, 16.311074227503799, 14.221957487967655, 15.897955155795296];38500676.835;72971219.2934;61186684.5616;11006132.1139;0.000137046785166;0.005845152743649999;0.000218189636585;0.006472732577689999;7.39585211708e-05;2.58406309889e-05;0.005557180549850001;0.00228748969364;1289.45205264;2.7;1.7;2.06836824814;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Anijsstraat_7_1591787;[38.043302256807024, 50.625950119646134, 38.170266267807129, 47.719271880242218];227.954456329;630.467703183;273.247852345;[9.5108255642017561, 12.563649517801682, 9.5425665669517823, 11.929817970060554];[9.5108255642017561, 12.563649517801682, 9.5425665669517823, 11.929817970060554];27506015.5844;79408230.1626;57578873.3659;12112613.0541;0.0001918269104;0.00818156799717;0.000200502690794;0.0059480382246;7.53112997146e-05;2.34801027078e-05;0.005049534979729999;0.00320866751294;1048.7263278;2.7;1.7;1.97687189945;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Anijsstraat_10_1595099;[71.391855764976029, 67.029822811132277, 60.212745602753593, 79.631854273359366];209.182086945;696.630452341;242.115653348;[17.847963941244007, 16.757455702783069, 15.053186400688398, 19.873866424076141];[17.847963941244007, 16.757455702783069, 15.053186400688398, 19.873866424076141];43847672.0005;72868850.969;64480802.5224;10732575.5653;0.000120334643694;0.0051323668183;0.000218496155862;0.006481825664520001;7.11626684902e-05;2.64992682176e-05;0.005698824381939999;0.0020095271862;1391.60439619;2.7;1.7;2.09944604419;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Anijsstraat_1_1593971;[73.51727610276869, 50.524644467179733, 71.870706434899333, 48.829700880595105];164.792480469;574.327288823;192.194779475;[18.371487179071057, 12.628541092688144, 17.967676608724833, 12.207425220148776];[18.371487179071057, 12.628541092688144, 17.967676608724833, 12.207425220148776];38565151.974;57405674.0493;53314784.2214;8519668.04061;0.000136817663535;0.00583538052661;0.0002773517441;0.00822781364695;8.70810048328e-05;3.33822159754e-05;0.00717904301212;0.00228405552257;1085.96976038;2.7;1.7;2.12613738307;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Anijsstraat_14_1591807;[37.830171223515329, 48.839016677789402, 35.493536232015629, 48.955096367146695];186.492050171;544.1019208419999;211.244125709;[9.4575428058788322, 12.209754169447351, 8.8733840580039072, 12.238774091786674];[9.4575428058788322, 12.209754169447351, 8.8733840580039072, 12.238774091786674];26963806.4248;64964747.2654;49897232.5164;9364093.1949;0.000195684314887;0.00834608932023;0.000245080054783;0.00727045371892;8.84713434078e-05;3.03719103015e-05;0.00653165897001;0.003266226588;842.89482131;2.7;1.7;2.01449589488;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Anijsstraat_16_1591806;[53.948956734653066, 51.131746034315562, 45.331014868031453, 53.590560650803418];229.391857147;662.785992582;273.290791763;[13.487239183663267, 12.78293650857889, 9.1366488833697623, 13.397640162700855];[13.487239183663267, 12.78293650857889, 9.1366488833697623, 13.397640162700855];32145558.691;79908950.5995;60736552.6063;12114516.4855;0.000164140683872;0.00700072874758;0.000199246313452;0.00591076700183;7.2453979533e-05;2.34764135168e-05;0.005048741597370001;0.00286300432756;1179.40078195;2.7;1.7;2.00779509611;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Anijsstraat_24_1591804;[56.178178395102478, 32.489473705593184, 52.747311119655087, 36.107212083256442];144.364742279;404.785267345;187.569337487;[14.044544598775619, 8.122368426398296, 7.437238222872649, 9.0268030208141106];[14.044544598775619, 8.122368426398296, 7.437238222872649, 9.0268030208141106];27972969.4838;50289644.9881;37626889.3451;8314630.0558;0.000188624736106;0.00804499275506;0.000316597260183;0.00939205652509;0.000124054081051;3.42054182401e-05;0.00735607752865;0.0036169801237;752.544212455;2.7;1.7;2.13855888449;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
