BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Azalealaan_8_1594199;[51.148244765416209, 37.492322977549648, 47.413041284082375, 19.579968886456701];204.426986694;516.742792696;242.355074274;[12.787061191354052, 9.3144246036085914, 11.853260321020594, 4.087800994848938];[12.787061191354052, 9.3144246036085914, 11.853260321020594, 4.087800994848938];24523884.5129;71212405.6369;47319030.8246;10743188.6881;0.000215153271668;0.00917645557808;0.000223578513833;0.00663259700512;9.27089297231e-05;2.64730897712e-05;0.00569319455219;0.00367292424829;955.014079995;2.7;1.7;2.00118190348;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Azalealaan_6_1594727;[49.856820541092915, 17.753921216080755, 50.318907594807158, 41.79705610986877];185.707103729;531.14091292;218.478590921;[12.464205135273229, 4.0512633332914039, 12.579726898701789, 10.449264027467192];[12.464205135273229, 4.0512633332914039, 12.579726898701789, 10.449264027467192];25168857.0737;64691310.1556;48635043.9142;9684784.7466;0.000209639793;0.00894130139385;0.000246115958704;0.00730118445922;9.01807836695e-05;2.93662075112e-05;0.00631537663591;0.00353342531138;845.9923210339999;2.7;1.7;2.00072378455;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Azalealaan_14_4752585;[46.656649871502125, 44.505240735453832, 47.458058775888517, 43.261398428613568];239.081718445;181.881347811;263.967259259;[11.418233951834296, 10.399614178435479, 11.220054830474023, 10.815349607153392];[11.418233951834296, 10.399614178435479, 11.220054830474023, 10.815349607153392];28659863.9483;83284426.3351;21960445.8581;11701220.13;0.000184103943986;0.007852177429770001;0.000191170960999;0.00567120660055;0.000319748371611;2.43056190217e-05;0.00522706714623;0.00318624926472;890.953503598;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Azalealaan_20_1594198;[50.081423365792901, 42.61660104478171, 46.647678885701801, 44.302879018229845];177.589431763;183.648582315;199.059943106;[12.520355841448225, 10.654150261195428, 10.69089281541493, 10.717280118860836];[12.520355841448225, 10.654150261195428, 10.69089281541493, 10.717280118860836];28938335.0561;61863508.6101;22173822.6452;8823989.08066;0.000182332327576;0.00777661660211;0.000257366000999;0.007634924028170001;0.000316671460548;3.22309327415e-05;0.00693145274245;0.0031341183789;690.7912311380001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Azalealaan_10_1594731;[52.289248940406843, 44.80552251642672, 42.693920706365446, 39.522084934098082];188.579647064;179.310777097;212.354942339;[12.413885700941362, 10.362794821968038, 10.673480176591362, 9.8805212335245205];[12.413885700941362, 10.362794821968038, 10.673480176591362, 9.8805212335245205];28254807.532;65691964.3475;21650073.8509;9413333.80882;0.000186743228776;0.00796474499358;0.000242366992324;0.007189969017460001;0.000324332233291;3.02130365656e-05;0.006497492233319999;0.00322467562283;756.570418517;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Azalealaan_16_1594730;[46.710058277869535, 39.349385771737872, 43.648843745755066, 38.278696510723286];193.244094849;167.986984306;218.769294667;[11.677514569467384, 9.8373464429344679, 10.912210936438766, 8.8771815669556347];[11.677514569467384, 9.8373464429344679, 10.912210936438766, 8.8771815669556347];26470466.4509;67316830.7757;20282833.3862;9697671.14972;0.00019933135658;0.00850163850539;0.000236516835913;0.007016420454020001;0.000346195064036;2.93271852777e-05;0.00630698467376;0.00338288146756;740.1928269919999;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Azalealaan_18_1594728;[48.372622345611575, 41.278926724927274, 46.796634501680735, 37.424369431053897];205.474784851;513.393312586;238.250477417;[12.093155586402894, 9.639200349128819, 11.472350791951104, 9.3560923577634743];[12.093155586402894, 9.639200349128819, 11.472350791951104, 9.3560923577634743];27397882.0444;71577407.4822;47205991.3792;10561238.883;0.000192584009903;0.008213858884060002;0.000222438397517;0.0065987747387;9.45718424456e-05;2.6929170121e-05;0.005791277329279999;0.00328300682208;895.288527113;2.7;1.7;2.0386731941;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Azalealaan_19_4754000;[53.246441121636067, 46.772156070197667, 57.404298005438534, 49.690006169845653];104.557826996;207.112901367;104.652033208;[13.212989557730086, 11.693039017549417, 8.1654184802202838, 7.1507623469112858];[13.212989557730086, 11.693039017549417, 8.1654184802202838, 7.1507623469112858];32635713.5932;36422854.4819;25006916.3865;4639046.831259999;0.000161675459368;0.00689558499134;0.0004371311377230001;0.0129677696895;0.000280794988652;6.13068608521e-05;0.0131844030762;0.00347388658719;484.745533428;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Azalealaan_11_1592110;[37.475458288922027, 52.438066831036203, 33.988786429512672, 50.879451687425217];94.5993690491;174.781763237;95.0085249747;[3.4123703904945275, 13.109516707759051, 8.497196607378168, 12.719862921856304];[3.4123703904945275, 13.109516707759051, 8.497196607378168, 12.719862921856304];27541150.3999;32953812.7556;21103238.4284;4211566.49533;0.000191582192841;0.00817113060156;0.000483147851111;0.0143328843875;0.000332736457809;6.75295994699e-05;0.0145226398254;0.00370247201463;461.582134179;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Azalealaan_9_1594609;[31.496251871132742, 43.906981852383282, 29.746606413788186, 6.2284957223968647];59.3548698425;111.37833586;59.3548727099;[7.8740629677831855, 10.976745463095821, 7.4366516034470465, 1.5341066232698439];[7.8740629677831855, 10.976745463095821, 7.4366516034470465, 1.5341066232698439];17550386.5071;20676345.8;13447876.5626;2631100.66498;0.000300642608915;0.0128226427802;0.000770037605908;0.0228436491111;0.000522150599039;0.000108093697195;0.023246188991;0.00502226907168;339.616658734;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
