BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Begoniastraat_6_1592108;[40.189692381991776, 53.884883158791375, 38.43621010360166, 52.776261245859267];297.891235352;407.096731644;349.63593546;[9.6654118998480936, 13.471220789697844, 7.9631044145703003, 12.616824602259518];[9.6654118998480936, 13.471220789697844, 7.9631044145703003, 12.616824602259518];29196515.306;103770797.734;37909823.2166;15498766.9974;0.000180719991125;0.00770784918941;0.000153430099474;0.00455160024468;0.00012400824353;1.83501951232e-05;0.00394631800858;0.00319621187706;819.2028841719999;2.7;1.7;2.15514255578;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Begoniastraat_14_1594822;[17.876821927819453, 48.214462352183091, 34.65945264949189, 46.721513026843454];137.718093872;147.472249956;159.510917811;[3.9066411158554049, 12.053615588045773, 8.6648631623729724, 11.57398503833574];[3.9066411158554049, 12.053615588045773, 8.6648631623729724, 11.57398503833574];23237867.2731;47974276.4052;17805873.9926;7070847.98202;0.000227060165417;0.009684293923790001;0.000331877101893;0.00984534262415;0.000394353953414;4.02222476418e-05;0.00865003228297;0.00385996819861;556.6113776340001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Begoniastraat_11_1594816;[16.57910087708235, 43.48566649659945, 25.757959921064437, 44.291694185875699];144.236541748;130.114421481;167.929645646;[3.702426855998644, 10.871416624149862, 6.4394899802661092, 11.072923546468925];[3.702426855998644, 10.871416624149862, 6.4394899802661092, 11.072923546468925];20502715.9861;50244986.167;15710081.0098;7444035.883769999;0.000257350976844;0.0109762207596;0.000316878658616;0.00940040438631;0.000446962482154;3.82058070395e-05;0.00821638480355;0.004354742708689999;574.343823382;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Begoniastraat_9_1594817;[26.223115082962181, 44.761875148516197, 18.026999544267468, 45.846511472464577];173.449222565;134.858501248;195.489825583;[6.5557787707405453, 9.7575143319686255, 4.1081721392775004, 11.461627868116144];[6.5557787707405453, 9.7575143319686255, 4.1081721392775004, 11.461627868116144];21250262.0227;60421261.3727;16282883.5986;8665731.8364;0.000248297831873;0.0105900970348;0.000263509292211;0.00781716861953;0.00043123914511;3.28195476088e-05;0.007058037851529999;0.00438249178859;646.218711151;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Begoniastraat_15_1594818;[22.563215220828319, 46.800554365377067, 42.674642052318276, 45.503190446335516];221.358604431;532.673743198;259.666821645;[4.1140038969286445, 11.674733042094086, 10.668660513079569, 11.375797611583879];[4.1140038969286445, 11.674733042094086, 10.668660513079569, 11.375797611583879];24824540.4835;77110556.6093;48748784.6138;11510589.0369;0.000212547498733;0.00906531732114;0.000206477096248;0.00612527271393;8.97588687802e-05;2.47081533063e-05;0.005313634525239999;0.00369324857482;996.0818395;2.7;1.7;1.99575627501;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Begoniastraat_10_1594821;[38.711693696365366, 46.955116091917063, 36.615211084163711, 43.013822641912334];191.299304962;547.894453439;225.262033714;[9.6779234240913414, 11.738779022979266, 9.1538027710409278, 10.753455660478084];[9.6779234240913414, 11.738779022979266, 9.1538027710409278, 10.753455660478084];26046411.264;66639360.6994;50174458.3462;9985483.24072;0.000202576621151;0.00864005158155;0.000238921316946;0.00708775089373;8.74539889661e-05;2.84818863258e-05;0.00612519813394;0.00338126817418;816.868519781;2.7;1.7;2.00169285795;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Begoniastraat_3_4752727;[44.960771646864991, 36.855643457453802, 48.266763719011358, 19.551294263061845];197.866596222;149.634473086;221.773402924;[11.20007789007078, 9.1264991843583925, 12.06669092975284, 4.2045992284191156];[11.20007789007078, 9.1264991843583925, 12.06669092975284, 4.2045992284191156];23578578.5196;68927085.1173;18066941.9062;9830838.16488;0.000223779138449;0.00954435555339;0.000230991398979;0.006852504897760001;0.000388655525625;2.89299237563e-05;0.00622155123365;0.0038179108324;757.42391492;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Begoniastraat_13_1594819;[40.748065441566084, 45.492376384558874, 18.933381054116452, 45.898493437324838];232.401779175;498.778142123;267.801041534;[10.187016360391521, 10.71685280882688, 4.1271433441114969, 11.474623359331209];[10.187016360391521, 10.71685280882688, 4.1271433441114969, 11.474623359331209];23805145.9598;80957460.837;45682520.8375;11871165.1848;0.000221649302041;0.009453516362180002;0.000196665800214;0.005834214456229999;9.61074022048e-05;2.39576649927e-05;0.00515223757402;0.00382755677061;967.790923749;2.7;1.7;2.00288479699;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Begoniastraat_7_1594814;[35.308007004196021, 27.697244744642092, 46.123065627547142, 18.930286675547055];185.814369202;128.058604052;210.034456763;[8.8270017510490053, 6.9243111861605229, 11.530766406886785, 4.182913394236734];[8.8270017510490053, 6.9243111861605229, 11.530766406886785, 4.182913394236734];20178771.5656;64728676.2219;15461860.5744;9310470.625710001;0.000261482418284;0.0111524299734;0.0002459738828;0.007296969688300001;0.0004541378942840001;3.0546833775e-05;0.00656927729772;0.00444072544087;686.239360228;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Begoniastraat_17_1594378;[47.425881586009154, 51.936173955366613, 49.460866863087524, 49.340391516284946];169.68579483;492.186316545;201.326767983;[11.856470396502289, 11.19521030657525, 9.3681396275331377, 12.335097879071236];[11.856470396502289, 11.19521030657525, 9.3681396275331377, 12.335097879071236];31225486.7519;59110266.4461;45572983.8364;8924473.57618;0.00016897715731;0.007207008128410001;0.000269353612765;0.007990544058629999;0.00010082880488;3.18680307743e-05;0.006853408527729999;0.00312205673342;775.861339243;2.7;1.7;2.10261849478;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Begoniastraat_19_1594377;[24.701411335379397, 42.419970341993739, 24.592679728583022, 43.667110104182662];126.166038513;135.38117151;126.169867238;[5.7142466262101284, 10.604992585498435, 6.1481699321457555, 10.916777526045665];[5.7142466262101284, 10.604992585498435, 6.1481699321457555, 10.916777526045665];21332621.5323;43950102.956;16345991.0702;5592895.85561;0.000247339220779;0.0105492115207;0.000362264539738;0.0107468050491;0.0004295742468490001;5.08511879914e-05;0.0109358487788;0.00418543651015;380.770812467;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Begoniastraat_8_1594820;[47.260851393595487, 47.580153771380701, 48.852289071809892, 34.798166124822217];215.740016937;178.491460362;236.5724185;[11.714771800573867, 11.895038442845175, 10.45335050877363, 8.6995415312055542];[11.714771800573867, 11.895038442845175, 10.45335050877363, 8.6995415312055542];28125704.1002;75153314.3773;21551149.1342;10486853.3822;0.000187600423021;0.008001304999619999;0.000211854446483;0.006284795185259999;0.000325820992619;2.71201845019e-05;0.005832356101800001;0.00326750617452;771.189272717;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Begoniastraat_2_1594379;[41.044422300252762, 37.67042933059907, 39.40296695276399, 37.903035004902094];137.540596008;156.020853589;137.620110253;[10.261105575063191, 9.2228156870888451, 9.5131115231387096, 9.4757587512255235];[10.261105575063191, 9.2228156870888451, 9.5131115231387096, 9.4757587512255235];24584909.287;47912444.7944;18838036.7157;6100465.67484;0.000214619217235;0.00915367773815;0.000332305393455;0.00985804816225;0.000372746741551;4.66202768328e-05;0.0100259663069;0.00363184963112;386.688124622;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
