BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Boterbloemstraat_13_1594735;[40.05612260608811, 36.149204735771264, 50.433096028563305, 42.523681781334339];496.67792511;625.415240833;547.623981946;[9.8744706206996735, 7.8185057538804372, 12.608274007140826, 10.630920445333585];[9.8744706206996735, 7.8185057538804372, 12.608274007140826, 10.630920445333585];26655635.5404;173018398.626;57077249.3261;24275240.722;0.000197946658559;0.008442580050060001;9.20223741822e-05;0.00272990151397;7.57395049271e-05;1.17158631639e-05;0.00251956567652;0.00341363262507;1201.80453332;2.7;1.7;1.97047966552;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boterbloemstraat_6_1594740;[43.139330147184836, 46.461357704813096, 40.845454511981117, 46.934023872404282];361.176849365;487.312401954;402.273113559;[7.1473963877003301, 11.169041075751974, 10.211363627995279, 11.73350596810107];[7.1473963877003301, 11.169041075751974, 10.211363627995279, 11.73350596810107];27950592.4749;125816423.358;44932116.7692;17832083.6734;0.000188775747481;0.00805143350851;0.000126545989736;0.00375406624787;0.000100514576435;1.59490838973e-05;0.0034299448361;0.00347051310439;837.375414498;2.7;1.7;2.06399682324;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boterbloemstraat_4_1594742;[35.882917825752337, 51.077544001445546, 42.079090582934349, 52.861506639009278];290.069431305;454.221730131;317.835246206;[8.9707294564380842, 12.740490147384062, 10.067806101891595, 13.215376659752319];[8.9707294564380842, 12.740490147384062, 10.067806101891595, 13.215376659752319];28662969.9369;101046062.161;42047886.6885;14089096.4712;0.000184083994038;0.00785132654887;0.000157567385391;0.00467433542933;0.000109177929037;2.01862056344e-05;0.004341162929609999;0.0031054394859;699.094642088;2.7;1.7;2.10046754037;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boterbloemstraat_3_1594733;[37.725465067344253, 47.631701879665513, 30.721355724519437, 39.784217389923597];421.439056396;558.835587046;457.835681271;[9.4313662668360632, 11.907925469916378, 6.7620978545470356, 9.9460543474808993];[9.4313662668360632, 11.907925469916378, 6.7620978545470356, 9.9460543474808993];24559994.6257;146808841.243;51048341.7809;20295077.9008;0.000214836935732;0.00916296360257;0.000108450987584;0.00321726664659;8.50288265849e-05;1.40135159845e-05;0.00301368950695;0.00367245153117;953.7649549160001;2.7;1.7;1.97890625378;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boterbloemstraat_9_1594737;[49.386088758887709, 44.228009944323517, 49.643741649121637, 43.784990397806801];210.834766388;187.04283075;233.965568832;[12.039398734505175, 11.057002486080879, 12.410935412280409, 10.33962910309433];[12.039398734505175, 11.057002486080879, 12.410935412280409, 10.33962910309433];29473182.0844;73444563.994;22583645.9168;10371296.1654;0.000179023560193;0.00763549508127;0.000216783420759;0.00643101630222;0.000310924853713;2.74223582119e-05;0.005897340345600001;0.00304769119411;746.641794917;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boterbloemstraat_5_1594739;[45.352486345967563, 48.13436864000861, 43.197443451071919, 45.482507922169219];217.354980469;533.563649316;252.375040349;[10.669184429678445, 12.033592160002152, 10.79936086276798, 11.22823900674925];[10.669184429678445, 12.033592160002152, 10.79936086276798, 11.22823900674925];28704844.9386;75715889.0156;49075360.374;11187356.7606;0.00018381544991;0.00783987293143;0.000210280352325;0.00623809869362;9.10843854413e-05;2.54220370956e-05;0.005467159456990001;0.00312376967982;951.6383480860001;2.7;1.7;2.04141532429;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boterbloemstraat_7_1594738;[41.859611895373476, 49.149293982541749, 47.397377266778214, 44.349707307011464];215.332389832;182.755990452;235.740167119;[10.464902973843369, 12.287323495635437, 11.133871955334183, 10.880352396972427];[10.464902973843369, 12.287323495635437, 11.133871955334183, 10.880352396972427];28797685.3323;75011316.947;22066050.6526;10449961.0925;0.000183222850243;0.00781459809143;0.000212255489795;0.00629669238694;0.000318218104071;2.72159289449e-05;0.00585294651063;0.0031212524376;804.718023582;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boterbloemstraat_15_1594734;[43.773540129493789, 26.900860734288901, 46.049354264345567, 17.329479085766621];166.368164062;134.053234214;190.046208847;[9.8150730323844009, 6.7252151835722254, 11.512338566086392, 4.1352344704463064];[9.8150730323844009, 6.7252151835722254, 11.512338566086392, 4.1352344704463064];21123372.4658;57954565.4704;16185655.2499;8424425.55507;0.000249789374094;0.0106537124789;0.000274724927873;0.008149887494129999;0.000433829628432;3.37596191825e-05;0.007260205804270001;0.00434099652207;637.9745893730001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boterbloemstraat_1_1594491;[19.545075595708486, 47.827645399311571, 26.840431576368552, 37.274020023308054];153.601062775;131.487172595;177.086781402;[4.1244210588113042, 11.956911349827893, 6.7101078940921379, 9.3185050058270136];[4.1244210588113042, 11.956911349827893, 6.7101078940921379, 9.3185050058270136];20719026.5679;53507129.1978;15875827.6731;7849956.1541;0.000254664183652;0.0108616269253;0.0002975596720940001;0.008827294520120002;0.000442296108749;3.62301894415e-05;0.00779151655269;0.00435153010718;601.247838172;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boterbloemstraat_10_1591498;[38.633844783321997, 15.161365859266489, 38.534572860267815, 39.51724244338682];142.807590485;131.847025946;142.824063667;[9.6584611958304993, 3.4384199792613952, 9.2519799049326004, 9.879310610846705];[9.6584611958304993, 3.4384199792613952, 9.2519799049326004, 9.879310610846705];20775730.2828;49747209.1433;15919276.5486;6331148.08831;0.000253969122392;0.010831982018;0.000320049387553;0.00949446605123;0.0004410889390309999;4.49216152589e-05;0.009660659087319999;0.004335566878890001;485.7736768569999;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
