BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
FranklinRooseveltstraat_11_1594878;[50.251545008040743, 37.857731212194452, 43.272829519769317, 66.729305669064118];129.994350433;448.298224764;121.633842357;[8.4070731290890137, 8.9461591872680728, 10.549756396113528, 15.859304016975207];[8.4070731290890137, 8.9461591872680728, 10.549756396113528, 15.859304016975207];31217308.2392;45283700.3727;41686830.0583;5391821.57923;0.000169021427041;0.00720889626712;0.000351595909516;0.0104303134344;0.000112134639423;5.27475537518e-05;0.0113436734532;0.00319287187748;594.579704009;2.7;1.7;2.14191879527;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
FranklinRooseveltstraat_4_1591239;[38.006009634695658, 65.362893289993394, 38.954926660669813, 50.17455824485949];133.512046814;428.932286756;150.808656459;[5.4326014821521369, 15.611818913590625, 9.7387316651674531, 12.488618628897276];[5.4326014821521369, 15.611818913590625, 9.7387316651674531, 12.488618628897276];30332838.8087;46509094.4639;39915704.6563;6685091.5212;0.000173949890422;0.007419099091049999;0.000342332268609;0.0101555017099;0.000117456395337;4.25432318568e-05;0.009149173667790002;0.00322906577481;626.569828913;2.7;1.7;2.14878502685;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
FranklinRooseveltstraat_9_1591213;[31.141198531579665, 23.492633901004815, 31.638106768956167, 50.63435733161959];114.334384918;362.296448511;129.705489366;[3.2630454061896748, 5.8086417529731653, 7.9095266922390417, 12.586432474279851];[3.2630454061896748, 5.8086417529731653, 7.9095266922390417, 12.586432474279851];21572942.3578;39828531.0991;33455826.2649;5749623.97764;0.00024458388195;0.0104316941612;0.000399752724477;0.0118589155894;0.000135842383457;4.94650432231e-05;0.0106377501469;0.004725685372819999;579.780574117;2.7;1.7;2.07788473251;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
FranklinRooseveltstraat_5_1591238;[31.594632039926413, 43.594258288235757, 32.392400686585539, 55.889243792816615];106.83322525;285.875632769;124.468163083;[3.9728335625559903, 10.898564572058939, 8.0981001716463847, 13.972310948204154];[3.9728335625559903, 10.898564572058939, 8.0981001716463847, 13.972310948204154];25758789.142;37215492.4114;26958100.9372;5517462.20157;0.000204838587633;0.008736526223899999;0.000427820855969;0.012691574335;0.000182974127587;5.15464153954e-05;0.0110853615445;0.00378236465863;555.9717867730001;2.7;1.7;2.27182395444;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
FranklinRooseveltstraat_7_1594520;[32.321201783023533, 48.421837023988445, 30.696437072950676, 34.725160609137092];74.7489089966;372.363016006;90.3932999148;[4.4445366916072313, 12.105459255997111, 7.674109268237669, 8.5328230878136466];[4.4445366916072313, 12.105459255997111, 7.674109268237669, 8.5328230878136466];23031820.724;26038879.2813;34440352.968;4006981.40956;0.000229091483917;0.009770931249069999;0.000611453497931;0.0181391519678;0.000132825856345;7.09774689474e-05;0.0152641245518;0.00426558291592;463.841695348;2.7;1.7;2.09253263672;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
FranklinRooseveltstraat_10_1591108;[29.13400927287956, 67.262072680488814, 31.951155013575995, 27.183276572172673];130.640537262;378.287578358;146.752723743;[3.0235797705619616, 16.815518170122203, 7.9877887533939989, 6.669520813518421];[3.0235797705619616, 16.815518170122203, 7.9877887533939989, 6.669520813518421];24507644.1948;45508800.3916;35059259.6475;6505298.91482;0.00021529584586;0.00918253647906;0.0003498568119090001;0.0103787220118;0.000131559066651;4.37190361726e-05;0.00940203734116;0.00405049116257;617.9565429969999;2.7;1.7;2.11114359138;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
FranklinRooseveltstraat_13_1591218;[27.65405861567362, 64.628639492427283, 29.749053084332331, 62.818187663341035];127.906799316;400.184457288;142.891734995;[3.3092988930726426, 16.155399446314856, 7.4372632710830828, 15.589473329860487];[3.3092988930726426, 16.155399446314856, 7.4372632710830828, 15.589473329860487];29127638.2224;44556499.2368;37293454.8767;6334147.84332;0.00018114733322;0.007726075664510001;0.0003573342630480001;0.0106005452952;0.000126422055524;4.49003410727e-05;0.009656083947739999;0.00328836608945;627.677986711;2.7;1.7;2.16191183963;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
FranklinRooseveltstraat_12_1594877;[33.006875572015737, 40.463273512615984, 31.288349369136021, 23.021768592629801];97.9377212524;355.456719683;113.166201315;[3.6455115381715109, 10.113662625260664, 7.8220873422840054, 3.5663387218529619];[3.6455115381715109, 10.113662625260664, 7.8220873422840054, 3.5663387218529619];20134912.7488;34116732.0703;32758345.5701;5016465.438130001;0.000262051991622;0.0111767227225;0.000466679041415;0.0138443268066;0.000137585900484;5.66943801523e-05;0.0121924618174;0.005556291355260001;543.44260112;2.7;1.7;2.05948192838;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
FranklinRooseveltstraat_3_1591240;[31.290849045640105, 41.749710271427958, 30.975291572205332, 18.121335719676651];104.348735809;344.939936243;119.387007508;[3.4661140358517821, 10.429710386147443, 7.7438228930513331, 4.2953016169890361];[3.4661140358517821, 10.429710386147443, 7.7438228930513331, 4.2953016169890361];19245707.1237;36350017.2962;31770382.6566;5292223.207669999;0.000274159528308;0.0116931186466;0.000438007049324;0.0129937541571;0.000141515991033;5.37402500631e-05;0.011557158667;0.005387610136270001;557.36990265;2.7;1.7;2.05408247575;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
FranklinRooseveltstraat_8_1592331;[40.092579870000236, 39.235818452741526, 38.299199260566724, 52.998780610236679];113.598358154;281.6055118;129.534049946;[5.7093058023368188, 9.8089546131853815, 9.5747998151416809, 12.906630623883647];[5.7093058023368188, 9.8089546131853815, 9.5747998151416809, 12.906630623883647];26886367.6449;39572135.2224;26652411.1767;5742024.35943;0.000196247929681;0.00837012793274;0.000402342803321;0.0119357519047;0.000187570595591;4.95305106296e-05;0.0106518292999;0.00367706659206;559.0041383409999;2.7;1.7;2.30590567671;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
