BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
FransAllardstraat_39_4754241;[19.576856713785361, 29.771073047427667, 59.450224382202343, 29.322657738333504];88.9543190002;243.279236259;103.601163018;[4.8942141784463402, 4.0450399283866894, 14.862556095550586, 7.330664434583376];[4.8942141784463402, 4.0450399283866894, 14.862556095550586, 7.330664434583376];21764319.0167;30987352.2583;22931234.4092;4592463.54114;0.000242433222143;0.0103399668357;0.000513808462435;0.0152424506753;0.000214756775684;6.19287221384e-05;0.0133181380243;0.004488155708130001;490.227063856;2.7;1.7;2.2677459943;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
FransAllardstraat_1_1593911;[57.633780201110341, 36.443135365287198, 17.563153137218336, 33.544083977853354];106.14661026;371.51128586;120.491202915;[14.388430489230631, 3.4699976913583694, 4.1240906500460905, 7.9603296951226294];[14.388430489230631, 3.4699976913583694, 4.1240906500460905, 7.9603296951226294];22877321.4701;36976309.1901;34355065.924;5341170.314069999;0.000230638625849;0.009836918064419999;0.000430588237915;0.0127736704582;0.000133052571036;5.32477681569e-05;0.0114512475199;0.00466646964566;547.863303537;2.7;1.7;2.09079338423;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
FransAllardstraat_2_1594396;[93.028738687026149, 50.985248756526758, 82.880628420402346, 53.805128750668374];172.735527039;452.0195688330001;194.633544243;[23.257184671756537, 12.74631218913169, 16.836822860241863, 7.7617827208882497];[23.257184671756537, 12.74631218913169, 16.836822860241863, 7.7617827208882497];44231124.2344;60172644.6116;42850089.4053;8627774.33942;0.000119291428339;0.00508787286622;0.000264598039883;0.00784946700288;0.000117351577399;3.29639357013e-05;0.00708908936492;0.00230565257837;831.536447233;2.7;1.7;2.32099024903;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
FransAllardstraat_26_1591285;[45.437355717130018, 30.068053564131791, 44.543502414812075, 28.459973940998609];159.641208649;254.457715288;174.685694518;[11.347302165978469, 7.2952298968883937, 11.135875603703019, 3.3309148776228432];[11.347302165978469, 7.2952298968883937, 11.135875603703019, 3.3309148776228432];23401214.6308;55611221.8376;24025736.9582;7743520.051910001;0.000225475218711;0.00961669470519;0.000286301276841;0.00849330715541;0.000206268269002;3.67281800349e-05;0.00789861237558;0.00422018280693;688.8768384719999;2.7;1.7;2.28362893603;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
FransAllardstraat_32_1594404;[41.009684799078954, 31.94807201575647, 55.146881559018851, 33.857579773435056];93.17269134520001;380.248167854;108.501060588;[10.163100585829348, 7.9870180039391174, 13.786720389754713, 4.5348664753095509];[10.163100585829348, 7.9870180039391174, 13.786720389754713, 4.5348664753095509];25521116.8859;32456827.7293;35297662.0659;4809667.67563;0.000206746202;0.008817887471030001;0.000490545901515;0.0145523521983;0.000131518697165;5.91320269405e-05;0.0127166921786;0.00383111762961;511.48198184;2.7;1.7;2.12593819468;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
FransAllardstraat_22_1594849;[40.669952332732649, 32.582915587014959, 27.49658427210742, 33.64922298734075];65.3109779358;252.869622445;81.8287035047;[10.167488083183162, 8.1457288967537398, 6.869044725296825, 3.9542440013787603];[10.167488083183162, 8.1457288967537398, 6.869044725296825, 3.9542440013787603];21177805.156;22751163.7701;23742636.3349;3627327.40171;0.000249147347806;0.0106263295548;0.000699813160315;0.0207603968363;0.000204410729009;7.84063215348e-05;0.0168617432448;0.00479561259531;430.160914504;2.7;1.7;2.23149395281;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
FransAllardstraat_21_1594305;[46.789888770009291, 34.366723316838169, 33.762476884297527, 32.297967594245321];79.3899154663;386.479248338;96.2194660264;[11.697472192502323, 4.6269650028470144, 8.3120371263600852, 8.0744918985613303];[11.697472192502323, 4.6269650028470144, 8.3120371263600852, 8.0744918985613303];23197655.3;27655579.8972;35700766.6141;4265245.4548;0.000227453762837;0.00970108116206;0.000575708912197;0.0170787663868;0.000127473701835;6.66797260754e-05;0.0143398695247;0.00427157647405;486.694203463;2.7;1.7;2.08091839911;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
FransAllardstraat_35_1592332;[40.942991946644995, 29.160368867894949, 40.927743245938366, 30.20042380388039];96.4155540466;251.811247408;111.193170588;[10.235747986661249, 3.4831575029262623, 10.231935811484592, 7.5501059509700976];[10.235747986661249, 3.4831575029262623, 10.231935811484592, 7.5501059509700976];22254488.5581;33586483.1523;23717944.0512;4929004.33809;0.00023709347322;0.0101122223612;0.000474046768952;0.0140628950704;0.000207063656919;5.77003749768e-05;0.0124088069552;0.00443565689095;523.4280323419999;2.7;1.7;2.26086266725;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
FransAllardstraat_20_1594310;[40.151071123729942, 30.374830734588603, 53.30038208539667, 29.956375084459403];77.6833572388;270.546063874;94.15192068100001;[10.037767780932485, 7.5937076836471507, 13.325095521349168, 4.1144136116594856];[10.037767780932485, 7.5937076836471507, 13.325095521349168, 4.1144136116594856];24232226.8797;27061098.1279;25503206.3138;4173594.68234;0.000217742843576;0.00928690284851;0.0005883561614369999;0.0174539549771;0.000193150300086;6.81439910238e-05;0.0146547683634;0.00398413090916;463.146351938;2.7;1.7;2.26841580626;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
FransAllardstraat_18_1591242;[50.950173591582406, 30.290881849306068, 50.767470573868096, 31.33264991395896];124.327495575;276.771397486;139.450542149;[12.737543397895601, 7.572720462326517, 12.498645861294388, 3.5767333681791547];[12.737543397895601, 7.572720462326517, 12.498645861294388, 3.5767333681791547];25738405.4803;43309644.1418;26150863.8727;6181605.61094;0.000205000810599;0.00874344516048;0.0003676216725930001;0.0109057277591;0.000189994574652;4.60083377152e-05;0.00989436517986;0.00384017930934;617.233534961;2.7;1.7;2.2901663879;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
FransAllardstraat_27_4754116;[39.333364349548297, 32.440862326922506, 39.130701766739385, 30.008834363013051];97.4550704956;254.226682423;112.704556694;[9.8021145291797129, 3.3612008079294777, 9.7826754416848463, 7.5022085907532627];[9.8021145291797129, 3.3612008079294777, 9.7826754416848463, 7.5022085907532627];22204416.8853;33948600.0539;23928559.9238;4996001.51638;0.000237628126612;0.0101350257472;0.000468990291014;0.0139128914773;0.000204700597652;5.69266037325e-05;0.012242402872;0.004589019930350001;525.7487006480001;2.7;1.7;2.25428392277;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
