BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
GouverneurAlexGalopinstraat_38_1591214;[85.620460464812297, 98.928500944914504, 74.133990245337046, 133.59800909923973];213.204097748;624.052521423;204.179382412;[20.827528016719203, 20.991435097254382, 14.096952361173713, 32.900585085166114];[20.827528016719203, 20.991435097254382, 14.096952361173713, 32.900585085166114];61813479.5019;74269923.6426;59206322.0577;9050925.12733;8.53599252055e-05;0.00364066767715;0.00021437431248;0.00635954859235;8.51815381921e-05;3.14227987271e-05;0.006757658742289999;0.00157321435621;1139.16024945;2.7;1.7;2.32860247702;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
GouverneurAlexGalopinstraat_48_1593913;[35.482872606445987, 58.322015008380347, 36.770849914317409, 44.195558849222628];224.419944763;410.467127677;181.585415783;[8.8707181516114968, 14.580503752095087, 4.9368014015363544, 10.961607853792833];[8.8707181516114968, 14.580503752095087, 4.9368014015363544, 10.961607853792833];27539501.0898;78176978.4798;38102198.2184;8049372.973160001;0.000191593666485;0.00817161996149;0.000203660516541;0.00604171710828;0.000121830128377;3.5332615288e-05;0.00759848792154;0.00355092003748;579.639659881;2.7;1.7;2.12578634096;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
GouverneurAlexGalopinstraat_2_2983625;[48.456405901982407, 37.09528801778751, 37.963546069004039, 69.270019136369854];75.65108871460001;479.2719382019999;105.149262058;[12.114101475495602, 9.1414400059146637, 7.3758069984452366, 17.317504784092463];[12.114101475495602, 9.1414400059146637, 7.3758069984452366, 17.317504784092463];30378042.412;26353154.7548;44375405.0225;4661088.14139;0.000173691046823;0.00740805920879;0.000604161587746;0.0179228328733;0.000103532876181;6.10169535403e-05;0.0131220567939;0.00304093320779;642.017037965;2.7;1.7;2.10224608152;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
GouverneurAlexGalopinstraat_60_1594887;[46.375155317122832, 34.315786521239794, 55.764291992215306, 33.993885454556988];67.5309524536;397.830680564;82.6943719611;[11.593788829280708, 8.5789466303099484, 13.941072998053826, 5.3310957934200047];[11.593788829280708, 8.5789466303099484, 13.941072998053826, 5.3310957934200047];26858436.1596;23524494.7692;36939868.8479;3665701.01363;0.000196452018115;0.00837883246432;0.0006768078964069999;0.0200779312367;0.000125809029354;7.75855416229e-05;0.0166852296696;0.00354234333694;444.475496166;2.7;1.7;2.12844639092;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
GouverneurAlexGalopinstraat_24_1594906;[32.837845502686321, 62.642698985967186, 33.98181517227799, 22.19466756435904];105.060073853;395.193587284;122.321044249;[8.2094613756715802, 15.660674746491797, 4.1826550237361868, 5.1376170855456369];[8.2094613756715802, 15.660674746491797, 4.1826550237361868, 5.1376170855456369];23897281.4936;36597812.8251;36517034.4508;5422284.07154;0.000220794737192;0.00941706850194;0.0004350414024709999;0.012905776381;0.000124782597442;5.24512170181e-05;0.0112799444857;0.00420987270707;573.000399132;2.7;1.7;2.08375376551;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
GouverneurAlexGalopinstraat_58_1594293;[52.397922866673994, 37.274836528910626, 62.555517624836398, 36.47736174590095];86.1291885376;425.298671603;102.617456843;[13.099480716668499, 5.0186405653693855, 15.638879406209099, 9.1193404364752375];[13.099480716668499, 5.0186405653693855, 15.638879406209099, 9.1193404364752375];29735198.2399;30003214.4019;39555767.244;4548857.51767;0.000177446067263;0.00756821377208;0.000530661935269;0.0157424195297;0.000118266619151;6.25223800625e-05;0.0134458076726;0.00325884602288;540.777125113;2.7;1.7;2.14370145351;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
GouverneurAlexGalopinstraat_50_1594872;[28.245411128804051, 32.555829777192955, 28.631654365212384, 45.995235433286126];72.2137298584;248.622687894;88.170354009;[7.0613527822010127, 8.1389574442982386, 3.7646301245526876, 11.498808858321532];[7.0613527822010127, 8.1389574442982386, 3.7646301245526876, 11.498808858321532];21340021.1042;25155746.3444;23377065.8869;3908441.99428;0.000247253456836;0.0105455536213;0.000632919556463;0.0187759560734;0.000208723532769;7.27669488217e-05;0.0156489627842;0.00458667752251;431.476557493;2.7;1.7;2.24471348472;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
GouverneurAlexGalopinstraat_36_1594928;[31.703721478849182, 48.948174836522504, 29.016684121266955, 35.246384642230851];78.3242912292;259.087259696;94.6303601115;[7.9259303697122956, 12.237043709130626, 4.2284636954646624, 8.7505903369553604];[7.9259303697122956, 12.237043709130626, 4.2284636954646624, 8.7505903369553604];22834904.366;27284368.3138;24399253.0797;4194803.08944;0.000231067049916;0.0098551906865;0.000583541595528;0.0173111278562;0.000201158216457;6.7799463409e-05;0.0145806756619;0.00421601820145;469.279972846;2.7;1.7;2.25932879621;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
GouverneurAlexGalopinstraat_41_1591246;[32.530365990114248, 62.433150074789161, 29.033067517136065, 62.115460343489616];97.6199226379;296.395948955;106.290117095;[3.4962186015450882, 15.60828751869729, 7.2582668792840161, 15.528865085872404];[3.4962186015450882, 15.60828751869729, 7.2582668792840161, 15.528865085872404];29326513.8082;34006026.5112;28118197.3894;4711660.30693;0.000179918895968;0.00767368185345;0.000468198300484;0.0138893965809;0.000179312964276;6.03620337722e-05;0.0129812124237;0.00333544831704;510.401536044;2.7;1.7;2.32791696237;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
GouverneurAlexGalopinstraat_34_1594501;[30.34282545381452, 33.380145918652801, 32.162641916191376, 33.813080029981748];76.1082077026;243.430840535;91.0863640477;[7.5857063634536299, 8.2914068302621349, 4.0613688589799164, 8.4201022839181299];[7.5857063634536299, 8.2914068302621349, 4.0613688589799164, 8.4201022839181299];20437207.8254;26512392.7465;22859599.9098;4037703.76507;0.000258175873733;0.0110114032581;0.0006005328893180001;0.0178151852559;0.000212419316324;7.04374107458e-05;0.015147981841;0.0049271639265;473.561322804;2.7;1.7;2.23279483008;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
