BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Halenstraat_68_1591280;[125.23920902149703, 69.429227762305956, 124.62742856317107, 54.776803131943012];413.737575531;640.543463157;353.311722031;[31.309802255374258, 17.357306940576489, 30.662245554121348, 9.3843352424440987];[31.309802255374258, 17.357306940576489, 30.662245554121348, 9.3843352424440987];58944316.7998;144126020.406;60482063.6709;15661708.371;8.95148891943e-05;0.00381788014609;0.000110469738732;0.003277154167050001;8.1949226824e-05;1.81592832553e-05;0.00390526128208;0.00157503755916;1250.94268482;2.7;1.7;2.28399264062;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_70_1591252;[76.829039580846867, 47.051968118659055, 70.191725583233378, 38.836922444578541];95.14922714229999;504.44452206;113.811162258;[19.207259895211717, 11.762992029664764, 17.29519166556954, 4.784084110607294];[19.207259895211717, 11.762992029664764, 17.29519166556954, 4.784084110607294];36700624.4769;33145356.5347;47008518.5551;5045055.46093;0.000143768506999;0.0061318394453;0.0004803557868540001;0.0142500560481;0.000100286518943;5.63730965443e-05;0.012123367877;0.00263390457569;619.263769239;2.7;1.7;2.16171510551;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_62_1594139;[99.599063656406628, 30.385935755163114, 29.096256417157491, 27.129401268448014];120.357048035;357.795083977;138.228327494;[24.899765914101657, 7.5964839387907785, 5.8839968722708473, 2.5280486700596994];[24.899765914101657, 7.5964839387907785, 5.8839968722708473, 2.5280486700596994];29342052.7302;41926533.5976;33554451.8989;6127426.9118;0.000179823614779;0.007669618036069999;0.000379749109993;0.0112654958048;0.000143986080514;4.6415143365e-05;0.00998185114125;0.00341562493377;600.7113536759999;2.7;1.7;2.22043939516;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_46_1594925;[49.784790277124685, 59.805743730716237, 55.756646524919901, 69.777844010364774];93.1801986694;475.81684278;127.961810533;[12.446197569281171, 14.778022599939046, 5.7811062271552096, 17.443636243500151];[12.446197569281171, 14.778022599939046, 5.7811062271552096, 17.443636243500151];37049710.1288;32459442.9154;44496430.092;5672329.65744;0.000142413907386;0.006074064710699999;0.0004905063793080001;0.0145511797472;0.000107405229763;5.01390814261e-05;0.0107827060496;0.00276967823397;604.584799526;2.7;1.7;2.19415027675;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_56_1594335;[46.440807647958998, 73.884934203823988, 45.446278130979479, 64.520971167339653];113.337554932;453.825522888;146.731458625;[11.608112054766544, 18.465222366372583, 3.9317635793210073, 16.129777029185725];[11.608112054766544, 18.465222366372583, 3.9317635793210073, 16.129777029185725];36288304.8428;39481284.0819;42500793.8415;6504356.268230001;0.000145402051979;0.00620151141834;0.000403268642067;0.0119632174925;0.000113070879273;4.37253721724e-05;0.009403399935399999;0.0027870298603;614.592418802;2.7;1.7;2.20744830234;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_58_1591279;[83.992982443275849, 47.868125461597735, 79.952534310060599, 37.07674871905229];123.995334625;508.388163151;144.191039258;[20.998245610818962, 11.967031365399434, 19.678329764062148, 4.8272322304332382];[20.998245610818962, 11.967031365399434, 19.678329764062148, 4.8272322304332382];39218780.9692;43193935.4446;47518858.4695;6391743.79379;0.000134537429685;0.005738126766649999;0.000368606464192;0.0109349422203;0.000100381544957;4.44957444706e-05;0.00956907305514;0.00243127464733;718.5774905960001;2.7;1.7;2.18956763547;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_61_1594905;[54.532656692825057, 29.968246801689201, 40.537362250831436, 31.455553868734302];99.7818260193;273.558501621;115.995846488;[13.633164173206264, 3.378623585116622, 10.122374657768397, 7.8638884671835756];[13.633164173206264, 3.378623585116622, 10.122374657768397, 7.8638884671835756];24659436.6759;34759128.3547;25797266.1933;5141898.80116;0.000213970580769;0.00912601288474;0.00045805417375;0.0135884646915;0.000191226139056;5.53113566735e-05;0.0118950344372;0.00399243358483;527.1703207090001;2.7;1.7;2.27206710333;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_31_1594070;[9.0087621234801389, 34.770120476083449, 47.492759799718115, 32.275982979868601];78.55311203;352.683443861;94.9646339002;[2.1006253809527666, 4.4181995638242286, 11.873189949929529, 8.0689957449671503];[2.1006253809527666, 4.4181995638242286, 11.873189949929529, 8.0689957449671503];19467956.3194;27364078.3361;32470187.3511;4209620.87857;0.000271029680795;0.0115596281984;0.0005818417716540001;0.0172607015136;0.000138227429642;6.75608105276e-05;0.014529351948;0.005280501022909999;481.903443446;2.7;1.7;2.05030741457;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_6_1594410;[48.892190438472937, 20.609663517884051, 70.69514939460278, 31.524100966813634];81.2175636292;334.156231576;88.93962930149999;[12.146463779936347, 5.1524158794710129, 17.673787348650695, 7.8810252417034086];[12.146463779936347, 5.1524158794710129, 17.673787348650695, 7.8810252417034086];27058868.5757;28292243.5023;31315496.9289;3942542.66102;0.000194996844462;0.0083167681681;0.000562753668421;0.0166944409451;0.000153866284993;7.21375576686e-05;0.0155136084936;0.00326056837613;475.702702688;2.7;1.7;2.21389466391;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_49_1593909;[48.449574399887901, 33.004119113400982, 35.276444479074868, 31.412985645087598];80.7613105774;375.628704082;96.8495817339;[12.112393599971975, 4.1188380132794666, 8.8191111197687171, 7.8532464112718996];[12.112393599971975, 4.1188380132794666, 8.8191111197687171, 7.8532464112718996];23343579.8635;28133307.1607;34749418.6063;4293177.41356;0.000226031911893;0.00964043810549;0.0005659328897180001;0.0167887545413;0.000131753052889;6.62458992894e-05;0.0142465725081;0.00424656997561;475.877881011;2.7;1.7;2.09438712225;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_51_1593908;[23.292552856321308, 31.553848473229781, 37.262452032385461, 30.938081594936559];54.24216842649999;231.53127181;69.0210913101;[5.8100480583787197, 7.8884621183074453, 9.3156130080963653, 7.7345203987341398];[5.8100480583787197, 7.8884621183074453, 9.3156130080963653, 7.7345203987341398];19389060.2723;18895329.6386;21739012.521;3059587.71289;0.000272132527976;0.0116066654946;0.0008426190028600001;0.0249968218279;0.000223246555033;9.29554650032e-05;0.0199906226106;0.004544180733390001;381.951189637;2.7;1.7;2.23144844753;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_74_1594903;[42.603373798595271, 28.991631142306336, 39.131766275708415, 24.226180996340577];63.6587715149;307.643488712;81.2952259214;[10.581135369517431, 7.2479077855765839, 9.7507417744846663, 2.6984030218973514];[10.581135369517431, 7.2479077855765839, 9.7507417744846663, 2.6984030218973514];21265145.0871;22175615.523;28597391.7331;3603679.2468;0.000248124053016;0.0105826852304;0.000717976184347;0.0212992143494;0.000163231195303;7.89208414768e-05;0.0169723938019;0.00461478718521;421.912619598;2.7;1.7;2.13866669429;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_10_1594409;[68.4492154872067, 21.412049214119545, 68.672186025509959, 30.778579258364921];80.05207443239999;349.41617885;87.6250305893;[17.112303871801675, 5.3530123035298862, 17.16804650637749, 7.6946448145912303];[17.112303871801675, 5.3530123035298862, 17.16804650637749, 7.6946448145912303];29830750.0381;27886243.8308;32844006.0206;3884268.73357;0.000176877684277;0.00754397179245;0.000570946876725;0.0169374976143;0.000148385967196;7.32198048276e-05;0.015746352147;0.00295231938004;457.16566523;2.7;1.7;2.24179526148;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_53_1594394;[35.04532957025414, 28.828986265312064, 34.997664798703809, 28.317154638115245];67.56103515619999;232.694880206;81.5473490518;[8.7613323925635349, 3.1243270078790295, 8.5691587050249947, 7.0792886595288111];[8.7613323925635349, 3.1243270078790295, 8.5691587050249947, 7.0792886595288111];20041765.4502;23534974.1176;21883847.3609;3614855.436819999;0.000263269920012;0.0112286683224;0.0006765065361540001;0.0200689911956;0.000223134704096;7.86768388226e-05;0.0169199195878;0.00507470225719;422.539904434;2.7;1.7;2.2465918939;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_2_1594326;[77.514842106094306, 67.567119886358583, 89.060305593021127, 61.417541673575414];124.844955444;660.8989053280001;143.859132549;[19.119884436649084, 15.843877205424137, 22.265076398255282, 9.4002706821791939];[19.119884436649084, 15.843877205424137, 22.265076398255282, 9.4002706821791939];46572691.6139;43489901.9576;61491617.471;6377030.93328;0.000113293730814;0.00483206636843;0.000366097946928;0.0108605254805;7.61922494436e-05;4.45984034805e-05;0.00959115048248;0.00209709234341;1019.98595604;2.7;1.7;2.14720880437;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_23_1594635;[39.388674927652573, 29.255129910594803, 53.800088650758681, 32.214471759948111];94.3582458496;386.44817543;110.011955366;[9.8253493149554423, 3.3668612384426226, 13.45002216268967, 8.0536179399870278];[9.8253493149554423, 3.3668612384426226, 13.45002216268967, 8.0536179399870278];24370215.8568;32869817.1767;35772978.5029;4876643.07416;0.000216509940575;0.00923431856972;0.000484382487836;0.0143695106613;0.000128313810998;5.83199127443e-05;0.0125420422168;0.00402720760863;521.573231878;2.7;1.7;2.10020467189;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_41_1594337;[50.30821064117648, 31.535040911313114, 36.765517677616771, 31.908939707993287];81.58855438229999;381.907082717;98.2000488623;[12.57705266029412, 4.3722365942220796, 9.1032785364811826, 7.9772349269983218];[12.57705266029412, 4.3722365942220796, 9.1032785364811826, 7.9772349269983218];23717753.9747;28421478.6118;35329208.7071;4353041.32696;0.000222466005534;0.0094883494059;0.000560194775095;0.0166185297678;0.000129575539371;6.53348721522e-05;0.0140506507333;0.0041060300851;489.266995233;2.7;1.7;2.09412128172;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_57_1594502;[33.7615235874635, 32.38034640496771, 24.073121217748454, 32.528715601946473];142.050144196;353.66800796;157.388151995;[8.4000689746727666, 3.5395895079999198, 6.0074407671189798, 8.1321789004866183];[8.4000689746727666, 3.5395895079999198, 6.0074407671189798, 8.1321789004866183];19341279.2465;49483351.7473;32549267.0549;6976749.379910001;0.00027280480881;0.0116353387988;0.000321755969565;0.00954509287825;0.00013768666105;4.07647434476e-05;0.00876669921506;0.005357793760430001;677.225672726;2.7;1.7;2.04705911773;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_37_1591283;[46.97840051160297, 28.011727005025808, 70.543832052356535, 29.806132409991925];106.184398651;396.195438659;121.299581026;[11.642533401348217, 3.4258553656125796, 17.635958013089134, 7.4512171136869414];[11.642533401348217, 3.4258553656125796, 17.635958013089134, 7.4512171136869414];27629128.7769;36989472.8251;36844400.6812;5377004.34231;0.000190972144999;0.00814511158322;0.000430435002252;0.012769124626;0.000126907424352;5.28929084792e-05;0.0113749328471;0.003479652137860001;552.1025670509999;2.7;1.7;2.14255959274;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_59_1594503;[61.570304060581471, 32.070646877175868, 35.451816493092494, 31.230256947640449];133.967433929;380.825587855;148.723013499;[15.065035849237351, 3.6244867017175149, 8.6949115997505615, 7.8075642369101121];[15.065035849237351, 3.6244867017175149, 8.6949115997505615, 7.8075642369101121];25262821.7338;46667729.1555;35332262.1276;6592638.51221;0.000208860041153;0.00890804436678;0.000341168599949;0.0101209807484;0.000131106678233;4.31398442435e-05;0.009277478690700001;0.00397043078404;649.723088302;2.7;1.7;2.12098805724;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_47_1592339;[37.769126369426452, 30.378859256779489, 37.110013288092475, 30.061276507013559];83.7923278809;342.39741568;98.16443542209998;[9.3603466071626649, 3.0514107359172615, 9.2718724801791996, 7.5153191267533899];[9.3603466071626649, 3.0514107359172615, 9.2718724801791996, 7.5153191267533899];21322868.2865;29189165.9648;31678033.9631;4351462.64366;0.000247452355662;0.0105540368121;0.000545461416676;0.0161814554388;0.000144580242872;6.53585752332e-05;0.014055748221;0.00478535696573;485.835822461;2.7;1.7;2.09521114712;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_76_1594902;[21.696841329077245, 29.485560864154198, 55.152581939624319, 25.862435450145533];82.28445816039999;307.881577908;100.527576015;[5.4242103322693112, 7.3713902160385496, 13.72985757908692, 2.9752896102200039];[5.4242103322693112, 7.3713902160385496, 13.72985757908692, 2.9752896102200039];20830943.3878;28663897.5944;28590692.5983;4456216.651219999;0.000253295968826;0.0108032714911;0.0005554570437030001;0.0164779819911;0.000162614080083;6.38221659381e-05;0.0137253343138;0.00473640176828;485.79613197;2.7;1.7;2.12937749144;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_64_1594848;[48.625764344204491, 31.683823869313926, 81.147761209812259, 29.111731839599372];88.37635803219999;367.838200526;106.648159022;[12.156441086051123, 7.9209559673284815, 20.286940302453065, 3.1601757264320973];[12.156441086051123, 7.9209559673284815, 20.286940302453065, 3.1601757264320973];30028829.275;30786018.8064;34487541.4617;4727531.69723;0.000175710945593;0.00749420947362;0.0005171686510980001;0.0153421327819;0.000139954763187;6.015938480899999e-05;0.0129376315654;0.00321031492037;514.536689228;2.7;1.7;2.21807854918;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_9_1591119;[73.787194103474846, 33.091154634782498, 26.491020304450306, 22.679541850871644];96.3257064819;322.580099858;104.480814528;[18.446798525868711, 3.2016318025306445, 6.6196790473343468, 5.6698854627179109];[18.446798525868711, 3.2016318025306445, 6.6196790473343468, 5.6698854627179109];24589330.4031;33555184.6367;30132519.7852;4631456.99806;0.000214580629097;0.009152031923850001;0.000474488934904;0.0140760122011;0.00015791625365;6.14073279077e-05;0.0132060091108;0.00411713757442;512.698152704;2.7;1.7;2.18375244152;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_39_1594080;[40.542319260045268, 32.486993867019038, 40.68613396729198, 30.928288165668491];95.9676971436;372.3281835019999;111.449252347;[10.135579815011317, 4.1961627345098238, 10.131386531880652, 7.7320720414171227];[10.135579815011317, 4.1961627345098238, 10.131386531880652, 7.7320720414171227];22792165.4606;33430471.6199;34421947.6091;4940356.00743;0.000231500337082;0.00987367072354;0.000476259024994;0.0141285230351;0.000132657488362;5.75677943335e-05;0.0123802947036;0.00434000686056;539.02609139;2.7;1.7;2.08848451895;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_55_1594904;[22.132710895366088, 32.872312123956192, 58.597650861405967, 30.506308410497613];116.038196564;360.717548575;130.383591787;[5.402053135452257, 3.6561583354400247, 14.434782343326177, 7.6265771026244034];[5.402053135452257, 3.6561583354400247, 14.434782343326177, 7.6265771026244034];22707902.0245;40422056.0929;33388591.9546;5779683.1059;0.000232359377862;0.00991030948574;0.0003938830766590001;0.0116847888012;0.000137434626817;4.92077841223e-05;0.0105824250555;0.004490016720449999;583.002292947;2.7;1.7;2.09950643616;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Halenstraat_25_1591310;[50.527235653248482, 28.239006089352685, 49.984373899769864, 30.141814239984846];111.514953613;380.269505078;126.351878107;[12.515086597079836, 3.1503235254172086, 12.493558232285285, 7.5354535599962116];[12.515086597079836, 3.1503235254172086, 12.493558232285285, 7.5354535599962116];25037396.5095;38846378.5516;35268610.9725;5600964.0882;0.000210740521083;0.00898824830886;0.000409859668068;0.0121587444175;0.000131162790544;5.07779364573e-05;0.0109200956031;0.00391454424122;574.862641739;2.7;1.7;2.11784163011;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
