BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Hofstede_20_1591526;[49.091460478230935, 42.409889440668863, 43.363644950566382, 44.542219931599547];92.6393623352;289.21216933;100.606324629;[6.8191713295637904, 10.602419849503674, 10.840858592970582, 8.8080845332708648];[6.8191713295637904, 10.602419849503674, 10.840858592970582, 8.8080845332708648];28270003.6557;32271041.8778;27414511.6836;4459707.443519999;0.000186642847706;0.007960463662310001;0.000493369996515;0.0146361307498;0.000183379003214;6.37722097631e-05;0.0137145909428;0.00376923064014;487.8362309999999;2.7;1.7;2.32033079457;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hofstede_28_1593951;[41.128060437603111, 42.45744275828914, 42.880819378341727, 48.099310514574881];88.7348861694;288.025235445;96.1681405025;[10.282015109400778, 10.614360689572285, 8.2414445206164331, 6.5099853746685294];[10.282015109400778, 10.614360689572285, 8.2414445206164331, 6.5099853746685294];27507093.7981;30910912.5474;27260503.075;4262970.28152;0.000191819391234;0.008181247298850001;0.000515079061298;0.0152801437884;0.000183398787622;6.67153134524e-05;0.0143475228006;0.00391966324515;464.150995193;2.7;1.7;2.30607756407;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hofstede_14_1594913;[43.899783622029922, 48.67869301604901, 41.661698616662498, 48.488489356743074];87.85277557370001;293.516277527;95.7735816668;[8.6004513957783431, 6.6195701782522862, 10.415424654165625, 12.122122339185768];[8.6004513957783431, 6.6195701782522862, 10.415424654165625, 12.122122339185768];28793379.4764;30603628.1787;27829085.795;4245480.15868;0.000183250249985;0.007815766711899999;0.000520250858029;0.015433568386;0.000180801932646;6.69901608158e-05;0.0144066303519;0.00370064596455;475.793376535;2.7;1.7;2.32255036127;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hofstede_7_1592281;[38.894872441246918, 41.782754143307336, 41.196344747161213, 44.664740346401729];90.6401329041;279.213058602;102.683808005;[9.7237181103117294, 10.445302551741156, 8.3878749777314106, 6.8021930776270327];[9.7237181103117294, 10.445302551741156, 8.3878749777314106, 6.8021930776270327];26242255.6037;31574607.7156;26399316.2632;4551798.75196;0.000201064804286;0.00857557140793;0.000504252149772;0.0149589566594;0.000188671540588;6.2481979997e-05;0.0134371193995;0.00395166840601;477.306430089;2.7;1.7;2.29645745981;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hofstede_5_1593948;[46.104564745806996, 46.038951395659012, 48.43512556036265, 52.063006239449642];92.3029899597;302.993164665;101.571739585;[9.4785562185352461, 11.488793626735312, 11.340058592223963, 7.1836532963009461];[9.4785562185352461, 11.488793626735312, 11.340058592223963, 7.1836532963009461];30355412.9503;32153866.125;28768192.4689;4502502.6483;0.000173820530645;0.007413581795229999;0.000495167945182;0.014689468026;0.00017579176525;6.31660702471e-05;0.0135842370544;0.00353820301647;497.252933688;2.7;1.7;2.33579535913;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hofstede_9_1594959;[43.292203079144407, 44.329296483704333, 45.768737540264198, 49.730170855694148];92.32607269290001;293.837517639;99.7218937211;[10.810812770005969, 11.082324120926083, 9.3255033203081261, 6.8975308513706981];[10.810812770005969, 11.082324120926083, 9.3255033203081261, 6.8975308513706981];28855108.2417;32161907.025;27861482.1113;4420502.123980001;0.000182858228871;0.007799046704300001;0.000495044146679;0.0146857954657;0.000180637136762;6.43378038498e-05;0.0138362252968;0.00366582974771;491.392941088;2.7;1.7;2.3232029505;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hofstede_17_1592313;[42.552254950798506, 42.505564899256257, 40.690949236743172, 48.345645034583477];88.093952179;285.063095457;95.55422960799999;[8.1788123534999873, 10.626391224814064, 10.172737309185793, 6.4968896343670863];[8.1788123534999873, 10.626391224814064, 10.172737309185793, 6.4968896343670863];27432841.701;30687642.3616;26993531.2132;4235756.65459;0.000192338586155;0.00820339136892;0.000518826556671;0.0153913155918;0.000185547410123;6.71439418651e-05;0.0144397018762;0.00393877551195;458.527038477;2.7;1.7;2.31072238706;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hofstede_18_1593981;[51.390418877102746, 46.080365903003354, 47.334290903939284, 48.364212243708124];89.8481178284;309.481597193;166.205217601;[7.414147249970374, 11.520091475750839, 11.833572725984821, 9.6162674395030638];[7.414147249970374, 11.520091475750839, 11.833572725984821, 9.6162674395030638];30438555.5617;31298708.2379;29347870.9779;7367594.918269999;0.000173345741597;0.007393331670379999;0.000508697154456;0.0150908205145;0.000171552303697;3.86022035311e-05;0.0083016322139;0.00345996238088;522.171023542;2.7;1.7;2.32417051508;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hofstede_16_1591525;[45.711766719906123, 48.725894847568462, 47.826721657126129, 53.708504168915809];103.883529663;312.401430484;186.009484445;[9.0026398750525889, 12.181473711892115, 6.9397744687030238, 7.8924227525441921];[9.0026398750525889, 12.181473711892115, 6.9397744687030238, 7.8924227525441921];30880331.369;36187962.1325;29634675.8971;8245484.420580001;0.000170865847388;0.00728756223973;0.000439968511089;0.0130519421521;0.000170097465429;3.449226074099999e-05;0.00741776470523;0.00387955875032;544.470198488;2.7;1.7;2.32731110767;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hofstede_1_1593949;[45.612705668599943, 46.489522488180135, 48.193386930455574, 53.013862167796546];104.545448303;308.549543783;112.756690438;[9.0095329434843396, 11.622380622045034, 7.1510449783045349, 7.809995141948205];[9.0095329434843396, 11.622380622045034, 7.1510449783045349, 7.809995141948205];30460645.826;36418542.3483;29266784.3867;4998312.51668;0.000173220030104;0.00738796997674;0.000437182896188;0.0129693051369;0.000172182607211;5.69002833699e-05;0.0122367425223;0.00392570380597;541.760178477;2.7;1.7;2.32651033246;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
