BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Hofweg_20_1591562;[58.8049118680783, 54.833604874505063, 61.240409089093475, 61.609886526042892];270.460819244;548.503979594;233.021237713;[14.701227967019575, 13.708401218626266, 15.310102272273369, 6.2143383391542617];[14.701227967019575, 13.708401218626266, 15.310102272273369, 6.2143383391542617];37264608.3231;94215376.7483;50945334.9404;10329435.5713;0.000141592632377;0.006039036688210001;0.000168991138902;0.00501322825059;9.13298967055e-05;2.75334887958e-05;0.00592123963503;0.00279823764251;754.556923367;2.7;1.7;2.13115240938;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hofweg_4_1591565;[49.806869551455691, 47.65872013897075, 49.287078323622573, 47.800592234247958];91.43922042850001;508.774268549;115.313129154;[12.451717387863923, 11.914680034742688, 12.321769580905643, 10.2089233747619];[12.451717387863923, 11.914680034742688, 12.321769580905643, 10.2089233747619];30656634.3196;31852970.8898;47005261.0255;5111635.10167;0.00017211263089;0.00734073853277;0.000499845489259;0.0148282303082;9.68811195156e-05;5.5638830416e-05;0.0119654596027;0.00297944696831;592.7156624930001;2.7;1.7;2.08239602959;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hofweg_12_4752581;[87.339373011992066, 100.50321024458145, 97.313475103035003, 97.523638640065826];236.22700119;715.9864673239999;264.570411318;[21.834843252998017, 25.117105369031943, 24.289768557055989, 22.623917780461404];[21.834843252998017, 25.117105369031943, 24.289768557055989, 22.623917780461404];60300565.0868;82289981.8814;67247550.7969;11727956.8361;8.7501567844e-05;0.00373201041335;0.000193481192422;0.00573974106636;7.2257619881e-05;2.42502085014e-05;0.00521515078605;0.00148858944821;1429.90965653;2.7;1.7;2.23447895242;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hofweg_3_1591711;[39.802376965441852, 36.574182067165083, 52.058170126720483, 34.177637912530301];99.29155731200001;340.85584394;149.345207044;[9.6138862932092763, 5.5416901885347931, 13.014542531680121, 8.011558587986908];[9.6138862932092763, 5.5416901885347931, 13.014542531680121, 8.011558587986908];25623563.783;34588342.6154;31816699.088;6620219.29496;0.000205919599305;0.00878263221855;0.000460315893011;0.0136555600136;0.00014913762248;4.29601174672e-05;0.00923882738432;0.00386182739477;563.5107177980001;2.7;1.7;2.17707079096;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hofweg_18_1591563;[47.387802123111911, 52.504967188057229, 48.940860134218994, 52.683614001032474];168.519577026;538.556397499;209.134095707;[11.823595355370962, 13.104891303054304, 12.226685398286369, 12.945626831799009];[11.823595355370962, 13.104891303054304, 12.226685398286369, 12.945626831799009];31753980.5478;58704012.9633;49712244.8362;9270559.14977;0.00016616480504;0.00708705910103;0.000271217639392;0.008045841579;9.12683733681e-05;3.06783435579e-05;0.00659755925445;0.00278892546326;963.8719238860001;2.7;1.7;2.0741803911;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hofweg_11_1595104;[90.092139749885803, 44.491552546451977, 91.475861221815066, 51.967772703585524];197.941711426;560.9643837169999;237.557725615;[22.523034937471451, 8.4540865693043923, 22.868965305453766, 12.991943175896381];[22.523034937471451, 8.4540865693043923, 22.868965305453766, 12.991943175896381];43810019.2202;68953251.5958;52467418.1781;10530530.3726;0.000120438066015;0.00513677786133;0.000230903742032;0.006849904499399999;9.11438819651e-05;2.70076993756e-05;0.00580816551001;0.00209053728506;1110.88417438;2.7;1.7;2.1956238476;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hofweg_9_1591708;[65.311136895617025, 51.232991434864005, 67.150721498456519, 48.027480790647445];184.455402374;539.8768106000001;230.975541346;[16.029036632848648, 7.9046393506941923, 16.78768037461413, 12.006870197661861];[16.029036632848648, 7.9046393506941923, 16.78768037461413, 12.006870197661861];36513532.3069;64255278.3671;50133486.4112;10238753.3269;0.000144505164349;0.006163258458350001;0.000247786084247;0.00735072978217;9.27307888798e-05;2.77773464687e-05;0.005973682670090001;0.00264995435798;878.894850008;2.7;1.7;2.12921334288;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hofweg_8_1591564;[43.529459928373974, 42.459343315758673, 44.605514268839748, 46.319601044146438];120.747753143;335.270531716;167.858788991;[10.882364982093494, 10.614835828939668, 11.151378567209937, 7.1758019985698223];[10.882364982093494, 10.614835828939668, 11.151378567209937, 7.1758019985698223];27877123.7261;42062636.2284;31466562.1064;7440894.92865;0.00018927325641;0.00807265265406;0.000378520350754;0.0112290438904;0.000153995160204;3.82219344981e-05;0.00821985310894;0.00350858918379;672.558298638;2.7;1.7;2.2276751215;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hofweg_7_1591709;[88.951213659692115, 44.380622537840068, 92.198529291438945, 41.8126608805171];154.012447357;764.948067873;200.263363134;[21.268759187787602, 7.7160208933638543, 17.895395799681456, 10.453165220129275];[21.268759187787602, 7.7160208933638543, 17.895395799681456, 10.453165220129275];42126445.9246;53650435.55;70419499.7535;8877334.64593;0.000125251344403;0.005342067955069999;0.0002967648567159999;0.00880371582285;6.37124080267e-05;3.20372510347e-05;0.00688980034571;0.00243710537476;940.63975005;2.7;1.7;2.04949173362;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hofweg_24_1591561;[42.788646726632017, 44.998554527839637, 42.162698323723752, 40.518765350653169];155.441902161;481.35246925;213.639082028;[10.447022626082575, 11.249638631959909, 10.540674580930938, 10.129691337663292];[10.447022626082575, 11.249638631959909, 10.540674580930938, 10.129691337663292];26861516.0548;54148387.9826;44334840.3083;9470257.53955;0.000196429493265;0.00837787176181;0.000294035785957;0.00872275622511;0.000101413376276;3.00314323431e-05;0.00645843717102;0.00329802214273;784.92562309;2.7;1.7;2.05414519675;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
