BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Hulshagenstraat_47_1594995;[101.32174466464494, 56.172884524668646, 98.813428701748052, 62.07406360491305];141.810771942;862.565196447;171.822543586;[25.330436166161235, 10.737592179576174, 24.703357175437013, 15.518515901228263];[25.330436166161235, 10.737592179576174, 24.703357175437013, 15.518515901228263];50168906.2427;49399966.1127;79576317.8826;7616601.43553;0.000105172593587;0.00448569350399;0.000322299083818;0.0095612047036;5.68862101715e-05;3.73401970653e-05;0.00803023025824;0.00183153197402;1318.99689694;2.7;1.7;2.06911079047;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hulshagenstraat_43_1595164;[81.075941233770664, 30.32104487692898, 82.623023903006469, 32.104687291024682];160.737186432;537.129076577;209.550966466;[20.268985308442666, 4.3117589940422363, 20.655755975751617, 8.0261718227561705];[20.268985308442666, 4.3117589940422363, 20.655755975751617, 8.0261718227561705];35631487.9897;55993007.1182;49833795.4584;9289038.32226;0.000148082336289;0.006315827643789999;0.000284349147121;0.00843539600147;9.29548836602e-05;3.06173135155e-05;0.00658443438283;0.00262336432324;805.294727513;2.7;1.7;2.12098763066;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hulshagenstraat_59_1591934;[73.923933878447144, 68.90948929815994, 66.781002820470292, 64.329713897690311];205.910301208;405.772478518;235.79886388;[13.913115778981837, 14.844502392245145, 16.685368662142505, 13.027054326656296];[13.913115778981837, 14.844502392245145, 16.685368662142505, 13.027054326656296];43166613.1425;71729120.1694;38688138.8145;10452563.0202;0.000122233216897;0.005213342452699999;0.000221967922946;0.00658481781512;0.000132675803464;2.72091541587e-05;0.00585148955279;0.00238972627653;929.828026648;2.7;1.7;2.3751175952;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hulshagenstraat_69_1591938;[53.912916939995142, 62.096024717794087, 52.257500237515103, 59.299643710856643];195.347145081;497.378898411;232.322203034;[8.3526503440137425, 14.980277855365369, 12.825545901540787, 14.804465580640155];[8.3526503440137425, 14.980277855365369, 12.825545901540787, 14.804465580640155];35858614.0426;68049431.0484;46329093.0202;10298448.5516;0.000147144392717;0.006275823615699999;0.00023397056483;0.00694088372346;0.000101576026892;2.7616334358e-05;0.005939056063239999;0.00274174517057;936.4396559710001;2.7;1.7;2.15753063979;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hulshagenstraat_55_1594930;[95.712956038692937, 65.350279280301891, 92.578901248729906, 64.892519824499288];172.078365326;1006.8481177;209.075192575;[23.928239009673234, 16.337569820075473, 23.144725312182477, 16.223129956124822];[23.928239009673234, 16.337569820075473, 23.144725312182477, 16.223129956124822];50192941.8539;59943721.4777;92352650.4001;9267948.074010001;0.00010512223018;0.00448354546521;0.000265608531241;0.00787944386354;4.784212551199999e-05;3.0686986623e-05;0.00659941799674;0.00175462720864;1532.79802692;2.7;1.7;2.0163681302;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hulshagenstraat_37_1592238;[96.037686506270177, 56.629807865231399, 71.312245918575897, 52.932312158170369];125.766124725;606.472614582;171.460987751;[24.009421626567544, 10.70972947254678, 17.828061479643974, 13.233078039542592];[24.009421626567544, 10.70972947254678, 17.828061479643974, 13.233078039542592];43634280.5038;43810792.4699;56485063.0455;7600574.279639999;0.000120923134885;0.005157466428609999;0.000363416476196;0.0107809779674;8.32794670893e-05;3.74189354786e-05;0.008047163419790001;0.00212415287979;936.687144989;2.7;1.7;2.15659448719;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hulshagenstraat_67_1592254;[52.097052137233234, 39.159358023754152, 52.865138860988552, 40.292303672878681];172.879333496;530.172519687;200.99857832;[13.024263034308309, 9.7898395059385379, 13.216284715247138, 10.07307591821967];[13.024263034308309, 9.7898395059385379, 13.216284715247138, 10.07307591821967];29058922.16;60222739.7773;48797730.3533;8909925.486019999;0.000181575694994;0.00774434562974;0.000264377938925;0.007842937569779999;9.18730980741e-05;3.19200647656e-05;0.006864598745350001;0.00303073530992;873.4251177689999;2.7;1.7;2.0478374413;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hulshagenstraat_3840_1603037;[81.403612890607874, 49.782567553634088, 78.796018681133262, 49.146276833281249];365.119888306;259.128475959;369.190895915;[18.591116400684374, 10.957145127684214, 19.489784121760085, 10.231017521186883];[18.591116400684374, 10.957145127684214, 19.489784121760085, 10.231017521186883];40832042.1828;127189986.08;31287303.1516;16365605.171;0.000129221897924;0.0055114151731;0.000125179381722;0.00371352496301;0.000224430235133;1.73782390323e-05;0.00373729310181;0.00235750974072;1077.99029277;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hulshagenstraat_49_1592241;[85.545489051630526, 57.355237133720848, 85.667573377654008, 60.251275799930688];129.69688797;453.937975937;139.185033136;[21.386372262907631, 10.654583358039392, 21.416608619041334, 15.062818949982672];[21.386372262907631, 10.654583358039392, 21.416608619041334, 15.062818949982672];45510602.572;45180078.9383;43102002.3408;6169836.04747;0.000115937686798;0.004944833162319999;0.00035240230192;0.0104542355714;0.000117351796529;4.60961031026e-05;0.00991323964558;0.00203920917025;880.62230674;2.7;1.7;2.33625338851;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hulshagenstraat_39_4753208;[64.417336215823099, 80.377938148184811, 63.219444230108628, 71.714557635750822];147.066429138;695.6680427089999;196.034461085;[15.382865120646525, 9.7097215479915917, 15.804861057527157, 17.928639408937705];[15.382865120646525, 9.7097215479915917, 15.804861057527157, 17.928639408937705];44078203.1559;51230781.1053;64410334.7859;8689874.60287;0.00011970528763;0.00510552428916;0.000310781203707;0.00921951955766;7.13242691698e-05;3.27283662386e-05;0.007038428758489999;0.00237526241426;1055.05404521;2.7;1.7;2.10210166208;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
