BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
JulesCarlierstraat_23_1591267;[26.18802700340775, 83.83016070203324, 43.521407212961144, 95.505432433176978];261.079120636;494.823912239;229.691144179;[3.3663732768645436, 20.717322190721443, 9.6830230091816283, 23.789845733139749];[3.3663732768645436, 20.717322190721443, 9.6830230091816283, 23.789845733139749];39243147.7267;90947249.8846;46319581.736;10181818.1827;0.000134453893039;0.00573456386328;0.000175063719233;0.00519337515927;0.000103570854286;2.79326730715e-05;0.00600708657483;0.00242765348606;716.0689197260001;2.7;1.7;2.20330030783;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
JulesCarlierstraat_13_1591266;[37.519663701388502, 69.450591162709387, 46.101836055987292, 64.826635496360382];224.065711975;498.299483252;175.914782998;[4.9148483798094906, 16.701258888082016, 11.525459013996823, 15.469394274961969];[4.9148483798094906, 16.701258888082016, 11.525459013996823, 15.469394274961969];34335284.6718;78053581.0291;46313119.4396;7798003.45604;0.000153672644261;0.00655425865799;0.00020398249009;0.0060512686558;0.000100731739044;3.64715661096e-05;0.00784342603299;0.002874401002349999;596.634389221;2.7;1.7;2.13728467265;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
JulesCarlierstraat_10_1594281;[50.420532841993918, 51.664261441331639, 58.600130692889351, 68.617550608464313];244.550918579;459.960724486;220.277240086;[12.605133210498479, 12.84400050954989, 5.576223439341228, 17.154387652116078];[12.605133210498479, 12.84400050954989, 5.576223439341228, 17.154387652116078];36132224.8397;85189629.2869;43033941.3603;9764515.80822;0.00014603014374;0.00622830002397;0.000186895564073;0.00554437426607;0.000111257810561;2.91264210286e-05;0.006263809134399999;0.00290012731069;707.005802491;2.7;1.7;2.19852620752;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
JulesCarlierstraat_16_4754257;[49.668435619523571, 61.947488423181298, 50.756617751850527, 75.21616274019739];73.38856887819999;480.59557099;110.691150469;[12.417108904880893, 15.145137029147545, 10.094347583540658, 18.797926386570325];[12.417108904880893, 15.145137029147545, 10.094347583540658, 18.797926386570325];37437923.292;25565003.0389;44944349.0019;4906750.63918;0.000140937144024;0.006011079596470001;0.000622787480001;0.0184753816629;0.000106344252056;5.79620648132e-05;0.0124650849025;0.00247504352153;549.361846274;2.7;1.7;2.19436307548;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
JulesCarlierstraat_11_1594839;[49.005038933781286, 60.486056120916928, 47.726497510245792, 70.465679138198325];90.8006629944;475.195020971;127.224692509;[5.092234780157364, 14.953271585463895, 11.931624377561448, 17.274018128562528];[5.092234780157364, 14.953271585463895, 11.931624377561448, 17.274018128562528];35877079.5842;31630528.5805;44366298.8719;5639654.46779;0.000147068659103;0.006272593517729999;0.0005033606624140001;0.0149325101271;0.000107045111903;5.0429578655e-05;0.010845179197;0.00283703826105;584.225784196;2.7;1.7;2.1791364843;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
JulesCarlierstraat_2_1594318;[48.379672196386146, 80.905235487312709, 48.41666849428789, 68.594070712320729];121.018356323;495.942604288;157.650167342;[12.094918049096536, 19.663973249619247, 5.8608659412496573, 17.148517678080182];[12.094918049096536, 19.663973249619247, 5.8608659412496573, 17.148517678080182];38809915.4524;42156901.1966;46390874.0354;6988364.075089999;0.000135954792106;0.005798578384199999;0.00037767396006;0.011203935179;0.000103125243969;4.06969922451e-05;0.0087521289182;0.0025512469392;683.855924396;2.7;1.7;2.19662127182;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
JulesCarlierstraat_8_1594319;[52.498441122843801, 67.36967136880817, 57.311051486770111, 50.683487928078762];108.07894516;478.019802175;144.126336761;[13.12461028071095, 16.842417842202043, 7.6235006013216164, 12.562226860612391];[13.12461028071095, 16.842417842202043, 7.6235006013216164, 12.562226860612391];35905345.3315;37649440.5557;44618189.0341;6388875.642030001;0.000146952882315;0.00626765554702;0.000422889784915;0.0125452910158;0.000106330768526;4.45157199022e-05;0.009573368889850001;0.00278603622315;679.345728005;2.7;1.7;2.17668036108;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
JulesCarlierstraat_35_1594847;[73.433743197389475, 67.88314865328087, 55.40082883396429, 74.202922122172353];116.894306183;526.924610092;147.307414827;[9.4747905569511381, 16.970787163320217, 13.850207208491073, 18.550730530543088];[9.4747905569511381, 16.970787163320217, 13.850207208491073, 18.550730530543088];42690187.0756;40720282.9878;49382193.6437;6529887.42816;0.000123597349846;0.005271523791560001;0.000390998358817;0.011599211835;9.75840523479e-05;4.355441065400001e-05;0.00936663364958;0.00237443785175;648.1752258180001;2.7;1.7;2.21415446843;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
JulesCarlierstraat_17_1594840;[21.979019728540028, 87.452482648963453, 30.52125328470354, 19.74636556141715];84.1584739685;345.41803907;103.89683027;[2.2826414942134532, 21.863120662240863, 7.6303133211758851, 4.692145990604371];[2.2826414942134532, 21.863120662240863, 7.6303133211758851, 4.692145990604371];25164510.501;29316713.4288;32191212.9435;4605569.968090001;0.000209676003305;0.00894284579175;0.000543088291853;0.0161110552007;0.000146486103985;6.17524867802e-05;0.013280237568;0.00383148363492;498.472008321;2.7;1.7;2.16233578783;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
JulesCarlierstraat_25_1594843;[57.631004196040699, 78.584197452482968, 50.072258756388798, 65.925735375466104];100.720241547;522.9075317180001;138.529265267;[6.0534958857254733, 19.473464666635632, 12.5180646890972, 16.478487572257642];[6.0534958857254733, 19.473464666635632, 12.5180646890972, 16.478487572257642];39742370.309;35086026.6193;48837787.3874;6140766.972;0.000132764954529;0.0056625293128;0.000453786460106;0.0134618602864;9.73748368928e-05;4.63143121807e-05;0.00996016679861;0.00256269977005;647.3424485419999;2.7;1.7;2.18232848158;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
