BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Kamillestraat_11_1591588;[27.606698932323859, 50.090171389673429, 37.885107306483654, 49.8252337010735];261.477489471;412.97550204;310.751222836;[6.9016747330809647, 10.642934267558996, 9.4712768266209135, 10.628182786920833];[6.9016747330809647, 10.642934267558996, 9.4712768266209135, 10.628182786920833];26063959.9927;91086022.1845;38229911.6683;13775073.7508;0.000202440227366;0.00863423427976;0.00017479700438;0.005185462895699999;0.000120084475298;2.06463793745e-05;0.0044401260145;0.00371180371554;742.9636016489999;2.7;1.7;2.10052548036;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kamillestraat_56_1591617;[45.583825418826692, 46.606302171673583, 63.087425081739738, 54.8611732941458];293.611438751;570.590721816;244.818996486;[7.7480100716758233, 11.651575542918396, 11.883930433739991, 13.71529332353645];[7.7480100716758233, 11.651575542918396, 11.883930433739991, 13.71529332353645];33112506.4166;102279925.044;52635331.0369;10852410.1737;0.000159347465897;0.00679629424616;0.000155666557362;0.004617946172270001;8.5970806781e-05;2.62066576935e-05;0.005635896757850001;0.00310513535137;781.4702813360001;2.7;1.7;2.06828276019;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kamillestraat_7_4753064;[66.760748338132174, 57.026975923047686, 64.557137104148794, 41.233547639115145];157.319057465;501.773276863;207.066572832;[11.523537398221006, 10.805290956905633, 14.074156933679216, 9.8304128907093116];[11.523537398221006, 10.805290956905633, 14.074156933679216, 9.8304128907093116];36175704.9126;54802297.4644;46738532.5006;9178909.37338;0.000145854628119;0.00622081414526;0.000290527305522;0.00861867494992;0.000100687205869;3.0984661358e-05;0.00666343470935;0.0030222176879;847.3552649630001;2.7;1.7;2.15755407789;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kamillestraat_29_1591673;[44.522907201266896, 61.70268591022144, 55.511415818310979, 39.513183832477267];131.231681824;401.029260755;161.943048366;[9.4942869793233733, 9.3020789534299535, 11.682335393915567, 3.3525496430268875];[9.4942869793233733, 9.3020789534299535, 11.682335393915567, 3.3525496430268875];31711900.1675;45714726.3654;37533698.6349;7178660.19741;0.000166385298866;0.007096463335399999;0.0003482808513719999;0.0103319701529;0.000127737032153;3.96181725767e-05;0.00852012236693;0.00413012790674;668.190538987;2.7;1.7;2.20183418632;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kamillestraat_44_4752654;[56.227772220851975, 53.01257992578882, 55.582315691176113, 55.293329858832408];213.06262207;220.115997697;237.498162073;[14.056943055212994, 12.905044451866827, 13.235899973779521, 13.823332464708102];[14.056943055212994, 12.905044451866827, 13.235899973779521, 13.823332464708102];34684670.1035;74220640.407;26576916.8092;10527890.022;0.00015212466981;0.00648823633505;0.000214516659132;0.006363771395189999;0.000264207351567;2.70144727932e-05;0.00580962217354;0.00258652792164;1169.94594222;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kamillestraat_31_4753156;[53.153432841541871, 60.269397669384531, 39.608959494619882, 59.190243310919605];150.688240051;455.148424918;184.925596843;[13.288358210385468, 15.012822721267536, 8.956081821716726, 14.797560827729901];[13.288358210385468, 15.012822721267536, 8.956081821716726, 14.797560827729901];33440782.5479;52492443.6287;42435589.1848;8197437.524669999;0.000157783209152;0.00672957747064;0.00030331153816;0.008997927238740001;0.000111308716387;3.46944270956e-05;0.00746124177567;0.00268423527615;838.185773635;2.7;1.7;2.16626994997;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kamillestraat_10_1594975;[61.73673783516675, 63.956687575306461, 54.188730570727941, 63.288651895115684];152.427051544;548.024910965;190.449604287;[15.434184458791687, 15.989171893826615, 13.547182642681985, 15.822162973778921];[15.434184458791687, 15.989171893826615, 13.547182642681985, 15.822162973778921];38317520.4813;53098160.8648;50970285.0591;8442307.38955;0.000137701863813;0.0058730923611;0.000299851511982;0.00889528338952;9.17822722813e-05;3.36881122005e-05;0.00724482780481;0.00229842381115;1018.36254362;2.7;1.7;2.14372217943;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kamillestraat_22_1591609;[39.282138291642809, 44.911088125554208, 39.002240149227589, 43.647608836075008];252.826251984;414.50729049;294.14753919;[9.8205345729107023, 8.8140593778619643, 9.7505600373068972, 10.911902209018752];[9.8205345729107023, 8.8140593778619643, 9.7505600373068972, 10.911902209018752];26290215.5679;88072352.3985;38379997.8393;13039060.664;0.000200698011522;0.00855992740924;0.000180778228186;0.0053628996557;0.00011971985976;2.18118011642e-05;0.004690756864229999;0.003555670761929999;717.6293211789999;2.7;1.7;2.102509387;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kamillestraat_50_1594977;[70.278240714650437, 73.703541035633307, 70.33586403514559, 74.720764146016407];157.156841278;796.3817784619999;195.509646427;[16.369179933863116, 18.425885258908327, 11.276984712601628, 18.680191036504102];[16.369179933863116, 18.425885258908327, 11.276984712601628, 18.680191036504102];45545085.3215;54745789.2457;73421047.963;8666610.46073;0.000115849908936;0.00494108936774;0.000290827185764;0.008627571085600002;6.14832978252e-05;3.28162203504e-05;0.00705732230491;0.00215787734475;1183.02513162;2.7;1.7;2.06293950684;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kamillestraat_2_1591918;[81.879012344395534, 60.027446018775677, 91.391039748581235, 52.533803824385842];268.948139191;492.294101008;282.722969919;[17.625751294719741, 14.977928717142792, 17.606285660136127, 10.796099537416145];[17.625751294719741, 14.977928717142792, 17.606285660136127, 10.796099537416145];45039726.8561;93688432.692;46467086.2764;12532628.9182;0.000117149777658;0.004996529786999999;0.000169941617778;0.00504142480329;0.000106523650015;2.2693195532e-05;0.00488030593675;0.00229038528006;935.4613754630001;2.7;1.7;2.28061086117;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
