BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
KoningAlbertstraat_25_1594302;[59.215893059826683, 37.820549341874539, 44.798847825935745, 37.636584985408703];200.645782471;413.522397064;157.924339736;[14.803973264956671, 7.1857938616929768, 11.138151053101513, 9.4091462463521758];[14.803973264956671, 7.1857938616929768, 11.138151053101513, 9.4091462463521758];28280192.4884;69895218.2473;38420077.5226;7000517.671510001;0.000186575603725;0.00795759565383;0.000227791889317;0.006757589434569999;0.000121254132747;4.06263382104e-05;0.00873693435008;0.00328483866095;527.844013004;2.7;1.7;2.1340076293;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
KoningAlbertstraat_4_1593983;[84.508548697737595, 104.1099832591114, 84.416762786603996, 107.94408783180786];221.606082916;1104.21867091;277.416875913;[21.127137174434399, 26.027495814777851, 21.104190696650999, 12.014550054376988];[21.127137174434399, 26.027495814777851, 21.104190696650999, 12.014550054376988];60032638.8775;77196766.0602;101602344.063;12297418.7858;8.78920881313e-05;0.00374866640952;0.000206246513052;0.00611843231861;4.40680140776e-05;2.3127243491e-05;0.00497365051788;0.0017406443412;1787.92930393;2.7;1.7;2.0450216815;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
KoningAlbertstraat_14_1594506;[56.172494579994812, 31.051029124978356, 56.179160421734039, 30.756293998005223];134.046474457;393.243252417;149.360966848;[13.984462536423951, 7.3524998918352855, 14.04479010543351, 3.3484040730669165];[13.984462536423951, 7.3524998918352855, 14.04479010543351, 3.3484040730669165];27443015.3421;46695263.0256;36571124.9469;6620917.9003;0.000192267282629;0.00820035021771;0.000340967429824;0.0101150129103;0.000127873290204;4.29555845357e-05;0.00923785255059;0.00360771569216;619.331276187;2.7;1.7;2.14287849074;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
KoningAlbertstraat_12_1594507;[30.635011616805265, 32.429164111460771, 57.154323832508993, 31.360927974872549];146.149513245;388.449346359;164.108717966;[7.2218242283214096, 7.7734803538699202, 13.842966400008892, 3.4251662816861974];[7.2218242283214096, 7.7734803538699202, 13.842966400008892, 3.4251662816861974];23885053.7606;50911372.266;35919136.374;7274660.651339999;0.000220907771021;0.00942188948328;0.000312730989367;0.00927736117359;0.000127226221244;3.9095349213e-05;0.0084076861099;0.00433082788443;675.323761673;2.7;1.7;2.09021671411;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
KoningAlbertstraat_42_1591221;[45.971475831068069, 30.058266222699167, 46.456533734141985, 30.778956345807465];100.511520386;261.471782732;115.70426323;[11.475805222563645, 7.5145665556747918, 11.613777966958903, 3.1060350816439857];[11.475805222563645, 7.5145665556747918, 11.613777966958903, 3.1060350816439857];24150693.5912;35013318.3325;24694697.2617;5128973.410730001;0.000218477948347;0.00931825564284;0.000454728788273;0.0134898150432;0.000200881273234;5.54507453626e-05;0.0119250107993;0.00414496077277;521.0225128530001;2.7;1.7;2.28616356431;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
KoningAlbertstraat_31_1594272;[83.528172941793414, 44.31739756255714, 98.183074889536783, 44.05406727767712];199.327831268;500.303003809;214.85979451;[20.592136778474419, 6.5376708333670752, 23.387552851319924, 11.01351681941928];[20.592136778474419, 6.5376708333670752, 23.387552851319924, 11.01351681941928];42558150.6465;69436108.2386;47016999.7842;9524369.64989;0.000123980809946;0.005287878665220001;0.00022929804424;0.00680227046613;0.000103573789962;2.98608106389e-05;0.006421743964260001;0.00227085001744;874.846694213;2.7;1.7;2.23983827923;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
KoningAlbertstraat_55_1594706;[41.7660845376897, 48.278858784322978, 109.15489393702401, 51.064011346958551];169.572273254;491.464623752;197.602341102;[10.37720791715012, 7.6488054760638118, 23.209024120846198, 11.674077874154179];[10.37720791715012, 7.6488054760638118, 23.209024120846198, 11.674077874154179];39435202.8865;59070721.0581;46034488.6385;8759376.06025;0.000133799083072;0.005706635705220001;0.000269533933793;0.00799589339515;0.000104467802679;3.24686823141e-05;0.00698258219442;0.00264089453632;864.576793233;2.7;1.7;2.20922047389;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
KoningAlbertstraat_18_1593917;[55.993031273299003, 32.119007021181439, 69.544054208224026, 30.812267531063355];140.546573639;413.236670581;156.354279666;[13.955826367005512, 8.0297517552953597, 17.386013552056006, 3.4587631571813131];[13.955826367005512, 8.0297517552953597, 17.386013552056006, 3.4587631571813131];29697809.1603;48959580.9961;38485489.3016;6930919.57608;0.000177669469101;0.007577742035449999;0.000325198122509;0.00964720650678;0.000122202161682;4.10342950092e-05;0.008824667872870002;0.00326234499573;652.148938912;2.7;1.7;2.15607849799;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
KoningAlbertstraat_38_1594298;[33.137604893450792, 30.737569277967811, 46.443653974199464, 32.156442119891679];77.0147972107;259.516880983;93.2166932484;[8.284401223362698, 7.6843923194919528, 11.610913493549866, 4.2530306651954088];[8.284401223362698, 7.6843923194919528, 11.610913493549866, 4.2530306651954088];22450470.6554;26828204.376;24412645.2099;4132137.63918;0.000235023758208;0.0100239473947;0.000593463639818;0.0176054715304;0.000200215644269;6.88276682446e-05;0.0148017971939;0.00438942434232;465.353604349;2.7;1.7;2.2490019367;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
KoningAlbertstraat_45_1594707;[56.690945262159538, 35.893276365155018, 96.078428114681813, 36.215534199407912];221.742794037;448.966318707;236.124007688;[13.437612880041192, 3.5663234289726633, 23.798380484204706, 9.0538835498519781];[13.437612880041192, 3.5663234289726633, 23.798380484204706, 9.0538835498519781];35435069.2594;77244389.5562;42015967.84;10466976.0928;0.000148903165628;0.00635083665809;0.000206119355856;0.006114660120540001;0.000114064850792;2.71716870325e-05;0.005843432025670001;0.00280260815683;928.748430791;2.7;1.7;2.2008798535;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
KoningAlbertstraat_23_1594888;[5.3805262423387914, 36.000470522780617, 46.308964544533701, 34.8867843372715];72.4360847473;351.646844524;87.5968920241;[1.3451055402733636, 4.2502088053096809, 11.204681620295046, 8.721696084317875];[1.3451055402733636, 4.2502088053096809, 11.204681620295046, 8.721696084317875];19314970.423;25233203.958;32368633.3322;3883021.39878;0.00027317639486;0.0116511872349;0.0006309767021769999;0.018718320081;0.000138551475378;7.32433250714e-05;0.0157514103146;0.00547484835548;465.860380489;2.7;1.7;2.0485791144;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
KoningAlbertstraat_41_1594400;[57.812992370631655, 34.564361478791966, 16.843783643978039, 34.589229676716265];102.149269104;371.797915998;116.716120109;[14.453248092657914, 3.552197621653149, 4.1763734060410593, 8.6473074191790662];[14.453248092657914, 3.552197621653149, 4.1763734060410593, 8.6473074191790662];22660847.8937;35583830.2201;34366604.3434;5173827.30706;0.000232841860628;0.00993088775367;0.0004474381684119999;0.013273534227;0.000132771110817;5.497002155100001e-05;0.0118216283;0.00453231763056;564.085619327;2.7;1.7;2.08679713087;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
KoningAlbertstraat_53_4754193;[19.92545877890219, 35.7764742490969, 17.366880405712841, 35.017515990114866];93.1605110168;341.908045732;109.553261052;[3.8934338093645637, 5.1121622759007854, 4.189169920784277, 8.7543789975287165];[3.8934338093645637, 5.1121622759007854, 4.189169920784277, 8.7543789975287165];17031650.2117;32452584.6961;31360518.1229;4856309.93453;0.000309799339547;0.0132131845146;0.000490610038241;0.0145542548545;0.00014087293694;5.85640954561e-05;0.0125945551534;0.006365960666220001;606.092597462;2.7;1.7;2.01612689661;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
