BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Kruidenlaan_1_1595061;[71.099160165092329, 103.38605380535348, 28.086649034267555, 68.906087189132066];352.094795227;610.03961859;377.98578932;[17.70380756210232, 21.524114225371903, 7.0125016129453241, 17.218980887862962];[17.70380756210232, 21.524114225371903, 7.0125016129453241, 17.218980887862962];42778004.513;122652678.033;56746065.5084;16755467.8534;0.000123343621261;0.005260702068659999;0.00012981016048;0.00385089992268;8.24863277082e-05;1.69738858418e-05;0.00365033455632;0.00220183903894;1164.24674969;2.7;1.7;2.14501691681;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kruidenlaan_49_1591784;[67.153415254908026, 44.03548835928612, 67.549957004559431, 54.005634460165581];147.009319305;820.781772301;210.876308948;[16.788353813727007, 11.00887208982153, 16.887489251139858, 13.501408615041395];[16.788353813727007, 11.00887208982153, 16.887489251139858, 13.501408615041395];36674599.369;51210886.8211;75014968.7191;9347788.50276;0.000143870528315;0.00613619073438;0.000310901935255;0.00922310113482;5.79922133773e-05;3.04248858953e-05;0.00654305168484;0.00240138687195;976.507884148;2.7;1.7;1.98356440522;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kruidenlaan_4_1592065;[39.257783963005693, 58.336111363263321, 40.151028878476467, 58.80373628124299];299.065071106;484.291610925;335.599500675;[8.6755809019209664, 14.58402784081583, 10.037757219619117, 14.369947293059697];[8.6755809019209664, 14.58402784081583, 10.037757219619117, 14.369947293059697];30971058.5309;104179704.939;44857747.7659;14876555.6909;0.000170365309978;0.007266213927119999;0.000152827883589;0.00453373513229;0.000102582590906;1.91176912506e-05;0.00411137259077;0.00293130416227;875.336546555;2.7;1.7;2.10584774969;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kruidenlaan_27_1591751;[82.170646271637182, 69.52722799032037, 82.225042604875426, 71.412646792824603];226.4569664;1211.16342926;264.871457428;[20.542661567909295, 17.361420764130443, 19.787459632109925, 17.853161698206151];[20.542661567909295, 17.361420764130443, 19.787459632109925, 17.853161698206151];48113101.3067;78886577.6058;110310599.76;11741301.6987;0.000109666470123;0.00467736085854;0.00020182855312;0.00598737076306;3.88408276629e-05;2.42226463359e-05;0.00520922337933;0.00184959880675;1575.70519896;2.7;1.7;1.95210104292;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kruidenlaan_17_1592069;[49.696708881011027, 49.749304663316707, 42.153454751599163, 47.49568434199697];106.363128662;401.821409962;138.725360693;[12.424177220252757, 12.437326165829177, 10.165703147518947, 11.873921085499243];[12.424177220252757, 12.437326165829177, 10.165703147518947, 11.873921085499243];29796575.6967;37051733.656;37481194.4029;6149459.54903;0.000177080549144;0.00755262413794;0.000429711709757;0.0127476677;0.000126252983588;4.62488445208e-05;0.00994608759109;0.00297919049804;652.564800643;2.7;1.7;2.17059501547;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kruidenlaan_12_1595154;[84.321738694747708, 66.732466048554841, 82.999645329514749, 57.89996852738021];138.54990387;758.7390282560001;159.732810686;[21.080434673686927, 16.68311651213871, 20.749734693748923, 10.74261080293746];[21.080434673686927, 16.68311651213871, 20.749734693748923, 10.74261080293746];46004479.40899999;48264038.4954;70117594.1266;7080684.1162;0.000114693048476;0.0048917483629;0.000329884616272;0.00978623428704;6.50164752994e-05;4.0166372896e-05;0.00863801608839;0.00201755230158;1138.81036712;2.7;1.7;2.08478819163;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kruidenlaan_30_1591755;[61.491176971323796, 67.820333755876561, 62.241029201267096, 70.467419420185379];168.930458069;817.463425535;207.930505844;[13.733825636835977, 15.723312589057523, 13.189070073818701, 16.077630003127357];[13.733825636835977, 15.723312589057523, 13.189070073818701, 16.077630003127357];41287666.2562;58847143.9068;75015649.3891;9217206.05601;0.000127795888347;0.005450594747560001;0.000270557970392;0.008026272083880001;5.90136140077e-05;3.0855922808e-05;0.00663574872264;0.00237939817608;1151.03980564;2.7;1.7;2.02052805198;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kruidenlaan_56_1592076;[79.086517489951291, 42.403811300346064, 78.376218521286461, 41.565409229525237];105.692832947;664.203288328;128.086784521;[19.771629372487823, 10.600952825086516, 19.594054630321615, 10.391352307381309];[19.771629372487823, 10.600952825086516, 19.594054630321615, 10.391352307381309];38043521.8372;36818235.2752;61238768.3413;5677869.54199;0.000138693625936;0.00591539179254;0.000432436907955;0.0128285124158;7.37326610624e-05;5.00901608371e-05;0.0107721853875;0.00231497761526;834.2596933919999;2.7;1.7;2.06349105881;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kruidenlaan_43_1595101;[74.028198637882781, 49.740891963205932, 73.714047876171293, 57.004384332441518];175.370441437;605.228405683;200.995297976;[18.507049659470695, 12.435222990801483, 18.428511969042823, 14.251096083110379];[18.507049659470695, 12.435222990801483, 18.428511969042823, 14.251096083110379];40100746.2724;61090520.4556;56148833.7186;8909780.07394;0.000131578448719;0.0056119239105;0.000260622494293;0.00773152994659;8.24820602408e-05;3.19205857171e-05;0.00686471077905;0.00219621602202;1051.98304274;2.7;1.7;2.12048178906;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kruidenlaan_25_1594943;[72.175524796200435, 73.570321702892088, 73.933517774214181, 74.404612524427975];231.19745636;1218.87380224;255.117722418;[18.043881199050109, 18.392580425723022, 18.483379443553545, 18.601153131106994];[18.043881199050109, 18.392580425723022, 18.483379443553545, 18.601153131106994];46340138.0395;80537933.4243;110880231.299;11308935.197;0.000113862284624;0.00485631563383;0.000197690245352;0.005864605264530001;3.8436400364e-05;2.51487336001e-05;0.0054083839236;0.00190051012328;1572.10936351;2.7;1.7;1.94127516422;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
