BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
LouisChainayestraat_2_1591147;[64.216802513513045, 43.778377398902698, 65.311936491541246, 29.267094051836924];81.2316932678;447.92256861;101.397492364;[15.860003938375602, 10.944594349725675, 15.819499871237484, 4.2790415951302645];[15.860003938375602, 10.944594349725675, 15.819499871237484, 4.2790415951302645];31920531.6046;28297165.5802;41698570.1516;4494778.56502;0.000165297810586;0.007050081108390001;0.000562655781676;0.0166915370734;0.000112601593702;6.32746184169e-05;0.0136075809804;0.00297906269136;559.884272647;2.7;1.7;2.15225274334;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
LouisChainayestraat_12_1591146;[83.735354040066383, 46.025720444619651, 88.183583451672433, 16.998681735043601];103.23670578;591.322429027;133.159322459;[20.152705301974091, 11.373430381546619, 22.045895862918108, 4.2496704337609001];[20.152705301974091, 11.373430381546619, 22.045895862918108, 4.2496704337609001];37021081.2244;35962640.1949;54720712.6921;5902726.530669999;0.000142524037993;0.00607876186734;0.0004427251095159999;0.0131337183754;8.37763639376e-05;4.81820387736e-05;0.0103618324506;0.002416521634;671.980430135;2.7;1.7;2.09731849857;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
LouisChainayestraat_30_5213676;[87.791225809664382, 54.325876609312232, 85.901159451207832, 47.419879618341085];139.527206421;532.734390878;159.700657344;[10.172888379707405, 11.262488712223778, 21.475289862801958, 5.8402011062812669];[10.172888379707405, 11.262488712223778, 21.475289862801958, 5.8402011062812669];43402029.709;48604483.1052;49942120.3961;7079258.813139999;0.000121570212784;0.00518506480788;0.000327573976753;0.00971768771479;9.66040575383e-05;4.01744597955e-05;0.008639755223950002;0.00286615191293;712.9839787039999;2.7;1.7;2.21702714562;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
LouisChainayestraat_17_1594270;[52.894306391304944, 53.464406667102658, 61.628734452992425, 49.704563814478504];67.8843803406;449.830301731;101.739877971;[13.22311083043976, 5.2672419209628725, 15.182488819417527, 12.4221816696278];[13.22311083043976, 5.2672419209628725, 15.182488819417527, 12.4221816696278];34302711.6431;23647611.8315;42019947.1114;4509955.9373;0.000153818568103;0.00656048242415;0.0006732842171229999;0.0199733990781;0.000113250834794;6.30616800972e-05;0.0135617873351;0.00303129023325;509.4672520619999;2.7;1.7;2.18394252341;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
LouisChainayestraat_14_1594322;[46.348838637689795, 60.671153966297254, 49.993093252830697, 65.175256202431001];106.098770142;447.606463397;139.408800413;[4.6825053771769838, 14.757756425707013, 12.286540104521027, 16.159028694435381];[4.6825053771769838, 14.757756425707013, 12.286540104521027, 16.159028694435381];35011218.7475;36959644.0229;41868437.3617;6179755.270690001;0.000150705807331;0.006427720738829999;0.000430782390894;0.0127794301282;0.00011425346525;4.60221135162e-05;0.009897327747360001;0.00291792774593;620.529912683;2.7;1.7;2.1963921664;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
LouisChainayestraat_11_1591312;[66.833435598536781, 31.423200513244517, 74.759453511378823, 43.118530960634693];79.4757041931;459.64688865;103.684854552;[16.484474979159227, 5.3552212582229588, 18.517859803376826, 10.779632740158673];[16.484474979159227, 5.3552212582229588, 18.517859803376826, 10.779632740158673];34057306.5627;27685464.5113;42873309.2325;4596173.44464;0.000154926931091;0.00660775497383;0.0005750874727890001;0.0170603309965;0.000110356761248;6.18787349947e-05;0.0133073879934;0.00273240272062;563.454287915;2.7;1.7;2.1702188265;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
LouisChainayestraat_1_1591286;[115.31230976230987, 45.720388982741149, 98.745630238934922, 56.780557808427517];201.114078522;570.659167554;225.907497946;[27.130845914396609, 6.2689777869753254, 24.68640755973373, 13.737745993769469];[27.130845914396609, 6.2689777869753254, 24.68640755973373, 13.737745993769469];49881610.9308;70058349.7833;53714654.1246;10014095.5735;0.000105778339723;0.004511529051199999;0.000227261473729;0.006741854323080001;9.12052442517e-05;2.84005077126e-05;0.006107697181789999;0.00194541431832;957.974223652;2.7;1.7;2.25472496508;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
LouisChainayestraat_13_1591311;[41.962348017815408, 54.085846708165406, 59.298992992134082, 52.163972871687619];77.9908714294;458.911307074;113.247174056;[10.479024121281457, 10.360167494557203, 14.690480574562967, 13.040993217921905];[10.479024121281457, 10.360167494557203, 14.690480574562967, 13.040993217921905];32698469.0944;27168221.0946;42721217.478;5020054.82216;0.000161365168863;0.00688235085824;0.000586036301875;0.0173851348865;0.000109902816094;5.66538431642e-05;0.0121837440983;0.00287678566014;562.205444867;2.7;1.7;2.15218140715;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
LouisChainayestraat_4_1594549;[51.633084157475487, 29.144280404412349, 72.480167931917222, 26.238362064728388];181.344028473;369.848708279;160.99689962;[12.630423154310201, 6.3517432104878129, 17.797256883776061, 2.644232566364014];[12.630423154310201, 6.3517432104878129, 17.797256883776061, 2.644232566364014];28283977.3249;63171427.23800001;34553784.6921;7136719.03098;0.000186550637004;0.007956530803630001;0.000252037424432;0.00747684845833;0.000137801066675;3.98510011863e-05;0.00857019353669;0.00354425257784;525.1384445819999;2.7;1.7;2.18532248603;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
LouisChainayestraat_24_1594726;[66.918891227117996, 30.409988093558322, 34.436160109371855, 25.523464013997362];99.8359260559;338.540792262;119.040245598;[16.277188990323932, 7.6024970233895806, 8.373650932424102, 2.7193433055190637];[16.277188990323932, 7.6024970233895806, 8.373650932424102, 2.7193433055190637];24784658.5897;34777974.1726;31558043.9179;5276851.84136;0.000212889516629;0.00907990465234;0.000457805959018;0.0135811012456;0.000149569442434;5.38967943615e-05;0.0115908244444;0.00399532986161;568.071944159;2.7;1.7;2.16460724096;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
