BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Maretakstraat_35_1591915;[54.530241311150007, 53.265517957242473, 48.574781375030646, 53.626558458625453];177.514938354;565.0269758109999;228.178654088;[13.632560327787502, 13.316379489310618, 12.143695343757662, 13.406639614656363];[13.632560327787502, 13.316379489310618, 12.143695343757662, 13.406639614656363];33090189.6331;61837558.7349;52141300.33;10114772.0666;0.000159454933486;0.00680087782301;0.000257474003575;0.0076381279924;8.69177263262e-05;2.81178257598e-05;0.00604690475569;0.00266151093225;954.935279424;2.7;1.7;2.07165853683;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Maretakstraat_21_1591905;[38.751795548146376, 45.131876529123147, 35.686692499652636, 44.317329848857995];107.165641785;254.212157316;114.971430009;[5.8184229938319749, 11.282969132280787, 8.7226009774358335, 10.731955633506773];[5.8184229938319749, 11.282969132280787, 8.7226009774358335, 10.731955633506773];25824522.8637;37331290.1418;24159460.7452;5096488.159109999;0.000204317191641;0.008714288276399999;0.000426493800731;0.0126522064081;0.00021003783559;5.58041909824e-05;0.0120010213706;0.00382228880873;450.935720174;2.7;1.7;2.34468865752;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Maretakstraat_12_1594941;[78.993514603719504, 77.116715286389621, 78.085429553067513, 75.462918368104084];171.211452484;843.257668387;214.530841685;[12.986726798469302, 19.278600456546435, 19.521357388266878, 18.865729592026021];[12.986726798469302, 19.278600456546435, 19.521357388266878, 18.865729592026021];48794298.13600001;59641731.2662;77779012.2093;9509787.730039999;0.000108135462309;0.00461206217595;0.000266953414677;0.00791934067518;5.81509325472e-05;2.99065979855e-05;0.006431590803999999;0.00197767330759;1299.51849243;2.7;1.7;2.06721703154;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Maretakstraat_31_1591916;[25.493815140800926, 40.920757116958882, 48.334437154458477, 40.619684395852452];149.125556946;453.6198077;205.177595782;[6.1988930659223485, 10.104515521132216, 11.940651701776384, 10.154826234435491];[6.1988930659223485, 10.104515521132216, 11.940651701776384, 10.154826234435491];24482145.5303;51948080.9446;41727391.256;9095174.23007;0.000215520080969;0.00919210028209;0.000306489932434;0.00909221630071;0.000107177737693;3.12699230796e-05;0.00672478192999;0.00363883972691;796.4789212119999;2.7;1.7;2.04250861883;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Maretakstraat_33_1594096;[60.186328553307391, 56.019377329514207, 59.966123540799394, 58.743779354237823];198.909305573;1030.55283107;227.836121181;[15.046582138326848, 14.004844332378552, 14.991530885199849, 14.685944838559456];[15.046582138326848, 14.004844332378552, 14.991530885199849, 14.685944838559456];37016711.5425;69290314.2703;93610811.1652;10099588.1648;0.000142540862413;0.00607947944204;0.000229780510977;0.00681658314483;4.52277276332e-05;2.81600986029e-05;0.00605599578065;0.00237919301279;1296.90706671;2.7;1.7;1.92795105859;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Maretakstraat_4_1591896;[40.533942168837257, 39.756903207590156, 31.762720294625574, 42.661674405500186];172.450233459;499.615706995;210.948665642;[9.8553040233656546, 8.8499297418166645, 5.0505979788983666, 10.665418601375046];[9.8553040233656546, 8.8499297418166645, 5.0505979788983666, 10.665418601375046];24379177.8798;60073262.2237;45793328.5697;9350995.952089999;0.000216430349415;0.00923092394436;0.000265035778471;0.007862452792989999;9.6181799123e-05;3.04144499717e-05;0.00654080737772;0.00405933521728;739.817912058;2.7;1.7;2.00966848702;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Maretakstraat_13_1594659;[19.077621486874605, 49.127199901485696, 28.03359486657093, 76.005305339457493];88.21885299680001;348.681427588;110.009130714;[4.4437847790417502, 11.04122947942647, 6.4261210606351113, 19.001326334864373];[4.4437847790417502, 11.04122947942647, 6.4261210606351113, 19.001326334864373];27141219.7361;30731151.7233;32606671.8427;4876517.86213;0.000194405190271;0.00829153365336;0.000518091998704;0.0153695244685;0.000146559635194;5.8321410197e-05;0.0125423642529;0.00341527710876;564.717796594;2.7;1.7;2.19398593664;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Maretakstraat_27_1591907;[79.953709401863691, 66.818705088300575, 79.428056603388569, 66.496081331188464];371.258621216;647.559284358;395.442976655;[17.568431276707603, 15.658566802554937, 18.026704409599972, 16.404878471069335];[17.568431276707603, 15.658566802554937, 18.026704409599972, 16.404878471069335];46121515.3261;129328421.642;60281749.1204;17529315.3087;0.00011440200847;0.00487933527863;0.000123109550218;0.00365212211174;7.78812307347e-05;1.6224558322e-05;0.00348918724066;0.00206518362885;1192.21313013;2.7;1.7;2.15199962304;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Maretakstraat_14_1591140;[42.09319134356727, 52.089759863986551, 34.623174274446257, 51.088941468917561];147.400615692;474.696298335;170.865765043;[10.523297835891817, 12.072475983226854, 8.6557935686115641, 12.727991786388809];[10.523297835891817, 12.072475983226854, 8.6557935686115641, 12.727991786388809];28346876.7184;51347195.4243;43840436.9658;7574189.06827;0.000186136696448;0.00793887591465;0.000310076600819;0.009198617070549999;0.000103715467406;3.75492869278e-05;0.00807519627002;0.00317709855155;722.337319969;2.7;1.7;2.07896875872;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Maretakstraat_3_1592269;[34.235095012415783, 31.982640066249701, 34.085591941027097, 32.759806244059732];95.0568084717;323.176750207;133.884744385;[8.5587737531039458, 7.9950630323260281, 8.5213979852567743, 8.1899515610149329];[8.5587737531039458, 7.9950630323260281, 8.5213979852567743, 8.1899515610149329];20967357.7954;33113162.3711;29953576.7908;5934883.252169999;0.000251648015857;0.0107329850061;0.000480822811194;0.0142639106184;0.000154023734927;4.79209761146e-05;0.0103056893815;0.00420040917122;509.828152898;2.7;1.7;2.11173485772;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
