BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Peterseliestraat_26_1591639;[40.189742269308766, 59.904395538596191, 31.895110113557873, 59.09275173267536];83.60372924800001;358.28945815;95.9268568192;[10.047435567327192, 14.976098884649048, 7.9737775283894683, 14.77318793316884];[10.047435567327192, 14.976098884649048, 7.9737775283894683, 14.77318793316884];30109652.1383;29123467.3868;33647395.7564;4252274.58578;0.000175239287479;0.0074740928856;0.000546691903383;0.0162179585996;0.000144345588845;6.68831216877e-05;0.0143836109543;0.00292497239934;543.780117702;2.7;1.7;2.2333173927;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Peterseliestraat_44_1591878;[158.05732223696995, 74.781173807673881, 154.2624650066237, 76.298071992695256];179.561424255;1181.64473007;209.19305353;[39.513512365788522, 18.69529345191847, 38.565616251655925, 19.074517998173814];[39.513512365788522, 18.69529345191847, 38.565616251655925, 19.074517998173814];73019874.7734;62550454.7496;109287517.044;9273172.6499;7.22596964641e-05;0.0030819326592;0.000254539537443;0.007551075211939999;4.18512587459e-05;3.06696973417e-05;0.00659569983453;0.00120611715281;1828.10886981;2.7;1.7;2.09216443086;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Peterseliestraat_16_1591643;[40.209308330230549, 60.157671424154302, 32.275660284412808, 61.093731108892655];85.3100357056;364.356442559;97.96535070040001;[10.052221096556192, 15.039417856038575, 8.0688090854641228, 15.273432777223164];[10.052221096556192, 15.039417856038575, 8.0688090854641228, 15.273432777223164];30527913.4212;29717861.4517;34211285.042;4342637.55618;0.000172838343524;0.00737169074511;0.0005357573876800001;0.0158935793251;0.000141874253908;6.54913966203e-05;0.014084312246;0.002884910137239999;556.15834852;2.7;1.7;2.2317220955;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Peterseliestraat_42_1591879;[30.814880554665194, 59.690622482146395, 37.652551149338365, 59.482916347620829];84.0543899536;355.749750441;97.829273935;[7.7037201386662986, 14.922655620536599, 9.4131377873345912, 14.870729086905207];[7.7037201386662986, 14.922655620536599, 9.4131377873345912, 14.870729086905207];29567433.6667;29280455.6274;33387822.8851;4336605.504369999;0.000178452889975;0.00761115554944;0.00054376079462;0.0161310054176;0.000145120489033;6.55824926394e-05;0.0141039029838;0.00297861161883;535.222807374;2.7;1.7;2.22745214944;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Peterseliestraat_12_5213684;[33.351616852540289, 62.107066078232123, 38.438964991264584, 62.513021627646481];84.4229469299;365.25656341;97.9331907026;[8.3371707179346082, 15.526766519558031, 9.6097412478161459, 15.62825540691162];[8.3371707179346082, 15.526766519558031, 9.6097412478161459, 15.62825540691162];30949314.677;29408842.9275;34317971.0333;4341211.95812;0.0001704850024;0.007271318902659999;0.00054138695147;0.0160605838699;0.000141779206162;6.55129031509e-05;0.0140889373526;0.00284565968535;555.97876809;2.7;1.7;2.23773344335;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Peterseliestraat_10_1591637;[161.9525798820454, 77.5278312447644, 161.28097239146123, 75.90126932400986];183.35684967;1210.09005152;213.54651601;[40.485646684553444, 19.3819578111911, 40.320243097865308, 18.975317331002465];[40.485646684553444, 19.3819578111911, 40.320243097865308, 18.975317331002465];75109883.1412;63872596.1096;111939597.74;9466154.24523;7.02489974196e-05;0.00299617476986;0.000249270654217;0.00739477048254;4.08913826206e-05;3.00444500694e-05;0.006461236710070001;0.00117257202625;1895.41976106;2.7;1.7;2.09390676111;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Peterseliestraat_18_1591641;[158.24253483934791, 73.371478431935827, 155.21057118821281, 75.129283296162356];177.756896973;1172.98145565;208.06345158;[39.560633709836978, 18.342869607983957, 38.801012084387395, 18.782320824040589];[39.560633709836978, 18.342869607983957, 38.801012084387395, 18.782320824040589];72792153.5637;61921845.333;108505939.017;9223099.314639999;7.24857519479e-05;0.00309157410267;0.000257123535857;0.00762773114746;4.21839243025e-05;3.08362068832e-05;0.00663150869637;0.00120989887952;1820.80557578;2.7;1.7;2.09382879033;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Peterseliestraat_20_1591642;[39.643646410752297, 60.404568132122407, 31.85163543809616, 59.792920838347534];84.01105499270001;359.714880805;96.6701366514;[9.9109116026880741, 15.101142033030602, 7.96290885952404, 14.948230209586884];[9.9109116026880741, 15.101142033030602, 7.96290885952404, 14.948230209586884];30205894.1044;29265359.8376;33779750.1991;4285222.91793;0.000174680940374;0.00745027894415;0.000544041279764;0.0161393261855;0.000143755719991;6.6368869022e-05;0.0142730178765;0.00291565285749;543.03873175;2.7;1.7;2.23290197612;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Peterseliestraat_46_1591880;[32.048877728870465, 60.027049386727171, 40.488277481241411, 61.169762807391955];85.7014656067;365.136898618;99.44496402840001;[8.0122194322176163, 15.006762346681793, 10.122069370310353, 15.292440701847989];[8.0122194322176163, 15.006762346681793, 10.122069370310353, 15.292440701847989];30527534.6526;29854216.5648;34280352.0381;4408226.3012;0.000172840488006;0.00737178220895;0.000533310387972;0.0158209875422;0.000141522493767;6.4516968762e-05;0.013874755771;0.00288493330565;558.522075441;2.7;1.7;2.23057899143;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Peterseliestraat_48_1591881;[169.2463688248572, 81.129280600237337, 165.20296974856396, 82.86303364528878];181.562702179;1224.69246153;212.558504002;[42.3115922062143, 20.282320150059334, 41.30074243714099, 20.715758411322195];[42.3115922062143, 20.282320150059334, 41.30074243714099, 20.715758411322195];78541698.3536;63247602.5068;113451876.345;9422357.351510001;6.71795249858e-05;0.00286525936607;0.000251733871131;0.007467843359029999;4.05806255789e-05;3.01841023387e-05;0.006491269756680001;0.00112131394284;1892.95935961;2.7;1.7;2.10699332157;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
