BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Posteleinstraat_4_1591598;[53.761331318188439, 47.558394999713656, 51.359608253963749, 44.081140914412657];133.485080719;442.831802696;170.584287744;[12.466381870241175, 7.8942295770129576, 12.839902063490937, 11.020285228603164];[12.466381870241175, 7.8942295770129576, 12.839902063490937, 11.020285228603164];31004435.1754;46499700.7897;41189248.0464;7561711.65783;0.000170181909689;0.0072583917611;0.000342401425135;0.0101575532817;0.000113606796339;3.76112461622e-05;0.00808852096988;0.00315976639349;784.840650678;2.7;1.7;2.14432327193;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Posteleinstraat_1_1592284;[54.288160011722908, 61.631622995728769, 52.709718054153555, 62.404894070088602];151.472450256;533.979295644;174.806933448;[13.572040002930727, 15.407905748932192, 13.177429513538389, 15.601223517522151];[13.572040002930727, 15.407905748932192, 13.177429513538389, 15.601223517522151];36405131.2107;52765624.2696;49604419.1551;7748894.36772;0.0001449354476;0.00618161037609;0.000301741219576;0.0089513427519;9.38602965575e-05;3.67027068733e-05;0.00789313422148;0.00241916176456;1003.08758259;2.7;1.7;2.13266545541;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Posteleinstraat_12_1595054;[40.397976547249812, 68.73943477990241, 40.154802696341534, 68.043565158252306];99.2004089355;614.137414924;140.336209592;[10.099494136812453, 17.184858694975603, 10.038700674085383, 17.010891289563077];[10.099494136812453, 17.184858694975603, 10.038700674085383, 17.010891289563077];34246578.5381;34556590.9604;56563371.0733;6220865.74394;0.000154070690043;0.0065712356224;0.000460738845363;0.0136681071607;7.94793150017e-05;4.57179772521e-05;0.009831921444700001;0.00257164088262;798.247641681;2.7;1.7;2.05388786597;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Posteleinstraat_8_1591596;[54.813188314204268, 52.639218403102205, 51.157073562360431, 48.766328748221312];138.449897766;400.528549506;182.621319172;[13.703297078551067, 8.2219901577952008, 12.789268390590108, 12.191582187055328];[13.703297078551067, 8.2219901577952008, 12.789268390590108, 12.191582187055328];32677141.1386;48229201.2397;37551195.9532;8095292.81045;0.000161470489863;0.006886842881409999;0.000330122900847;0.009793303148590001;0.000128519345003;3.51321941317e-05;0.00755538616633;0.00297887228115;781.636989765;2.7;1.7;2.2177553742;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Posteleinstraat_3_1595111;[53.190131606537264, 84.431787158469632, 53.217363004235807, 78.079299264037985];147.946407318;860.704210306;201.759179717;[11.51459827669067, 21.107946789617408, 13.304340751058952, 19.519824816009496];[11.51459827669067, 21.107946789617408, 13.304340751058952, 19.519824816009496];42374713.176;51537322.6443;78913656.2936;8943641.65369;0.000124517515082;0.005310769559669999;0.000308932691919;0.00916468229471;5.588667782500001e-05;3.17997309801e-05;0.006838720252979999;0.00213497962537;1116.11012446;2.7;1.7;2.01244018307;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Posteleinstraat_16_1591593;[31.59844984795739, 44.707325933709782, 31.166977959139736, 44.987286434872487];88.8596458435;330.179331863;118.09111636;[7.8996124619893475, 11.176831483427446, 7.7917444897849339, 11.246821608718122];[7.8996124619893475, 11.176831483427446, 7.7917444897849339, 11.246821608718122];24023815.8644;30954372.7415;30769089.2249;5234778.554769999;0.000219631802739;0.00936746843655;0.000514355886057;0.0152586903408;0.000153218348916;5.43299770171e-05;0.0116839829369;0.00366594141229;507.089119222;2.7;1.7;2.16174919343;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Posteleinstraat_7_1595023;[33.354894069180794, 31.98335620534175, 32.397929724825296, 30.972040995303548];107.513137817;128.708220995;124.101630316;[8.3387235172951986, 7.9958390513354374, 7.7424438390668229, 7.743010248825887];[8.3387235172951986, 7.9958390513354374, 7.7424438390668229, 7.743010248825887];20281134.636;37452340.835;15540295.6524;5501214.42674;0.000260162662577;0.0110961413587;0.000425115318931;0.0126113128799;0.000451845766647;5.16986571525e-05;0.0111181020349;0.004391179151739999;449.033968639;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Posteleinstraat_10_1591595;[34.341495606322091, 46.595905031267634, 39.286518819564236, 48.953644006032967];138.461853027;446.101269518;156.261399924;[8.5853739015805228, 11.648976257816908, 9.821629704891059, 12.154549109826819];[8.5853739015805228, 11.648976257816908, 9.821629704891059, 12.154549109826819];26658071.3762;48233365.8704;41200751.2658;6926802.37493;0.00019792857152;0.0084418086237;0.000330094396927;0.00979245756192;0.000110373624785;4.105868526e-05;0.00882991314057;0.00331024976815;669.254556072;2.7;1.7;2.07923578125;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Posteleinstraat_18_1595022;[51.780156236522828, 36.19946417983666, 51.120125023170942, 34.554965501931449];70.3082084656;454.887544804;97.8782096122;[12.945039059130707, 9.049866044959165, 12.780031255792736, 8.6387413754828621];[12.945039059130707, 9.049866044959165, 12.780031255792736, 8.6387413754828621];27363555.6886;24491955.4987;42023762.2975;4338774.7398;0.000192825597924;0.00822416280237;0.000650073197284;0.0192848295996;0.000108334211887;6.55497036897e-05;0.0140968515262;0.0032185108712;526.195516925;2.7;1.7;2.08175305727;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Posteleinstraat_20_1591592;[45.469820809371107, 26.449128863601462, 44.214210296548615, 20.804873986560569];105.067295074;347.072624105;139.309842042;[10.872337973416665, 6.6122822159003656, 11.053552574137154, 5.2012184966401422];[10.872337973416665, 6.6122822159003656, 11.053552574137154, 5.2012184966401422];21577943.3667;36600328.3471;32108269.9589;6175368.61424;0.000244527196004;0.0104292764612;0.0004350115022960001;0.0129048893736;0.000142601154615;4.60548052005e-05;0.00990435828745;0.00414137269617;510.171920338;2.7;1.7;2.09455152739;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
