BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Resedastraat_12_4754130;[52.19497127418385, 39.186397459827319, 48.07588707807097, 39.500010071966614];96.6236343384;178.957265884;96.7267938238;[7.4174493446667906, 9.7965993649568297, 12.018971769517742, 6.6761173374325686];[7.4174493446667906, 9.7965993649568297, 12.018971769517742, 6.6761173374325686];28199103.1764;33658968.1914;21607390.7284;4287734.434119999;0.000187112120338;0.00798047850768;0.00047302590288;0.0140326104374;0.000324972917427;6.63299938324e-05;0.014264657537;0.00389113752783;446.138436189;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Resedastraat_20_1594595;[35.442870845153877, 47.09994200953544, 36.089766364265621, 47.377826396810988];80.9553222656;166.010405616;81.0238570055;[6.5472244935132622, 11.77498550238386, 3.5712701226868888, 11.844456599202747];[6.5472244935132622, 11.77498550238386, 3.5712701226868888, 11.844456599202747];26159008.0357;28200891.3836;20044180.2762;3591649.92381;0.000201704666315;0.00860286202472;0.00056457661576;0.0167485198226;0.000350316985091;7.91851668741e-05;0.0170292385422;0.00414155124301;426.215583871;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Resedastraat_16_1594583;[10.102889525966901, 30.419249213273588, 48.678676033113426, 35.523042478338937];87.5025672913;124.723857251;87.50315616290001;[2.4504862577543545, 7.604812303318397, 12.169669008278357, 4.3467108703509441];[2.4504862577543545, 7.604812303318397, 12.169669008278357, 4.3467108703509441];19653300.4782;30481632.6698;15059221.5603;3878866.24731;0.000268473684246;0.0114506129434;0.00052233303876;0.0154953375848;0.0004662801974780001;7.33217853973e-05;0.0157682836718;0.00525850838016;422.542928604;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Resedastraat_27_1591488;[35.405596458735502, 53.888618914293687, 36.397654560708489, 56.499516537178934];94.87956619260001;182.191386471;94.8856037584;[4.6170348682387505, 13.472154728573422, 7.0543905001919587, 14.124879134294734];[4.6170348682387505, 13.472154728573422, 7.0543905001919587, 14.124879134294734];28708718.1376;33051419.7935;21997880.0826;4206117.60665;0.00018379065069;0.007838815225270001;0.000481721024943;0.0142905566933;0.000319204249529;6.76170818715e-05;0.0145414534334;0.00355826015294;498.85356624;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Resedastraat_24_1591728;[33.356852415809755, 42.115707727069683, 31.270762598245643, 3.0998949422671158];61.7920722961;109.843217683;61.8140060517;[6.1279993093920311, 10.528926931767421, 7.8176906495614107, 0.77491474860452714];[6.1279993093920311, 10.528926931767421, 7.8176906495614107, 0.77491474860452714];17308491.0153;21525348.432;13262525.6182;2740109.86802;0.000304844251431;0.0130018461249;0.0007396657884109999;0.0219426500736;0.0005294479351170001;0.000103793428829;0.0223213908414;0.00553386081556;342.262814707;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Resedastraat_6_1594758;[52.435165218659684, 49.444455662350862, 52.506870806498092, 47.515849963549812];108.501083374;201.902341651;126.977948333;[13.108791304664921, 12.240544489607855, 13.126717701624523, 7.3113623766938449];[13.108791304664921, 12.240544489607855, 13.126717701624523, 7.3113623766938449];31814662.208;37796492.9495;24377790.773;5628716.71767;0.000165847870786;0.007073541606810001;0.000421244474721;0.0124964818558;0.000288041556693;5.05275736612e-05;0.0108662536028;0.00305165493809;583.66079785;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Resedastraat_4_1594364;[49.342865776040092, 44.063316457889293, 49.064841377070024, 47.456285431991098];109.784713745;189.927309043;110.0373747;[12.335716444010023, 11.015829114472323, 12.266210344267506, 4.5842800920590578];[12.335716444010023, 11.015829114472323, 12.266210344267506, 4.5842800920590578];29927702.3331;38243647.2521;22931919.2837;4877769.870080001;0.000176304680134;0.007519532716890001;0.0004163191788119999;0.0123503698599;0.000306202752422;5.83064404729e-05;0.0125391449252;0.00347562978572;555.8058160019999;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Resedastraat_33_1591733;[32.872903775237035, 52.160469750088012, 33.86434031249874, 52.281231514103609];95.30892562870001;171.178945352;95.73211231469999;[3.5535450862790658, 13.040117437522003, 8.466085078124685, 13.070307878525902];[3.5535450862790658, 13.040117437522003, 8.466085078124685, 13.070307878525902];26973438.1432;33200987.7093;20668232.3761;4243641.89276;0.000195614439619;0.008343109085319999;0.000479550908491;0.0142261788261;0.000339739590459;6.70191796946e-05;0.0144128710335;0.00366449489751;456.864651435;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Resedastraat_32_1591722;[46.211531987085181, 57.108736533871578, 49.378669957431498, 56.668440920935083];114.579475403;209.367379399;114.583987383;[11.552882996771295, 14.277184133467895, 8.3452933975227346, 14.167110230233771];[11.552882996771295, 14.277184133467895, 8.3452933975227346, 14.167110230233771];32990961.8606;39913908.6869;25279123.2036;5079313.48575;0.000159934530229;0.00682133299981;0.000398897636002;0.0118335488529;0.000277771374681;5.59928815908e-05;0.0120416004021;0.00289036517081;613.803076487;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Resedastraat_28_1591724;[46.092913415902792, 4.9577360491987372, 46.123354058833343, 46.246247936434713];94.15376663209999;143.42025146;94.1539017116;[11.523228353975698, 1.171919586456841, 11.530838514708336, 11.561561984108678];[11.523228353975698, 1.171919586456841, 11.530838514708336, 11.561561984108678];22599375.6025;32798586.5764;17316633.6464;4173682.49806;0.000233475210987;0.00995790064261;0.000485434449491;0.0144007177643;0.00040549548754;6.81425572507e-05;0.0146544600221;0.00390435779604;543.825655107;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
