BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Rozemarijnstraat_17_1591927;[59.415791087296313, 30.854674800785602, 58.311509565344153, 28.277102924759859];221.170314789;619.199707956;247.636745866;[14.853947771824078, 7.6990225816077427, 14.560541411905438, 6.7001857221039689];[14.853947771824078, 7.6990225816077427, 14.560541411905438, 6.7001857221039689];27868482.3118;77044965.6685;56604302.5327;10977316.2164;0.000189331945957;0.00807515580923;0.000206652877065;0.00613048736224;7.69300886617e-05;2.59084636867e-05;0.005571768372770001;0.00318912581596;998.995392169;2.7;1.7;1.98562526129;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Rozemarijnstraat_16_1592062;[26.236595331526097, 38.002305399099221, 26.389267995534542, 38.307596208598653];113.489486694;279.679508831;145.28109005;[4.2025443825909408, 9.5005763497748053, 4.3216545439465666, 9.5768990521496633];[4.2025443825909408, 9.5005763497748053, 4.3216545439465666, 9.5768990521496633];20316989.7604;39534209.7083;26060982.2936;6440063.89344;0.00025970353134;0.0110765590517;0.000402728774301;0.0119472019762;0.000180841673016;4.41618908253e-05;0.009497275853860001;0.005062279631560001;473.435372811;2.7;1.7;2.16101255495;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Rozemarijnstraat_24_1591926;[73.279197278087608, 44.47004926496821, 72.841709504391204, 44.360317408105971];200.179534912;635.31034328;227.71405426;[18.319799319521902, 11.117512316242053, 18.210427376097801, 11.090079352026493];[18.319799319521902, 11.117512316242053, 18.210427376097801, 11.090079352026493];37022331.3866;69732800.3063;58615370.5778;10094177.1456;0.000142519225272;0.00607855660102;0.000228322450107;0.00677332885357;7.725358954e-05;2.81751939229e-05;0.00605924211851;0.00237883186067;1245.95840104;2.7;1.7;2.06982126285;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Rozemarijnstraat_10_4753043;[70.110653706882459, 94.200672319002365, 69.602256030713804, 85.779957305606885];159.062217712;762.0134322460001;208.774438429;[11.895834239620712, 23.550168079750591, 15.231501274060157, 21.444989326401721];[11.895834239620712, 23.550168079750591, 15.231501274060157, 21.444989326401721];50375552.2681;55409529.5949;70686996.6332;9254616.15367;0.000104741164105;0.00446729269859;0.000287343421523;0.00852422303181;6.54909992026e-05;3.07311933685e-05;0.006608924918859999;0.00193736223047;1041.79267915;2.7;1.7;2.11953793179;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Rozemarijnstraat_11_1595182;[9.2586800169326668, 58.92089736836445, 26.859416869795044, 39.444342750280427];107.468547821;293.334899505;136.121850415;[2.3146700042331667, 10.176815648073744, 6.7148542174487611, 9.8610856875701067];[2.3146700042331667, 10.176815648073744, 6.7148542174487611, 9.8610856875701067];21191145.7017;37436807.852;27325872.496;6034050.3617;0.000248990501092;0.0106196399196;0.000425291704403;0.0126165454657;0.000172283517095;4.71334147914e-05;0.0101363196603;0.00480700960167;467.2855678130001;2.7;1.7;2.15846347377;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Rozemarijnstraat_5_1591920;[39.432678639114457, 48.925001521216288, 42.057228979105538, 50.124413386976308];165.91677475;512.372872026;200.492917773;[9.8581696597786141, 12.208124226365168, 10.514307244776385, 11.69617123668583];[9.8581696597786141, 12.208124226365168, 10.514307244776385, 11.69617123668583];28448394.9739;57797323.4185;47182753.4297;8887510.413069999;0.000185472466612;0.00791054599184;0.000275472338113;0.00817205988822;9.52144898429e-05;3.20005699405e-05;0.00688191185943;0.00315577189299;807.3390958;2.7;1.7;2.05235925316;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Rozemarijnstraat_1_1593894;[48.767155141531333, 37.524243045136828, 49.517289826532817, 37.618827480783594];95.1376724243;363.7028603430001;119.941521995;[12.191788785382833, 9.381060761284207, 12.379322456633204, 9.4047068701958985];[12.191788785382833, 9.381060761284207, 12.379322456633204, 9.4047068701958985];27327755.4777;33141331.4337;33948468.6485;5316803.89276;0.000193078205463;0.008234936711819999;0.000480414127315;0.0142517867545;0.000139758952612;5.34917977617e-05;0.0115037275299;0.003222727220699999;596.6248397090001;2.7;1.7;2.17683847009;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Rozemarijnstraat_6_1591922;[47.175741201390409, 46.862401100105522, 36.068357163478204, 46.193182935616598];122.035369873;420.3704221469999;159.230290829;[11.793935300347602, 11.715600275026381, 9.017089290869551, 11.448688259224841];[11.793935300347602, 11.715600275026381, 9.017089290869551, 11.448688259224841];27780335.7657;42511179.1842;38994390.1871;7058408.264669999;0.000189932693092;0.00810077814511;0.000374526515715;0.0111105642661;0.000118711057419;4.02931352092e-05;0.008665277073690001;0.00317740531719;665.554498585;2.7;1.7;2.11939126331;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Rozemarijnstraat_9_1591602;[63.496784909801548, 34.73867912279151, 89.646222557203174, 66.569615867898889];151.22328186;520.532227445;175.215741405;[15.874196227450387, 7.8369859005752316, 22.411555639300794, 16.642403966974722];[15.874196227450387, 7.8369859005752316, 22.411555639300794, 16.642403966974722];40095038.8682;52678826.13600001;48650081.056;7767016.12989;0.000131597178502;0.00561272275043;0.000302238394183;0.0089660917488;9.80171804697e-05;3.66170732511e-05;0.00787471820448;0.00222619418819;1056.78216642;2.7;1.7;2.18882910422;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Rozemarijnstraat_15_1595015;[74.105667965673746, 59.58274409260234, 74.379869304653369, 59.850588289141719];143.035900116;840.0624701160001;169.028568028;[18.526416991418436, 14.895686023150585, 18.594967326163342, 14.96264707228543];[18.526416991418436, 14.895686023150585, 18.594967326163342, 14.96264707228543];42217184.1467;49826741.0991;77075950.6241;7492749.24593;0.000124982139231;0.00533058614362;0.00031953853428;0.00947931126812;5.73932222835e-05;3.79574157943e-05;0.008162966796959999;0.00208611500834;1063.14260161;2.7;1.7;2.01892731694;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
