BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Sleutelbloemstraat_7_1591508;[36.279415359490123, 47.124940008417902, 33.994866340398033, 46.52663159970988];71.77595138550001;163.925853308;71.84356301310001;[6.7988261280384421, 11.781235002104475, 5.8173929608845718, 11.63165789992747];[6.7988261280384421, 11.781235002104475, 5.8173929608845718, 11.63165789992747];25830535.7308;25003245.6462;19792490.377;3184703.08819;0.000204269630408;0.00871225975257;0.000636779882262;0.0188904750622;0.000354771767939;8.93035836293e-05;0.0192052639191;0.00387818033886;410.542627263;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Sleutelbloemstraat_5_4754356;[32.433980576327457, 9.2628356096245135, 35.593927657195138, 48.467609946210509];80.3188591003;125.758353789;80.3536520768;[6.0057263705891106, 2.2324275831689171, 4.5339138121986373, 12.116902486552627];[6.0057263705891106, 2.2324275831689171, 4.5339138121986373, 12.116902486552627];19816310.7616;27979178.6155;15184127.1952;3561940.87798;0.000266265201957;0.0113564194437;0.000569050437026;0.0168812385398;0.0004624445457240001;7.98456258295e-05;0.0171712741474;0.00561402871764;419.990333101;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Sleutelbloemstraat_8_4754295;[37.28597480855619, 19.501131101311604, 33.367770750437323, 50.637321828427382];85.0280227661;140.792198489;85.028749984;[4.5716634169137818, 4.6012437590102273, 8.3419426876093308, 12.659330457106845];[4.5716634169137818, 4.6012437590102273, 8.3419426876093308, 12.659330457106845];22185261.4478;29619621.8789;16999321.2023;3769180.02535;0.00023783330205;0.0101437766404;0.000537534337335;0.0159462936524;0.000413064540602;7.54555093303e-05;0.0162271536252;0.0046306939332;440.382328268;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Sleutelbloemstraat_10_4754196;[35.55574039325154, 57.74501665277711, 37.025951166190538, 54.564638716836988];93.0522537231;184.891346929;101.12279874;[3.4199931704080737, 14.278396019846669, 6.8091873631992108, 13.641159679209247];[3.4199931704080737, 14.278396019846669, 6.8091873631992108, 13.641159679209247];29134163.0792;32414873.1276;22323874.6729;4482601.863369999;0.000181106763652;0.00772434534066;0.0004911808155500001;0.0145711873218;0.000314542923479;6.34464998764e-05;0.013644545105;0.00366270046006;476.254224951;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Sleutelbloemstraat_28_1594755;[48.626680473897558, 31.607409148782367, 2.4847359017060948, 32.095193628932307];81.2413902283;114.814019153;81.3747455172;[12.156670118474389, 5.8177821017546858, 0.49248076022641391, 3.2739048018583521];[12.156670118474389, 5.8177821017546858, 0.49248076022641391, 3.2739048018583521];18091762.6127;28300543.529;13862702.6999;3607204.21538;0.000291646209378;0.0124389392925;0.000562588623165;0.016689544774;0.000506525816428;7.88437198419e-05;0.0169558083381;0.006426955352369999;405.407551826;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Sleutelbloemstraat_30_1594582;[2.477153895778061, 33.266757225319125, 48.378599097632417, 35.32578489459366];88.6426200867;119.448295113;88.81068376459999;[0.53011691041344811, 6.0503961907118597, 12.094649774408104, 3.5933565290809288];[0.53011691041344811, 6.0503961907118597, 12.094649774408104, 3.5933565290809288];18822006.3684;30878771.538;14422247.5215;3936826.72444;0.000280331112619;0.011956341552;0.000515615195352;0.0152960485418;0.0004868739627790001;7.22422952487e-05;0.0155361329298;0.00627466025968;438.214560715;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Sleutelbloemstraat_12_1594651;[33.339508917953154, 46.429179582115971, 32.878430711592287, 47.233806045981261];74.3994064331;159.880925258;74.6685529425;[3.1518032197520363, 11.607294895528993, 6.0515961469008701, 11.808451511495315];[3.1518032197520363, 11.607294895528993, 6.0515961469008701, 11.808451511495315];25193158.1822;25917129.6106;19304103.7199;3309930.09218;0.000209437576218;0.008932676689719999;0.000614325894033;0.0182243634018;0.000363747361953;8.59248958889e-05;0.0184786571345;0.004283600641150001;398.170415702;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Sleutelbloemstraat_1_1593946;[33.112677992601085, 41.489920877439772, 32.373012287142465, 41.515222304965178];59.9559135437;148.490833462;59.9562444136;[8.2781694981502714, 10.372480219359943, 8.0932530717856164, 10.378805576241295];[8.2781694981502714, 10.372480219359943, 8.0932530717856164, 10.378805576241295];23398370.0682;20885720.152;17928858.2799;2657758.45089;0.000225502629952;0.00961786381612;0.000762318162981;0.0226146469894;0.00039164885423;0.000107009498352;0.0230130256164;0.00376393318004;346.322644827;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Sleutelbloemstraat_14_1594581;[30.873009914892613, 48.353945763362091, 33.07963633160562, 48.257952437243027];81.10539245609999;160.564544447;81.4316529985;[7.1871020982777871, 12.088486440840523, 6.0980443486736089, 12.064488109310757];[7.1871020982777871, 12.088486440840523, 6.0980443486736089, 12.064488109310757];25300879.1399;28253168.5289;19386644.2463;3609726.82735;0.000208545875335;0.00889464494854;0.000563531973503;0.0167175298541;0.000362198672125;7.87886209049e-05;0.0169439589858;0.00373222239868;421.418001566;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Sleutelbloemstraat_16_1591501;[33.45859609649964, 51.567112990943976, 33.83682729310911, 52.003382518169303];74.95109558109999;170.865918899;74.9511259625;[8.3646490241249101, 12.891778247735994, 8.4592068232772775, 13.000845629542326];[8.3646490241249101, 12.891778247735994, 8.4592068232772775, 13.000845629542326];26924113.1538;26109311.24;20630437.404;3322456.07408;0.000195972805375;0.00835839366554;0.0006098040531390001;0.0180902201523;0.000340361993567;8.56009506911e-05;0.0184089908034;0.00327104187074;435.345368832;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
