BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Swennenblook_14_1592244;[79.2472829596027, 59.854861383822076, 79.668908227064122, 54.80833435235774];286.24036026;431.084231588;341.701488903;[19.509579479000557, 7.2238005290920917, 19.917227056766031, 12.500969204489749];[19.509579479000557, 7.2238005290920917, 19.917227056766031, 12.500969204489749];43109137.3723;99712200.3024;40924937.0749;15147046.4619;0.000122396185788;0.005220293203529999;0.000159675182881;0.00473686456544;0.000123517803613;1.8776294064e-05;0.00403795310633;0.00236219222821;986.48925104;2.7;1.7;2.33463093028;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Swennenblook_12_1592243;[65.525218966156885, 36.820859430612373, 64.938743348949174, 38.471072208443765];338.781867981;522.76224924;364.339500293;[16.381304741539221, 6.2760816655261831, 16.234685837237294, 9.6177680521109412];[16.381304741539221, 6.2760816655261831, 16.234685837237294, 9.6177680521109412];32421883.8173;118015102.581;48356566.7511;16150551.0455;0.000162741746183;0.00694106295929;0.000134911239922;0.00400222664748;9.46454281236e-05;1.76096405484e-05;0.00378705736666;0.00288039278003;928.621349838;2.7;1.7;2.09359363507;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Swennenblook_10_1592246;[47.326044298221973, 23.261049271785662, 47.266525084653466, 27.238388704277995];118.369174957;288.058804234;157.606186371;[11.831511074555493, 5.1543564121880499, 11.816631271163367, 6.8095971760694987];[11.831511074555493, 5.1543564121880499, 11.816631271163367, 6.8095971760694987];22862801.7162;41234055.436;26965799.1485;6986414.47337;0.000230785100289;0.009843165314040002;0.0003861265560819999;0.0114546867477;0.000177933948401;4.07083489899e-05;0.00875457125335;0.00392359365787;546.9364715090001;2.7;1.7;2.20368884834;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Swennenblook_16_1593861;[77.09195604668524, 35.058722294529659, 74.749267509088199, 35.486936740489895];150.6575737;478.375407981;187.698994116;[18.85442628519786, 4.9372323078924101, 18.566048471913295, 7.9508715768978302];[18.85442628519786, 4.9372323078924101, 18.566048471913295, 7.9508715768978302];35042503.6741;52481760.9655;44594438.9941;8320377.51388;0.000150571261575;0.006421982256970001;0.000303373277228;0.008999758766959999;0.000105857695354;3.41817902007e-05;0.00735099617902;0.00277740690598;689.5951726889999;2.7;1.7;2.16487942081;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Swennenblook_20_1592245;[44.88431572932371, 32.076301795711558, 43.208406863111229, 37.923446745865];122.437892914;402.9682569619999;162.861992215;[10.506696140942232, 6.9234115896285529, 10.190894387816835, 9.48086168646625];[10.506696140942232, 6.9234115896285529, 10.190894387816835, 9.48086168646625];24911343.4031;42651398.6069;37270209.0307;7219395.41697;0.000211806882575;0.00903372946185;0.0003732952338919999;0.0110740375177;0.000122729028128;3.93946282402e-05;0.008472047835020001;0.00376604783212;612.845432225;2.7;1.7;2.09231991206;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Swennenblook_7_4753605;[81.810841704103154, 30.915137560712076, 81.654733992669094, 40.324343259429753];320.732315063;626.504128783;245.812988057;[20.452710426025789, 7.7287843901780189, 20.413683498167273, 4.786715573380361];[20.452710426025789, 7.7287843901780189, 20.413683498167273, 4.786715573380361];36983533.8735;111727517.44;57833205.1434;10896472.1313;0.000142668734822;0.006084933300439999;0.000142503513759;0.00422745621827;7.84681897754e-05;2.61006860885e-05;0.00561310693734;0.00261750536697;762.643150752;2.7;1.7;2.074626512;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Swennenblook_65_1592089;[51.240190635712274, 59.248902203173387, 53.818419989065589, 52.301240664513344];181.117271423;216.608753492;216.104795492;[12.810047658928069, 11.607565976422125, 13.454604997266397, 12.324033629988321];[12.810047658928069, 11.607565976422125, 13.454604997266397, 12.324033629988321];34132017.8226;63092436.126;26153450.3714;9579558.428210001;0.000154587812956;0.00659329131973;0.000252352972819;0.007486209399350001;0.000268485293652;2.96887795718e-05;0.006384747665649999;0.00278362203256;595.22156452;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Swennenblook_13_1592234;[78.747673846176767, 48.01245825656062, 77.907687885427393, 33.760546406538097];351.236190796;680.782217713;273.716983342;[18.125206329138468, 12.003114564140155, 19.476921971356848, 5.6253883962631708];[18.125206329138468, 12.003114564140155, 19.476921971356848, 5.6253883962631708];37570232.5967;122353582.067;62676409.5389;12133408.8342;0.000140440812374;0.0059899106628;0.000130127484212;0.00386031353045;7.16075736743e-05;2.34398595199e-05;0.00504088044411;0.00252988949357;836.954146453;2.7;1.7;2.05022707731;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Swennenblook_5_4752779;[72.250738722793514, 51.336484497951076, 73.646332430975207, 47.470119264729277];187.456695557;547.444046621;197.886584132;[18.062684680698379, 12.834121124487769, 18.411583107743802, 8.9357979954524005];[18.062684680698379, 12.834121124487769, 18.411583107743802, 8.9357979954524005];38559061.2514;65300782.7352;50934314.5885;8771976.070869999;0.000136839275017;0.005836302273220001;0.000243818881672;0.007233040226640001;9.19763159784e-05;3.24220445054e-05;0.00697255245778;0.00239899294963;1032.94229732;2.7;1.7;2.14699303322;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Swennenblook_3_1592237;[55.21177841550746, 58.238903171205827, 38.963378007242383, 55.01848016546947];132.565010071;500.603483973;171.964340804;[13.802944603876865, 14.547090673602154, 8.5293728384134333, 8.9968737338675453];[13.802944603876865, 14.547090673602154, 8.5293728384134333, 8.9968737338675453];32686080.4557;46179192.9876;46411608.9194;7622887.065280001;0.000161426329294;0.00688495939854;0.000344777870481;0.0102280520251;9.95201499905e-05;3.73094073328e-05;0.008023608744129999;0.00304574364173;769.7007728919999;2.7;1.7;2.1143649543;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
