BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Tulpenstraat_7_1594744;[39.369046104524855, 50.349538339523072, 32.517729531494886, 44.659905685139321];421.437633514;568.032579829;459.792150806;[9.8422615261312139, 12.587384584880768, 7.1717240516750094, 11.16497642128483];[9.8422615261312139, 12.587384584880768, 7.1717240516750094, 11.16497642128483];26298589.7483;146808345.58;51973630.68399999;20381804.8714;0.000200634103862;0.00855720169746;0.000108451353742;0.00321727750891;8.41119318133e-05;1.39538868302e-05;0.00300086590459;0.00342751817267;995.818627933;2.7;1.7;1.99381451978;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Tulpenstraat_3_1594743;[38.608406525900875, 50.191875725201704, 19.479500982780042, 47.081416405750019];157.591171265;155.36119964;180.941802804;[9.6521016314752188, 12.547968931300426, 4.3162413841112084, 11.738713065782388];[9.6521016314752188, 12.547968931300426, 4.3162413841112084, 11.738713065782388];24480964.6404;54897088.6592;18758389.7645;8020842.70328;0.000215530477025;0.009192543682030001;0.000290025649951;0.008603793022379999;0.000374329400931;3.54582939837e-05;0.00762551586849;0.00365252391558;647.189314304;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Tulpenstraat_1_1594493;[18.283260362036071, 50.488071428537452, 38.976673760545218, 48.646558629344];141.131065369;156.39456418;160.866197464;[4.1115486728566024, 12.622017857134363, 9.7441684401363045, 12.105583421572151];[4.1115486728566024, 12.622017857134363, 9.7441684401363045, 12.105583421572151];24643796.5498;49163189.4473;18883158.7214;7130925.226460001;0.000214106376683;0.00913180468685;0.0003238513204240001;0.009607252777219999;0.000371856049434;3.98833797212e-05;0.00857715673214;0.00362144573288;582.159306802;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Tulpenstraat_5_1594745;[25.08329693719309, 46.758232000895099, 35.665326973541298, 42.490651012085443];206.016120911;533.945657558;246.077893959;[5.7134498218410394, 11.689558000223775, 8.9163317433853244, 10.622662753021361];[5.7134498218410394, 11.689558000223775, 8.9163317433853244, 10.622662753021361];23635783.398;71765982.5998;48785531.3772;10908214.9598;0.000223237533451;0.009521255675979999;0.000221853909638;0.00658143553874;8.90588325844e-05;2.60725883765e-05;0.00560706435818;0.003782344891469999;965.736609935;2.7;1.7;1.98092279579;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Tulpenstraat_16_4753998;[57.743152234677275, 48.228532711327986, 57.006450840339149, 46.896702786279619];104.665607452;209.874838573;104.783060681;[14.435788058669319, 7.0648133893277967, 14.251612710084787, 11.724175696569905];[14.435788058669319, 7.0648133893277967, 14.251612710084787, 11.724175696569905];33070924.4903;36460399.9436;25340394.0806;4644855.05652;0.000159547822394;0.00680483960771;0.00043668099756;0.0129544159989;0.0002770997475670001;6.12301988135e-05;0.0131679164513;0.00294309222285;485.975052826;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Tulpenstraat_10_1591509;[10.023864349220368, 32.996693988371952, 44.908104369602491, 32.926104890317568];64.9193458557;120.854767598;64.9307985506;[2.3829338447523725, 8.249173497092988, 11.227026092400623, 8.2315262225793919];[2.3829338447523725, 8.249173497092988, 11.227026092400623, 8.2315262225793919];19043630.5785;22614738.2276;14592065.7201;2878271.98416;0.000277068701013;0.0118171971414;0.0007040348492430001;0.0208856358893;0.000481207865814;9.88111617441e-05;0.0212499248331;0.00464354704561;373.9016902119999;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Tulpenstraat_9_1591495;[8.9225352175089867, 41.466913413413202, 35.035374177722147, 41.445221622618163];124.401309967;126.870044431;124.401997413;[1.6981290062385901, 10.366728353353301, 8.7588435444305368, 10.361305405654541];[1.6981290062385901, 10.366728353353301, 8.7588435444305368, 10.361305405654541];19991484.8678;43335357.4809;15318353.2851;5514529.189830001;0.000263932070172;0.0112569095454;0.000367403541688;0.0108992567689;0.000458392404998;5.15738313789e-05;0.0110912575139;0.00448059533362;457.50915004;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Tulpenstraat_13_1594456;[31.596734986466288, 38.953666759243404, 6.8926317778090649, 39.538614905706396];125.182815552;116.981648429;125.183062318;[7.899183746616572, 9.7384166898108511, 1.5634936792579972, 9.884653726426599];[7.899183746616572, 9.7384166898108511, 1.5634936792579972, 9.884653726426599];18433325.73;43607595.9637;14124423.3542;5549152.47005;0.000286242106511;0.0122084500719;0.0003651098728769999;0.0108312136433;0.000497140069147;5.12520425605e-05;0.0110220549251;0.00480398147259;441.431921511;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Tulpenstraat_12_1594652;[49.588973394371841, 33.684992647082922, 15.635671333722453, 29.914770945502923];79.51095581050001;128.824408321;79.57752762850001;[12.39724334859296, 3.4366860832878841, 3.8529963618296734, 7.4786927363757307];[12.39724334859296, 3.4366860832878841, 3.8529963618296734, 7.4786927363757307];20299442.7967;27697744.4579;15554324.1689;3527536.5998;0.000259928020676;0.0110861336978;0.00057483250461;0.0170527672054;0.000451438244873;8.06243650558e-05;0.0173387466245;0.00514353809376;398.755717399;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Tulpenstraat_11_5213680;[7.1566309452319636, 38.207109257890963, 6.8228878758801361, 38.334329510087407];128.72820282;90.5209575891;128.728708452;[1.7800340243254262, 9.5517773144727407, 1.705721968970034, 9.5835823775218518];[1.7800340243254262, 9.5517773144727407, 1.705721968970034, 9.5835823775218518];14263795.3819;44842636.2113;10929546.1689;5706324.93924;0.000369915148507;0.0157771708587;0.000355054144091;0.0105329041346;0.000642461882176;4.98403791579e-05;0.0107184683599;0.006176856866560001;444.78720366;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
