BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Vredestraat_51_1595037;[33.005667631004385, 70.283415136816529, 24.54575797833688, 70.473261095626057];175.241775513;378.993969151;149.930588299;[8.2514169077510964, 17.570853784204132, 2.8310485184853311, 17.618315273906514];[8.2514169077510964, 17.570853784204132, 2.8310485184853311, 17.618315273906514];31248301.6374;61045699.5142;35553256.6439;6646168.25144;0.000168853784382;0.007201746176359999;0.000260813848403;0.007737206586430001;0.000136047678369;4.27923862007e-05;0.009202755783270001;0.00301972029532;489.105975717;2.7;1.7;2.22324870046;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vredestraat_43_1591269;[64.611273230803377, 49.907096093077286, 51.078356374158304, 44.53724342742079];158.815322876;385.1710785;178.450617134;[16.079264976314434, 8.2716082710754844, 12.769589093539576, 11.134310856855198];[16.079264976314434, 8.2716082710754844, 12.769589093539576, 11.134310856855198];33111756.8597;55323523.4588;36219495.7037;7910412.675;0.000159351073074;0.00679644809511;0.000287790126575;0.00853747481768;0.000134762021984;3.59532947591e-05;0.00773196871332;0.00289561808067;697.598568929;2.7;1.7;2.24556009227;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vredestraat_24_1591296;[75.487687466803209, 32.497026687967185, 83.16776837619436, 31.574881441542857];96.2048110962;525.894066243;125.88546809;[18.871921866700802, 8.1242566719917964, 20.698244375808773, 4.4193656328056186];[18.871921866700802, 8.1242566719917964, 20.698244375808773, 4.4193656328056186];35096154.8604;33513070.5725;48804862.8796;5580288.92458;0.000150341084599;0.006412165028620001;0.0004750851995;0.0140937007647;9.50195891685e-05;5.09660704695e-05;0.0109605549353;0.0026811981559;626.991357631;2.7;1.7;2.12352134825;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vredestraat_28_1594533;[81.21851983417109, 23.912183834889198, 57.221892350669314, 24.466554503785694];92.4706230164;352.629636363;108.686792507;[20.013099175155993, 5.9780459587222996, 14.271220737921311, 3.1517804786546497];[20.013099175155993, 5.9780459587222996, 14.271220737921311, 3.1517804786546497];29437935.7827;32212261.3175;33103311.7221;4817900.85604;0.00017923790669;0.00764463712729;0.000494270292355;0.0146628385912;0.000146507339423;5.90309778197e-05;0.0126949609675;0.00321847613039;487.922013503;2.7;1.7;2.22978856925;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vredestraat_73_1594035;[68.388671081042048, 28.72387693420691, 95.797922102579804, 26.373021073430518];114.755775452;403.209638652;131.588892457;[17.042309804462175, 3.2549188359083843, 23.949480525644951, 6.5932552683576295];[17.042309804462175, 3.2549188359083843, 23.949480525644951, 6.5932552683576295];34553488.3003;39975323.0373;37908764.7161;5833112.036809999;0.000152702208851;0.006512868827569999;0.000398284806953;0.0118153688943;0.000128667642528;4.8757060858e-05;0.0104854943513;0.00274837709476;566.840602182;2.7;1.7;2.24384486424;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vredestraat_12_1591289;[67.441248632626198, 41.791703517742043, 56.130514064899259, 39.307725787517043];104.70407486;393.455432725;124.029219181;[16.395505316319902, 10.447925879435511, 13.788934263528947, 5.3158047587278787];[16.395505316319902, 10.447925879435511, 13.788934263528947, 5.3158047587278787];32250962.4407;36473800.1147;36897727.6979;5498004.56415;0.000163604233414;0.00697784871532;0.000436520564589;0.0129496566541;0.000130926164094;5.17288400277e-05;0.0111245930408;0.003040978413;539.688601263;2.7;1.7;2.22018900993;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vredestraat_37_1591305;[70.776626789274047, 27.571674274401495, 57.153807756939443, 27.953668224723771];107.845115662;367.222119208;125.278262234;[17.694156697318512, 3.0338153655714555, 14.288451939234861, 6.9884170561809427];[17.694156697318512, 3.0338153655714555, 14.288451939234861, 6.9884170561809427];28907953.8607;37567985.7471;34361208.659;5553372.52059;0.000182523952142;0.00778478953992;0.0004238066934430001;0.0125724916831;0.000139400026719;5.12130957388e-05;0.0110136791807;0.00332645928968;501.287176933;2.7;1.7;2.19957714269;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vredestraat_17_1591303;[32.85291102054871, 61.515297300169479, 30.795459520287253, 47.224170790060029];196.681873322;376.25491932;165.48035745;[8.2132277551371775, 15.37882432504237, 4.4147989541175807, 11.44644397644365];[8.2132277551371775, 15.37882432504237, 4.4147989541175807, 11.44644397644365];27163928.9073;68514385.3602;35049238.0035;7335463.09931;0.000194242666626;0.00828460189258;0.000232382786988;0.00689378129676;0.000134302599344;3.87712942891e-05;0.008337996181619999;0.00354158996636;564.28727361;2.7;1.7;2.15816766713;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vredestraat_75_1594039;[65.911596123325666, 26.880302641632415, 38.951685132063268, 29.246571134653163];56.81645584109999;334.483822634;73.1136274982;[16.477899030831416, 4.7352197180197795, 9.6633076190162068, 7.3116427836632907];[16.477899030831416, 4.7352197180197795, 9.6633076190162068, 7.3116427836632907];25367944.5184;19792085.9943;31236213.611;3241002.88901;0.000207994541424;0.00887113012531;0.000804440917617;0.0238642449559;0.00015218029062;8.77522817195e-05;0.0188716472669;0.00365892795458;392.838164644;2.7;1.7;2.1813092417;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vredestraat_34_1591274;[59.89463060359229, 24.069433577830598, 60.749038982899627, 28.529713555134407];93.67776107790002;453.945636544;113.798763795;[14.92750541827251, 6.0173583944576494, 15.167916562881286, 3.0994614571297094];[14.92750541827251, 6.0173583944576494, 15.167916562881286, 3.0994614571297094];27298651.6591;32632769.425;41936219.2523;5044505.85816;0.000193284051273;0.008243716196859999;0.000487901091429;0.0144738922463;0.000108554757965;5.63792384363e-05;0.0121246887272;0.0035633615223;582.616758394;2.7;1.7;2.08163780588;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vredestraat_32_1594532;[58.945570243938427, 22.238430827355696, 33.200894331506618, 23.091865841298187];91.706829071;298.55241432;107.652057954;[14.407054282730195, 5.559607706838924, 8.3002235828766544, 2.9268583174859901];[14.407054282730195, 5.559607706838924, 8.3002235828766544, 2.9268583174859901];21662833.0542;31946192.7072;27817979.6131;4772032.831280001;0.000243568972432;0.0103884074752;0.000498386895889;0.01478496022;0.00016938106458;5.95983742413e-05;0.0128169829243;0.00447934028833;479.79872187;2.7;1.7;2.16047780775;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vredestraat_20_1591294;[98.010480929472493, 29.730240634007906, 73.750951690184351, 32.660446727205041];117.312412262;495.073537217;134.613436356;[23.743780208421235, 7.4325601585019765, 18.396669503210852, 3.6361008486137023];[23.743780208421235, 7.4325601585019765, 18.396669503210852, 3.6361008486137023];36896405.1708;40865930.7821;46191420.4971;5967184.92925;0.000143005638694;0.00609930251452;0.000389604825195;0.011557871785;0.000102548356231;4.76615693903e-05;0.010249902431;0.00262600505557;638.296894447;2.7;1.7;2.17296432222;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vredestraat_14_1591295;[94.003584370798947, 44.422667069735446, 76.405058489728845, 43.031790481007995];203.585464478;438.649813058;222.209342991;[23.500896092699737, 11.105666767433862, 18.095407492669629, 5.9223906588303414];[23.500896092699737, 11.105666767433862, 18.095407492669629, 5.9223906588303414];40632651.2531;70919260.2825;41435776.1068;9850162.64741;0.00012985601048;0.00553846057037;0.000224502677486;0.006660012900209999;0.000119800101616;2.88731677588e-05;0.006209345520659999;0.00238343567996;763.784181502;2.7;1.7;2.28785640102;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vredestraat_35_1594046;[53.523930298114422, 22.867360323487141, 75.498123744846012, 28.253688971089808];88.5943908691;333.502936101;103.025959931;[13.094335869366347, 2.4572527364256862, 18.874530936211503, 7.063422242772452];[13.094335869366347, 2.4572527364256862, 18.874530936211503, 7.063422242772452];28385960.93;30861970.8276;31342686.4873;4566965.76554;0.000185880407571;0.00792794499329;0.000515895887134;0.0153043754397;0.000155390405343;6.22744756959e-05;0.0133924943721;0.00336777384708;455.4684099569999;2.7;1.7;2.24015447493;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vredestraat_45_1594330;[37.395776081979527, 79.189577989608765, 32.997444797265679, 74.770025293135745];106.236701965;612.386897038;125.01828134;[8.3509687619498507, 19.797394497402191, 8.2493611993164198, 13.487447207639152];[8.3509687619498507, 19.797394497402191, 8.2493611993164198, 13.487447207639152];35352285.9505;37007692.7524;56479036.5867;5541848.00929;0.000149251847373;0.00636570820766;0.0004302230870030001;0.0127628380271;8.00503150478e-05;5.13195955741e-05;0.0110365826002;0.0028009805135;687.02229031;2.7;1.7;2.06635797606;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vredestraat_29_1591299;[25.899038322167279, 25.716125185871753, 28.549175160883365, 29.862670451874134];98.0493011475;287.964203945;114.728160406;[6.430127116085222, 3.2396214446253975, 6.6515417483662613, 7.4656676129685335];[6.430127116085222, 3.2396214446253975, 6.6515417483662613, 7.4656676129685335];17337451.8607;34155601.0712;26603889.9258;5085704.43091;0.000304335033162;0.0129801275668;0.000466147961664;0.0138285719923;0.000171151269927;5.59225181947e-05;0.0120264683376;0.00587411783415;518.91901826;2.7;1.7;2.08208571626;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
