BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Zaveldriesstraat_13_1591693;[71.439355919278313, 81.604384609553108, 99.976476688665628, 60.000352546581468];258.460250854;1367.76704498;325.004865475;[17.859838979819578, 20.328821299845071, 12.782484197855378, 13.829901722763378];[17.859838979819578, 20.328821299845071, 12.782484197855378, 13.829901722763378];49324062.3648;90034963.2037;124254266.955;14406913.5124;0.000106974035268;0.00456252640284;0.000176837566788;0.00524599746086;3.4089042425e-05;1.97408971967e-05;0.00424539671594;0.00215625212775;1826.62173606;2.7;1.7;1.92885517743;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zaveldriesstraat_49_1592329;[26.214723238285863, 119.9358254992011, 37.952074715165665, 108.61643885422812];369.552490234;672.742850759;287.819241659;[6.5536808095714658, 28.148126352477849, 4.6819757884626378, 27.15410971355703];[6.5536808095714658, 28.148126352477849, 4.6819757884626378, 27.15410971355703];46125062.3098;128734088.704;62511564.6118;12758537.986;0.000114393211039;0.00487896006131;0.000123677916075;0.00366898304177;7.45593604786e-05;2.22913784387e-05;0.00479389279396;0.00209996722402;1004.74570271;2.7;1.7;2.13511285475;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zaveldriesstraat_29_1594811;[35.115537629334113, 122.09763760903827, 35.134547437315661, 104.67271241112961];169.76644516;687.190868131;199.587856247;[8.4379332770936575, 30.509935154851693, 4.1029196635046032, 24.824911549522337];[8.4379332770936575, 30.509935154851693, 4.1029196635046032, 24.824911549522337];46802849.0105;59138361.0929;63834068.9335;8847390.57331;0.000112736598274;0.00480830422918;0.000269225651921;0.00798674801983;7.29233614798e-05;3.21456813977e-05;0.00691311893668;0.00205857758345;1089.89228008;2.7;1.7;2.13222407174;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zaveldriesstraat_14_1591681;[73.189273970182541, 123.41477908346047, 72.393689195436394, 123.63327498386782];263.372013092;982.2917380580001;313.796983994;[9.3418964594480691, 30.850531255684629, 18.092002890003478, 28.662965848623799];[9.3418964594480691, 30.850531255684629, 18.092002890003478, 28.662965848623799];61868639.4794;91745981.942;90924497.3492;13910087.1683;8.52838211955e-05;0.00363742178151;0.000173539630638;0.005148162114100001;5.04722127261e-05;2.04459824824e-05;0.004397029477439999;0.00160703367149;1758.20373538;2.7;1.7;2.09970917195;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zaveldriesstraat_32_1594053;[31.378738125900021, 146.89034183157517, 29.440323760730639, 102.73723978849721];171.701889038;731.8885532969999;199.125434799;[3.8004136992917452, 30.354565023504797, 7.3600809401826597, 25.642818606466516];[3.8004136992917452, 30.354565023504797, 7.3600809401826597, 25.642818606466516];48918477.2005;59812575.4751;67926692.8848;8826892.21617;0.000107860961521;0.0046003545023;0.000266190908723;0.00789672045725;6.8290285943e-05;3.22203320948e-05;0.00692917301069;0.00208058082463;1018.71754358;2.7;1.7;2.1241720165;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zaveldriesstraat_7_1591691;[44.887302780493101, 91.85555760996327, 42.600780159692363, 97.18622397623362];321.562210083;673.977435327;243.413870048;[11.221825695123275, 22.828931221218472, 8.872926185596052, 24.296555994058405];[11.221825695123275, 22.828931221218472, 8.872926185596052, 24.296555994058405];43574057.4299;112016612.445;62457696.5605;10790123.3059;0.000121090260999;0.00516459448829;0.00014213573747;0.00421654590371;7.38202743037e-05;2.63579377646e-05;0.005668430432010001;0.00207865065089;875.667628944;2.7;1.7;2.11029543429;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zaveldriesstraat_39_4753312;[43.214417191964856, 124.26747325494168, 39.684508794211482, 46.352083001761706];140.919460297;586.033206974;176.979575581;[9.2679685817584438, 30.355515765540861, 4.4786772988658452, 9.6482563973943627];[9.2679685817584438, 30.355515765540861, 4.4786772988658452, 9.6482563973943627];39948050.1815;49089476.5464;54439625.9853;7845203.90223;0.00013208138978;0.00563337474075;0.00032433761651;0.009621679055969999;8.55214399324e-05;3.62521359693e-05;0.00779623628331;0.00259955920039;1009.57700098;2.7;1.7;2.13260088204;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zaveldriesstraat_26_1591678;[39.931469456513796, 83.091808985772545, 39.132171207743049, 100.95505079159766];169.398887634;585.0853539569999;190.317797601;[3.7504612491596401, 16.293717857179786, 9.7830428019357623, 25.222699921751804];[3.7504612491596401, 16.293717857179786, 9.7830428019357623, 25.222699921751804];41459507.7327;59010321.9527;54452415.8231;8436464.6231;0.000127266199613;0.005428003108140001;0.000269809811096;0.008004077468569999;8.613366843700002e-05;3.37114432735e-05;0.00724984529006;0.00253819422635;1128.42096593;2.7;1.7;2.14969592669;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zaveldriesstraat_41_1591685;[58.24534958854359, 119.13431694368693, 56.815284345051325, 118.59769239975685];488.28830719;923.43638107;376.261569777;[14.116330753191772, 27.97045174260553, 6.7007850795753203, 29.226149469721783];[14.116330753191772, 27.97045174260553, 6.7007850795753203, 29.226149469721783];55591127.2923;170095864.356;85312291.5126;16679036.1305;9.49143189565e-05;0.00404817005512;9.36034740122e-05;0.00277680583325;5.33710076682e-05;1.70516687143e-05;0.00366706222315;0.00179106186761;1349.44791675;2.7;1.7;2.08204325767;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zaveldriesstraat_24_1591680;[44.60386274421159, 129.54133100169594, 37.515599902477348, 54.762137894221304];143.61763382;615.241306176;161.223054487;[4.7458307438994076, 32.385332750423984, 9.378899975619337, 13.665826659470625];[4.7458307438994076, 32.385332750423984, 9.378899975619337, 13.665826659470625];41981462.4347;50029388.7884;57155627.6101;7146744.092010001;0.000125683901441;0.00536051685158;0.000318244220135;0.00944091462625;8.14729458843e-05;3.97951003854e-05;0.00855817173878;0.00232198299767;1046.36282835;2.7;1.7;2.13303810857;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
