datetime_be;price_BE
1/01/2014 0:00;15.15
1/01/2014 0:15;15.15
1/01/2014 0:30;15.15
1/01/2014 0:45;33.27
1/01/2014 1:00;12.96
1/01/2014 1:15;12.96
1/01/2014 1:30;12.96
1/01/2014 1:45;30.07
1/01/2014 2:00;12.09
1/01/2014 2:15;12.09
1/01/2014 2:30;12.09
1/01/2014 2:45;23.01
1/01/2014 3:00;11.7
1/01/2014 3:15;11.7
1/01/2014 3:30;11.7
1/01/2014 3:45;11.04
1/01/2014 4:00;11.66
1/01/2014 4:15;11.66
1/01/2014 4:30;11.66
1/01/2014 4:45;9.09
1/01/2014 5:00;11.35
1/01/2014 5:15;11.35
1/01/2014 5:30;11.35
1/01/2014 5:45;11.44
1/01/2014 6:00;9.85
1/01/2014 6:15;9.85
1/01/2014 6:30;9.85
1/01/2014 6:45;10.44
1/01/2014 7:00;9.54
1/01/2014 7:15;9.54
1/01/2014 7:30;9.54
1/01/2014 7:45;16.51
1/01/2014 8:00;9.49
1/01/2014 8:15;9.49
1/01/2014 8:30;9.49
1/01/2014 8:45;14.03
1/01/2014 9:00;11.64
1/01/2014 9:15;11.64
1/01/2014 9:30;11.64
1/01/2014 9:45;15.99
1/01/2014 10:00;11.94
1/01/2014 10:15;11.94
1/01/2014 10:30;11.94
1/01/2014 10:45;19.85
1/01/2014 11:00;13.15
1/01/2014 11:15;13.15
1/01/2014 11:30;13.15
1/01/2014 11:45;21.58
1/01/2014 12:00;15.24
1/01/2014 12:15;15.24
1/01/2014 12:30;15.24
1/01/2014 12:45;21.63
1/01/2014 13:00;13.69
1/01/2014 13:15;13.69
1/01/2014 13:30;13.69
1/01/2014 13:45;20.41
1/01/2014 14:00;12.43
1/01/2014 14:15;16.96
1/01/2014 14:30;12.43
1/01/2014 14:45;21.3
1/01/2014 15:00;9.92
1/01/2014 15:15;26.06
1/01/2014 15:30;9.92
1/01/2014 15:45;21.97
1/01/2014 16:00;12.12
1/01/2014 16:15;32.11
1/01/2014 16:30;12.12
1/01/2014 16:45;25.09
1/01/2014 17:00;15.24
1/01/2014 17:15;32.88
1/01/2014 17:30;15.24
1/01/2014 17:45;36.54
1/01/2014 18:00;15.73
1/01/2014 18:15;32.22
1/01/2014 18:30;15.73
1/01/2014 18:45;36.09
1/01/2014 19:00;17.73
1/01/2014 19:15;30.63
1/01/2014 19:30;17.73
1/01/2014 19:45;35.3
1/01/2014 20:00;15.63
1/01/2014 20:15;28.64
1/01/2014 20:30;15.63
1/01/2014 20:45;31.49
1/01/2014 21:00;13.93
1/01/2014 21:15;20.09
1/01/2014 21:30;13.93
1/01/2014 21:45;28.21
1/01/2014 22:00;15.1
1/01/2014 22:15;15.1
1/01/2014 22:30;15.1
1/01/2014 22:45;30.7
1/01/2014 23:00;12.95
1/01/2014 23:15;12.95
1/01/2014 23:30;12.95
1/01/2014 23:45;23.1
2/01/2014 0:00;9.62
2/01/2014 0:15;7.66
2/01/2014 0:30;9.62
2/01/2014 0:45;19.68
2/01/2014 1:00;7.64
2/01/2014 1:15;7.02
2/01/2014 1:30;7.64
2/01/2014 1:45;16.17
2/01/2014 2:00;4.96
2/01/2014 2:15;1.92
2/01/2014 2:30;4.96
2/01/2014 2:45;11.33
2/01/2014 3:00;0.06
2/01/2014 3:15;-0.04
2/01/2014 3:30;0.06
2/01/2014 3:45;8.57
2/01/2014 4:00;1.05
2/01/2014 4:15;0.06
2/01/2014 4:30;1.05
2/01/2014 4:45;8.51
2/01/2014 5:00;7.08
2/01/2014 5:15;7.06
2/01/2014 5:30;7.08
2/01/2014 5:45;12.08
2/01/2014 6:00;12.5
2/01/2014 6:15;11.8
2/01/2014 6:30;12.5
2/01/2014 6:45;18.23
2/01/2014 7:00;21.31
2/01/2014 7:15;21.31
2/01/2014 7:30;21.31
2/01/2014 7:45;24.93
2/01/2014 8:00;30.44
2/01/2014 8:15;30.44
2/01/2014 8:30;30.44
2/01/2014 8:45;28.92
2/01/2014 9:00;35.48
2/01/2014 9:15;30.63
2/01/2014 9:30;35.48
2/01/2014 9:45;32.68
2/01/2014 10:00;33.06
2/01/2014 10:15;30.86
2/01/2014 10:30;33.06
2/01/2014 10:45;34.28
2/01/2014 11:00;33.78
2/01/2014 11:15;33.78
2/01/2014 11:30;33.78
