Time;TermienWest;TermienEast;Boxbergheide;Winterslag;OudWinterslag;ZwartbergSouth;ZwartbergNWest;ZwartbergNEast;WaterscheiGarden;Total;Day;Hour
2014-01-01 00:00:00;3094080.2551760646;4732895.428125;10688924.253123451;18120840.5375;1958510.5036193863;5301916.837499997;2787257.4039586945;4939698.803125;20259707.225;71883831.24712762;183.0;4379.5
2014-01-01 01:00:00;2177696.0551760644;3711119.653125;8332819.003123452;15056597.2125;1549146.1223693863;4190638.262499997;2179016.1289586946;4201164.6046875;16820696.3625;58218893.40494011;146.6;3504.5
2014-01-01 02:00:00;1427189.7231448144;2842808.6828125;5213915.053123452;12575787.8125;1148019.9848693863;3029948.312499997;1661624.6602086946;3656289.9078125;14047101.1875;45602685.32447137;110.2;2629.5
2014-01-01 03:00:00;1018849.2200198143;2336352.3265625;3103560.7656234517;11010742.9625;659033.9973327651;1897294.203124997;1359101.4945836947;3111153.2703125;12535259.6125;37031347.852559745;73.8;1754.5
2014-01-01 04:00:00;960530.3950198144;2118332.4265625;3214893.2906234516;10270387.4625;342252.59108276514;1215792.171874997;1072634.6633336947;2639399.0828125;11380231.0625;33214453.146309745;37.4;879.5
2014-01-01 05:00:00;1128314.2825198143;2202060.1828125;4616918.661521889;10083636.1125;405269.6363952652;1465662.334374997;1145925.2383336946;2624105.3328125;11406868.0625;35078759.84377068;1.0;4.5
2014-01-01 06:00:00;1560038.5652834862;2558725.703125;6224120.510398842;10967697.0875;659782.2812133804;2149624.184374997;1514604.9569861714;2847102.0421875;12592370.7375;41074066.0685694;1.0;5.5
2014-01-01 07:00:00;1972898.5363284082;3129220.433203125;7795303.210398843;11800259.625;907740.1999633803;2816671.196874997;1880343.1132361714;3178323.4765625;13407545.075;46888304.86656745;1.0;6.5
2014-01-01 08:00:00;2392033.28359375;3493986.161328125;9339589.085398842;12333800.725;1152034.0062133805;3473622.846874997;2256330.4944861713;3430875.0515625;14394985.775;52267257.42945778;1.0;7.5
2014-01-01 09:00:00;2808890.13359375;3789233.320703125;10865468.485398842;12825095.35;1448743.3937133804;4125069.134374997;2600266.540625;3629067.3421875;15379924.175;57471757.875596605;1.0;8.5
2014-01-01 10:00:00;3222483.97734375;4209823.5734375;12374098.2125;13693544.1;1691772.5124633803;4945817.559374997;2972212.728125;4073014.9546875;16572727.1375;63755494.755432144;1.0;9.5
2014-01-01 11:00:00;3634680.58984375;4685942.9234375;13884645.7625;15268219.65;1967550.9562133804;5613036.709374997;3330626.984375;4418353.059375;17885123.2;70688179.83511963;1.0;10.5
2014-01-01 12:00:00;4079799.790625;5021703.83125;15391720.9625;16111628.075;2224621.2312133806;6441035.321874997;3619423.140625;4581418.2375;18784721.675;76256072.26558839;1.0;11.5
2014-01-01 13:00:00;4333463.2125;5057968.0;16181821.3;16281687.375;2448982.9875000017;7137236.343749997;3731666.36875;4546644.43125;18848650.05;78568120.06875001;1.0;12.5
2014-01-01 14:00:00;4354423.4;5012848.825;15608943.15;15991779.425;2537051.5875000013;7315758.712499997;3710414.60625;4501892.79375;18599767.4;77632879.9;1.0;13.5
2014-01-01 15:00:00;4315817.69375;5018560.66875;16084197.725;16013325.05;2543000.0062500015;7043296.287499997;3727490.86875;4471259.41875;18484048.95;77700996.66875002;1.0;14.5
2014-01-01 16:00:00;4392077.20625;5004906.24375;16277905.875;15975245.975;2528371.0187500017;7015871.299999997;3708524.775;4458179.25;18424014.4;77785096.04375002;1.0;15.5
2014-01-01 17:00:00;4372230.2;4887791.78125;16218453.325;16025854.6;2520949.5187500017;7258906.924999997;3697991.0875;4417289.0375;18472916.45;77872382.92500001;1.0;16.5
2014-01-01 18:00:00;4362105.40625;4811840.13125;16176654.975;16029234.925;2519727.3375000013;7275190.074999997;3613085.50625;4360368.74375;18101847.25;77250054.35000001;1.0;17.5
2014-01-01 19:00:00;4333033.85;4806394.24375;16007336.0;16034412.875;2441485.5343750017;7231548.162499997;3578125.1375;4361390.86875;17860611.2;76654337.87187502;1.0;18.5
2014-01-01 20:00:00;4198343.475;4753829.1;15208737.7125;16018915.25;2337972.2000000016;6691062.365624997;3387069.065625;4214185.90625;17830425.9;74640540.97500001;1.1;19.5
2014-01-01 21:00:00;3851509.7796875;4556239.628125;13729162.713867188;15581254.525;2078292.2953125015;6034504.412890643;3050876.9971679687;4125225.1;17814423.925;70821489.37705082;1.2;20.5
2014-01-01 22:00:00;3397666.3359375;4186338.8046875;12222087.513867188;15351768.025;1821222.0203125016;5206505.800390643;2696234.384667969;3955806.91875;17486992.075;66324621.878613316;1.3;21.5
