DN;Dc;Di;Do;M;lambda;s;Rs
250;0.4;0.263;0.273;0.4;0.027999999999999997;0.005;2.9908525977
300;0.45;0.3127;0.3239;0.4;0.027999999999999997;0.0056;2.64701235295
350;0.5;0.3444;0.3556;0.4;0.027999999999999997;0.0056;2.67140913252
400;0.56;0.3938;0.4064;0.5;0.027999999999999997;0.0063;2.52565084615
450;0.63;0.4446;0.4572;0.5;0.027999999999999997;0.0063;2.47934781587
500;0.67;0.4954;0.508;0.6;0.027999999999999997;0.0063;2.19564508137
600;0.8;0.5958;0.61;0.7;0.027999999999999997;0.0071;2.1120274673900004
700;0.9;0.695;0.711;0.7;0.027999999999999997;0.008;1.8770259278599999
800;1.0;0.7954;0.813;0.8;0.027999999999999997;0.0088;1.6830485623299998
900;1.1;0.894;0.914;0.8;0.027999999999999997;0.01;1.53753770896
1000;1.2;0.9940000000000001;1.016;0.900;0.027999999999999997;0.011000000000000001;1.4085647180599998
