DN;Do;Di;Dc;M;lambda;s;Rs
250;0.45;0.263;0.273;0.15;0.027999999999999997;0.005;3.6327332209599996
300;0.5;0.3127;0.3239;0.15;0.027999999999999997;0.0056;3.2215167115900005
350;0.56;0.3444;0.3556;0.15;0.027999999999999997;0.0056;3.2894863065599997
400;0.63;0.3938;0.4064;0.15;0.027999999999999997;0.0063;3.16845035545
450;0.67;0.4444;0.457;0.15;0.027999999999999997;0.0063;2.81559350194
500;0.71;0.4954;0.508;0.15;0.027999999999999997;0.0063;2.51280225442
600;0.9;0.5958;0.61;0.15;0.027999999999999997;0.0071;2.75731866238
700;1.0;0.695;0.711;0.15;0.027999999999999997;0.008;2.45580308273
800;1.1;0.7954;0.813;0.15;0.027999999999999997;0.0088;2.20826628883
900;1.2;0.894;0.914;0.15;0.027999999999999997;0.01;2.01866808268
1000;1.3;0.9940000000000001;1.016;0.15;0.027999999999999997;0.011000000000000001;1.85289394148
