DN;Dc;Di;Do;Dcc;s;Rs;Rel roughness;Friction factor;Max mflow;vmax
20;0.125;0.0217;0.0269;0.019;0.0026;12.259;0.004608294930875576;0.029631181214502745;0.1790357347444944;0.4840947512102729
25;0.14;0.0273;0.0337;0.019;0.0032;11.321;0.003663003663003663;0.027697132117031974;0.3287411626759321;0.5616152749952525
32;0.16;0.036000000000000004;0.0424;0.019;0.0032;10.208;0.0027777777777777775;0.02560812471371901;0.6827036650640652;0.6707139689006152
40;0.16;0.0419;0.0483;0.019;0.0032;8.591;0.002386634844868735;0.02456096624689912;1.0187724774362785;0.7388551018504571
50;0.2;0.0539;0.0603;0.02;0.0032;8.623;0.0018552875695732839;0.022959756388960063;1.977666903498394;0.866733801635026
65;0.225;0.0697;0.0761;0.02;0.0032;7.195;0.0014347202295552368;0.021481565783783307;3.8878889253077564;1.0189629927069548
80;0.25;0.0825;0.0889;0.025;0.0032;6.277;0.0012121212121212121;0.02058828952684311;6.053263906280138;1.1323790604508965
100;0.315;0.1071;0.1143;0.025;0.0036;6.199;0.0009337068160597573;0.01931166932149249;12.001309599927385;1.3321705127573715
125;0.4;0.1325;0.1397;0.03;0.0036;6.629;0.0007547169811320754;0.018356462123623254;20.956081314815723;1.5198069879791538
150;0.45;0.1603;0.1683;0.04;0.004;5.47;0.0006238303181534623;0.01756043474287419;34.49300605553564;1.709126148246578
200;0.56;0.2101;0.2191;0.045;0.0045;4.878;0.00047596382674916705;0.016515839074918885;69.94870527066293;2.0176121942257033
250;0.4;0.263;0.273;0.4;0.005;2.773;0.00038022813688212925;0.015717932248968537;125.70615291283744;2.31395632299368
300;0.45;0.3127;0.3239;0.4;0.0056;2.437;0.0003197953309881676;0.015141744155207488;197.42248844293354;2.5706975159109033
350;0.5;0.3444;0.3556;0.4;0.0056;2.48;0.0002903600464576075;0.014833978445241707;253.91824380257293;2.725698020317279
400;0.56;0.3938;0.4064;0.5;0.0063;2.34;0.0002539360081259523;0.014422069298310108;360.0313848911727;2.9559634246334108
450;0.63;0.4446;0.4572;0.5;0.0063;2.311;0.0002249212775528565;0.014063827717105066;493.78369775550675;3.1805919068400286
500;0.67;0.4954;0.508;0.6;0.0063;2.024;0.00020185708518368997;0.013755526159247258;654.3592901076717;3.3948015103095273
600;0.8;0.5958;0.61;0.7;0.0071;1.964;0.00016784155756965425;0.013252563939195529;1057.465393510692;3.7929339893260403
700;0.9;0.695;0.711;0.7;0.008;1.744;0.00014388489208633096;0.012853638811393588;1578.0248427128956;4.159626587270937
800;1.0;0.7954;0.813;0.8;0.0088;1.559;0.00012572290671360322;0.012518740536791384;2240.518416104089;4.509075044358845
900;1.1;0.894;0.914;0.8;0.01;1.426;0.00011185682326621924;0.012239162057734666;3034.819213138021;4.834681912838484
1000;1.2;0.9940000000000001;1.016;0.9;0.011000000000000001;1.306;0.00010060362173038229;0.011993516913364847;3996.295146419287;5.1498538644889775
