;Time;1;2;3;4;5;6;7;8;9;10
1/01/2014 0:00;0;8.57;0;91.4;71.4;60;51.4;40;0;0;25.7
1/01/2014 0:15;900;91.4;77.1;196;149;171;188;64.6;37.1;51.4;62.9
1/01/2014 0:30;1800;157;188;219;208;225;208;75.7;156;87.9;159
1/01/2014 0:45;2700;211;238;230;225;292;224;170;230;170;224
1/01/2014 1:00;3600;236;227;240;225;309;216;235;233;209;227
1/01/2014 1:15;4500;225;225;254;227;298;224;252;221;235;227
1/01/2014 1:30;5400;225;238;257;238;275;216;274;233;243;227
1/01/2014 1:45;6300;225;227;246;225;309;216;249;225;235;227
1/01/2014 2:00;7200;225;225;186;227;298;216;138;221;235;227
1/01/2014 2:15;8100;225;238;148;238;275;216;100;233;235;227
1/01/2014 2:30;9000;225;238;102;225;298;216;120;233;243;227
1/01/2014 2:45;9900;236;214;46.1;238;309;208;143;233;243;227
1/01/2014 3:00;10800;225;238;46.1;227;298;216;132;214;235;227
1/01/2014 3:15;11700;225;238;57.1;225;275;176;163;233;243;227
1/01/2014 3:30;12600;225;214;53.9;238;316;92.1;249;233;235;227
1/01/2014 3:45;13500;225;238;53.9;196;290;43.4;252;221;226;227
1/01/2014 4:00;14400;225;238;57.1;165;268;481;263;225;151;227
1/01/2014 4:15;15300;225;225;57.1;81.1;255;479;274;225;55;227
1/01/2014 4:30;16200;236;227;77.9;41.1;229;15.7;263;233;42.9;227
1/01/2014 4:45;17100;225;238;90.9;13.6;218;23.6;252;201;35;227
1/01/2014 5:00;18000;216;225;78.2;38.2;122;15.7;197;164;42.9;227
1/01/2014 5:15;18900;185;207;46.1;24.6;241;15.7;183;119;42.9;227
1/01/2014 5:30;19800;165;153;46.1;13.6;229;23.6;126;55.7;35;170
1/01/2014 5:45;20700;70.4;125;65;38.2;199;15.7;201;32.5;35;84.3
1/01/2014 6:00;21600;58.9;63.9;99.3;24.6;318;23.6;198;32.5;35;27.1
1/01/2014 6:15;22500;35.7;13.6;77.5;38.2;233;525;187;129;42.9;27.1
1/01/2014 6:30;23400;24.6;66.8;46.1;27.1;124;1180;176;13.6;35;27.1
1/01/2014 6:45;24300;24.6;118;57.1;24.6;75.4;932;189;32.5;35;27.1
1/01/2014 7:00;25200;149;131;53.9;109;180;932;62.9;69.6;35;158
1/01/2014 7:15;26100;1860;230;2180;151;178;932;51.8;27.1;42.9;168
1/01/2014 7:30;27000;1210;238;2180;828;147;932;62.9;32.5;42.9;168
1/01/2014 7:45;27900;554;225;743;954;138;930;73.9;24.6;35;168
1/01/2014 8:00;28800;556;227;1930;954;117;928;62.9;32.5;42.9;168
1/01/2014 8:15;29700;430;238;80.6;850;123;967;78.6;21.4;35;208
1/01/2014 8:30;30600;430;225;102;830;216;1010;198;32.5;42.9;397
1/01/2014 8:45;31500;501;227;64.6;839;273;1010;187;24.6;42.9;468
1/01/2014 9:00;32400;716;238;46.1;930;222;1020;176;120;35;557
1/01/2014 9:15;33300;1680;225;65;954;199;1010;187;157;42.9;557
1/01/2014 9:30;34200;1540;238;65;954;222;1020;287;157;150;557
1/01/2014 9:45;35100;1260;187;53.9;941;172;996;187;157;167;495
1/01/2014 10:00;36000;1160;185;46.2;1040;97.5;289;176;102;167;424
1/01/2014 10:15;36900;186;198;181;1010;83.2;164;241;32.5;159;309
1/01/2014 10:30;37800;24.6;187;279;611;109;539;263;68.1;150;309
1/01/2014 10:45;38700;24.6;185;319;557;194;63.6;203;145;88.3;309
1/01/2014 11:00;39600;60.2;175;322;554;75.4;41.4;149;157;167;309
1/01/2014 11:15;40500;149;156;322;430;97.5;15.7;73.9;149;159;309
1/01/2014 11:30;41400;160;174;213;444;109;15.7;62.9;248;159;228
1/01/2014 11:45;42300;149;158;195;419;107;15.7;51.8;159;159;1990
1/01/2014 12:00;43200;149;145;241;444;199;15.7;73.9;153;140;2290
1/01/2014 12:15;44100;149;147;311;533;356;7.86;62.9;153;42.9;320
1/01/2014 12:30;45000;24.6;158;311;543;470;15.7;51.8;134;35;97.5
1/01/2014 12:45;45900;24.6;145;322;262;447;15.7;62.9;69.6;42.9;27.1
1/01/2014 13:00;46800;24.6;158;330;286;477;23.6;73.9;68.1;70.6;27.1
1/01/2014 13:15;47700;35.7;147;501;211;454;444;62.9;157;167;27.1
1/01/2014 13:30;48600;24.8;145;1100;151;240;15.7;51.8;138;167;27.1
1/01/2014 13:45;49500;149;158;1110;162;171;23.6;73.9;149;159;27.1
1/01/2014 14:00;50400;149;147;1110;95.5;180;15.7;62.9;157;114;27.1
1/01/2014 14:15;51300;149;145;1110;116;278;23.6;731;39.1;35;27.1
1/01/2014 14:30;52200;158;158;1100;207;1080;15.7;1020;32.5;42.9;27.1
1/01/2014 14:45;53100;267;175;1110;273;1140;1080;1680;24.6;42.9;27.1
1/01/2014 15:00;54000;197;174;1160;286;1160;2660;2230;32.5;35;27.1
1/01/2014 15:15;54900;165;198;1180;257;1080;1570;2220;21.4;35;27.1
1/01/2014 15:30;55800;149;198;1120;149;1010;816;2120;107;52.9;80.4
1/01/2014 15:45;56700;86.6;199;1100;153;1220;808;1620;150;167;151
1/01/2014 16:00;57600;24.6;238;1090;27.1;1140;808;879;93.6;159;178
1/01/2014 16:15;58500;24.6;238;920;24.6;1120;811;855;86.8;159;275
1/01/2014 16:30;59400;24.6;225;574;162;1160;848;866;148;159;416
1/01/2014 16:45;60300;35.7;227;53.9;237;1240;893;855;157;158;372
1/01/2014 17:00;61200;24.6;225;161;262;1090;991;844;145;139;292
1/01/2014 17:15;62100;24.6;225;181;286;1090;999;470;149;124;292
1/01/2014 17:30;63000;24.6;227;170;273;1150;999;62.9;157;167;168
1/01/2014 17:45;63900;24.6;225;178;249;758;1020;51.8;101;159;292
1/01/2014 18:00;64800;24.6;238;154;269;324;1010;62.9;157;167;292
1/01/2014 18:15;65700;24.6;238;57.1;273;462;1010;73.9;714;167;292
1/01/2014 18:30;66600;35.7;214;153;286;365;1020;143;1280;61.6;292
1/01/2014 18:45;67500;24.6;238;178;275;442;499;176;1280;42.9;366
1/01/2014 19:00;68400;30.4;238;189;264;323;224;198;1290;35;368
1/01/2014 19:15;69300;108;214;178;109;242;216;187;358;69.6;328
1/01/2014 19:30;70200;185;238;182;151;115;216;179;114;167;328
1/01/2014 19:45;71100;225;238;221;172;126;224;117;210;185;354
1/01/2014 20:00;72000;225;225;151;202;235;216;225;233;273;368
1/01/2014 20:15;72900;236;227;223;214;309;224;260;233;282;368
1/01/2014 20:30;73800;225;238;246;140;298;216;252;221;193;368
1/01/2014 20:45;74700;225;225;257;158;275;216;274;225;43.9;368
1/01/2014 21:00;75600;225;227;246;158;309;216;263;233;35;368
1/01/2014 21:15;76500;225;238;254;154;298;216;252;221;60.7;368
1/01/2014 21:30;77400;225;225;265;218;275;216;263;233;91.4;368
1/01/2014 21:45;78300;225;238;257;238;298;208;274;233;166;368
