;Time;1;2;3;4;5;6;7;8;9;10
1/01/2014 0:00;0;0;0;0;0;0;0;0;0;0;0
1/01/2014 0:15;900;0;0;0;0;0;0;0;0;0;0
1/01/2014 0:30;1800;0;0;0;0;0;0;0;0;0;0
1/01/2014 0:45;2700;0;0;0;0;0;0;0;0;0;0
1/01/2014 1:00;3600;0;0;0;0;0;0;0;0;0;0
1/01/2014 1:15;4500;0;0;0;0;0;0;0;0;0;0
1/01/2014 1:30;5400;0;0;0;0;0;0;0;0;0;0
1/01/2014 1:45;6300;0;0;0;0;0;0;820.456;0;0;0
1/01/2014 2:00;7200;0;0;820.456;0;0;0;1172.08;0;0;0
1/01/2014 2:15;8100;0;0;0;0;0;0;937.664;0;0;0
1/01/2014 2:30;9000;0;0;234.416;0;0;0;117.208;0;0;0
1/01/2014 2:45;9900;0;0;937.664;0;0;0;0;0;0;0
1/01/2014 3:00;10800;0;0;1875.328;0;0;0;0;0;0;0
1/01/2014 3:15;11700;0;0;0;0;0;0;0;0;0;0
1/01/2014 3:30;12600;0;0;0;0;0;0;0;0;0;0
1/01/2014 3:45;13500;0;0;0;0;0;234.416;0;0;0;0
1/01/2014 4:00;14400;0;0;117.208;820.456;0;937.664;0;0;117.208;0
1/01/2014 4:15;15300;0;0;117.208;117.208;117.208;117.208;0;0;234.416;0
1/01/2014 4:30;16200;0;0;0;117.208;0;0;0;0;234.416;0
1/01/2014 4:45;17100;0;0;0;0;234.416;117.208;0;820.456;0;0
1/01/2014 5:00;18000;0;0;117.208;1172.08;0;117.208;1172.08;234.416;234.416;0
1/01/2014 5:15;18900;117.208;820.456;117.208;0;937.664;1640.912;820.456;0;820.456;0
1/01/2014 5:30;19800;820.456;0;1640.912;117.208;0;0;117.208;820.456;0;5625.984
1/01/2014 5:45;20700;0;0;117.208;820.456;117.208;0;0;820.456;234.416;0
1/01/2014 6:00;21600;0;0;0;1172.08;937.664;0;234.416;0;0;0
1/01/2014 6:15;22500;0;234.416;0;937.664;0;0;0;0;937.664;937.664
1/01/2014 6:30;23400;234.416;0;937.664;820.456;117.208;117.208;0;0;117.208;0
1/01/2014 6:45;24300;117.208;0;0;117.208;0;0;117.208;0;1640.912;820.456
1/01/2014 7:00;25200;234.416;0;0;117.208;117.208;0;0;0;0;0
1/01/2014 7:15;26100;820.456;0;820.456;937.664;0;0;0;1640.912;0;0
1/01/2014 7:30;27000;0;0;234.416;0;0;0;0;234.416;0;117.208
1/01/2014 7:45;27900;117.208;0;820.456;117.208;117.208;0;0;820.456;0;117.208
1/01/2014 8:00;28800;820.456;0;0;117.208;234.416;0;0;117.208;0;0
1/01/2014 8:15;29700;937.664;0;117.208;820.456;0;0;0;0;117.208;234.416
1/01/2014 8:30;30600;0;0;0;820.456;234.416;0;117.208;0;117.208;0
1/01/2014 8:45;31500;820.456;0;0;0;117.208;0;0;0;820.456;117.208
1/01/2014 9:00;32400;117.208;0;0;0;937.664;0;0;117.208;0;0
1/01/2014 9:15;33300;234.416;0;117.208;820.456;117.208;0;234.416;117.208;117.208;117.208
1/01/2014 9:30;34200;117.208;0;0;820.456;0;0;820.456;0;234.416;234.416
1/01/2014 9:45;35100;117.208;0;0;0;0;0;0;937.664;0;0
1/01/2014 10:00;36000;0;0;234.416;117.208;0;0;0;820.456;0;820.456
1/01/2014 10:15;36900;0;0;117.208;117.208;1172.08;117.208;0;117.208;820.456;0
1/01/2014 10:30;37800;234.416;0;0;0;117.208;117.208;0;234.416;820.456;0
1/01/2014 10:45;38700;117.208;0;117.208;234.416;0;820.456;0;0;117.208;117.208
1/01/2014 11:00;39600;234.416;0;117.208;1640.912;937.664;234.416;117.208;0;0;468.832
1/01/2014 11:15;40500;0;0;0;117.208;937.664;117.208;234.416;117.208;117.208;117.208
1/01/2014 11:30;41400;0;0;117.208;117.208;820.456;117.208;117.208;0;1640.912;117.208
1/01/2014 11:45;42300;0;0;117.208;0;0;0;117.208;0;0;0
1/01/2014 12:00;43200;117.208;0;0;117.208;0;0;0;0;0;117.208
1/01/2014 12:15;44100;937.664;0;117.208;0;0;117.208;0;0;0;0
1/01/2014 12:30;45000;937.664;0;0;117.208;468.832;820.456;820.456;0;0;0
1/01/2014 12:45;45900;0;0;0;820.456;117.208;117.208;0;117.208;0;820.456
1/01/2014 13:00;46800;117.208;0;117.208;820.456;0;937.664;117.208;234.416;820.456;117.208
1/01/2014 13:15;47700;117.208;0;0;234.416;820.456;0;0;0;1640.912;0
1/01/2014 13:30;48600;0;0;0;117.208;820.456;0;820.456;0;117.208;0
1/01/2014 13:45;49500;234.416;0;0;0;117.208;117.208;0;468.832;820.456;0
1/01/2014 14:00;50400;820.456;0;0;820.456;0;0;0;117.208;820.456;820.456
1/01/2014 14:15;51300;820.456;0;937.664;0;0;0;117.208;0;820.456;0
1/01/2014 14:30;52200;0;0;0;0;117.208;0;0;117.208;117.208;117.208
1/01/2014 14:45;53100;0;0;0;0;0;0;0;820.456;117.208;117.208
1/01/2014 15:00;54000;937.664;0;117.208;117.208;117.208;0;117.208;937.664;117.208;820.456
1/01/2014 15:15;54900;117.208;0;117.208;117.208;117.208;117.208;468.832;0;0;0
1/01/2014 15:30;55800;117.208;0;0;234.416;0;234.416;0;0;117.208;117.208
1/01/2014 15:45;56700;0;0;1172.08;0;0;117.208;820.456;0;0;0
1/01/2014 16:00;57600;117.208;0;117.208;117.208;234.416;0;0;1172.08;0;117.208
1/01/2014 16:15;58500;117.208;0;0;117.208;820.456;0;234.416;0;0;234.416
1/01/2014 16:30;59400;117.208;0;0;0;0;0;0;234.416;117.208;0
1/01/2014 16:45;60300;117.208;0;0;0;0;0;937.664;0;1875.328;117.208
1/01/2014 17:00;61200;0;0;5743.192;0;117.208;0;117.208;117.208;0;117.208
1/01/2014 17:15;62100;937.664;0;0;0;117.208;0;0;0;117.208;0
1/01/2014 17:30;63000;0;0;117.208;937.664;937.664;0;0;820.456;234.416;0
1/01/2014 17:45;63900;234.416;0;0;0;468.832;0;0;820.456;0;0
1/01/2014 18:00;64800;0;0;234.416;820.456;117.208;0;234.416;820.456;234.416;937.664
1/01/2014 18:15;65700;0;0;117.208;820.456;117.208;0;820.456;0;0;117.208
1/01/2014 18:30;66600;117.208;0;117.208;0;117.208;0;117.208;117.208;820.456;0
1/01/2014 18:45;67500;0;0;0;820.456;820.456;0;117.208;117.208;937.664;0
1/01/2014 19:00;68400;0;0;117.208;937.664;0;0;1875.328;234.416;0;0
1/01/2014 19:15;69300;0;0;0;117.208;0;0;0;0;0;0
1/01/2014 19:30;70200;0;0;0;234.416;0;0;117.208;0;0;0
1/01/2014 19:45;71100;0;0;0;0;0;0;0;0;0;0
1/01/2014 20:00;72000;0;0;0;0;0;0;0;0;0;0
1/01/2014 20:15;72900;0;0;0;0;0;0;0;0;0;0
1/01/2014 20:30;73800;0;0;0;0;0;0;0;0;0;0
1/01/2014 20:45;74700;0;0;0;0;0;0;0;0;117.208;0
1/01/2014 21:00;75600;0;0;0;0;0;0;0;0;117.208;0
1/01/2014 21:15;76500;0;0;0;0;0;0;0;0;0;0
1/01/2014 21:30;77400;0;0;0;0;0;0;0;0;0;0
1/01/2014 21:45;78300;0;0;0;0;0;0;0;0;0;0
1/01/2014 22:00;79200;0;0;0;0;0;0;0;0;0;0
1/01/2014 22:15;80100;0;0;0;0;0;0;0;0;0;0
1/01/2014 22:30;81000;117.208;0;0;0;0;0;0;0;0;0
1/01/2014 22:45;81900;0;0;0;0;0;0;0;0;0;0
1/01/2014 23:00;82800;0;0;0;0;0;0;0;0;0;0
1/01/2014 23:15;83700;0;0;0;0;0;0;0;0;0;0
1/01/2014 23:30;84600;0;0;0;0;0;0;0;0;0;0
1/01/2014 23:45;85500;0;0;0;0;0;0;0;0;0;0
2/01/2014 0:00;86400;0;0;0;0;0;0;0;0;0;0
2/01/2014 0:15;87300;0;0;0;0;0;0;0;0;0;0
2/01/2014 0:30;88200;0;0;0;0;0;0;0;0;0;0
2/01/2014 0:45;89100;0;0;0;0;0;0;0;0;0;0
2/01/2014 1:00;90000;0;0;0;0;0;0;0;0;0;0
2/01/2014 1:15;90900;0;0;0;0;0;0;0;0;0;0
2/01/2014 1:30;91800;0;0;0;0;0;0;0;0;0;0
2/01/2014 1:45;92700;0;0;0;0;0;0;117.208;0;0;0
2/01/2014 2:00;93600;0;0;117.208;0;0;0;820.456;0;0;0
2/01/2014 2:15;94500;0;0;117.208;0;0;0;937.664;0;0;0
2/01/2014 2:30;95400;0;0;0;0;0;0;0;0;0;0
2/01/2014 2:45;96300;0;0;0;0;0;0;0;0;0;0
2/01/2014 3:00;97200;0;0;1172.08;0;0;0;0;0;0;0
2/01/2014 3:15;98100;0;0;820.456;0;0;0;0;0;0;0
2/01/2014 3:30;99000;0;0;0;234.416;0;0;0;0;0;0
2/01/2014 3:45;99900;0;0;117.208;0;0;0;0;0;117.208;0
2/01/2014 4:00;101000;0;0;0;0;0;117.208;0;0;0;0
2/01/2014 4:15;102000;0;0;234.416;820.456;0;117.208;0;0;0;0
2/01/2014 4:30;103000;0;0;0;20511.4;0;0;0;0;0;0
2/01/2014 4:45;104000;0;0;820.456;820.456;1172.08;117.208;0;117.208;820.456;0
2/01/2014 5:00;104000;0;0;0;117.208;0;0;117.208;117.208;0;0
2/01/2014 5:15;105000;820.456;0;820.456;0;117.208;820.456;234.416;0;820.456;0
2/01/2014 5:30;106000;117.208;234.416;0;117.208;0;0;117.208;234.416;0;937.664
2/01/2014 5:45;107000;0;117.208;117.208;0;820.456;117.208;0;117.208;937.664;0
2/01/2014 6:00;108000;820.456;0;0;937.664;1640.912;1640.912;0;0;0;117.208
2/01/2014 6:15;109000;820.456;0;820.456;117.208;0;117.208;1172.08;820.456;937.664;937.664
2/01/2014 6:30;110000;820.456;0;1640.912;117.208;117.208;6446.44;0;117.208;117.208;117.208
2/01/2014 6:45;111000;0;0;234.416;0;0;117.208;234.416;0;117.208;0
2/01/2014 7:00;112000;117.208;0;117.208;0;0;0;0;0;117.208;0
2/01/2014 7:15;113000;0;0;0;234.416;937.664;117.208;0;0;117.208;117.208
2/01/2014 7:30;113000;0;0;117.208;117.208;0;0;117.208;117.208;234.416;117.208
2/01/2014 7:45;114000;117.208;0;820.456;117.208;937.664;0;117.208;117.208;937.664;937.664
2/01/2014 8:00;115000;0;0;0;820.456;820.456;0;820.456;0;117.208;0
2/01/2014 8:15;116000;117.208;0;1992.536;234.416;0;0;117.208;117.208;0;117.208
2/01/2014 8:30;117000;117.208;0;0;117.208;117.208;0;0;0;234.416;117.208
2/01/2014 8:45;118000;234.416;0;1172.08;234.416;0;0;117.208;820.456;117.208;0
2/01/2014 9:00;119000;937.664;0;117.208;0;937.664;0;0;1640.912;0;0
2/01/2014 9:15;120000;0;0;0;117.208;117.208;0;468.832;937.664;0;0
