;Time;1;2;3;4;5;6;7;8;9;10
1/01/2014 0:00;0;4.71;0;50.3;39.3;33;28.3;22;0;0;14.1
1/01/2014 0:15;900;50.3;42.4;107;81.7;91.9;103;33.3;20.4;28.3;34.6
1/01/2014 0:30;1800;85.2;103;119;114;120;114;38.4;83.6;47.6;86.4
1/01/2014 0:45;2700;115;128;124;121;152;121;89.1;123;91.6;121
1/01/2014 1:00;3600;126;122;129;121;160;117;125;125;112;122
1/01/2014 1:15;4500;121;121;135;122;155;121;134;120;126;122
1/01/2014 1:30;5400;121;128;136;128;145;117;144;125;130;122
1/01/2014 1:45;6300;121;122;131;121;160;117;131;121;126;122
1/01/2014 2:00;7200;121;121;98.2;122;155;117;71;120;126;122
1/01/2014 2:15;8100;121;128;75.5;128;145;117;49.3;125;126;122
1/01/2014 2:30;9000;121;128;50.3;121;155;117;59.1;125;130;122
1/01/2014 2:45;9900;126;116;21.2;128;160;114;72.9;125;130;122
1/01/2014 3:00;10800;121;128;21.2;122;155;117;67.8;116;126;122
1/01/2014 3:15;11700;121;128;26.3;121;145;95.2;82.7;125;130;122
1/01/2014 3:30;12600;121;116;24.8;128;164;48.6;131;125;126;122
1/01/2014 3:45;13500;121;128;24.8;105;151;21.8;134;120;120;122
1/01/2014 4:00;14400;121;128;26.3;88.3;141;98.6;139;121;79.4;122
1/01/2014 4:15;15300;121;121;26.3;41.1;131;96.9;144;121;27.1;122
1/01/2014 4:30;16200;126;122;36.8;19.2;116;7.23;139;125;19.7;122
1/01/2014 4:45;17100;121;128;43.3;6.24;111;10.8;134;109;16.1;122
1/01/2014 5:00;18000;117;121;36.5;17.6;60.9;7.23;102;87.2;19.7;122
1/01/2014 5:15;18900;99.3;111;21.2;11.3;133;7.23;94.9;63.2;19.7;122
1/01/2014 5:30;19800;88.3;82;21.2;6.24;129;10.8;64.7;28.7;16.1;91.1
1/01/2014 5:45;20700;36.5;66.3;29.9;17.6;115;7.23;117;15;16.1;43.9
1/01/2014 6:00;21600;30.2;31.7;48.8;11.3;190;10.8;115;15;16.1;12.5
