;Time;1;2;3;4;5;6;7;8;9;10
1/01/2014 0:00;0;288.15;285.15;288.65;288.15;288.15;285.15;288.15;288.15;288.15;288.15
1/01/2014 0:15;900;288.15;285.15;288.65;288.15;288.15;285.15;288.15;288.15;288.15;288.15
1/01/2014 0:30;1800;288.15;285.15;288.65;288.15;288.15;285.15;288.15;288.15;288.15;288.15
1/01/2014 0:45;2700;288.15;285.15;288.65;288.15;288.15;285.15;288.15;288.15;288.15;288.15
1/01/2014 1:00;3600;288.15;285.15;288.65;288.15;288.15;285.15;288.15;288.15;288.15;288.15
1/01/2014 1:15;4500;288.15;285.15;288.65;288.15;288.15;285.15;288.15;288.15;288.15;288.15
1/01/2014 1:30;5400;288.15;285.15;288.65;288.15;288.15;285.15;289.15;288.15;288.15;288.15
1/01/2014 1:45;6300;288.15;285.15;288.65;288.15;288.15;285.15;291.65;288.15;288.15;288.15
1/01/2014 2:00;7200;288.15;285.15;294.65;288.15;288.15;285.15;291.65;288.15;288.15;288.15
1/01/2014 2:15;8100;288.15;285.15;294.65;288.15;288.15;285.15;291.65;288.15;288.15;288.15
1/01/2014 2:30;9000;288.15;285.15;294.65;288.15;288.15;285.15;288.15;288.15;288.15;288.15
1/01/2014 2:45;9900;288.15;285.15;294.65;288.15;288.15;285.15;288.15;288.15;288.15;288.15
1/01/2014 3:00;10800;288.15;285.15;294.65;288.15;288.15;285.15;288.15;288.15;288.15;288.15
1/01/2014 3:15;11700;288.15;285.15;294.65;290.45;288.15;285.15;288.15;288.15;288.15;288.15
1/01/2014 3:30;12600;288.15;285.15;294.65;291.65;288.15;285.15;288.15;288.15;288.15;288.15
1/01/2014 3:45;13500;288.15;285.15;294.65;291.65;288.15;285.15;288.15;288.15;290.45;288.15
1/01/2014 4:00;14400;288.15;285.15;294.65;291.65;289.55;285.15;288.15;288.15;291.65;288.15
1/01/2014 4:15;15300;288.15;285.15;294.65;291.65;293.15;285.15;288.15;288.15;291.65;288.15
1/01/2014 4:30;16200;288.15;285.15;294.65;291.65;293.15;285.15;288.15;289.15;291.65;288.15
1/01/2014 4:45;17100;288.15;285.15;294.65;291.65;293.15;285.15;288.15;291.65;291.65;288.15
1/01/2014 5:00;18000;289.55;285.15;294.65;291.65;293.15;285.15;291.65;291.65;291.65;288.15
1/01/2014 5:15;18900;293.15;285.15;294.65;291.65;293.15;285.15;291.65;291.65;291.65;288.15
1/01/2014 5:30;19800;293.15;285.15;294.65;291.65;293.15;285.15;291.65;291.65;291.65;291.65
1/01/2014 5:45;20700;293.15;285.15;294.65;291.65;293.15;285.15;291.65;291.65;291.65;291.65
1/01/2014 6:00;21600;293.15;285.15;294.65;291.65;293.15;285.15;291.65;291.65;291.65;291.65
1/01/2014 6:15;22500;293.15;285.15;294.65;291.65;293.15;285.15;291.65;291.65;291.65;291.65
1/01/2014 6:30;23400;293.15;285.15;294.65;291.65;291.75;285.15;291.65;291.65;291.65;291.65
1/01/2014 6:45;24300;293.15;285.15;294.65;291.65;288.15;285.15;291.65;291.65;291.65;291.65
1/01/2014 7:00;25200;293.15;285.15;294.65;291.65;289.55;285.15;291.65;291.65;291.65;291.65
1/01/2014 7:15;26100;293.15;285.15;294.65;291.65;293.15;285.15;291.65;291.65;291.65;291.65
1/01/2014 7:30;27000;293.15;285.15;294.65;291.65;293.15;285.15;291.65;291.65;291.65;291.65
