;Time;QsolN;QsolE;QsolS;QsolW;Te;Tg
2014-01-01 00:00:00;900.0;7.1299895e-05;4.194674e-05;2.5375924e-05;5.4436132e-05;283.73672;283.15
2014-01-01 00:15:00;1800.0;7.152659e-05;4.4912817e-05;2.511942e-05;5.1416497e-05;283.71875;283.15
2014-01-01 00:30:00;2700.0;7.16104e-05;4.7909696e-05;2.5024558e-05;4.839976e-05;283.6914;283.15
2014-01-01 00:45:00;3600.0;7.155113e-05;5.0924788e-05;2.5091915e-05;4.5399072e-05;283.65;283.15
2014-01-01 01:00:00;4500.0;7.134892e-05;5.394502e-05;2.5321086e-05;4.2427106e-05;283.6;283.15
2014-01-01 01:15:00;5400.0;7.100422e-05;5.69569e-05;2.5710673e-05;3.9496008e-05;283.55;283.15
2014-01-01 01:30:00;6300.0;7.05179e-05;5.994666e-05;2.62584e-05;3.6617446e-05;283.5;283.15
2014-01-01 01:45:00;7200.0;6.989131e-05;6.290041e-05;2.6961205e-05;3.3802655e-05;283.45;283.15
2014-01-01 02:00:00;8100.0;6.912642e-05;6.580434e-05;2.7815357e-05;3.1062496e-05;283.39532;283.15
2014-01-01 02:15:00;9000.0;6.8225854e-05;6.864481e-05;2.881655e-05;2.8407481e-05;283.3375;283.15
2014-01-01 02:30:00;9900.0;6.7192916e-05;7.140849e-05;2.9959963e-05;2.5847814e-05;283.28595;283.15
2014-01-01 02:45:00;10800.0;6.6031665e-05;7.408247e-05;3.1240328e-05;2.3393366e-05;283.25;283.15
2014-01-01 03:00:00;11700.0;6.4746826e-05;7.665431e-05;3.2651922e-05;2.105364e-05;283.225;283.15
2014-01-01 03:15:00;12600.0;6.3343796e-05;7.91121e-05;3.418861e-05;1.8837753e-05;283.2;283.15
2014-01-01 03:30:00;13500.0;6.1828614e-05;8.144451e-05;3.584385e-05;1.6754384e-05;283.175;283.15
2014-01-01 03:45:00;14400.0;6.0207898e-05;8.364086e-05;3.761068e-05;1.4811736e-05;283.15;283.15
2014-01-01 04:00:00;15300.0;5.8488797e-05;8.569109e-05;3.948176e-05;1.3017481e-05;283.125;283.15
2014-01-01 04:15:00;16200.0;5.6678942e-05;8.7585875e-05;4.1449355e-05;1.1378746e-05;283.1;283.15
2014-01-01 04:30:00;17100.0;5.478641e-05;8.931662e-05;4.3505377e-05;9.902058e-06;283.075;283.15
2014-01-01 04:45:00;18000.0;5.2819654e-05;9.08755e-05;4.5641376e-05;8.593328e-06;283.05;283.15
2014-01-01 05:00:00;18900.0;5.0787465e-05;9.225551e-05;4.784858e-05;7.4578093e-06;283.02264;283.15
